Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,ReceptionsHero
Theo Wease,MIA,WR,4,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,99,Yes,No,No,77,23,No,Yes,23,1,,0.2987,21,0.913,172,107,41,89,1,,0.4935,0.5065,18,3.8696,,112.3,2.2338,7.4783,1.1486,8.1905,5.0952,1.9524,6,34.7917,34.7917,0.2323,23.2,44.2,33.7,44.2,44.2,47.2,36.7,44.2,44.2,44.2,33.7,44.2,44.2,3,16,2,0.0952,,,1,1,2,5,0.2174,0.087,
Raheim Sanders,CLV,RB,7,No,Yes,No,5,2,Yes,Yes,2,1,,0.4,2,1,11,10,4,1,,,,0.2,,0.5,,89.6,2.2,5.5,-0.8537,5.5,5,2,,2.8495,2.8495,0.2857,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,4,1,0.5,0.8,,,,,,,,
Tyler Warren,IND,TE,135,Yes,No,Yes,116,23,No,Yes,23,1,,0.1983,22,0.9565,183,177,49,13,,,0.4397,0.1466,20,0.5652,,99.8,1.5776,7.9565,1.9086,8.3182,8.0455,2.2273,11,39.9672,39.9672,0.1704,18.3,40.3,29.3,40.3,51.3,43.3,32.3,40.3,40.3,40.3,29.3,51.3,40.3,4,17,4,0.1818,0.0172,0.3966,2,1,,10,0.4348,,
Will Mallory,IND,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0.5,,,,,,,
Albert Okwuegbunam,LV,TE,6,No,No,No,5,2,No,Yes,2,1,,0.4,2,1,21,25,8,-4,,,,,1,-2,,110.4,4.2,10.5,5.4256,10.5,12.5,4,1,2.994,2.994,0.3333,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,,1,1,0.5,,1,,,,1,0.5,,
Ryan Flournoy,DAL,WR,86,No,No,No,78,20,No,Yes,20,1,1,0.2564,17,0.85,164,84,24,101,1,,0.3462,0.6538,11,5.05,1,117.5,2.1026,8.2,1.6174,9.6471,4.9412,1.4118,9,30.1791,30.1791,0.2326,22.4,39.4,30.9,39.4,39.4,42.4,33.9,39.4,39.4,39.4,30.9,39.4,39.4,2,15,4,0.2353,,,4,1,1,2,0.1,0.05,
Nikko Remigio,KC,WR,4,Yes,No,No,3,1,No,Yes,1,1,,0.3333,1,1,21,3,1,18,,,0.3333,0.6667,,18,,118.8,7,21,10.1009,21,3,1,1,1.8642,1.8642,0.25,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,14,,,,,,,,,,,
Deebo Samuel,WAS,WR,115,No,No,No,107,41,No,Yes,41,1,1,0.3832,35,0.8537,329,332,99,22,1,1,0.7196,0.2523,36,0.5366,1,98.1,3.0748,8.0244,2.4816,9.4,9.4857,2.8286,10,70.9831,70.9831,0.3565,38.9,73.9,56.4,73.9,73.9,76.9,59.4,73.9,73.9,73.9,56.4,73.9,73.9,5,16,11,0.3143,0.028,,7,4,3,22,0.5366,0.0732,
Devin Duvernay,CHI,WR,8,Yes,No,No,6,,No,Yes,,,,,,,,,,,,,0.3333,0.5,,,,,,,,,,,,1.4812,1.4812,,,,,,,,,,,,,,,,17,,,,0.1667,,,,,,,
Mike Gesicki,CIN,TE,65,No,Yes,No,57,14,Yes,Yes,14,1,,0.2456,14,1,109,43,11,66,,,0.7895,0.1754,12,4.7143,,99.1,1.9123,7.7857,1.2011,7.7857,3.0714,0.7857,6,24.5852,24.5852,0.2154,10.9,24.9,17.9,24.9,31.9,27.9,20.9,24.9,24.9,24.9,17.9,31.9,24.9,1,13,,,,0.0351,2,2,,,,,
Julius Chestnut,TEN,RB,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,,,,,,,,
Wan'Dale Robinson,NYG,WR,123,No,No,No,112,40,No,Yes,40,1,,0.3571,39,0.975,308,201,58,122,1,,0.6875,0.3125,31,3.05,1,107.1,2.75,7.7,1.5009,7.8974,5.1538,1.4872,10,58.4451,58.4451,0.3252,36.8,75.8,56.3,75.8,75.8,78.8,59.3,75.8,75.8,75.8,56.3,75.8,75.8,1,16,5,0.1282,,,4,3,,10,0.25,,
Ben Skowronek,PIT,WR,21,No,No,No,10,2,No,Yes,2,1,,0.2,2,1,35,20,3,15,1,,0.4,0.6,2,7.5,,158.3,3.5,17.5,10.5686,17.5,10,1.5,2,2.6618,2.6618,0.0952,9.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,,16,,,,,,,,,,,
