Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsTotal,TouchdownsInEndzone
Jauan Jennings,SF,WR,19,No,No,No,18,No,Yes,0.1667,15,,6,2,6,1,0.3333,4,,,0.6667,43,16,7,48,1,0.8333,6,8,,87.5,2.3889,7.1667,-0.5214,0.1667,10.75,4,1.75,2,14.7127,14.7127,0.3158,4.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,2,2,,,,,,,
Ashton Dulin,IND,WR,3,No,No,No,3,No,Yes,0.6667,12,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,2,No,No,No,2,Yes,Yes,0.5,15,0.5,1,1,1,1,0.5,1,1,1,1,4,,,13,,,1,13,,122.9,2,4,-5.9649,,4,,,1,3.6602,3.6602,0.5,6.4,7.4,6.9,7.4,7.9,7.4,6.9,7.4,7.4,7.4,6.9,7.9,7.4,1,1,,,,,,1,1
Jaylen Warren,PIT,RB,10,No,No,No,7,Yes,Yes,,16,0.1429,3,,3,1,0.4286,3,,,1,18,33,14,-15,,,,-5,,91.7,2.5714,6,1.0385,,6,11,4.6667,1,4.1329,4.1329,0.3,1.8,4.8,3.3,6.3,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,,,1,0.3333,0.8571,,,,
Kendrick Bourne,SF,WR,18,No,No,No,17,No,Yes,0.5294,16,,3,2,3,1,0.1765,2,1,,0.6667,24,,,44,,0.4706,3,14.6667,1,91,1.4118,8,-1.5711,,12,,,2,6.2047,6.2047,0.1667,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,,1,,,,,,,
Jack Bech,LV,WR,8,No,No,No,8,Yes,Yes,0.5,16,,3,2,3,1,0.375,2,1,,0.6667,8,2,1,8,,0.5,3,2.6667,,70.1,1,2.6667,-2.9394,,4,1,0.5,,5.5871,5.5871,0.375,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,1,,,,,,,
Hassan Haskins,LAC,RB,4,Yes,No,No,4,No,Yes,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Juwan Johnson,NO,TE,24,No,No,No,22,No,Yes,0.5455,17,0.2727,5,1,5,1,0.2273,4,1,1,0.8,40,16,6,30,1,0.1818,5,6,,100,1.8182,8,1.0072,0.2,10,4,1.5,2,8.2115,8.2115,0.2083,4,8,6,8,10,8,6,8,8,8,6,10,8,,1,1,0.25,,1,0.2,,
David Montgomery,DET,RB,4,No,No,No,3,No,No,,17,,1,,1,1,0.3333,1,,,1,4,11,1,-7,,,,-7,,83.3,1.3333,4,-0.5287,,4,11,1,,1.0239,1.0239,0.25,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,1,,,,
Mack Hollins,NE,WR,11,No,No,No,11,No,No,0.1818,15,,3,,3,1,0.2727,3,,,1,23,7,3,16,,0.8182,2,5.3333,,98.6,2.0909,7.6667,0.4737,,7.6667,2.3333,1,1,4.2738,4.2738,0.2727,2.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,,,1,0.3333,,,,,
Kenneth Gainwell,PIT,RB,9,No,No,No,9,Yes,Yes,,17,0.3333,3,,3,1,0.3333,3,,,1,13,13,3,,,,2,,,124.3,1.4444,4.3333,-1.4937,,4.3333,4.3333,1,2,5.5331,5.5331,0.3333,7.3,10.3,8.8,11.8,10.3,10.3,8.8,10.3,10.3,10.3,8.8,10.3,10.3,,1,1,0.3333,0.6667,,,1,
Bhayshul Tuten,JAX,RB,4,No,Yes,No,4,Yes,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Casey Washington,ATL,WR,3,No,No,Yes,3,No,Yes,0.3333,7,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,8,No,No,No,8,No,Yes,0.375,8,,4,,4,1,0.5,3,,,0.75,14,11,1,9,1,0.625,4,2.25,,79.2,1.75,3.5,-2.3081,0.25,4.6667,3.6667,0.3333,1,6.2877,6.2877,0.5,1.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,,,1,0.3333,,1,0.25,,
Tyler Badie,DEN,RB,5,Yes,No,No,5,No,Yes,,16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,
Jalen Brooks,ARZ,WR,1,No,Yes,No,1,Yes,Yes,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,8,Yes,No,No,8,No,Yes,0.75,15,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie,NYJ,WR,9,Yes,No,No,9,Yes,Yes,0.3333,16,,4,,4,1,0.4444,3,,,0.75,21,4,1,26,1,0.5556,3,6.5,,86.5,2.3333,5.25,-1.3634,0.25,7,1.3333,0.3333,1,5.6727,5.6727,0.4444,2.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,,,,,0.1111,,,,
Jalen Nailor,MIN,WR,17,Yes,Yes,Yes,16,No,Yes,0.5625,17,,4,3,4,1,0.25,2,2,,0.5,43,2,,64,1,0.4375,3,16,2,88.5,2.6875,10.75,0.9579,0.25,21.5,1,,2,11.9744,11.9744,0.2353,10.3,12.3,11.3,12.3,12.3,12.3,11.3,12.3,12.3,12.3,11.3,12.3,12.3,1,1,,,,,,1,1
Marquise Brown,KC,WR,17,No,No,No,16,Yes,Yes,0.5625,16,,6,2,6,1,0.375,3,,,0.5,62,21,15,88,1,0.4375,5,14.6667,2,86.8,3.875,10.3333,1.8093,0.1667,20.6667,7,5,3,9.9289,9.9289,0.3529,6.2,9.2,7.7,9.2,9.2,9.2,7.7,9.2,9.2,9.2,7.7,9.2,9.2,,,3,1,,,,,
Jayden Higgins,HST,WR,6,No,No,No,5,No,Yes,0.2,17,,1,,1,1,0.2,1,,,1,17,,,17,,0.8,1,17,,118.8,3.4,17,5.3347,,17,,,1,2.0244,2.0244,0.1667,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,,,,
Skyy Moore,SF,WR,8,No,No,No,8,No,Yes,0.25,17,,1,,1,1,0.125,1,,,1,23,1,,22,,0.75,1,22,1,118.8,2.875,23,11.0759,,23,1,,1,1.7059,1.7059,0.125,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,,,,,,,,,
David Martin-Robinson,TEN,TE,2,No,Yes,No,2,Yes,Yes,0.5,15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,5,Yes,No,No,4,No,Yes,,17,1,2,,2,1,0.5,1,,,0.5,5,2,1,6,1,,1,3,,56.3,1.25,2.5,-3.8218,0.5,5,2,1,,2.6962,2.6962,0.4,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,,
Nate Adkins,DEN,TE,6,Yes,No,No,3,No,Yes,0.3333,9,0.6667,1,,1,1,0.3333,1,,,1,16,4,,12,,,1,12,,158.3,5.3333,16,7.3339,,16,4,,1,3.1524,3.1524,0.1667,7.6,8.6,8.1,8.6,9.1,8.6,8.1,8.6,8.6,8.6,8.1,9.1,8.6,,1,,,,,,1,
Tre Harris,LAC,WR,10,Yes,No,No,8,No,Yes,0.75,17,,2,1,2,1,0.25,1,,,0.5,24,4,1,27,,0.25,1,13.5,1,93.8,3,12,3.0352,,24,4,1,1,3.3367,3.3367,0.2,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,1,,,,,,,
Jack Stoll,NO,TE,2,No,Yes,No,2,No,Yes,0.5,15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Gage,SF,WR,1,Yes,Yes,Yes,1,No,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,5,No,Yes,No,4,No,Yes,0.5,13,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,2,No,No,No,2,Yes,Yes,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,4,Yes,Yes,Yes,4,No,Yes,0.25,11,,1,,1,1,0.25,,,,,,,,8,1,0.75,1,8,,39.6,,,-7.5106,1,,,,,1.7034,1.7034,0.25,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,16,No,Yes,Yes,14,No,Yes,0.1429,17,0.7857,2,,2,1,0.1429,2,,,1,7,7,,6,,0.0714,2,3,,120.8,0.5,3.5,-2.7858,,3.5,3.5,,1,5.1637,5.1637,0.125,6.7,8.7,7.7,8.7,9.7,8.7,7.7,8.7,8.7,8.7,7.7,9.7,8.7,1,1,,,,,,1,1
Jalen McMillan,TB,WR,2,No,Yes,Yes,1,No,Yes,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,24,No,No,Yes,20,No,Yes,0.5,15,0.25,5,3,5,1,0.25,3,2,,0.6,34,4,9,49,1,0.2,4,9.8,,120,1.7,6.8,-1.2974,0.2,11.3333,1.3333,3,2,11.9059,11.9059,0.2083,9.4,12.4,10.9,12.4,13.9,12.4,10.9,12.4,12.4,12.4,10.9,13.9,12.4,1,1,,,0.05,,,1,1
Jahan Dotson,PHI,WR,26,No,Yes,No,24,No,Yes,0.2917,17,,2,1,2,1,0.0833,2,1,,1,10,11,1,-1,,0.7083,1,-0.5,,87.5,0.4167,5,0.2552,,5,5.5,0.5,,3.3022,3.3022,0.0769,1,3,2,3,3,3,2,3,3,3,2,3,3,,,,,,,,,
DeVonta Smith,PHI,WR,28,No,Yes,No,28,No,Yes,0.7143,17,,9,2,9,1,0.3214,9,2,,1,140,38,17,102,,0.2857,9,11.3333,2,118.8,5,15.5556,7.3904,,15.5556,4.2222,1.8889,5,14.94,14.94,0.3214,14,23,18.5,23,23,26,21.5,23,23,23,18.5,23,23,,,,,,,,,
Jameson Williams,DET,WR,15,No,No,No,15,No,No,0.2,17,,3,,3,1,0.2,3,,,1,123,62,14,61,,0.8,2,20.3333,1,158.3,8.2,41,30.2949,,41,20.6667,4.6667,3,6.9785,6.9785,0.2,18.3,21.3,19.8,21.3,21.3,24.3,22.8,21.3,21.3,21.3,19.8,21.3,21.3,,,1,0.3333,,,,1,
Xavier Restrepo,TEN,WR,1,Yes,Yes,No,1,No,Yes,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks,HST,RB,10,No,No,No,5,No,Yes,0.2,16,,2,1,2,1,0.4,2,1,,1,8,5,1,3,,,1,1.5,,83.3,1.6,4,-2.9139,,4,2.5,0.5,,3.0392,3.0392,0.2,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,1,,,0.8,,,,
James Proche,TEN,WR,5,No,Yes,No,5,Yes,Yes,0.2,9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,
Puka Nacua,LA,WR,20,No,Yes,No,19,Yes,Yes,0.3684,16,,6,1,6,1,0.3158,4,1,,0.6667,48,12,7,51,1,0.6316,5,8.5,,91,2.5263,8,0.5899,0.1667,12,3,1.75,3,9.0405,9.0405,0.3,4.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,,,1,0.25,,,,,
Aaron Jones,MIN,RB,11,No,No,Yes,11,No,Yes,,12,0.1818,4,,4,1,0.3636,4,,,1,35,16,1,19,,,2,4.75,1,142.7,3.1818,8.75,3.2977,,8.75,4,0.25,1,6.6563,6.6563,0.3636,8.5,12.5,10.5,14.5,12.5,12.5,9.5,11.5,11.5,11.5,9.5,12.5,11.5,,1,1,0.25,0.8182,,,1,
Luke Farrell,SF,TE,12,No,No,No,10,No,Yes,0.1,17,0.9,2,2,2,1,0.2,2,2,,1,12,1,1,11,,,1,5.5,,91.7,1.2,6,-1.0212,,6,0.5,0.5,1,2.6867,2.6867,0.1667,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,,,,,,,,
Luke Musgrave,GB,TE,12,Yes,Yes,Yes,10,No,Yes,0.2,17,0.6,3,1,3,1,0.3,2,,,0.6667,10,4,2,22,,0.2,3,7.3333,,71.5,1,3.3333,-4.1488,,5,2,1,,4.8146,4.8146,0.25,1,3,2,3,4,3,2,3,3,3,2,4,3,,,,,,,,,
DeMario Douglas,NE,WR,8,No,No,Yes,8,No,Yes,0.875,17,,3,1,3,1,0.375,3,1,1,1,64,21,1,43,,0.125,2,14.3333,1,118.8,8,21.3333,11.9292,,21.3333,7,0.3333,3,5.6479,5.6479,0.375,6.4,9.4,7.9,9.4,9.4,9.4,7.9,9.4,9.4,9.4,7.9,9.4,9.4,,1,,,,,,,
James Mitchell,CAR,TE,2,No,Yes,Yes,2,No,Yes,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Otton,TB,TE,21,No,Yes,Yes,19,No,Yes,0.4737,16,0.3684,4,2,4,1,0.2105,3,2,,0.75,14,7,3,11,1,0.1579,2,2.75,,79.2,0.7368,3.5,-2.5697,0.25,4.6667,2.3333,1,1,5.2991,5.2991,0.1905,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,,,,,,,,,
Carter Runyon,LV,TE,3,No,No,No,1,Yes,Yes,,10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,7,Yes,No,Yes,6,No,Yes,0.3333,4,,4,1,4,1,0.6667,3,1,1,0.75,59,8,24,66,1,0.6667,4,16.5,1,156.3,9.8333,14.75,5.1378,0.25,19.6667,2.6667,8,2,7.0136,7.0136,0.5714,11.9,14.9,13.4,14.9,14.9,14.9,13.4,14.9,14.9,14.9,13.4,14.9,14.9,1,,,,,,,1,1
Christian Kirk,HST,WR,8,No,No,No,8,No,Yes,0.875,13,,2,,2,1,0.25,2,,,1,4,3,2,1,,0.125,1,0.5,,79.2,0.5,2,-3.5798,,2,1.5,1,1,2.649,2.649,0.25,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,,,,,,,
Xavier Weaver,ARZ,WR,5,No,Yes,No,4,Yes,Yes,,9,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colson Yankoff,WAS,TE,3,No,Yes,No,1,No,Yes,,14,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Brownlee,KC,WR,1,No,No,No,1,Yes,Yes,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,2,No,No,No,1,No,Yes,,13,,1,,1,1,1,,,,,,,,1,1,,,1,,39.6,,,-5.7754,1,,,,,1.5754,1.5754,0.5,,,,,,,,,,,,,,,,,,1,,,,
Brian Robinson,SF,RB,4,No,No,No,4,No,Yes,,17,,1,1,1,1,0.25,,,,,,,,2,,,,2,,39.6,,,-6.3947,,,,,,1.36,1.36,0.25,,,,,,,,,,,,,,,1,,,1,,,,
Alvin Kamara,NO,RB,10,No,No,No,7,No,No,,11,,1,,1,1,0.1429,1,,,1,-2,-1,,-1,,0.1429,1,-1,,79.2,-0.2857,-2,-7.819,,-2,-1,,,1.38,1.38,0.1,-1.2,-0.2,-0.7,0.3,-0.2,-0.2,-1.7,-1.2,-1.2,-1.2,-1.7,-0.2,-1.2,,,,,0.8571,,,,
Gunner Olszewski,NYG,WR,4,Yes,No,No,4,No,Yes,0.5,16,,1,,1,1,0.25,1,,,1,8,4,1,4,,0.5,1,4,,100,2,8,1.9502,,8,4,1,,1.4508,1.4508,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,
Jimmy Horn,CAR,WR,3,No,Yes,Yes,3,No,Yes,0.6667,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1702,1.1702,,,,,,,,,,,,,,,,,,,0.3333,,,,
Tai Felton,MIN,WR,2,Yes,Yes,Yes,1,No,Yes,,14,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,2,No,No,No,1,No,Yes,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,8,No,No,No,7,No,Yes,0.2857,6,,1,,1,1,0.1429,,,,,,,,4,1,0.7143,,4,,39.6,,,-6.0498,1,,,,,1.5036,1.5036,0.125,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,16,No,No,No,16,No,Yes,0.25,15,,4,3,4,1,0.25,,,,,,,,62,,0.75,2,15.5,1,39.6,,,-8.598,,,,,,8.1667,8.1667,0.25,,,,,,,,,,,,,,1,,,,,,,,
Mark Andrews,BLT,TE,22,No,No,No,19,Yes,Yes,0.9474,17,,6,,6,1,0.3158,6,,,1,52,14,6,38,,0.0526,5,6.3333,,102.8,2.7368,8.6667,1.6786,,8.6667,2.3333,1,3,8.7948,8.7948,0.2727,5.2,11.2,8.2,11.2,14.2,11.2,8.2,11.2,11.2,11.2,8.2,14.2,11.2,,,1,0.1667,,,,,
Parker Washington,JAX,WR,24,No,Yes,No,24,Yes,Yes,0.5417,16,,9,6,9,1,0.375,6,4,2,0.6667,58,,,118,1,0.4583,8,13.1111,1,124.1,2.4167,6.4444,-2.6711,0.1111,9.6667,,,4,16.968,16.968,0.375,23.8,29.8,26.8,29.8,29.8,29.8,26.8,29.8,29.8,29.8,26.8,29.8,29.8,3,3,,,,,,3,3
Braxton Berrios,HST,WR,2,Yes,No,No,2,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendre Miller,NO,RB,2,No,No,No,2,No,No,0.5,7,,1,,1,1,0.5,1,,,1,2,1,1,1,,,,1,,79.2,1,2,-3.7294,,2,1,1,,1.4947,1.4947,0.5,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,0.5,,,,
Travis Hunter,JAX,WR,14,No,Yes,No,14,Yes,Yes,0.4286,7,,4,2,4,1,0.2857,3,2,1,0.75,86,14,5,78,1,0.5714,2,19.5,2,156.3,6.1429,21.5,11.3974,0.25,28.6667,4.6667,1.6667,2,8.345,8.345,0.2857,14.6,17.6,16.1,17.6,17.6,17.6,16.1,17.6,17.6,17.6,16.1,17.6,17.6,,,1,0.3333,,,,1,
Blake Corum,LA,RB,7,No,Yes,No,3,Yes,Yes,,17,,1,,1,1,0.3333,,,,,,,,4,1,,,4,,39.6,,,-6.6619,1,,,,,1.2806,1.2806,0.1429,,,,,,,,,,,,,,,,,,1,,,,
Julian Hill,MIA,TE,7,No,No,Yes,6,No,Yes,0.3333,14,0.5,3,,3,1,0.5,2,,,0.6667,11,9,4,9,1,,1,3,,72.9,1.8333,3.6667,-2.6556,0.3333,5.5,4.5,2,,4.5351,4.5351,0.4286,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,,,,,0.1667,,,,
Tyquan Thornton,KC,WR,14,No,No,No,11,No,Yes,0.4545,14,,6,1,6,1,0.5455,6,1,1,1,169,22,5,147,,0.5455,4,24.5,4,118.8,15.3636,28.1667,17.0254,,28.1667,3.6667,0.8333,6,15.4779,15.4779,0.4286,16.9,22.9,19.9,22.9,22.9,25.9,22.9,22.9,22.9,22.9,19.9,22.9,22.9,,,,,,,,,
Breece Hall,NYJ,RB,11,No,No,No,7,No,Yes,,16,,1,,1,1,0.1429,1,,,1,9,-24,1,33,,0.1429,,33,1,104.2,1.2857,9,-7.1111,,9,-24,1,,1.4704,1.4704,0.1,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,0.8571,,,,
Trent Sherfield,ARZ,WR,4,Yes,No,No,3,No,Yes,,12,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Hull,NO,RB,5,No,No,No,4,No,Yes,,6,,1,,1,1,0.25,1,,,1,6,9,1,-3,,,,-3,,91.7,1.5,6,-0.1191,,6,9,1,,1.5235,1.5235,0.2,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,1,,,,
Greg Dortch,ARZ,WR,3,Yes,No,No,3,No,Yes,0.6667,12,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Jennings,NE,RB,1,No,No,No,1,No,No,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tip Reiman,ARZ,TE,1,No,No,Yes,1,No,Yes,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,11,Yes,No,No,11,Yes,Yes,0.2727,17,0.0909,,,,,,,,,,,,,,,0.6364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,17,Yes,Yes,No,12,Yes,Yes,0.0833,16,,2,1,2,1,0.1667,1,,,0.5,7,3,1,7,,0.1667,,3.5,,58.3,0.5833,3.5,-3.0857,,7,3,1,,2.8046,2.8046,0.1176,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,0.75,,,,
Courtland Sutton,DEN,WR,23,Yes,No,No,21,No,Yes,0.0952,17,,8,3,8,1,0.381,4,1,,0.5,47,17,10,86,1,0.9048,6,10.75,1,68.2,2.2381,5.875,-2.021,0.125,11.75,4.25,2.5,3,13.6944,13.6944,0.3478,4.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,,1,,,,,,,
Audric Estime,NO,RB,6,No,No,No,4,No,Yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Charlie Kolar,BLT,TE,5,No,No,No,4,Yes,Yes,,17,1,2,,2,1,0.5,2,,,1,27,9,,18,,,2,9,,158.3,6.75,13.5,5.2775,,13.5,4.5,,2,3.2554,3.2554,0.4,8.7,10.7,9.7,10.7,11.7,10.7,9.7,10.7,10.7,10.7,9.7,11.7,10.7,,1,,,,,,1,
Zach Ertz,WAS,TE,17,Yes,No,No,13,No,Yes,0.7692,13,0.1538,2,,2,1,0.1538,1,,,0.5,11,1,,21,1,0.0769,2,10.5,,66.7,0.8462,5.5,-2.7544,0.5,11,1,,1,3.1517,3.1517,0.1176,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,,,,,
Darnell Washington,PIT,TE,13,Yes,No,No,12,Yes,Yes,,16,0.5,2,1,2,1,0.1667,1,1,,0.5,12,,,11,1,0.5,1,5.5,,68.8,1,6,-0.7837,0.5,12,,,1,3.1308,3.1308,0.1538,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,,,,,
Davis Allen,LA,TE,5,No,Yes,No,5,Yes,Yes,0.2,17,0.8,2,1,2,1,0.4,1,,,0.5,8,3,,9,,,1,4.5,,60.4,1.6,4,-2.2734,,8,3,,,2.6452,2.6452,0.4,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,,
Jonathan Taylor,IND,RB,22,No,No,No,14,No,Yes,0.0714,17,,2,2,2,1,0.1429,1,1,,0.5,,,,23,,0.2143,2,11.5,1,56.3,,,-9.0061,,,,,,4.4209,4.4209,0.0909,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,,,1,1,0.7143,,,,
Troy Franklin,DEN,WR,20,Yes,No,No,20,No,Yes,0.35,17,,2,,2,1,0.1,2,,,1,38,16,6,22,,0.65,2,11,1,118.8,1.9,19,10.374,,19,8,3,2,3.8574,3.8574,0.1,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,,1,,,,1,0.5,,
Laquon Treadwell,IND,WR,1,No,No,No,1,No,Yes,,9,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobie Keeney-James,GB,WR,2,Yes,Yes,Yes,2,No,Yes,0.5,1,,2,1,2,1,1,2,1,,1,15,,10,15,,0.5,2,7.5,,97.9,7.5,7.5,0.2124,,7.5,,5,,2.8359,2.8359,1,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,,,,,,,,
