Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Marvin Harrison,ARZ,WR,10,Yes,Yes,No,9,4,Yes,No,0.4444,42,,4,,,10.5,39.6,-8.3482,9.4088,9.4088,0.4,12,1,0.3333,0.6667,,,1,1,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,13,No,No,No,9,4,No,No,0.4444,43,,3,,,10.75,,-8.8667,6.4721,6.4721,0.3077,17,1,0.1111,,,0.8889,,1,,,,,,,,,,,,,
Rashee Rice,KC,WR,13,No,No,No,12,4,No,No,0.3333,45,,4,,,11.25,,-7.7836,6.272,6.272,0.3077,8,,0.6667,0.3333,1,,,,,,,,,,,,,,,,
Britain Covey,PHI,WR,2,No,No,No,2,1,No,No,0.5,5,,1,,,5,39.6,-6.3628,1.6494,1.6494,0.5,6,,,1,,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,3,Yes,Yes,No,1,1,No,No,1,3,,,,,3,39.6,-6.3218,1.4333,1.4333,0.3333,16,,,,,1,,,,,,,,,,,,,,,
Justin Watson,HST,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,2,Yes,Yes,No,2,,No,No,,,0.5,,,,,,,,,,10,,0.5,,,,,,,,,,,,,,,,,,
Tyler Lockett,LV,WR,14,No,Yes,No,14,4,Yes,No,0.2857,49,,4,,,12.25,,-8.8583,10.4504,10.4504,0.2857,17,1,0.9286,0.0714,1,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,19,Yes,Yes,Yes,18,7,No,No,0.3889,136,,4,1,0.1429,19.4286,,-10.7793,10.1711,10.1711,0.3684,14,,0.2222,0.7778,3,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,8,No,No,No,8,2,No,No,0.25,38,,,,,19,,-11.0096,6.813,6.813,0.25,10,,0.375,0.625,1,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,15,Yes,Yes,No,15,5,Yes,No,0.3333,78,,4,,,15.6,39.6,-9.531,10.5153,10.5153,0.3333,13,1,0.2667,0.7333,2,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,6,No,No,No,6,1,No,No,0.1667,43,,1,,,43,,-15,4.4163,4.4163,0.1667,16,,0.8333,0.1667,1,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,8,No,No,No,6,1,No,No,0.1667,3,0.6667,1,,,3,39.6,-6.5094,1.3907,1.3907,0.125,17,,0.1667,0.1667,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,21,No,Yes,Yes,18,3,No,No,0.1667,40,0.5,2,,,13.3333,,-8.3234,5.0184,5.0184,0.1429,16,,0.3333,0.1667,,,,,,,,,,,,,,,,,
Mike Evans,TB,WR,10,No,No,No,10,5,No,No,0.5,62,,4,,,12.4,,-9.0443,7.6095,7.6095,0.5,8,1,0.2,0.8,,,,,,,,,,,,,,,,,
John FitzPatrick,GB,TE,3,Yes,No,No,3,,No,No,,,,,,,,,,,,,15,,,,,1,,,,,,,,,,,,,,,
Brashard Smith,KC,RB,1,No,Yes,No,1,,Yes,No,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,
Sean Tucker,TB,RB,4,No,No,No,2,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson,MIA,WR,4,Yes,Yes,No,4,1,No,No,0.25,15,,1,,,15,39.6,-10.4097,1.8325,1.8325,0.25,10,,,1,,,,,,,,,,,,,,,,,
Tank Bigsby,PHI,RB,2,No,No,No,1,,No,No,,,1,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,6,No,No,No,5,1,No,No,0.2,10,,,,,10,39.6,-7.5,1.7084,1.7084,0.1667,13,,0.4,0.6,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,4,No,Yes,No,2,1,No,No,0.5,7,,1,,,7,,-7.3078,1.7121,1.7121,0.25,15,,,,,1,,,,,,,,,,,,,,,
Russell Gage,SF,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,7,No,No,No,7,,No,No,,,,,,,,,,,,,17,,0.5714,0.4286,,,,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,7,No,No,No,5,,No,No,,,,,,,,,,,,,17,,0.2,,,0.8,,,,,,,,,,,,,,,
Malik Heath,GB,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,11,,0.6667,,,0.3333,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,2,No,Yes,No,1,,Yes,No,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,5,No,No,No,3,1,No,No,0.3333,12,,1,,,12,39.6,-8.6661,2.9441,2.9441,0.2,5,,0.6667,0.3333,,,1,1,,,,,,,,,,,,,
Travis Homer,CHI,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,HST,WR,14,No,No,No,14,4,No,No,0.2857,39,,4,,,9.75,,-7.8399,5.4583,5.4583,0.2857,17,,0.2857,0.7143,,,,,,,,,,,,,,,,,
Skyy Moore,SF,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,17,,,1,,,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,1,No,No,No,1,1,No,No,1,14,,,,,14,39.6,-10.2817,1.6234,1.6234,1,15,,1,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,17,No,No,No,17,6,No,No,0.3529,113,,5,,,18.8333,,-10.773,11.849,11.849,0.3529,16,1,0.2353,0.7647,2,,1,1,,,,,,,,,,,,,
Woody Marks,HST,RB,15,No,No,No,9,1,No,No,0.1111,9,0.7778,,,,9,39.6,-7.3944,1.583,1.583,0.0667,16,,0.1111,0.1111,,,,,,,,,,,,,,,,,
James Proche,TEN,WR,6,No,No,No,4,2,No,No,0.5,51,,1,,,25.5,39.6,-11.6576,4.4538,4.4538,0.3333,9,,0.25,0.75,1,,,,,,,,,,,,,,,,
Nyheim Hines,NO,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,4,Yes,Yes,Yes,4,,No,No,,,,,,,,,,1.5429,1.5429,,17,,0.25,0.5,,0.25,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,9,Yes,No,No,7,1,No,No,0.1429,-6,0.8571,1,1,1,-6,39.6,-5.0893,1.6536,1.6536,0.1111,12,,0.1429,,,,,,,,,,,,,,,,,,
Luke Farrell,SF,TE,7,No,No,No,4,,No,No,,,,,,,,,,,,,17,,0.5,,,0.5,,,,,,,,,,,,,,,
Christian Kirk,HST,WR,9,No,No,No,9,5,No,No,0.5556,53,,3,,,10.6,,-8.218,7.8268,7.8268,0.5556,13,,0.7778,0.2222,1,,,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,18,No,No,No,17,4,No,No,0.2353,69,,4,,,17.25,,-10.0076,7.6037,7.6037,0.2222,17,,0.5294,0.4706,2,,1,3,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,20,No,No,No,18,5,No,No,0.2778,88,,3,,,17.6,,-9.014,8.3265,8.3265,0.25,17,,0.5556,0.4444,2,,1,,,,,,,,,,,,,,
D'Ernest Johnson,NE,RB,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,22,No,Yes,Yes,20,6,No,No,0.3,65,0.1,4,,,10.8333,,-8.6634,10.25,10.25,0.2727,15,,0.4,0.2,,0.3,1,1,,,,,,,,,,,,,
Jalen McMillan,TB,WR,4,No,No,No,4,1,No,No,0.25,42,,,,,42,,-15,2.8952,2.8952,0.25,4,,0.25,0.75,1,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,3,No,No,No,2,1,No,No,0.5,10,,1,,,10,,-7.7685,3.1301,3.1301,0.3333,17,,,,,1,1,1,,,,,,,,,,,,,
Jameson Williams,DET,WR,12,No,No,No,12,,No,No,,,,,,,,,,4.2722,4.2722,,17,,0.1667,0.8333,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,,,,,,
Brian Robinson,SF,RB,3,No,No,No,2,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,17,No,No,No,12,,No,No,,,0.9167,,,,,,,,,,11,,,0.0833,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,6,No,Yes,Yes,6,4,No,No,0.6667,119,,3,,,29.75,,-11.9431,14.3924,14.3924,0.6667,4,,,1,3,,2,,,,,,,,,,,,,,
Cade Otton,TB,TE,25,No,No,No,20,3,No,No,0.15,16,,3,,,5.3333,39.6,-6.6844,6.3636,6.3636,0.12,16,,0.7,0.1,,0.2,,,,,,,,,,,,,,,
DeMario Douglas,NE,WR,6,Yes,Yes,No,6,3,No,No,0.5,58,,2,,,19.3333,39.6,-10.0383,5.6208,5.6208,0.5,17,1,1,,1,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,5,No,No,No,5,1,No,No,0.2,37,,1,,,37,39.6,-14.8206,2.6552,2.6552,0.2,9,1,,1,1,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,4,No,No,No,3,,No,No,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,,,,,,
Dylan Laube,LV,RB,2,No,Yes,No,1,,Yes,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,6,Yes,Yes,No,4,1,No,No,0.25,12,,,,,12,,-8.6661,1.709,1.709,0.1667,14,,0.25,,,0.75,,,,,,,,,,,,,,,
Blake Corum,LA,RB,5,No,No,No,5,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,12,No,No,Yes,5,,No,No,,,1,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
Trent Sherfield,ARZ,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,12,,1,,,,,,,,,,,,,,,,,,
Tyquan Thornton,KC,WR,11,No,No,No,10,4,No,No,0.4,160,,4,,,40,39.6,-14.1343,9.4259,9.4259,0.3636,14,1,0.4,0.6,4,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,11,No,No,No,11,3,No,No,0.2727,97,,3,,,32.3333,39.6,-11.1959,7.906,7.906,0.2727,15,1,0.1818,0.8182,2,,1,,,,,,,,,,,,,,
Mark Andrews,BLT,TE,7,No,No,No,7,2,No,No,0.2857,12,,2,,,6,39.6,-6.8939,4.265,4.265,0.2857,17,,0.5714,0.4286,,,1,1,,,,,,,,,,,,,
Parker Washington,JAX,WR,14,No,No,No,14,6,No,No,0.4286,117,,4,,,19.5,,-10.5907,14.2671,14.2671,0.4286,16,3,0.6429,0.3571,2,,3,2,,,,,,,,,,,,,
Travis Hunter,JAX,WR,12,No,Yes,No,12,4,No,No,0.3333,62,,4,,,15.5,,-9.1973,9.0802,9.0802,0.3333,7,,0.75,0.25,1,,1,1,,,,,,,,,,,,,
Kendre Miller,NO,RB,3,Yes,No,Yes,2,,No,No,,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,HST,WR,2,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,10,No,No,No,10,2,No,No,0.2,27,,1,,,13.5,39.6,-10.1233,5.1534,5.1534,0.2,17,,0.3,0.2,,0.5,,,,,,,,,,,,,,,
Harrison Bryant,HST,TE,4,No,No,No,2,,No,No,,,,,,,,,,,,,12,,,0.5,,0.5,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,14,,,1,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,2,No,No,No,2,,No,No,,,,,,,,,,,,,12,,0.5,,,0.5,,,,,,,,,,,,,,,
Adam Thielen,PIT,WR,10,No,No,No,10,1,No,No,0.1,12,,,,,12,39.6,-9.0461,1.4745,1.4745,0.1,16,,0.6,0.4,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,9,No,No,No,9,2,No,No,0.2222,16,0.1111,,,,8,,-7.4308,2.9284,2.9284,0.2222,17,1,0.3333,0.1111,,0.4444,,,,,,,,,,,,,,,
Chris Moore,WAS,WR,11,No,No,No,10,2,No,No,0.2,15,,2,,,7.5,39.6,-6.9314,3.7969,3.7969,0.1818,14,2,,1,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,8,No,No,No,8,3,No,No,0.375,89,,3,,,29.6667,,-12.3525,4.7059,4.7059,0.375,10,,0.625,0.375,2,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,12,No,No,No,12,7,No,No,0.5833,100,,6,,,14.2857,,-8.8096,13.1027,13.1027,0.5833,17,,0.5833,0.4167,1,,1,2,,,,,,,,,,,,,
Isaiah Williams,NYJ,WR,9,Yes,Yes,No,8,,Yes,No,,,,,,,,,,,,,15,,0.5,0.5,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,8,No,No,No,5,,No,No,,,0.8,,,,,,,,,,17,,,,,0.2,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,7,No,No,No,5,,No,No,,,1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
Josh Palmer,BUF,WR,12,Yes,Yes,No,12,3,Yes,No,0.25,37,,1,,,12.3333,,-8.8511,6.9596,6.9596,0.25,12,,0.25,0.75,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,10,No,No,No,10,3,No,No,0.3,42,,3,,,14,,-9.3564,8.7971,8.7971,0.3,14,,0.3,0.7,1,,2,2,,,,,,,,,,,,,
Luther Burden,CHI,WR,2,No,No,No,2,,No,No,,,,,,,,,,0.9833,0.9833,,15,,0.5,0.5,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,8,No,No,Yes,8,4,No,No,0.5,55,,4,,,13.75,,-9.4284,7.4157,7.4157,0.5,7,,0.375,0.625,1,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,17,,,,,1,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,6,No,No,No,2,1,No,No,0.5,3,,,,,3,39.6,-6.3218,1.2779,1.2779,0.1667,16,,0.5,,,0.5,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,14,No,No,No,11,1,No,No,0.0909,6,,1,,,6,39.6,-7.093,1.2988,1.2988,0.0714,13,,0.6364,,,0.3636,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,5,Yes,Yes,Yes,5,,No,No,,,0.8,,,,,,,,,,17,,,0.2,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,15,No,No,No,15,4,No,No,0.2667,62,,3,,,15.5,,-8.7531,7.919,7.919,0.2667,14,,,1,1,,,,,,,,,,,,,,,,
Rachaad White,TB,RB,17,No,No,No,12,,No,No,,,0.9167,,,,,,,,,,17,,0.0833,,,,,,,,,,,,,,,,,,
Elijah Moore,BUF,WR,3,No,Yes,No,3,2,No,No,0.6667,25,,2,,,12.5,,-9.4406,3.4164,3.4164,0.6667,9,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Malachi Corley,CLV,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,14,No,No,No,14,4,No,No,0.2857,83,,3,,,20.75,,-10.1144,6.4852,6.4852,0.2857,14,,0.5,0.5,2,,,1,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,12,No,No,No,8,,No,No,,,1,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,10,No,No,No,8,,No,No,,,0.625,,,,,,,,,,15,,,0.375,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,19,No,No,No,15,2,No,No,0.1333,20,,1,,,10,,-8.5596,3.0568,3.0568,0.1053,17,,0.0667,,,0.9333,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,14,No,Yes,No,8,1,Yes,No,0.125,14,1,,,,14,,-9.9318,1.7048,1.7048,0.0714,17,1,,,,,,1,,,,,,,,,,,,,
Derrick Henry,BLT,RB,5,No,No,No,5,1,No,No,0.2,2,0.8,,,,2,,-6.3947,1.284,1.284,0.2,17,,0.2,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,20,No,No,No,19,7,No,No,0.3684,96,,6,,,13.7143,,-9.3743,13.0179,13.0179,0.35,16,,0.2105,0.7895,1,,1,1,,,,,,,,,,,,,
Andre Baccellia,ARZ,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,13,Yes,Yes,No,10,,Yes,No,,,0.7,,,,,,,,,,17,,0.1,0.2,,,,,,,,,,,,,,,,,
Van Jefferson,TEN,WR,13,No,Yes,No,12,5,No,No,0.4167,73,,3,,,14.6,39.6,-9.7541,7.7804,7.7804,0.3846,16,,0.1667,0.8333,1,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,14,No,No,No,12,1,No,No,0.0833,-2,0.5833,,,,-2,,-6.198,1.2578,1.2578,0.0714,17,,0.25,0.0833,,0.0833,,,,,,,,,,,,,,,
LeQuint Allen,JAX,RB,8,No,No,No,6,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,4,No,No,No,3,,No,No,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,13,No,No,No,11,4,No,No,0.3636,45,0.0909,2,,,11.25,39.6,-8.6663,8.448,8.448,0.3077,16,,0.1818,0.1818,,0.5455,,1,,,,,,,,,,,,,
Calvin Austin,PIT,WR,10,No,No,No,10,5,No,No,0.5,122,,5,,,24.4,,-11.8542,9.1136,9.1136,0.5,14,1,0.8,0.2,2,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,9,No,No,No,9,2,No,No,0.2222,24,,1,,,12,39.6,-9.3526,3.7947,3.7947,0.2222,17,,0.6667,0.1111,,0.2222,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,9,No,No,No,6,,No,No,,,0.8333,,,,,,,,,,13,,0.1667,,,,,,,,,,,,,,,,,,
Darren Waller,MIA,TE,12,No,Yes,Yes,12,2,No,No,0.1667,29,,1,,,14.5,39.6,-10.4604,3.5138,3.5138,0.1667,9,,0.4167,0.5,,0.0833,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,25,No,Yes,No,21,1,Yes,No,0.0476,14,0.9048,,,,14,39.6,-9.9318,2.0982,2.0982,0.04,17,,0.0476,0.0476,,,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,7,No,No,No,5,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,5,No,No,No,5,,No,No,,,,,,,,,,,,,16,,,0.2,,0.8,,,,,,,,,,,,,,,
Jaydon Blue,DAL,RB,2,No,No,No,2,,No,No,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,11,Yes,Yes,No,11,5,No,No,0.4545,44,,4,,,8.8,,-7.6346,12.6817,12.6817,0.4545,17,,0.4545,0.5455,,,,1,,,,,,,,,,,,,
Jaylin Noel,HST,WR,7,No,No,No,7,,No,No,,,,,,,,,,,,,17,,0.7143,0.2857,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,5,No,No,No,4,,No,No,,,,,,,,,,,,,8,,0.5,0.5,,,,,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,7,No,No,No,7,3,No,No,0.4286,55,,3,,,18.3333,,-10.2926,6.6923,6.6923,0.4286,17,,0.5714,0.4286,1,,1,1,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,6,No,No,Yes,6,1,No,No,0.1667,5,,1,,,5,39.6,-6.3628,4.1205,4.1205,0.1667,10,,0.1667,0.8333,,,1,1,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,4,No,Yes,No,4,,No,No,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,26,No,No,No,26,4,No,No,0.1538,47,0.0385,,,,11.75,,-8.0819,9.6758,9.6758,0.1538,17,1,0.4231,0.5385,1,,1,1,,,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,8,Yes,Yes,No,5,,Yes,No,,,,,,,,,,,,,17,,,,,1,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,4,No,No,No,4,1,No,No,0.25,22,,1,,,22,39.6,-11.9241,1.4407,1.4407,0.25,15,,0.5,0.5,1,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,11,No,No,No,10,3,No,No,0.3,62,,3,,,20.6667,39.6,-9.6261,7.4207,7.4207,0.2727,15,1,0.5,0.5,2,,,,,,,,,,,,,,,,
Najee Harris,LAC,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,23,No,No,No,18,2,No,No,0.1111,12,0.7222,,,,6,,-7.2985,5.0223,5.0223,0.087,17,,0.1667,0.0556,,0.0556,1,1,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,5,No,No,Yes,5,,No,No,,,,,,,,,,,,,6,,0.6,0.4,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,8,No,No,No,8,,No,No,,,,,,,,,,,,,13,,0.375,0.125,,0.5,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,11,No,No,No,6,,No,No,,,0.3333,,,,,,,,,,17,,,,,0.6667,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,7,No,No,No,6,,No,No,,,0.1667,,,,,,,,,,16,,0.3333,,,0.5,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,4,No,No,Yes,3,1,No,No,0.3333,22,1,,,,22,39.6,-11.9429,2,2,0.25,2,,,,1,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,12,No,No,No,12,3,No,No,0.25,32,,3,,,10.6667,,-8.2545,6.1312,6.1312,0.25,14,,0.5,0.5,1,,,,,,,,,,,,,,,,
Malik Davis,DAL,RB,5,Yes,No,Yes,3,1,No,No,0.3333,3,1,,,,3,39.6,-6.5094,1.55,1.55,0.2,10,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,15,Yes,Yes,No,15,3,Yes,No,0.2,46,,3,,,15.3333,,-10.457,4.6373,4.6373,0.2,17,1,0.6,0.0667,1,0.3333,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,26,No,No,No,26,15,No,No,0.5769,287,,10,,,19.1333,,-10.2532,30.9639,30.9639,0.5769,17,1,0.3462,0.6538,4,,3,3,,,,,,,,,,,,,
Cam Skattebo,NYG,RB,2,No,No,No,1,,No,No,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
Noah Brown,WAS,WR,3,No,No,No,3,1,No,No,0.3333,7,,1,,,7,39.6,-7.0645,1.8233,1.8233,0.3333,4,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Dont'e Thornton,LV,WR,20,No,Yes,No,20,10,Yes,No,0.5,210,,9,,,21,,-10.6154,21.961,21.961,0.5,15,1,0.35,0.65,4,,,,,,,,,,,,,,,,
John Bates,WAS,TE,10,No,No,No,7,2,No,No,0.2857,1,,1,1,0.5,0.5,39.6,-5.9659,2.5277,2.5277,0.2,15,,,,,1,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,21,No,No,No,20,5,No,No,0.25,79,,3,1,0.2,15.8,39.6,-10.297,7.5857,7.5857,0.2381,17,3,0.75,,1,0.25,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,17,No,No,No,11,1,No,No,0.0909,,0.8182,1,,,,39.6,-5.8271,1.7356,1.7356,0.0588,17,,0.1818,,,,,1,,,,,,,,,,,,,
Payne Durham,TB,TE,6,No,No,No,3,,No,No,,,,,,,,,,,,,17,,0.3333,,,0.6667,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,9,No,No,No,7,,No,No,,,,,,,,,,1.3777,1.3777,,8,,0.5714,0.1429,,0.2857,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,3,No,No,No,3,,No,No,,,0.6667,,,,,,,,,,15,,,0.3333,,,,,,,,,,,,,,,,,
Raheem Mostert,LV,RB,4,No,Yes,No,3,,No,No,,,1,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,9,No,No,No,9,2,No,No,0.2222,32,,2,,,16,39.6,-11.0375,4.3011,4.3011,0.2222,11,,0.7778,0.2222,,,1,1,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,19,No,No,No,18,3,Yes,No,0.1667,23,,1,,,7.6667,39.6,-7.6095,4.6223,4.6223,0.1579,15,,0.4444,0.2222,,0.3333,,,,,,,,,,,,,,,
Roschon Johnson,CHI,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Arian Smith,NYJ,WR,9,Yes,Yes,No,9,2,Yes,No,0.2222,23,,1,,,11.5,,-8.6309,2.78,2.78,0.2222,16,1,0.5556,0.4444,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,10,No,No,No,10,2,No,No,0.2,63,,2,,,31.5,39.6,-12.9495,4.478,4.478,0.2,15,,0.2,0.8,1,,,,,,,,,,,,,,,,
