Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Olamide Zaccheaus,CHI,WR,8,Yes,No,No,8,No,Yes,0.75,16,1,1,1,0.125,1,1,5,,,,0.25,,,,87.5,0.625,5,-1.3628,5,,,1.4465,1.4465,0.125,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,5,5,,,,1,1,,,,,,,,,
Alec Pierce,IND,WR,15,Yes,No,No,15,No,Yes,0.9333,15,5,5,1,0.3333,3,0.6,34,,,,0.0667,5,,,80.4,2.2667,6.8,-1.2377,11.3333,,,8.5317,8.5317,0.3333,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,45,9,2,1,0.2,1,,,,,,,,,,
Jalen Tolbert,DAL,WR,9,No,No,No,8,No,Yes,0.5,13,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,12,No,No,No,12,No,No,0.5833,12,3,3,1,0.25,3,1,22,-2,,,0.4167,2,,,97.2,1.8333,7.3333,0.245,7.3333,-0.6667,,4.3028,4.3028,0.25,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,24,8,2,,,,,,,1,,,,,,
Jaylin Lane,WAS,WR,6,Yes,No,No,4,No,Yes,0.5,15,2,2,1,0.5,2,1,42,1,,,0.5,1,,,118.8,10.5,21,10.4678,21,0.5,,3.339,3.339,0.3333,4.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,41,20.5,1,,,,,,1,,,,,,,
LaJohntay Wester,BLT,WR,2,No,No,No,2,No,No,,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Melton,GB,WR,1,No,Yes,No,1,No,Yes,,9,1,1,1,1,,,,,,,1,1,,,39.6,,,-10.0952,,,,1.8521,1.8521,1,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,14,No,No,No,13,No,Yes,0.0769,17,2,2,1,0.1538,2,1,18,12,11,,0.0769,1,,,104.2,1.3846,9,2.4906,9,6,5.5,2.7264,2.7264,0.1429,1.8,3.8,2.8,4.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,6,3,1,,,,,,,,,0.8462,1,0.5,,
Tez Johnson,TB,WR,8,Yes,No,Yes,8,No,Yes,0.5,16,2,2,1,0.25,2,1,17,5,2,,0.5,2,1,0.5,102.1,2.125,8.5,1.2099,8.5,2.5,1,3.2327,3.2327,0.25,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,12,6,1,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,12,Yes,No,No,11,No,Yes,0.1818,16,6,6,1,0.5455,5,0.8333,51,16,9,0.0909,0.7273,4,1,0.1667,102.1,4.6364,8.5,1.0389,10.2,3.2,1.8,9.1408,9.1408,0.5,5.1,10.1,7.6,10.1,10.1,10.1,7.6,10.1,10.1,10.1,7.6,10.1,10.1,46,7.6667,2,1,0.1667,2,2,,1,,,,1,0.2,,
