Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Davis Allen,LA,TE,9,No,No,No,3,No,Yes,,17,1,1,1,0.3333,,,,,,0.6667,0.3333,1,,,39.6,,,-5.289,,,,2.6444,2.6444,0.1111,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,
Dalton Kincaid,BUF,TE,6,Yes,No,No,4,Yes,Yes,0.25,12,2,2,1,0.5,2,1,23,27,4,0.25,0.5,2,1,0.5,114.6,5.75,11.5,5.6873,11.5,13.5,2,3.0971,3.0971,0.3333,2.3,4.3,3.3,4.3,5.3,4.3,3.3,4.3,4.3,4.3,3.3,5.3,4.3,-4,-2,1,,,,,,,2,,,,,,
Hunter Henry,NE,TE,17,Yes,No,Yes,16,No,Yes,0.1875,17,3,3,1,0.1875,3,1,37,3,2,0.4375,0.375,2,,,118.1,2.3125,12.3333,3.098,12.3333,1,0.6667,4.2433,4.2433,0.1765,3.7,6.7,5.2,6.7,8.2,6.7,5.2,6.7,6.7,6.7,5.2,8.2,6.7,34,11.3333,1,,,1,1,,,,1,,,,,
Jakobi Meyers,JAX,WR,19,No,Yes,No,19,No,Yes,0.6316,16,3,3,1,0.1579,2,0.6667,14,2,2,,0.3684,1,,,77.1,0.7368,4.6667,-2.8826,7,1,1,5.4581,5.4581,0.1579,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,26,8.6667,1,1,0.3333,1,1,,,1,,,,,,
Jahmyr Gibbs,DET,RB,13,Yes,No,No,12,No,Yes,0.0833,17,3,3,1,0.25,3,1,24,12,2,,0.1667,1,,,100,2,8,1.0783,8,4,0.6667,4.2613,4.2613,0.2308,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,12,4,2,,,,,,,1,,0.75,1,0.3333,,
Zavier Scott,MIN,RB,2,No,Yes,No,1,No,Yes,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tay Martin,WAS,WR,1,No,Yes,Yes,1,Yes,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe Davis,BUF,WR,2,Yes,No,No,2,Yes,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,14,No,No,No,13,No,No,0.9231,17,6,6,1,0.4615,5,0.8333,66,9,,,0.0769,4,1,0.1667,112.5,5.0769,11,2.1945,13.2,1.8,,10.0489,10.0489,0.4286,6.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,61,10.1667,3,1,0.1667,,,,,,1,,1,0.2,,
Ian Thomas,LV,TE,5,No,No,No,2,No,Yes,,15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,14,No,No,No,14,No,Yes,0.5714,17,2,2,1,0.1429,1,0.5,10,1,,,0.4286,2,,,64.6,0.7143,5,-4.1595,10,1,,3.4191,3.4191,0.1429,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,29,14.5,1,1,0.5,,,,1,,,,,,,
Xavier Hutchinson,HST,WR,9,Yes,No,No,9,No,Yes,0.3333,17,3,3,1,0.3333,3,1,23,8,,,0.6667,3,,,98.6,2.5556,7.6667,1.2127,7.6667,2.6667,,4.2277,4.2277,0.3333,2.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,15,5,1,,,,,,,,,,,,,
Jakobie Keeney-James,GB,WR,1,No,Yes,No,1,No,Yes,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,13,Yes,Yes,Yes,8,No,Yes,0.25,15,1,1,1,0.125,1,1,2,,,0.5,0.25,1,,,79.2,0.25,2,-4.3701,2,,,3.2396,3.2396,0.0769,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,2,2,,,,,,,,,,,,,,
Stone Smartt,NYJ,TE,2,Yes,No,No,2,Yes,Yes,,8,1,1,1,0.5,1,1,4,4,2,,1,1,,,83.3,2,4,-1.289,4,4,2,1.5284,1.5284,0.5,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,4,No,Yes,No,2,No,Yes,0.5,16,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,NYJ,WR,4,No,No,No,4,No,Yes,0.75,5,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimere Dike,TEN,WR,13,No,Yes,No,12,No,Yes,0.1667,17,3,3,1,0.25,3,1,36,5,2,,0.8333,2,,,116.7,3,12,3.506,12,1.6667,0.6667,6.5047,6.5047,0.2308,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,31,10.3333,1,,,,,,,,,,,,,
Noah Gray,KC,TE,5,No,No,No,4,No,Yes,,16,1,1,1,0.25,1,1,15,4,3,0.75,0.25,,,,118.8,3.75,15,6.2598,15,4,3,1.4027,1.4027,0.2,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,11,11,1,,,,,,,,,,,,,
DeAndre Hopkins,BLT,WR,3,No,No,No,2,No,No,,17,,,,,,,,,,,1,,,,,,,,,,,1.4875,1.4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Yurosek,MIN,TE,1,No,Yes,No,1,No,Yes,,12,1,1,1,1,1,1,5,5,1,1,,1,,,87.5,5,5,-0.289,5,5,1,1.4231,1.4231,1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,3,No,No,No,3,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Michael Mayer,LV,TE,8,No,No,No,6,No,Yes,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelani Woods,NYJ,TE,4,Yes,Yes,No,2,Yes,Yes,,4,1,1,1,0.5,1,1,4,2,1,1,,,,,83.3,2,4,-2.3701,4,2,1,1.3047,1.3047,0.25,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,2,2,,,,1,1,,,,,,,,,
Marvin Harrison,ARZ,WR,9,No,No,No,9,No,Yes,0.7778,12,4,4,1,0.4444,4,1,54,-1,1,,0.2222,4,,,118.8,6,13.5,4.0663,13.5,-0.25,0.25,6.3961,6.3961,0.4444,5.4,9.4,7.4,9.4,9.4,9.4,7.4,9.4,9.4,9.4,7.4,9.4,9.4,55,13.75,3,,,,,,,,,,,,,
Brian Thomas,JAX,WR,12,No,Yes,No,11,No,Yes,0.7273,14,2,2,1,0.1818,2,1,27,-2,-1,,0.2727,2,,,118.8,2.4545,13.5,3.3884,13.5,-1,-0.5,3.0968,3.0968,0.1667,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,29,14.5,2,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,5,Yes,No,No,3,No,Yes,,17,1,1,1,0.3333,,,,,,0.6667,0.3333,,,,39.6,,,-4.9014,,,,1.357,1.357,0.2,,,,,,,,,,,,,,-1,-1,,1,1,,,,,,,,,,,
Ollie Gordon,MIA,RB,5,Yes,No,Yes,2,No,Yes,,17,1,1,1,0.5,1,1,2,1,1,,,,,,79.2,1,2,-3.7294,2,1,1,1.2672,1.2672,0.2,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,1,,,,,,,,,,1,,,,
Austin Hooper,NE,TE,6,Yes,No,Yes,6,No,Yes,0.3333,16,1,1,1,0.1667,1,1,5,2,,0.5,0.1667,1,,,87.5,0.8333,5,-1.3218,5,2,,1.7418,1.7418,0.1667,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,3,3,,,,,,,,1,,,,,,
Justin Watson,HST,WR,1,Yes,No,No,1,No,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,4,No,Yes,No,4,No,Yes,0.5,8,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,1,No,Yes,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Keon Coleman,BUF,WR,10,Yes,No,No,6,Yes,Yes,0.8333,13,1,1,1,0.1667,1,1,12,,,,0.1667,1,,,116.7,2,12,2.9539,12,,,3.2667,3.2667,0.1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,12,12,1,,,1,1,,,1,,,,,,
Lil'Jordan Humphrey,DEN,WR,5,No,No,No,5,No,Yes,0.6,10,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,12,No,Yes,No,10,No,Yes,1,14,5,5,1,0.5,4,0.8,74,4,2,,,5,,,118.8,7.4,14.8,5.8282,18.5,1,0.5,7.3212,7.3212,0.4167,7.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,11.4,9.4,11.4,11.4,81,16.2,4,1,0.2,2,1,,2,,,,,,,
Tyler Lockett,LV,WR,13,No,No,No,13,No,Yes,0.3077,17,4,4,1,0.3077,3,0.75,37,5,-1,,0.6923,2,,,103.1,2.8462,9.25,1.192,12.3333,1.6667,-0.3333,7.8272,7.8272,0.3077,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,44,11,1,,,1,,,1,,,,,,,
De'Von Achane,MIA,RB,4,No,No,Yes,4,Yes,Yes,0.5,16,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
Mike Evans,TB,WR,9,Yes,No,Yes,8,No,Yes,0.625,8,2,2,1,0.25,1,0.5,8,1,,,0.375,2,,,60.4,1,4,-5.4943,8,1,,2.4438,2.4438,0.2222,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,29,14.5,,1,0.5,1,,,1,,,,,,,
Xavier Smith,LA,WR,6,No,No,No,4,No,Yes,0.5,16,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,4,No,No,No,3,No,Yes,,17,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,
Sean Tucker,TB,RB,1,Yes,No,Yes,1,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Brashard Smith,KC,RB,2,No,No,No,2,No,Yes,,17,2,2,1,1,,,,,,,,1,,,39.6,,,-5.8451,,,,2.9371,2.9371,1,,,,,,,,,,,,,,-6,-3,,1,0.5,,,,,,,1,,,,
John FitzPatrick,GB,TE,5,No,No,No,4,No,Yes,,15,,,,,,,,,,0.75,,,,,,,,,,,,1.3733,1.3733,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
Luke Schoonmaker,DAL,TE,4,No,No,No,4,No,Yes,,17,1,1,1,0.25,1,1,12,,,0.5,0.5,1,,,116.7,3,12,3.3339,12,,,1.4437,1.4437,0.25,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,12,12,1,,,1,1,,,,,,,,,
Nate Adkins,DEN,TE,3,No,No,No,3,No,Yes,,9,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,4,No,No,No,4,No,Yes,0.75,17,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,2,No,No,No,1,No,Yes,,15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Gage,SF,WR,1,No,Yes,No,1,No,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,1,Yes,No,No,1,No,Yes,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,2,No,No,No,2,No,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,3,Yes,No,No,3,No,Yes,0.3333,11,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,HST,WR,7,Yes,No,No,7,No,Yes,1,17,1,1,1,0.1429,1,1,13,,,,,1,,,118.8,1.8571,13,4.0855,13,,,1.3537,1.3537,0.1429,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,13,13,1,,,,,,,,,,,,,
Skyy Moore,SF,WR,2,No,No,No,2,No,Yes,0.5,17,1,1,1,0.5,1,1,10,,,,0.5,1,,,108.3,5,10,2.5,10,,,1.9013,1.9013,0.5,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,10,10,1,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,1,No,Yes,No,1,No,Yes,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,TEN,WR,1,No,No,Yes,1,Yes,Yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks,HST,RB,7,Yes,No,No,3,No,Yes,,16,1,1,1,0.3333,,,,,,,,,,,39.6,,,-9.3774,,,,0.9032,0.9032,0.1429,,,,,,,,,,,,,,12,12,,,,,,,,1,,1,,,,
James Proche,TEN,WR,4,No,Yes,No,3,No,Yes,0.3333,9,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,14,No,No,No,14,No,Yes,0.5714,16,5,5,1,0.3571,3,0.6,33,24,19,,0.4286,5,2,0.4,119.2,2.3571,6.6,0.4602,11,8,6.3333,10.5219,10.5219,0.3571,15.3,18.3,16.8,18.3,18.3,18.3,16.8,18.3,18.3,18.3,16.8,18.3,18.3,10,2,3,2,0.4,,,,,1,,,1,0.3333,2,
Aaron Jones,MIN,RB,7,No,No,No,5,No,No,,12,1,1,1,0.2,,,,,,,,1,1,1,39.6,,,-5.8711,,,,1.2596,1.2596,0.1429,,,,,,,,,,,,,,-5,-5,,1,1,,,,,,,1,,,,
Luke Farrell,SF,TE,5,No,No,No,3,No,Yes,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,9,No,Yes,No,9,No,Yes,,17,4,4,1,0.4444,3,0.75,42,3,1,0.6667,0.3333,2,,,108.3,4.6667,10.5,2.3753,14,1,0.3333,5.4114,5.4114,0.4444,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,43,10.75,2,1,0.25,1,,,1,,,,,,,
Christian Kirk,HST,WR,6,Yes,No,No,6,No,Yes,0.1667,13,1,1,1,0.1667,1,1,11,8,5,,0.8333,,,,112.5,1.8333,11,5.5501,11,8,5,1.474,1.474,0.1667,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,3,3,1,,,,,,,,,,1,1,,
Mitchell Evans,CAR,TE,4,Yes,No,Yes,3,No,Yes,,17,2,2,1,0.6667,2,1,17,10,2,1,,1,,,102.1,5.6667,8.5,2.075,8.5,5,1,2.8686,2.8686,0.5,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,7,3.5,2,,,,,,,,,,,,,
Jalen McMillan,TB,WR,5,Yes,No,Yes,5,No,Yes,0.8,4,3,3,1,0.6,2,0.6667,31,,,,0.2,,,,100.7,6.2,10.3333,1.2442,15.5,,,4.5375,4.5375,0.6,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,40,13.3333,2,1,0.3333,,,,,,,,,,,
Theo Johnson,NYG,TE,17,Yes,Yes,Yes,14,No,Yes,0.0714,15,4,4,1,0.2857,3,0.75,23,7,3,0.1429,0.7143,3,,,88.5,1.6429,5.75,-0.5359,7.6667,2.3333,1,6.1935,6.1935,0.2353,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,16,4,1,1,0.25,,,,,1,,0.0714,,,,
Jahan Dotson,PHI,WR,8,Yes,Yes,No,8,Yes,Yes,0.625,17,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,14,Yes,Yes,No,13,Yes,Yes,0.6923,17,6,6,1,0.4615,3,0.5,22,4,2,,0.3077,5,,,59,1.6923,3.6667,-5.0652,7.3333,1.3333,0.6667,11.1832,11.1832,0.4286,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,66,11,,2,0.3333,1,,,,1,,,,,,
Jameson Williams,DET,WR,24,Yes,No,No,24,No,Yes,0.75,17,6,6,1,0.25,4,0.6667,55,15,5,,0.25,4,,,95.8,2.2917,9.1667,0.4808,13.75,3.75,1.25,9.6035,9.6035,0.25,5.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,67,11.1667,2,2,0.3333,,,,,,,,,,,
Brian Robinson,SF,RB,1,No,No,No,1,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Alvin Kamara,NO,RB,14,No,No,No,12,No,Yes,,11,4,4,1,0.3333,2,0.5,9,11,1,,0.1667,2,,,56.3,0.75,2.25,-4.2046,4.5,5.5,0.5,5.8247,5.8247,0.2857,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,5,1.25,,2,0.5,,,,,,,0.8333,2,1,,
Gunner Olszewski,NYG,WR,2,No,No,No,2,No,Yes,0.5,16,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Felton,MIN,WR,2,No,Yes,No,2,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,3,No,No,No,3,No,No,0.6667,6,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,3,No,No,No,1,No,Yes,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMario Douglas,NE,WR,4,Yes,No,Yes,4,No,Yes,0.25,17,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
James Mitchell,CAR,TE,1,Yes,No,Yes,1,No,Yes,,5,1,1,1,1,1,1,8,,,,1,,,,100,8,8,0.2795,8,,,1.2318,1.2318,1,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,8,8,,,,,,,,,,,,,,
Cade Otton,TB,TE,18,Yes,No,Yes,11,No,Yes,0.1818,16,4,4,1,0.3636,4,1,39,13,-5,0.1818,0.6364,2,,,107.3,3.5455,9.75,2.6773,9.75,3.25,-1.25,5.8074,5.8074,0.2222,3.9,7.9,5.9,7.9,9.9,7.9,5.9,7.9,7.9,7.9,5.9,9.9,7.9,26,6.5,2,,,,,,,,,,,,,
Malik Nabers,NYG,WR,7,No,No,Yes,7,No,Yes,0.5714,4,4,4,1,0.5714,3,0.75,26,5,1,,0.4286,3,,,91.7,3.7143,6.5,-0.5197,8.6667,1.6667,0.3333,6.0035,6.0035,0.5714,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,28,7,1,1,0.25,,,,,,,,,,,
Xavier Weaver,ARZ,WR,5,No,No,No,5,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Laube,LV,RB,1,No,No,No,1,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jason Brownlee,KC,WR,1,No,No,No,1,No,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,4,No,No,No,4,No,No,0.5,13,1,1,1,0.25,,,,,,,0.5,1,,,39.6,,,-5.289,,,,1.3315,1.3315,0.25,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
Dameon Pierce,KC,RB,1,No,No,No,1,No,Yes,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Blake Corum,LA,RB,5,No,No,No,3,No,Yes,,17,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,
Julian Hill,MIA,TE,1,Yes,No,Yes,1,No,Yes,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tyquan Thornton,KC,WR,6,No,Yes,No,6,No,Yes,0.5,14,1,1,1,0.1667,1,1,7,6,,,0.5,1,,,95.8,1.1667,7,1.8789,7,6,,1.3962,1.3962,0.1667,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,1,1,,,,,,,,,,,,,
Breece Hall,NYJ,RB,13,Yes,Yes,No,7,Yes,Yes,,16,2,2,1,0.2857,1,0.5,2,,,,,2,,,56.3,0.2857,1,-5.1109,2,,,3.6424,3.6424,0.1538,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,2,1,,1,0.5,,,,,1,,1,,,,
Trent Sherfield,ARZ,WR,2,No,Yes,No,2,No,Yes,0.5,12,1,1,1,0.5,1,1,3,1,-1,,0.5,,,,79.2,1.5,3,-2.3344,3,1,-1,1.3058,1.3058,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,2,2,,,,,,,,,,,,,,
Evan Hull,NO,RB,2,No,No,No,2,No,No,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
DK Metcalf,PIT,WR,18,No,No,No,16,No,Yes,0.625,15,3,3,1,0.1875,3,1,14,4,2,,0.375,2,1,0.3333,86.1,0.875,4.6667,-1.5881,4.6667,1.3333,0.6667,5.9385,5.9385,0.1667,1.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,10,3.3333,,,,,,,,,,,,,,
Mark Andrews,BLT,TE,12,No,No,No,10,No,No,0.1,17,5,5,1,0.5,3,0.6,19,2,1,0.3,0.6,5,,,28.3,1.9,3.8,-3.1116,6.3333,0.6667,0.3333,8.9765,8.9765,0.4167,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,30,6,1,2,0.4,,,,,,,,,,,
Parker Washington,JAX,WR,10,No,Yes,No,9,No,Yes,0.7778,16,4,4,1,0.4444,4,1,72,12,8,,0.2222,2,,,118.8,8,18,9.2167,18,3,2,7.9202,7.9202,0.4,7.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,60,15,3,,,1,1,,2,,1,,1,0.25,,
Braxton Berrios,HST,WR,1,No,No,No,1,Yes,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Hunter,JAX,WR,6,No,Yes,No,6,No,Yes,,7,1,1,1,0.1667,1,1,,4,1,,1,1,1,1,79.2,,,-4.4851,,4,1,1.5658,1.5658,0.1667,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,-4,-4,,,,,,,,,,,1,1,,
