Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,YardsAfterCatchPercentage,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AttemptsInEndzoneTotal,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,HeroThrowPercentage
Josh Johnson,WAS,QB,16,16,16,0.75,12,0.75,0.75,-0.0015,16,111,6.9375,8.1875,109,Yes,No,1,0.0625,4.9851,-0.2491,No,0.25,,,0.6875,2.3813,2.2,6.8125,114.3,No,Yes,8,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,9.55,9.55,5,,,0.4054,0.0625,0.625,3,1,,,
Jake Browning,CIN,QB,51,51,51,0.7059,31,0.6078,0.6275,-0.1079,51,285,5.5882,0.1961,413,No,Yes,22,0.4314,19.1598,0.0557,No,0.2941,6,0.1176,0.7843,2.7529,2.1818,8.098,49.5,No,Yes,13,12.4,12.4,12.4,12.4,12.4,12.4,12.4,5.4,5.4,5.4,5.4,15.25,8.25,5,1,0.0196,0.3509,0.1373,0.549,2,2,7,,0.0196
Gardner Minshew,KC,QB,3,3,3,0.3333,1,0.3333,0.3333,-0.342,3,8,2.6667,-12.3333,32,No,No,,,0.9444,-0.3148,No,0.6667,1,0.3333,1,2.4,,10.6667,2.8,No,No,1,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-1.68,-1.68,-1.68,-1.68,-0.6,-1.6,4,,,,0.3333,0.3333,,,1,,
Tua Tagovailoa,MIA,QB,182,182,182,0.7857,129,0.7088,0.7637,0.0335,182,1427,7.8407,7.2912,1489,No,Yes,37,0.2033,59.3118,-0.1226,No,0.1978,11,0.0604,0.7418,2.4643,2.2514,8.1813,99.3,No,Yes,85,101.08,101.08,101.08,101.08,101.08,104.08,104.08,93.08,93.08,93.08,93.08,115.35,107.35,14,88,0.0549,0.417,0.0604,0.5769,11,13,8,0.044,0.0275
Caleb Williams,CHI,QB,254,253,253,0.7747,159,0.6285,0.7115,0.0113,253,1967,7.7747,8.2688,2506,No,No,73,0.2885,105.7609,-0.1295,No,0.2095,25,0.0988,0.6798,2.9984,2.6726,9.9051,99,No,Yes,107,127.68,127.68,127.68,127.68,127.68,130.68,130.68,124.68,124.68,124.68,124.68,147.35,144.35,17,274,0.083,0.3625,0.0356,0.5771,19,13,3,0.0079,0.0395
Teddy Bridgewater,TB,QB,4,4,4,1,3,0.75,0.75,0.0003,4,37,9.25,9.25,28,No,No,,,1.1557,-0.2889,No,,,,1,2.25,,7,103.1,No,Yes,1,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,4,,,0.5135,,0.75,,,,,
Nick Mullens,JAX,QB,1,1,1,1,1,1,1,0.2154,1,8,8,8,6,No,No,,,0.2286,-0.2286,No,,,,1,1.9,,6,100,Yes,Yes,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,5,,,0.25,,1,,,,,
Zach Wilson,MIA,QB,5,5,5,0.6,3,0.6,0.75,0.046,5,22,4.4,4.4,37,No,Yes,2,0.4,1.3498,0.13,Yes,0.2,,,0.8,2.14,2,9,70.4,No,No,2,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,4,,,0.0455,,0.2,,,,,
Justin Fields,NYJ,QB,80,80,80,0.775,51,0.6375,0.725,-0.0238,80,534,6.675,6.8625,584,No,No,27,0.3375,27.668,-0.0083,No,0.2125,4,0.05,0.85,2.58,2.3741,7.3,90.3,Yes,Yes,30,32.36,32.36,32.36,32.36,32.36,35.36,35.36,31.36,31.36,31.36,31.36,37.7,36.7,9,46,0.0875,0.4026,0.025,0.55,1,3,1,0.0125,
Dillon Gabriel,CLV,QB,91,91,91,0.7582,57,0.6264,0.6813,-0.0715,91,567,6.2308,6.6154,656,No,No,24,0.2637,30.3718,-0.07,No,0.2198,3,0.033,0.8571,2.5099,2.425,7.2088,90.3,No,No,29,37.68,37.68,37.68,37.68,37.68,40.68,40.68,36.68,36.68,36.68,36.68,43.35,42.35,10,56,0.0549,0.3369,0.0549,0.4835,4,4,1,,0.022
