Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,InterceptionsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,TowThrowPercentage,AttemptsInEndzoneTotal,HeroThrowPercentage
Baker Mayfield,TB,QB,99,99,99,0.8586,73,0.7374,0.7374,-0.0346,99,705,7.1212,0.4369,6.2121,634,No,Yes,38.3757,-0.1048,No,0.6162,2.8222,6.404,84.8,Yes,Yes,26.2,26.2,26.2,26.2,26.2,29.2,29.2,24.2,24.2,24.2,24.2,33.25,31.25,17,,28,0.2828,0.1313,0.7071,2.5036,32,2,1,0.0101,,,0.0303,0.0303,1,0.0202
Carson Wentz,MIN,QB,34,34,34,0.8235,25,0.7353,0.7941,0.042,34,287,8.4412,0.4425,9.0294,248,No,Yes,12.4109,0.0173,Yes,0.5294,2.6912,7.2941,108.3,No,No,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,18.35,18.35,5,1,13,0.3824,0.1765,0.6471,2.3769,12,,,,16,0.0588,0.0294,0.0294,1,
Joe Milton,DAL,QB,4,4,4,0.75,3,0.75,0.75,0.0212,4,24,6,0.125,6,31,No,No,1.6042,0.0989,Yes,1,2.9,7.75,89.6,No,No,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,4,,2,0.5,0.25,0.5,3.05,1,,,,,,,,,
Dak Prescott,DAL,QB,112,112,112,0.9286,93,0.8304,0.875,0.1189,112,899,8.0268,0.3404,8.3839,783,Yes,No,39.5701,-0.0676,No,0.6786,2.6232,6.9911,106.1,No,Yes,43.96,43.96,43.96,43.96,43.96,46.96,46.96,43.96,43.96,43.96,43.96,52.95,52.95,17,2,32,0.2857,0.0714,0.7143,2.45,51,,1,0.0089,34,0.0446,,0.0268,3,0.0179
Spencer Rattler,NO,QB,57,57,57,0.8596,43,0.7544,0.8246,0.0535,57,326,5.7193,0.2699,5.7193,355,No,No,19.6168,-0.0284,No,0.6491,2.5702,6.2281,88.8,No,No,13.04,13.04,13.04,13.04,13.04,16.04,16.04,13.04,13.04,13.04,13.04,16.3,16.3,9,,18,0.3158,0.1404,0.5439,2.6111,14,,,,34,0.0702,,0.0351,,
Quinn Ewers,MIA,QB,4,4,4,0.75,2,0.5,0.5,-0.1782,4,26,6.5,,6.5,44,Yes,No,1.242,-0.0605,Yes,1,2.375,11,70.8,No,Yes,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,4,,1,0.25,0.25,0.25,2.3,1,,,,,,,0.25,,
Marcus Mariota,WAS,QB,36,36,36,0.8333,26,0.7222,0.75,0.0454,36,266,7.3889,0.1466,4.8889,335,No,Yes,13.5236,-0.0979,No,0.7778,2.7528,9.3056,69.9,No,No,8.64,8.64,8.64,8.64,8.64,8.64,8.64,6.64,6.64,6.64,6.64,11.3,9.3,11,,10,0.2778,0.1667,0.5278,2.91,12,2,1,0.0278,5,0.0278,0.0278,0.0833,,
Shane Buechele,KC,QB,2,2,2,1,2,1,1,0.181,2,7,3.5,-0.4286,3.5,10,No,No,0.3536,-0.1768,No,1,1.6,5,81.3,No,Yes,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,1,,,,,1,,1,,,,,,,,,
Tyler Huntley,BLT,QB,16,16,16,0.9375,12,0.75,0.8125,0.0313,16,96,6,0.2812,6,90,No,No,5.2438,0.1098,No,0.6875,2.475,5.625,89.6,No,Yes,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,4.8,4.8,5,,7,0.4375,0.0625,0.625,2.1857,5,,,,-2,0.0625,0.0625,0.0625,1,
Drake Maye,NE,QB,99,99,99,0.9091,82,0.8283,0.8788,0.155,99,814,8.2222,0.215,8.4242,837,No,No,37.3407,-0.1247,No,0.6869,2.7616,8.4545,104.3,No,Yes,36.56,36.56,36.56,36.56,36.56,39.56,39.56,36.56,36.56,36.56,36.56,44.7,44.7,17,1,25,0.2525,0.0707,0.7172,2.736,41,,5,0.0505,43,0.0505,,,2,
