Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,YardsAfterCatchPercentage,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure,DropsYardsLost,DropsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Mac Jones,SF,QB,15,15,15,0.9333,13,0.8667,0.9333,0.0009,15,118,7.8667,7.8667,-45,No,No,3.8595,-0.1906,No,1,0.8667,2.0667,-3,99.4,No,No,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5.9,5.9,11,1.322,5,,1,0.0667,,0.0667,2.2,-3,0.0667,,,,
Philip Rivers,IND,QB,5,5,5,1,5,1,1,0.0648,5,16,3.2,3.2,-19,No,No,0.953,-0.1906,No,1,1,1.68,-3.8,80,No,No,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,2.1875,2,,,,,,,,,,,,
Joe Burrow,CIN,QB,7,7,7,0.8571,6,0.8571,0.8571,-0.0721,7,41,5.8571,-0.5714,-17,No,No,1.2893,-0.1842,No,1,0.5714,1.6429,-2.4286,51.5,No,No,0.64,0.64,0.64,0.64,0.64,0.64,0.64,-0.36,-0.36,-0.36,-0.36,1.05,0.05,8,1.4146,1,,,,0.1429,0.1429,,,,,,0.1429,1
Russell Wilson,NYG,QB,10,10,10,1,10,1,1,0.0673,10,39,3.9,3.9,-33,No,No,2.0268,-0.1027,No,1,0.9,1.75,-3.3,82.9,No,No,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.95,1.95,6,1.8462,3,,1,0.1,,,2.6,,,,,,
Bo Nix,DEN,QB,49,49,49,0.9796,43,0.8776,0.9796,0.0628,49,259,5.2857,5.2857,-112,No,No,9.2842,-0.1487,No,1,0.8367,1.6735,-2.2857,88.7,No,Yes,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,12.95,12.95,17,1.3166,11,,2,0.0408,0.1633,0.0204,1.8,-27,0.102,1,0.0204,,
Trevor Lawrence,JAX,QB,39,39,39,0.9487,32,0.8205,0.9231,0.0012,39,161,4.1282,4.641,-85,No,No,8.5167,-0.1158,No,1,0.7179,1.841,-2.1795,92.4,No,No,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,12.05,12.05,17,1.4161,5,1,4,0.1026,0.0256,0.0513,2.225,-11,0.1026,1,0.0256,,
Sam Darnold,SEA,QB,24,24,24,1,24,1,1,0.0818,24,173,7.2083,7.2083,-65,No,No,4.2604,-0.1359,No,1,0.9167,1.6042,-2.7083,96.7,No,Yes,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,8.65,8.65,17,1.3757,5,,1,0.0417,0.0833,,1.7,,,,,,
Jayden Daniels,WAS,QB,9,9,9,0.8889,8,0.8889,0.8889,-0.0486,9,52,5.7778,5.7778,-29,No,No,1.5567,-0.173,Yes,1,0.6667,1.5778,-3.2222,90.7,No,Yes,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.6,2.6,7,1.4615,1,,,,0.3333,0.1111,,,,,,,
Brandon Allen,TEN,QB,6,6,6,1,6,1,1,0.075,6,,,,-32,No,No,0.8021,-0.1337,No,1,0.8333,1.35,-5.3333,79.2,No,Yes,,,,,,,,,,,,,,1,,,,,,0.1667,,,,,,,,
Chris Oladokun,KC,QB,8,8,8,1,8,1,1,0.0611,8,17,2.125,2.125,-29,No,No,1.5179,-0.1897,No,1,1,1.675,-3.625,79.2,No,Yes,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,3,2.7059,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,20,20,20,0.95,16,0.8,0.95,0.0174,20,133,6.65,6.4,-67,No,No,4.2605,-0.163,No,1,0.75,1.81,-3.35,106.9,No,Yes,12.32,12.32,12.32,12.32,12.32,12.32,12.32,11.32,11.32,11.32,11.32,13.65,12.65,13,1.4286,4,2,1,0.05,0.1,0.05,2.3,-6,0.15,,,,1
