teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingSackedAvoidedTotal
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,48,48,0.9166666666666666,41,0.8541666666666666,0.9166666666666666,-0.019736393916666706,-14,0.0625,335,6.979166666666667,1.4149253731343283,7.8125,-168,2,,Yes,No,,,-0.1897375,No,0.14583333333333334,0.08333333333333333,,1,0.7083333333333334,1.675,,-3.5,109.6,No,No,13,True,
18,Los Angeles,Chargers,LV,AFC,AFC West,Open,Open,Cover 0,17,39,39,0.9230769230769231,34,0.8717948717948718,0.8974358974358975,-0.03909420023076915,-5,0.02564102564102564,189,4.846153846153846,1.687830687830688,5.358974358974359,-150,1,,Yes,No,1,0.02564102564102564,-0.17592820512820515,Yes,0.07692307692307693,0.07692307692307693,,1,0.7692307692307693,1.7435897435897436,2.4,-3.8461538461538463,95.4,No,Yes,7,,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 3,17,35,35,0.9714285714285714,31,0.8857142857142857,0.9714285714285714,0.03648203874285716,-16,0.08571428571428572,224,6.4,1.4866071428571428,6.4,-126,,,Yes,No,1,0.02857142857142857,-0.18026428571428574,No,0.02857142857142857,0.02857142857142857,,1,0.8,1.7857142857142858,2.4,-3.6,93.3,No,No,8,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,40,40,0.95,37,0.925,0.925,0.014342387374999932,,,218,5.45,1.6192660550458715,5.45,-148,,,Yes,No,1,0.025,-0.17551875,No,0.175,0.05,,1,0.75,1.7375,7.2,-3.7,89.4,No,Yes,8,,
3,Baltimore,Ravens,CLV,AFC,AFC North,Open,Open,Cover 2,17,38,38,0.9473684210526315,33,0.868421052631579,0.9210526315789473,-0.01119847192105261,-14,0.05263157894736842,220,5.7894736842105265,1.518181818181818,6.315789473684211,-136,1,,No,No,1,0.02631578947368421,-0.19088552631578948,No,0.07894736842105263,0.05263157894736842,,1,0.6842105263157895,1.8342105263157895,1.5,-3.5789473684210527,99.6,No,No,12,True,1
12,Green Bay,Packers,CHI,NFC,NFC North,Closed,Open,Cover 2,17,54,54,0.9629629629629629,50,0.9259259259259259,0.9444444444444444,0.008040410055555558,-4,0.018518518518518517,399,7.388888888888889,1.468671679197995,8.5,-201,3,,No,No,2,0.037037037037037035,-0.18097129629629627,No,0.07407407407407407,0.037037037037037035,,1,0.8518518518518519,1.8388888888888888,1.9,-3.7222222222222223,116,No,Yes,19,True,
25,New York,Jets,MIA,AFC,AFC East,Closed,Open,Cover 2,17,52,52,0.9423076923076923,45,0.8653846153846154,0.9038461538461539,-0.032290427653846154,-3,0.038461538461538464,392,7.538461538461538,1.385204081632653,7.923076923076923,-163,1,,Yes,No,1,0.019230769230769232,-0.17780480769230772,No,0.1346153846153846,0.057692307692307696,,1,0.7115384615384616,1.7173076923076922,2.1,-3.1346153846153846,104.5,No,Yes,14,True,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Open,Cover 0,17,38,38,0.9473684210526315,35,0.9210526315789473,0.9473684210526315,0.010535880131578801,-3,0.02631578947368421,208,5.473684210526316,1.6394230769230769,4.815789473684211,-143,1,1,Yes,No,1,0.02631578947368421,-0.13141842105263157,Yes,0.18421052631578946,0.05263157894736842,0.05263157894736842,1,0.7631578947368421,1.4894736842105263,1.9,-3.763157894736842,87.3,No,Yes,10,True,
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Open,Cover 2,17,46,46,0.9565217391304348,41,0.8913043478260869,0.9565217391304348,0.02372310882608697,-8,0.06521739130434782,399,8.673913043478262,1.3358395989974938,7.1521739130434785,-153,1,2,No,No,,,-0.17642500000000003,No,0.1956521739130435,0.043478260869565216,0.021739130434782608,1,0.8260869565217391,1.5978260869565217,,-3.3260869565217392,91.9,No,Yes,14,True,
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 1,17,56,56,0.9464285714285714,51,0.9107142857142857,0.9464285714285714,0.009117648964285685,-15,0.03571428571428571,336,6,1.5267857142857142,6.714285714285714,-204,2,,No,No,3,0.05357142857142857,-0.13616607142857146,No,0.14285714285714285,0.05357142857142857,,1,0.8392857142857143,1.675,1.8,-3.642857142857143,103.6,No,No,16,,
23,New Orleans,Saints,TB,NFC,NFC South,Open,Closed,Cover 3,17,38,38,0.8947368421052632,32,0.8421052631578947,0.868421052631579,-0.065916871631579,-6,0.02631578947368421,251,6.605263157894737,1.454183266932271,7.131578947368421,-138,1,,Yes,No,1,0.02631578947368421,-0.17590526315789473,Yes,0.10526315789473684,0.07894736842105263,,1,0.7631578947368421,1.7473684210526317,1.8,-3.6315789473684212,103,Yes,Yes,9,,
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 0,17,33,33,0.9696969696969697,31,0.9393939393939394,0.9696969696969697,0.03387701039393942,-6,0.030303030303030304,152,4.606060606060606,1.756578947368421,4.606060606060606,-126,,,No,No,2,0.06060606060606061,-0.12717121212121213,Yes,0.09090909090909091,0.030303030303030304,,1,0.7272727272727273,1.6636363636363636,2.0999999999999996,-3.8181818181818183,85.9,No,Yes,5,True,
