Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Cody White,SEA,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
D.J. Turner,LV,WR,11,Yes,Yes,Yes,11,2,No,No,,,0.1818,,,,,,50,0.7273,0.2727,1,25,2,,,,-12.3821,,,,4.1032,4.1032,0.2,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,20,No,Yes,No,19,8,No,Yes,3,0.375,0.4211,2,,0.25,53,13,159,0.7368,0.1579,6,19.875,3,54.7,2.7895,6.625,-4.86,26.5,6.5,2,14.0667,14.0667,0.4211,5.3,7.3,6.3,7.3,8.3,7.3,6.3,7.3,7.3,7.3,6.3,8.3,7.3,13,,,,,,,1,0.125,,6,3,0.1053,,
Jakobi Meyers,LV,WR,31,No,No,No,30,13,No,No,4,0.3077,0.4333,4,,0.3077,91,17,250,0.4333,0.5667,11,19.2308,4,17.3,3.0333,7,-3.487,22.75,4.25,4,30.9334,30.9334,0.4333,9.1,13.1,11.1,13.1,13.1,13.1,11.1,13.1,13.1,13.1,11.1,13.1,13.1,15,,2,1,1,,,,,,1,0.25,,,
Hunter Henry,NE,TE,27,No,No,Yes,25,3,No,Yes,2,0.6667,0.12,1,,0.3333,25,-2,66,0.52,0.12,2,22,2,64.6,1,8.3333,-3.6079,25,-2,1,6.2384,6.2384,0.12,2.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3.5,3,4,3.5,16,,1,,,,,,,,-1,-1,0.36,,
Nelson Agholor,BLT,WR,15,No,No,Yes,15,3,No,Yes,2,0.6667,0.2,1,,0.3333,26,4,70,0.8,0.2,2,23.3333,3,66,1.7333,8.6667,-2.5434,26,4,1,9.307,9.307,0.2308,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,14,,1,,,,,,,,,,,,
Gabe Davis,JAX,WR,18,No,No,Yes,18,7,No,No,3,0.4286,0.3889,1,,0.1429,22,2,195,0.1667,0.8333,7,27.8571,5,0.6,1.2222,3.1429,-9.5573,22,2,1,15.3282,15.3282,0.3889,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,10,,1,,,,,1,0.1429,,1,1,,,
Michael Wilson,ARZ,WR,36,Yes,Yes,Yes,36,11,No,Yes,7,0.6364,0.3056,5,1,0.4545,150,36,302,0.25,0.75,9,27.4545,8,84.5,4.1667,13.6364,1.2284,30,7.2,5,26.6713,26.6713,0.3056,21,26,23.5,26,26,29,26.5,26,26,26,23.5,26,26,16,,4,1,3,1,,1,0.0909,,12,2.4,,,
Ian Thomas,CAR,TE,5,Yes,No,No,1,1,No,Yes,,,1,,,,,,17,,,,17,,,,,-11.6807,,,,1.5826,1.5826,0.2,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,
Zay Flowers,BLT,WR,37,No,No,No,37,13,Yes,Yes,6,0.4615,0.3514,5,1,0.3846,124,21,296,0.3784,0.6216,8,22.7692,7,99.5,3.3514,9.5385,-1.5615,24.8,4.2,5,34.1386,34.1386,0.3714,18.4,23.4,20.9,23.4,23.4,26.4,23.9,23.4,23.4,23.4,20.9,23.4,23.4,17,,,,,1,,1,0.0769,1,18,3.6,,1,0.2
Rashee Rice,KC,WR,4,Yes,No,No,4,1,No,Yes,1,1,0.25,1,,1,27,9,18,0.5,0.5,1,18,,118.8,6.75,27,16.1009,27,9,1,2.1117,2.1117,0.25,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,4,,,,,,,,,,5,5,,,
Ty Chandler,MIN,RB,7,No,Yes,No,4,,No,Yes,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.75,,,,,,,,,,,,,
Austin Hooper,NE,TE,10,No,No,No,9,2,No,No,1,0.5,0.2222,1,,0.5,28,2,46,0.3333,,2,23,2,56.3,3.1111,14,2.5427,28,2,1,3.7158,3.7158,0.2222,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,17,,1,1,1,,,,,1,-1,-1,0.6667,,
Justin Watson,KC,WR,22,No,No,No,22,4,Yes,Yes,1,0.25,0.1818,1,,0.25,49,8,143,0.3636,0.5909,1,35.75,4,78.1,2.2273,12.25,-1.4411,49,8,1,8.4092,8.4092,0.1905,4.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,17,,,1,,,,,,,3,3,0.0455,,
Jaylen Wright,MIA,RB,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,
Devin Culp,TB,TE,5,No,Yes,Yes,5,2,No,No,1,0.5,0.4,1,,0.5,26,10,31,0.2,0.4,,15.5,,95.8,5.2,13,2.585,26,10,1,5.5741,5.5741,0.4,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,5,,,,,,,,,1,6,6,0.4,1,1
Tyrone Tracy,NYG,RB,17,Yes,Yes,No,11,,No,Yes,,,,,,,,,,0.0909,0.1818,,,,,,,,,,,2.5583,2.5583,,,,,,,,,,,,,,,17,0.7273,,,,,,,,,,,,,
Michael Mayer,LV,TE,15,No,No,No,11,3,No,No,2,0.6667,0.2727,1,,0.3333,29,10,70,0.4545,0.1818,2,23.3333,1,70.1,2.6364,9.6667,-1.6511,29,10,1,5.7061,5.7061,0.2,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,11,,,,,,,1,0.3333,,,,0.3636,,
Marvin Harrison,ARZ,WR,35,No,Yes,No,35,21,No,No,11,0.5238,0.6,8,1,0.381,204,38,439,0.1429,0.8571,18,20.9048,11,86.2,5.8286,9.7143,-1.878,25.5,4.75,8,47.1074,47.1074,0.6,32.4,40.4,36.4,40.4,40.4,43.4,39.4,40.4,40.4,40.4,36.4,40.4,40.4,17,,4,4,1,2,1,,,1,11,1.375,,,
Collin Johnson,CHI,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,2,Yes,No,No,2,1,No,No,1,1,0.5,1,,1,33,8,25,,1,1,25,1,118.8,16.5,33,21.5113,33,8,1,2.4356,2.4356,0.5,3.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,10,,,,,,,,,,1,1,,,
Mo Alie-Cox,IND,TE,27,No,No,No,16,3,Yes,Yes,,,0.1875,,,,,,71,0.125,0.0625,2,23.6667,3,,,,-13.186,,,,8.4863,8.4863,0.1154,,,,,,,,,,,,,,17,,,2,,,,,,2,,,0.8125,,
John FitzPatrick,GB,TE,3,No,Yes,No,3,,No,Yes,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0.3333,,
Sean Tucker,TB,RB,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Ramel Keyton,LV,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,12,No,Yes,Yes,11,3,No,Yes,1,0.3333,0.2727,1,1,0.3333,17,,89,0.3636,0.6364,1,29.6667,2,53.5,1.5455,5.6667,-7.0513,17,,1,3.9383,3.9383,0.2727,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,17,,1,,,,,,,,,,,,
Cedrick Wilson,NO,WR,23,No,Yes,Yes,22,1,No,No,1,1,0.0455,1,,1,18,-1,19,0.5455,0.4545,1,19,,118.8,0.8182,18,6.0679,18,-1,1,1.9906,1.9906,0.0526,6.64,7.64,7.14,7.64,7.64,7.64,7.14,7.64,7.64,7.64,7.14,7.85,7.85,15,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,14,No,No,No,10,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
Mike Woods,CLV,WR,13,No,No,No,13,2,No,Yes,,,0.1538,,,,,,54,0.3077,0.6923,,27,1,,,,-12.8163,,,,6.6346,6.6346,0.1538,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,
Jordan Addison,MIN,WR,36,No,Yes,Yes,36,17,No,Yes,11,0.6471,0.4722,10,2,0.5882,327,60,493,0.3056,0.6944,14,29,13,118.3,9.0833,19.2353,7.0314,32.7,6,10,39.8267,39.8267,0.4722,50.7,60.7,55.7,60.7,60.7,63.7,58.7,60.7,60.7,60.7,55.7,60.7,60.7,15,,2,5,1,3,2,,,1,45,4.5,,,
Tyler Lockett,SEA,WR,33,Yes,Yes,Yes,33,8,No,Yes,5,0.625,0.2424,4,,0.5,100,17,174,0.2424,0.7576,7,21.75,5,95.8,3.0303,12.5,1.3753,25,4.25,4,18.4317,18.4317,0.2581,16,20,18,20,20,23,21,20,20,20,18,20,20,17,,,2,,1,,1,0.125,2,-1,-0.25,,,
Keon Coleman,BUF,WR,33,No,No,No,33,11,No,No,8,0.7273,0.3333,5,,0.4545,180,49,284,0.1212,0.8788,7,25.8182,7,122.3,5.4545,16.3636,4.6848,36,9.8,5,28.7877,28.7877,0.3548,24,29,26.5,29,29,32,29.5,29,29,29,26.5,29,29,13,,3,1,1,1,,2,0.1818,1,17,3.4,,,
Lil'Jordan Humphrey,DEN,WR,21,No,No,No,19,5,Yes,Yes,3,0.6,0.2632,1,,0.2,21,3,104,0.6316,0.3684,,20.8,2,44.6,1.1053,4.2,-6.3513,21,3,1,10.6712,10.6712,0.25,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,17,,1,,,,,,,1,1,1,,,
Kenneth Walker,SEA,RB,13,No,Yes,No,7,1,No,No,1,1,0.1429,1,1,1,17,1,16,,0.1429,1,16,,158.3,2.4286,17,6.3333,17,1,1,3.548,3.548,0.0833,7.7,8.7,8.2,9.2,8.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,11,0.8571,,,,1,,,,1,,,,,
De'Von Achane,MIA,RB,24,No,Yes,Yes,22,1,No,Yes,1,1,0.0455,,,,,,24,0.0455,0.1364,1,24,1,39.6,,,-12.3704,,,,2.8447,2.8447,0.0435,,,,,,,,,,,,,,17,0.8182,1,1,,,,,,,,,,,
Mike Evans,TB,WR,20,No,Yes,Yes,20,8,No,No,6,0.75,0.4,3,1,0.375,68,15,158,0.5,0.5,6,19.75,2,29.2,3.4,8.5,-3.2329,22.6667,5,3,21.7132,21.7132,0.4,6.8,9.8,8.3,9.8,9.8,9.8,8.3,9.8,9.8,9.8,8.3,9.8,9.8,14,,1,,,,,2,0.25,,6,2,,,
Brandon Aiyuk,SF,WR,11,No,No,Yes,11,5,No,Yes,2,0.4,0.4545,1,,0.2,38,18,82,0.1818,0.8182,4,16.4,1,58.8,3.4545,7.6,-2.919,38,18,1,8.7932,8.7932,0.4545,3.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,7,,,,,,,1,0.2,,2,2,,,
Allen Lazard,NYJ,WR,31,No,Yes,Yes,30,6,No,Yes,3,0.5,0.2,1,,0.1667,20,3,141,0.6,0.4,3,23.5,3,41,0.6667,3.3333,-8.6517,20,3,1,13.9475,13.9475,0.2143,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,12,,1,,,,,,,,,,,,
Kaden Davis,CLV,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,29,No,Yes,No,29,6,No,No,5,0.8333,0.2069,3,1,0.5,97,6,168,0.4828,0.5172,5,28,6,95.8,3.3448,16.1667,4.6926,32.3333,2,3,25.3262,25.3262,0.2069,9.7,12.7,11.2,12.7,12.7,12.7,11.2,12.7,12.7,12.7,11.2,12.7,12.7,17,,3,1,1,,,,,,5,1.6667,,,
Jeremy Ruckert,NYJ,TE,6,No,Yes,Yes,6,,No,Yes,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.8333,,
Kalif Raymond,DET,WR,6,No,Yes,Yes,6,2,No,Yes,2,1,0.3333,1,,0.5,18,1,34,0.1667,0.8333,2,17,,81.3,3,9,-2.6653,18,1,1,3.1154,3.1154,0.3333,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,12,,1,,,,,,,,1,1,,,
Darnell Mooney,ATL,WR,44,No,Yes,Yes,43,15,No,No,12,0.8,0.3488,9,,0.6,229,19,338,0.2093,0.7674,13,22.5333,9,104.2,5.3256,15.2667,3.603,25.4444,2.1111,9,36.1034,36.1034,0.3488,22.9,31.9,27.4,31.9,31.9,34.9,30.4,31.9,31.9,31.9,27.4,31.9,31.9,16,0.0233,4,,2,,,2,0.1333,,14,1.5556,,1,0.1111
Ben Sinnott,WAS,TE,6,Yes,Yes,No,5,,No,No,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2,,,,,,,,,,,0.6,,
Stefon Diggs,HST,WR,16,Yes,Yes,Yes,16,2,No,Yes,1,0.5,0.125,1,,0.5,49,16,57,0.5625,0.4375,1,28.5,2,95.8,3.0625,24.5,12.3898,49,16,1,4.5784,4.5784,0.1429,4.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,5.9,5.4,5.9,5.9,8,,,1,,,,,,,,,,,
Zay Jones,ARZ,WR,10,No,Yes,No,10,1,No,No,1,1,0.1,1,,1,25,1,24,0.3,0.7,1,24,1,118.8,2.5,25,13.2471,25,1,1,4.9477,4.9477,0.1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,11,,,,,,,,,,,,,,
Drew Sample,CIN,TE,20,No,Yes,No,9,,No,No,,,,,,,,,,0.1111,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,,,,,,,,,,,0.4444,,
Daniel Bellinger,NYG,TE,15,Yes,Yes,No,12,1,No,Yes,1,1,0.0833,1,,1,17,,17,0.5,0.1667,1,17,,118.8,1.4167,17,5.3193,17,,1,1.3,1.3,0.0769,1.7,2.7,2.2,2.7,3.2,2.7,2.2,2.7,2.7,2.7,2.2,3.2,2.7,17,,1,,1,,,,,,,,0.3333,,
Devontez Walker,BLT,WR,2,No,No,No,2,2,Yes,Yes,1,0.5,1,1,,0.5,21,,59,,1,1,29.5,2,127.1,10.5,10.5,0.1838,21,,1,3.1927,3.1927,1,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,7,,,1,,1,1,,,,,,,,
Austin Ekeler,WAS,RB,14,Yes,Yes,No,13,,No,No,,,,,,,,,,0.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3846,,,,,,,,,,,0.0769,,
Jaheim Bell,NE,TE,2,No,No,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.5,,
Chase Brown,CIN,RB,18,No,Yes,No,15,2,Yes,Yes,1,0.5,0.1333,1,,0.5,34,16,44,,0.0667,2,22,1,95.8,2.2667,17,2.9621,34,16,1,4.0905,4.0905,0.1111,3.4,4.4,3.9,4.9,4.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,16,0.8667,,1,,,,,,1,6,6,0.0667,,
Najee Harris,PIT,RB,14,No,Yes,No,13,,No,No,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7692,,,,,,,,,,,0.1538,,
Tanner Hudson,CIN,TE,4,No,Yes,No,4,1,No,No,,,0.25,,,,,,26,0.25,,,26,1,39.6,,,-11.1524,,,,1.427,1.427,0.25,,,,,,,,,,,,,,11,0.5,,,,,,,,,,,0.25,,
Curtis Samuel,BUF,WR,21,No,No,No,21,,No,No,,,,,,,,,,0.4762,0.5238,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Kyren Williams,LA,RB,30,Yes,Yes,Yes,19,,No,Yes,,,,,,,,,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8947,,,,,,,,,,,,,
Trey Palmer,TB,WR,14,No,Yes,Yes,14,5,No,No,2,0.4,0.3571,2,,0.4,44,1,84,0.2143,0.7857,3,16.8,3,72.1,3.1429,8.8,-1.4072,22,0.5,2,9.8325,9.8325,0.3571,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,15,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,35,No,Yes,No,33,1,No,Yes,1,1,0.0303,1,,1,20,3,17,0.3939,0.1515,1,17,,118.8,0.6061,20,8.3193,20,3,1,1.6028,1.6028,0.0286,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,17,,,,,,,,,,3,3,0.4545,,
Payne Durham,TB,TE,3,No,Yes,Yes,3,,No,No,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.3333,,
Will Shipley,PHI,RB,4,Yes,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,25,No,Yes,No,25,12,No,Yes,7,0.5833,0.48,3,,0.25,70,8,294,0.36,0.64,9,24.5,7,16.7,2.8,5.8333,-5.8637,23.3333,2.6667,3,24.8317,24.8317,0.48,7,10,8.5,10,10,10,8.5,10,10,10,8.5,10,10,17,,5,2,1,,,2,0.1667,1,4,1.3333,,,
Dawson Knox,BUF,TE,29,No,Yes,No,29,4,No,Yes,3,0.75,0.1379,3,1,0.75,89,32,91,0.3793,0.1379,3,22.75,2,116.7,3.069,22.25,13.3847,29.6667,10.6667,3,5.5842,5.5842,0.16,8.9,11.9,10.4,11.9,13.4,11.9,10.4,11.9,11.9,11.9,10.4,13.4,11.9,16,0.0345,,,,,,,,,17,5.6667,0.4483,,
Noah Brown,WAS,WR,15,No,Yes,No,15,4,No,No,2,0.5,0.2667,1,,0.25,16,-1,104,0.0667,0.9333,4,26,3,43.8,1.0667,4,-8.5856,16,-1,1,18.1,18.1,0.3077,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,11,,2,,,,,1,0.25,,,,,,
Jalen Reagor,LAC,WR,13,No,Yes,Yes,13,1,No,No,1,1,0.0769,1,1,1,24,,24,0.3846,0.6154,1,24,1,118.8,1.8462,24,12.2471,24,,1,2.9292,2.9292,0.0833,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,8,,1,,1,,,,,,,,,,
Trey McBride,ARZ,TE,36,No,Yes,No,35,5,No,No,3,0.6,0.1429,3,1,0.6,78,38,94,0.6571,0.0286,4,18.8,2,104.2,2.2286,15.6,5.2902,26,12.6667,3,7.8632,7.8632,0.1389,7.8,10.8,9.3,10.8,12.3,10.8,9.3,10.8,10.8,10.8,9.3,12.3,10.8,16,,,,,,,,,,16,5.3333,0.3143,,
Patrick Taylor,SF,RB,4,No,Yes,No,3,1,No,No,,,0.3333,,,,,,8,,,,8,,39.6,,,-8.5126,,,,1.5987,1.5987,0.25,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,
Carson Steele,KC,RB,6,No,No,No,5,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
John Bates,WAS,TE,9,Yes,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,,
Terry McLaurin,WAS,WR,23,Yes,Yes,No,23,8,No,No,6,0.75,0.3478,4,,0.5,197,74,243,0.1739,0.8261,5,30.375,6,135.4,8.5652,24.625,12.2041,49.25,18.5,4,18.0759,18.0759,0.3636,31.7,35.7,33.7,35.7,35.7,38.7,36.7,35.7,35.7,35.7,33.7,35.7,35.7,17,,1,1,,2,1,1,0.125,,7,1.75,,,
Chris Godwin,TB,WR,13,No,No,No,12,3,No,No,2,0.6667,0.25,1,,0.3333,17,1,55,0.75,0.25,2,18.3333,1,13.9,1.4167,5.6667,-5.0779,17,1,1,5.7332,5.7332,0.2308,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,7,,1,,,,,,,,,,,,
Ainias Smith,PHI,WR,3,Yes,Yes,No,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
Alex Erickson,NE,WR,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Brayden Willis,SF,TE,1,No,Yes,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,39,No,Yes,No,34,7,Yes,No,5,0.7143,0.2059,4,,0.5714,170,84,152,0.4412,0.1471,4,21.7143,5,101.8,5,24.2857,12.6382,42.5,21,4,14.8614,14.8614,0.1842,23,27,25,27,29,30,28,27,27,27,25,29,27,17,,1,,,1,,,,,27,6.75,0.4118,,
Dante Pettis,NO,WR,6,No,Yes,Yes,6,,No,No,,,,,,,,,,0.1667,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Brevin Jordan,HST,TE,4,No,No,No,2,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0.5,,
Jayden Reed,GB,WR,34,No,Yes,No,34,7,No,Yes,6,0.8571,0.2059,5,,0.7143,206,68,225,0.8529,0.1471,5,32.1429,7,153.3,6.0588,29.4286,16.2658,41.2,13.6,5,19.3382,19.3382,0.2121,26.6,31.6,29.1,31.6,31.6,34.6,32.1,31.6,31.6,31.6,29.1,31.6,31.6,17,,2,,2,1,,1,0.1429,,36,7.2,,1,0.2
Raheem Mostert,MIA,RB,9,No,Yes,Yes,7,,No,Yes,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.8571,,,,,,,,,,,,,
Jalen Coker,CAR,WR,26,No,Yes,No,25,5,Yes,No,2,0.4,0.2,2,,0.4,103,57,129,0.44,0.56,5,25.8,4,127.1,4.12,20.6,8.6119,51.5,28.5,2,13.1076,13.1076,0.2,17.06,19.06,18.06,19.06,19.06,22.06,21.06,19.06,19.06,19.06,18.06,19.25,19.25,11,,,,,1,,,,,,,,,
Marvin Mims,DEN,WR,15,No,No,No,15,3,Yes,Yes,2,0.6667,0.2,1,1,0.3333,27,,87,0.4,0.5333,1,29,2,106.9,1.8,9,-7.0663,27,,1,7.5337,7.5337,0.2143,8.7,9.7,9.2,9.7,9.7,9.7,9.2,9.7,9.7,9.7,9.2,9.7,9.7,17,,2,1,1,1,1,1,0.3333,,,,0.0667,,
Dallas Goedert,PHI,TE,15,Yes,Yes,No,15,3,No,Yes,2,0.6667,0.2,1,,0.3333,32,12,62,0.4667,0.1333,3,20.6667,2,74.3,2.1333,10.6667,-0.6857,32,12,1,7.0615,7.0615,0.25,3.2,4.2,3.7,4.2,4.7,4.2,3.7,4.2,4.2,4.2,3.7,4.7,4.2,10,,,1,,,,1,0.3333,1,1,1,0.4,,
Roschon Johnson,CHI,RB,23,No,Yes,No,13,,No,Yes,,,,,,,,,,,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.8462,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,18,No,Yes,Yes,18,5,Yes,No,1,0.2,0.2778,1,,0.2,22,2,120,0.2222,0.7778,5,24,4,5.8,1.2222,4.4,-7.2487,22,2,1,13.0187,13.0187,0.2778,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,11,,,2,,,,,,,,,,,
Calvin Ridley,TEN,WR,39,Yes,No,No,38,26,No,No,13,0.5,0.6842,9,1,0.3462,302,44,731,0.2105,0.7895,24,28.1154,17,72.9,7.9474,11.6154,-0.7238,33.5556,4.8889,9,54.7849,54.7849,0.6842,42.2,51.2,46.7,51.2,51.2,54.2,49.7,51.2,51.2,51.2,46.7,51.2,51.2,17,,4,1,2,2,,2,0.0769,1,7,0.7778,,,
Tutu Atwell,LA,WR,16,Yes,Yes,Yes,15,6,No,Yes,6,1,0.4,5,,0.8333,125,5,137,0.6,0.4,5,22.8333,2,118.8,8.3333,20.8333,9.2245,25,1,5,11.5158,11.5158,0.375,12.5,17.5,15,17.5,17.5,20.5,18,17.5,17.5,17.5,15,17.5,17.5,17,,,,,,,1,0.1667,,2,0.4,,,
David Moore,CAR,WR,30,No,Yes,No,29,9,Yes,No,6,0.6667,0.3103,2,,0.2222,38,2,181,0.3103,0.6897,8,20.1111,4,44.7,1.3103,4.2222,-7.2552,19,1,2,17.9381,17.9381,0.3,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,17,,2,,,,,2,0.2222,1,2,1,,,
Justin Shorter,LV,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,
