Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TouchdownsInEndzone,ReceptionsHero,DeepTargetTargetsTotal
Gerald Everett,CHI,TE,12,No,No,No,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3636,0.4545,,,0.1818,,,,,,,,
Brenden Rice,LAC,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
Alex Bachman,LV,WR,14,No,No,No,13,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5385,0.4615,,,,,,,,,,,
Austin Trammell,JAX,WR,3,No,Yes,Yes,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6667,0.3333,,,,,,,,,,,
Kendric Pryor,CIN,WR,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
Ray Davis,BUF,RB,10,Yes,No,Yes,9,2,No,Yes,2,1,,0.2222,2,1,9,3,1,6,0.7778,,,,3,85.4,1,4.5,-2.0094,4.5,1.5,0.5,,2.5565,2.5565,0.2,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,17,0.1111,0.1111,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,43,No,No,No,35,7,No,Yes,3,0.4286,,0.2,2,0.2857,58,46,6,47,,4,,,6.7143,22,1.6571,8.2857,1.3734,29,23,3,2,12.0937,12.0937,0.175,5.8,7.8,6.8,7.8,7.8,7.8,6.8,7.8,7.8,7.8,6.8,7.8,7.8,1,14,0.4857,0.5143,1,,,,,1,0.5,,,,
Tony Pollard,TEN,RB,49,No,No,Yes,41,10,No,Yes,10,1,,0.2439,9,0.9,66,46,20,19,0.7317,5,2,0.2,1.9,94.2,1.6098,6.6,0.1307,7.3333,5.1111,2.2222,1,17.3371,17.3371,0.2083,6.6,15.6,11.1,20.1,15.6,15.6,11.1,15.6,15.6,15.6,11.1,15.6,15.6,2,16,0.1463,0.0976,2,1,0.0244,,,1,0.1111,,,,
DeeJay Dallas,ARZ,RB,6,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,0.5,,,,,,,,,,,
Romeo Doubs,GB,WR,61,No,No,Yes,55,14,No,Yes,12,0.8571,2,0.2545,10,0.7143,127,53,25,127,,11,,,9.0714,123.2,2.3091,9.0714,1.225,12.7,5.3,2.5,8,26.5584,26.5584,0.2456,18.7,28.7,23.7,28.7,28.7,31.7,26.7,28.7,28.7,28.7,23.7,28.7,28.7,3,13,0.2545,0.7455,3,2,,1,,1,0.1,,,,
Ladd McConkey,LAC,WR,82,No,No,Yes,81,26,No,No,24,0.9231,2,0.321,22,0.8462,290,115,33,228,,22,,,8.7692,138.8,3.5802,11.1538,3.4748,13.1818,5.2273,1.5,17,43.645,43.645,0.325,41,63,52,63,63,66,55,63,63,63,52,63,63,3,16,0.679,0.284,2,1,0.037,2,1,6,0.2727,0.0385,2,1,
Rashid Shaheed,NO,WR,23,No,No,No,22,3,No,Yes,3,1,,0.1364,3,1,29,7,2,22,,2,,,7.3333,106.9,1.3182,9.6667,2.5576,9.6667,2.3333,0.6667,2,4.9335,4.9335,0.1429,2.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,,6,0.2273,0.7727,,,,,,,,,,,
Justin Jefferson,MIN,WR,87,No,No,No,82,17,Yes,Yes,15,0.8824,3,0.2073,14,0.8235,215,70,32,177,,14,,,10.4118,113.8,2.622,12.6471,4.3371,15.3571,5,2.2857,11,37.7367,37.7367,0.2179,27.5,41.5,34.5,41.5,41.5,44.5,37.5,41.5,41.5,41.5,34.5,41.5,41.5,4,17,0.2317,0.7683,3,2,,1,,,,,1,,
Greg Dulcich,NYG,TE,20,No,Yes,No,20,2,No,No,2,1,,0.1,1,0.5,5,1,1,9,,1,,,4.5,56.3,0.25,2.5,-3.7734,5,1,1,,3.0299,3.0299,0.1111,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,9,0.4,0.3,,,0.3,,1,,,0.5,,,
Craig Reynolds,DET,RB,8,No,No,No,5,1,Yes,Yes,1,1,,0.2,1,1,5,9,,-4,1,1,1,1,-4,87.5,1,5,-0.5699,5,9,,,1.7611,1.7611,0.1667,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,14,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,29,No,No,No,26,2,Yes,Yes,2,1,1,0.0769,2,1,12,6,3,7,,1,,,3.5,131.3,0.4615,6,-0.1943,6,3,1.5,2,6.4331,6.4331,0.069,7.2,9.2,8.2,9.2,10.2,9.2,8.2,9.2,9.2,9.2,8.2,10.2,9.2,1,17,0.2692,0.0769,,,0.6538,1,,,,,1,,
Durham Smythe,MIA,TE,23,No,No,No,12,2,No,Yes,2,1,,0.1667,1,0.5,8,2,1,10,,1,,,5,60.4,0.6667,4,-2.5799,8,2,1,,4.1613,4.1613,0.087,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,17,0.5,0.25,1,,0.25,,1,,,0.5,,,
Xavier Legette,CAR,WR,71,No,No,No,68,14,No,Yes,13,0.9286,2,0.2059,12,0.8571,105,46,10,88,,10,,,6.2857,137.5,1.5441,7.5,0.7305,8.75,3.8333,0.8333,6,23.4661,23.4661,0.2029,22.5,34.5,28.5,34.5,34.5,37.5,31.5,34.5,34.5,34.5,28.5,34.5,34.5,2,16,0.3382,0.6618,,,,2,1,2,0.1667,0.0714,2,,
J.J. Taylor,HST,RB,2,No,No,Yes,1,1,No,No,1,1,,1,1,1,2,,,2,1,1,,,2,79.2,2,2,-4.3947,2,,,,1.4082,1.4082,0.5,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,4,,,,,,,,,,,,,
David Njoku,CLV,TE,71,No,No,No,69,22,Yes,Yes,19,0.8636,2,0.3188,17,0.7727,124,42,26,121,,16,,,5.5,105.1,1.7971,5.6364,-1.1992,7.2941,2.4706,1.5294,6,33.9109,33.9109,0.3385,18.4,35.4,26.9,35.4,43.9,38.4,29.9,35.4,35.4,35.4,26.9,43.9,35.4,2,11,0.4058,0.1014,2,1,0.4928,1,1,1,0.0588,0.0455,1,,
Brock Bowers,LV,TE,107,No,No,Yes,99,37,No,No,34,0.9189,1,0.3737,32,0.8649,373,142,59,265,0.0101,26,,,7.1622,108.7,3.7677,10.0811,2.7108,11.6562,4.4375,1.8438,20,59.364,59.364,0.3663,37.3,69.3,53.3,69.3,85.3,72.3,56.3,69.3,69.3,69.3,53.3,85.3,69.3,4,17,0.5758,0.2323,6,4,0.1818,,1,1,0.0312,0.027,,1,
Jalin Hyatt,NYG,WR,33,No,Yes,No,32,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.125,0.875,,,,,,,,,,,
Isaac Guerendo,SF,RB,22,No,No,No,17,2,Yes,Yes,2,1,,0.1176,2,1,28,21,7,7,0.8235,,,,3.5,118.8,1.6471,14,7.4143,14,10.5,3.5,1,2.8851,2.8851,0.0909,2.8,4.8,3.8,5.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,16,0.0588,0.1176,,,,,,,,,,,
Brock Wright,DET,TE,51,No,No,No,39,4,Yes,Yes,3,0.75,,0.1026,3,0.75,21,15,6,13,0.0513,2,,,3.25,46.9,0.5385,5.25,-0.8231,7,5,2,,6.1389,6.1389,0.0833,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,,17,0.1795,0.0769,,,0.6923,,,,,,,,
Kenny Yeboah,NYJ,TE,7,No,No,No,5,1,No,Yes,1,1,,0.2,1,1,13,1,,12,,,,,12,118.8,2.6,13,4.3339,13,1,,1,1.4094,1.4094,0.1429,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,,9,0.2,0.4,,,0.4,,,,,,,,
A.J. Brown,PHI,WR,37,Yes,No,No,36,14,No,Yes,11,0.7857,2,0.3889,10,0.7143,161,56,18,151,,12,,,10.7857,133.3,4.4722,11.5,3.0154,16.1,5.6,1.8,7,24.7391,24.7391,0.4,22.1,32.1,27.1,32.1,32.1,35.1,30.1,32.1,32.1,32.1,27.1,32.1,32.1,2,13,0.1111,0.8889,1,,,1,,2,0.2,,1,,
Jamaal Williams,NO,RB,20,No,No,Yes,13,5,No,Yes,5,1,,0.3846,5,1,37,25,9,12,0.6923,,,,2.4,97.5,2.8462,7.4,1.0195,7.4,5,1.8,2,6.6696,6.6696,0.2632,3.7,8.7,6.2,11.2,8.7,8.7,6.2,8.7,8.7,8.7,6.2,8.7,8.7,,14,0.1538,0.1538,,,,,,,,,,,
Luke McCaffrey,WAS,WR,45,No,No,Yes,38,4,Yes,Yes,3,0.75,,0.1053,3,0.75,34,11,3,38,,2,,,9.5,60.4,0.8947,8.5,0.5404,11.3333,3.6667,1,3,6.6457,6.6457,0.1,3.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,6.4,4.9,6.4,6.4,1,17,0.8421,0.1579,,,,,,,,,,,
Brandin Cooks,DAL,WR,63,No,No,Yes,63,7,Yes,Yes,5,0.7143,1,0.1111,4,0.5714,41,12,2,48,,4,,,6.8571,34.5,0.6508,5.8571,-1.1841,10.25,3,0.5,4,12.3492,12.3492,0.1186,4.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,1,10,0.2381,0.7619,,,,,1,,,0.1429,,,
Derius Davis,LAC,WR,14,No,No,Yes,14,2,No,No,2,1,,0.1429,2,1,11,18,4,-7,,2,2,1,-3.5,89.6,0.7857,5.5,0.7871,5.5,9,2,,3.0857,3.0857,0.1667,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,15,0.4286,0.5714,,,,,,,,,,,
Mike Williams,PIT,WR,45,No,No,No,42,6,No,Yes,6,1,,0.1429,5,0.8333,52,12,4,45,,5,,,7.5,102.8,1.2381,8.6667,1.3943,10.4,2.4,0.8,3,9.2245,9.2245,0.1395,5.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,,18,0.3333,0.6667,1,1,,,1,,,0.1667,,,
Ryan Miller,TB,WR,23,No,No,Yes,19,6,No,Yes,6,1,1,0.3158,4,0.6667,38,1,2,51,,4,,,8.5,123.6,2,6.3333,-1.354,9.5,0.25,0.5,3,10.4728,10.4728,0.2609,9.8,13.8,11.8,13.8,13.8,13.8,11.8,13.8,13.8,13.8,11.8,13.8,13.8,1,11,0.4737,0.5263,2,2,,1,1,1,0.25,0.1667,1,,
Devin Thompkins,CAR,WR,4,Yes,No,No,3,2,No,No,2,1,,0.6667,2,1,19,17,3,2,,2,1,0.5,1,106.3,6.3333,9.5,3.7829,9.5,8.5,1.5,2,3.1275,3.1275,0.5,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,7,0.6667,0.3333,,,,,,,,,,,
Kylen Granson,IND,TE,33,No,Yes,Yes,30,4,No,No,3,0.75,,0.1333,2,0.5,21,10,2,26,,1,,,6.5,65.6,0.7,5.25,-1.7196,10.5,5,1,1,6.1701,6.1701,0.129,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,1,17,0.5,0.1,1,,0.4,,,,,,,,
John Ross,PHI,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Kimani Vidal,LAC,RB,22,No,No,Yes,15,3,No,No,3,1,,0.2,2,0.6667,19,13,2,8,0.9333,1,,,2.6667,84,1.2667,6.3333,-0.1378,9.5,6.5,1,1,4.1016,4.1016,0.15,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,10,,,1,,0.0667,,,,,,,,
Mason Tipton,NO,WR,43,No,Yes,No,41,4,No,Yes,3,0.75,,0.0976,3,0.75,21,2,1,23,,3,,,5.75,86.5,0.5122,5.25,-1.2954,7,0.6667,0.3333,,5.8473,5.8473,0.0976,2.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,,11,0.2195,0.7805,,,,,,,,,,,
Terrace Marshall,LV,WR,19,No,No,Yes,19,2,No,No,1,0.5,,0.1053,1,0.5,6,2,,1,,2,,,0.5,56.3,0.3158,3,-2.4953,6,2,,,3.1276,3.1276,0.1111,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,7,0.2632,0.7368,,,,,,,,,,,
Travis Kelce,KC,TE,110,No,No,No,99,45,No,Yes,40,0.8889,2,0.4545,34,0.7556,278,128,27,251,0.0101,26,4,0.0889,5.5778,88.9,2.8081,6.1778,-0.8694,8.1765,3.7647,0.7941,15,73.9539,73.9539,0.4455,33.8,67.8,50.8,67.8,84.8,70.8,53.8,67.8,67.8,67.8,50.8,84.8,67.8,6,16,0.4545,0.2323,5,3,0.303,1,4,2,0.0588,0.0889,1,,
Cole Kmet,CHI,TE,75,No,No,No,59,7,No,Yes,7,1,,0.1186,7,1,63,18,13,45,,,,,6.4286,104.2,1.0678,9,1.7513,9,2.5714,1.8571,4,10.57,10.57,0.1,6.3,13.3,9.8,13.3,16.8,13.3,9.8,13.3,13.3,13.3,9.8,16.8,13.3,1,17,0.7797,0.0508,3,3,0.1695,,,,,,,,
Demarcus Robinson,LA,WR,84,No,No,No,83,8,Yes,Yes,6,0.75,,0.0964,5,0.625,56,16,8,68,,6,,,8.5,83.3,0.6747,7,-0.3239,11.2,3.2,1.6,3,14.6978,14.6978,0.1,5.6,10.6,8.1,10.6,10.6,10.6,8.1,10.6,10.6,10.6,8.1,10.6,10.6,,17,0.4578,0.5422,,,,,1,,,0.125,,,
Tyreek Hill,MIA,WR,90,No,No,No,84,12,No,Yes,11,0.9167,,0.1429,11,0.9167,118,31,8,104,,10,1,0.0833,8.6667,100.7,1.4048,9.8333,1.9049,10.7273,2.8182,0.7273,9,20.3751,20.3751,0.1379,17.8,28.8,23.3,28.8,28.8,31.8,26.3,28.8,28.8,28.8,23.3,28.8,28.8,1,17,0.3452,0.6548,1,1,,1,,1,0.0909,,,,
Zack Moss,CIN,RB,35,No,No,Yes,28,6,No,Yes,6,1,,0.2143,5,0.8333,40,34,13,10,0.8929,,,,1.6667,94.4,1.4286,6.6667,0.4906,8,6.8,2.6,1,8.2309,8.2309,0.1935,4,9,6.5,11.5,9,9,6.5,9,9,9,6.5,9,9,,8,,0.0714,,,0.0357,,1,,,0.1667,,,
Rhamondre Stevenson,NE,RB,53,No,Yes,Yes,42,4,No,Yes,3,0.75,,0.0952,2,0.5,7,6,1,,0.7381,2,2,0.5,,56.3,0.1667,1.75,-6.195,3.5,3,0.5,,9.8813,9.8813,0.087,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,1,15,0.0952,0.0952,,,0.0714,,1,,,0.25,,,
Brenton Strange,JAX,TE,47,No,Yes,Yes,44,14,No,No,14,1,,0.3182,12,0.8571,106,37,16,76,0.0227,11,,,5.4286,98.2,2.4091,7.5714,0.7773,8.8333,3.0833,1.3333,6,22.6472,22.6472,0.3256,9.6,21.6,15.6,21.6,27.6,24.6,17.6,20.6,20.6,20.6,14.6,27.6,20.6,,17,0.4773,0.1591,3,2,0.3409,,1,1,0.0833,0.0714,,,
Isiah Pacheco,KC,RB,21,No,No,No,20,1,No,Yes,1,1,,0.05,,,,,,5,0.75,,,,5,39.6,,,-7.233,,,,,1.4555,1.4555,0.0476,,,,,,,,,,,,,,,7,0.05,0.2,1,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,11,No,No,No,11,7,No,Yes,7,1,,0.6364,5,0.7143,56,32,10,39,0.3636,4,,,5.5714,55.4,5.0909,8,1.1055,11.2,6.4,2,3,9.8538,9.8538,0.6364,5.6,10.6,8.1,13.1,10.6,10.6,8.1,10.6,10.6,10.6,8.1,10.6,10.6,,13,0.1818,0.4545,2,,,,,,,,,,
Pat Freiermuth,PIT,TE,59,No,No,No,58,16,No,Yes,15,0.9375,,0.2759,14,0.875,145,58,33,107,,12,1,0.0625,6.6875,144,2.5,9.0625,1.7951,10.3571,4.1429,2.3571,8,28.2571,28.2571,0.2909,26.5,40.5,33.5,40.5,47.5,43.5,36.5,40.5,40.5,40.5,33.5,47.5,40.5,2,17,0.5,0.1034,1,1,0.3966,2,1,,,0.0625,,,
Jalen Virgil,BUF,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,
Geoff Swaim,CLV,TE,7,No,Yes,No,6,,No,Yes,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,0.1667,,,0.6667,,,,,,,,
Bijan Robinson,ATL,RB,83,No,No,No,57,7,No,Yes,5,0.7143,,0.1228,5,0.7143,53,33,8,31,0.9123,1,1,0.1429,4.4286,93.2,0.9298,7.5714,0.7037,10.6,6.6,1.6,1,10.4229,10.4229,0.0946,5.3,10.3,7.8,12.8,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,,17,0.0351,0.0526,,,,,,1,0.2,,,,
Jaleel McLaughlin,DEN,RB,14,No,No,No,13,1,No,Yes,1,1,,0.0769,1,1,11,7,2,4,0.7692,,,,4,112.5,0.8462,11,4.3381,11,7,2,1,1.3418,1.3418,0.0769,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,16,0.1538,0.0769,,,,,,,,,,,
Calvin Austin,PIT,WR,44,No,No,No,44,5,No,Yes,5,1,,0.1136,5,1,114,64,8,50,,4,,,10,158.3,2.5909,22.8,14.6417,22.8,12.8,1.6,3,8.1431,8.1431,0.125,17.4,22.4,19.9,22.4,22.4,25.4,22.9,22.4,22.4,22.4,19.9,22.4,22.4,,17,0.5682,0.4318,,,,1,,1,0.2,,,,
Ronnie Bell,SF,WR,15,Yes,No,No,14,1,No,Yes,1,1,,0.0714,1,1,10,5,1,5,,1,,,5,108.3,0.7143,10,3.6372,10,5,1,1,2.0398,2.0398,0.0667,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,1,8,0.2857,0.7143,,,,,,,,,,,
Jacob Cowing,SF,WR,14,No,No,No,13,2,Yes,Yes,1,0.5,1,0.1538,1,0.5,14,2,,25,,2,,,12.5,72.9,1.0769,7,-1.9803,14,2,,1,6.1529,6.1529,0.1429,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2,15,0.6154,0.3846,,,,,,,,,,,
Derrick Henry,BLT,RB,35,No,No,Yes,17,2,No,No,2,1,,0.1176,2,1,23,22,7,1,1,,,,0.5,114.6,1.3529,11.5,5.3932,11.5,11,3.5,2,2.6276,2.6276,0.0588,2.3,4.3,3.3,5.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,17,,,,,,,,,,,,,
Brandon Powell,MIN,WR,21,No,No,No,19,6,Yes,Yes,5,0.8333,,0.3158,4,0.6667,39,3,2,59,,3,,,9.8333,84.7,2.0526,6.5,-1.6056,9.75,0.75,0.5,2,9.962,9.962,0.2857,3.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,7.9,5.9,7.9,7.9,1,17,0.4737,0.5263,1,,,,,,,,,,
Kareem Hunt,KC,RB,49,No,No,No,37,4,No,Yes,4,1,,0.1081,4,1,21,29,10,-8,0.7568,4,4,1,-2,88.5,0.5676,5.25,-0.8335,5.25,7.25,2.5,1,10.4757,10.4757,0.0909,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,3,13,0.027,0.1081,,,0.1081,,,,,,,,
Ty Johnson,BUF,RB,24,Yes,No,Yes,22,4,No,Yes,3,0.75,,0.1818,3,0.75,20,11,5,12,0.7273,1,,,3,125,0.9091,5,-1.5189,6.6667,3.6667,1.6667,3,7.2138,7.2138,0.1667,8,11,9.5,12.5,11,11,9.5,11,11,11,9.5,11,11,1,17,0.1364,0.1364,,,,1,,,,,,,
Nick Muse,MIN,TE,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,
Van Jefferson,PIT,WR,45,No,No,No,44,3,No,Yes,3,1,,0.0682,3,1,22,,-1,22,,2,,,7.3333,97.2,0.5,7.3333,-0.015,7.3333,,-0.3333,1,4.0316,4.0316,0.075,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,17,0.3182,0.6818,1,1,,,,,,,,,
Xavier Worthy,KC,WR,96,No,No,No,87,8,No,Yes,8,1,1,0.092,7,0.875,53,41,10,25,0.0345,4,3,0.375,3.125,94.3,0.6092,6.625,0.432,7.5714,5.8571,1.4286,4,14.9168,14.9168,0.0899,5.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,4,17,0.3793,0.5862,,,,,1,,,0.125,,,
Rachaad White,TB,RB,61,No,No,Yes,45,4,No,Yes,4,1,,0.0889,4,1,27,21,5,6,0.7111,1,1,0.25,1.5,134.4,0.6,6.75,0.3471,6.75,5.25,1.25,2,7.7685,7.7685,0.0667,14.7,18.7,16.7,20.7,18.7,18.7,16.7,18.7,18.7,18.7,16.7,18.7,18.7,2,16,0.1556,0.1333,,,,2,,,,,,,
Cam Grandy,CIN,TE,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,
Elijah Moore,CLV,WR,89,No,No,Yes,85,16,No,No,13,0.8125,,0.1882,10,0.625,94,33,13,116,0.0118,13,,,7.25,52.6,1.1059,5.875,-1.2631,9.4,3.3,1.3,3,22.6277,22.6277,0.1882,9.4,19.4,14.4,19.4,19.4,19.4,14.4,19.4,19.4,19.4,14.4,19.4,19.4,,17,0.5765,0.4118,2,1,,,2,,,0.125,,,
Malachi Corley,NYJ,WR,9,No,No,Yes,8,1,No,Yes,,,1,0.125,,,,,,11,,,,,11,39.6,,,-8.3152,,,,,4.3427,4.3427,0.1111,,,,,,,,,,,,,,1,7,0.25,0.75,,,,,,,,,,,
AJ Barner,SEA,TE,43,No,No,No,34,9,Yes,Yes,9,1,2,0.2647,8,0.8889,69,33,17,56,0.0294,5,1,0.1111,6.2222,138.2,2.0294,7.6667,0.7449,8.625,4.125,2.125,6,17.9276,17.9276,0.2368,18.9,26.9,22.9,26.9,30.9,26.9,22.9,26.9,26.9,26.9,22.9,30.9,26.9,2,17,0.4412,0.0588,1,,0.4706,2,1,1,0.125,0.1111,2,,
Zach Charbonnet,SEA,RB,55,No,No,No,38,13,Yes,Yes,13,1,,0.3421,13,1,118,60,28,26,0.7105,2,,,2,104.5,3.1053,9.0769,2.4034,9.0769,4.6154,2.1538,1,19.9753,19.9753,0.25,11.8,24.8,18.3,31.3,24.8,27.8,21.3,24.8,24.8,24.8,18.3,24.8,24.8,,17,0.1053,0.1842,,,,,,4,0.3077,,,,
Chuba Hubbard,CAR,RB,67,Yes,No,No,50,9,No,No,9,1,,0.18,7,0.7778,35,24,5,13,0.58,,,,1.4444,82.9,0.7,3.8889,-2.2112,5,3.4286,0.7143,2,16.2676,16.2676,0.1364,2.5,9.5,6,13,9.5,9.5,5,8.5,8.5,8.5,5,9.5,8.5,2,15,0.06,0.36,1,,,,1,,,0.1111,,,
Jared Wayne,HST,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,
Blake Whiteheart,CLV,TE,13,No,No,Yes,12,2,No,No,1,0.5,,0.1667,1,0.5,5,3,,8,0.0833,,,,4,56.3,0.4167,2.5,-4.2316,5,3,,,2.9534,2.9534,0.1667,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,11,0.4167,0.25,,,0.25,,,,,,,,
Chris Manhertz,NYG,TE,25,No,Yes,No,7,1,No,No,1,1,,0.1429,1,1,12,5,3,7,,,,,7,116.7,1.7143,12,4.6922,12,5,3,,1.3152,1.3152,0.0435,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,17,0.4286,,,,0.5714,,,,,,,,
Johnny Wilson,PHI,WR,20,No,Yes,No,18,1,No,No,1,1,,0.0556,1,1,9,5,2,4,,,,,4,104.2,0.5,9,2.9502,9,5,2,,6.5125,6.5125,0.05,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,16,0.3889,0.6111,,,,,,,,,,,
Erik Ezukanma,MIA,WR,3,No,Yes,No,3,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3333,0.6667,,,,,,,,,,,
Emanuel Wilson,GB,RB,19,No,No,No,15,,No,Yes,,,,,,,,,,,0.7333,,,,,,,,,,,,,1.3723,1.3723,,,,,,,,,,,,,,,,17,,0.2667,,,,,,,,,,,
Quentin Johnston,LAC,WR,64,No,No,Yes,60,8,No,No,7,0.875,,0.1333,7,0.875,96,43,27,56,,6,1,0.125,7,116.7,1.6,12,4.8169,13.7143,6.1429,3.8571,6,13.1195,13.1195,0.1356,9.6,16.6,13.1,16.6,16.6,16.6,13.1,16.6,16.6,16.6,13.1,16.6,16.6,1,15,0.1167,0.8833,1,1,,,,3,0.4286,,,,
