Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal
Deebo Samuel,SF,WR,106,No,No,No,99,17,No,No,17,1,0.1717,15,0.8824,141,126,29,33,0.0808,0.5859,1.9412,101.2,1.4242,8.2941,2.3685,9.4,8.4,1.9333,8,26.9336,26.9336,0.1789,14.1,29.1,21.6,29.1,29.1,32.1,24.6,29.1,29.1,29.1,21.6,29.1,29.1,15,2,0.1333,0.3333,15,8,0.4706,5,2,1,,,,,,,,
Devin Duvernay,JAX,WR,39,No,No,No,35,6,No,No,6,1,0.1714,6,1,37,22,8,15,,0.2571,2.5,92.4,1.0571,6.1667,0.1722,6.1667,3.6667,1.3333,4,8.6205,8.6205,0.1579,3.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,13,,,0.7429,5,3,0.5,1,,,,,,,,,,
Nikko Remigio,KC,WR,7,Yes,No,No,7,3,No,Yes,2,0.6667,0.4286,1,0.3333,25,11,5,36,,,12,64.6,3.5714,8.3333,-0.4532,25,11,5,1,4.2228,4.2228,0.4286,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,5,,,1,2,,,,,,,,,1,0.3333,,,
Ryan Flournoy,DAL,WR,33,No,No,Yes,29,2,Yes,Yes,2,1,0.069,2,1,23,17,9,6,,0.8276,3,114.6,0.7931,11.5,4.9951,11.5,8.5,4.5,2,3.3358,3.3358,0.0606,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,11,,,0.1724,2,1,0.5,,,,,,,,,,,
Jaylen Waddle,MIA,WR,138,No,No,Yes,122,23,No,Yes,20,0.8696,0.1885,18,0.7826,145,101,23,130,,0.7459,5.6522,107.4,1.1885,6.3043,-0.82,8.0556,5.6111,1.2778,10,38.4474,38.4474,0.1825,20.5,38.5,29.5,38.5,38.5,41.5,32.5,38.5,38.5,38.5,29.5,38.5,38.5,15,,,0.2459,22,6,0.2609,4,,1,,1,1,2,0.087,,0.0082,
Scott Miller,PIT,WR,24,No,Yes,No,19,1,No,No,1,1,0.0526,1,1,11,6,2,5,,0.6316,5,112.5,0.5789,11,4.6372,11,6,2,,1.3568,1.3568,0.0526,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,13,1,1,0.3684,1,,,,,,,,,,,,,
Josh Jacobs,GB,RB,96,No,No,Yes,62,17,No,Yes,14,0.8235,0.2742,14,0.8235,158,183,87,-36,0.9516,0.0323,-2.1176,100.5,2.5484,9.2941,3.5886,11.2857,13.0714,6.2143,8,30.6187,30.6187,0.2024,21.8,35.8,28.8,42.8,35.8,38.8,31.8,35.8,35.8,35.8,28.8,35.8,35.8,17,8,0.5714,,5,5,0.2941,1,,,,1,,,,,0.0161,
Cade Stover,HST,TE,44,No,Yes,No,34,5,No,No,5,1,0.1471,4,0.8,36,34,9,8,0.0588,0.0882,1.6,96.7,1.0588,7.2,1.3556,9,8.5,2.25,1,7.6874,7.6874,0.122,3.6,7.6,5.6,7.6,9.6,7.6,5.6,7.6,7.6,7.6,5.6,9.6,7.6,15,1,0.25,0.1176,3,1,0.2,1,,,,,,1,0.2,,0.7353,
Tee Higgins,CIN,WR,138,No,No,No,135,37,No,Yes,30,0.8108,0.2741,27,0.7297,299,87,48,311,,0.7852,8.4054,105.6,2.2148,8.0811,0.6438,11.0741,3.2222,1.7778,13,72.1306,72.1306,0.2846,34.9,61.9,48.4,61.9,61.9,64.9,50.4,60.9,60.9,60.9,47.4,61.9,60.9,12,5,0.1852,0.2074,31,,,10,7,6,4,1,1,1,0.027,,0.0074,1
Grant Calcaterra,PHI,TE,76,No,Yes,No,60,8,No,Yes,7,0.875,0.1333,6,0.75,67,48,3,27,,0.0833,3.375,99.5,1.1167,8.375,1.9576,11.1667,8,0.5,4,14.0552,14.0552,0.1176,6.7,12.7,9.7,12.7,15.7,12.7,9.7,12.7,12.7,12.7,9.7,15.7,12.7,17,1,0.1667,0.4667,5,,,1,1,,,,,,,,0.45,
Dante Miller,NYG,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,109,No,No,No,100,17,No,Yes,12,0.7059,0.17,10,0.5882,132,65,17,98,,0.93,5.7647,78.6,1.32,7.7647,1.0048,13.2,6.5,1.7,7,25.494,25.494,0.1735,19.2,29.2,24.2,29.2,29.2,32.2,27.2,29.2,29.2,29.2,24.2,29.2,29.2,17,,,0.07,9,,,1,1,,,1,,2,0.1176,,,
Jordan Matthews,CAR,TE,2,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,
Pharaoh Brown,SEA,TE,37,Yes,No,No,22,6,No,Yes,4,0.6667,0.2727,2,0.3333,15,9,4,27,,,4.5,42.4,0.6818,2.5,-3.995,7.5,4.5,2,,10.8294,10.8294,0.1765,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,15,,,0.2273,1,,,1,,1,,,,2,0.3333,,0.7727,
Rico Dowdle,DAL,RB,131,No,No,Yes,90,22,Yes,Yes,20,0.9091,0.2444,19,0.8636,82,132,29,-50,0.9,0.0222,-2.2727,97.3,0.9111,3.7273,-1.9695,4.3158,6.9474,1.5263,5,32.9473,32.9473,0.1803,14.2,33.2,23.7,42.7,33.2,33.2,23.7,33.2,33.2,33.2,23.7,33.2,33.2,16,3,0.1579,0.0778,12,5,0.2273,5,2,1,2,1,1,1,0.0455,1,,
Chris Olave,NO,WR,45,No,Yes,Yes,42,8,No,No,6,0.75,0.1905,5,0.625,64,20,12,72,,0.5714,9,87.5,1.5238,8,-0.0091,12.8,4,2.4,3,17.0204,17.0204,0.2105,5.4,10.4,7.9,10.4,10.4,10.4,6.9,9.4,9.4,9.4,6.9,10.4,9.4,8,1,0.2,0.4286,7,,,2,1,2,,,,,,,,
Jerome Ford,CLV,RB,102,No,No,Yes,82,15,No,Yes,14,0.9333,0.1829,14,0.9333,60,97,37,-32,0.6585,0.0732,-2.1333,83.3,0.7317,4,-1.7952,4.2857,6.9286,2.6429,3,22.7987,22.7987,0.1596,6,20,13,27,20,20,13,20,20,20,13,20,20,14,4,0.2857,0.0854,6,4,0.2667,,1,,1,,,,,,0.1829,
George Pickens,PIT,WR,126,No,No,No,117,22,No,Yes,19,0.8636,0.188,14,0.6364,100,27,22,147,,0.7949,6.6818,70.3,0.8547,4.5455,-2.5488,7.1429,1.9286,1.5714,7,43.1868,43.1868,0.1947,16,30,23,30,30,33,26,30,30,30,23,30,30,14,,,0.2051,18,2,0.0909,4,7,4,3,1,1,1,0.0455,1,,
Jermaine Burton,CIN,WR,33,No,No,Yes,33,4,No,No,3,0.75,0.1212,1,0.25,8,-2,,55,,0.9091,13.75,39.6,0.2424,2,-7.0863,8,-2,,1,7.6477,7.6477,0.1379,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,14,,,0.0909,3,,,2,3,2,,,,,,,,1
Ricky Pearsall,SF,WR,74,No,No,No,66,11,No,No,9,0.8182,0.1667,9,0.8182,86,11,2,94,,0.6667,8.5455,99.2,1.303,7.8182,0.2896,9.5556,1.2222,0.2222,4,17.4102,17.4102,0.1667,8.6,17.6,13.1,17.6,17.6,17.6,13.1,17.6,17.6,17.6,13.1,17.6,17.6,11,,,0.3333,10,,,1,,,,,,,,,,
Jeremy McNichols,WAS,RB,48,No,No,Yes,32,2,Yes,Yes,2,1,0.0625,2,1,2,2,,,0.7188,0.0312,,79.2,0.0625,1,-4.8271,1,1,,,3.4076,3.4076,0.0455,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,17,,,0.25,,,,1,,,,,,,,,,
Jamaal Williams,NO,RB,28,No,No,Yes,16,3,No,Yes,3,1,0.1875,3,1,20,22,6,-2,0.875,,-0.6667,94.4,1.25,6.6667,0.7071,6.6667,7.3333,2,1,4.1225,4.1225,0.1304,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,14,,,0.125,,,,,,,,,,,,,,
Deonte Harty,BLT,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,
Ryan Miller,TB,WR,46,No,No,Yes,38,3,No,Yes,3,1,0.0789,2,0.6667,7,1,1,15,,0.5526,5,109.7,0.1842,2.3333,-4.0693,3.5,0.5,0.5,2,6.3699,6.3699,0.0652,6.7,8.7,7.7,8.7,8.7,8.7,7.7,8.7,8.7,8.7,7.7,8.7,8.7,11,,,0.4474,3,,,1,,1,,1,1,,,,,
Brock Wright,DET,TE,71,No,No,No,48,8,No,Yes,8,1,0.1667,8,1,72,58,12,14,0.0417,0.0625,1.75,143.8,1.5,9,2.8766,9,7.25,1.5,6,12.1254,12.1254,0.1356,13.2,21.2,17.2,21.2,25.2,21.2,17.2,21.2,21.2,21.2,17.2,25.2,21.2,17,1,0.125,0.1458,6,1,0.125,3,,,,1,,,,,0.75,
Kenny Yeboah,NYJ,TE,19,No,No,Yes,14,6,No,Yes,5,0.8333,0.4286,3,0.5,30,26,1,31,,0.0714,5.1667,104.2,2.1429,5,-2.0488,10,8.6667,0.3333,2,9.5521,9.5521,0.3158,9,12,10.5,12,13.5,12,10.5,12,12,12,10.5,13.5,12,9,,,0.0714,3,,,1,1,,,1,,,,,0.8571,
A.J. Brown,PHI,WR,83,Yes,Yes,No,72,27,No,Yes,24,0.8889,0.375,23,0.8519,310,116,101,222,,0.7917,8.2222,111.4,4.3056,11.4815,3.996,13.4783,5.0435,4.3913,17,50.1847,50.1847,0.3913,37,60,48.5,60,60,63,51.5,60,60,60,48.5,60,60,13,5,0.2174,0.2083,25,,,3,2,,1,1,,,,,,
Luke McCaffrey,WAS,WR,76,No,No,Yes,63,10,Yes,Yes,9,0.9,0.1587,8,0.8,62,49,15,34,,0.127,3.4,92.5,0.9841,6.2,-0.0268,7.75,6.125,1.875,1,18.2691,18.2691,0.1389,6.2,14.2,10.2,14.2,14.2,14.2,10.2,14.2,14.2,14.2,10.2,14.2,14.2,17,1,0.125,0.873,5,2,0.2,1,1,1,1,,,,,,,
Isaac Guerendo,SF,RB,21,No,No,No,16,7,No,No,7,1,0.4375,6,0.8571,33,46,17,-8,0.9375,,-1.1429,86.3,2.0625,4.7143,-1.4313,5.5,7.6667,2.8333,2,10.0749,10.0749,0.3684,3.3,9.3,6.3,12.3,9.3,9.3,6.3,9.3,9.3,9.3,6.3,9.3,9.3,16,2,0.3333,0.0625,4,3,0.4286,,,,,,,1,0.1429,,,
Brandin Cooks,DAL,WR,96,No,No,Yes,87,20,Yes,Yes,15,0.75,0.2299,12,0.6,88,25,3,153,,0.7241,7.65,87.1,1.0115,4.4,-2.9588,7.3333,2.0833,0.25,8,40.0357,40.0357,0.2299,14.8,26.8,20.8,26.8,26.8,26.8,20.8,26.8,26.8,26.8,20.8,26.8,26.8,10,,,0.2759,16,,,3,3,3,,1,1,,,,,
David Njoku,CLV,TE,110,No,No,No,102,30,No,No,27,0.9,0.2941,24,0.8,204,117,53,133,,0.1275,4.4333,117.2,2,6.8,0.2214,8.5,4.875,2.2083,10,49.9188,49.9188,0.297,32.4,56.4,44.4,56.4,68.4,59.4,47.4,56.4,56.4,56.4,44.4,68.4,56.4,11,3,0.125,0.3235,19,2,0.0667,3,3,3,2,2,2,2,0.0667,1,0.549,
Brock Bowers,LV,TE,192,No,No,No,179,49,No,Yes,43,0.8776,0.2737,41,0.8367,316,228,76,134,0.0112,0.162,2.7347,107.1,1.7654,6.449,0.1975,7.7073,5.561,1.8537,18,78.1659,78.1659,0.297,43.6,84.6,64.1,84.6,105.1,87.6,67.1,84.6,84.6,84.6,64.1,105.1,84.6,17,4,0.0976,0.5475,40,7,0.1429,6,4,1,3,2,,1,0.0204,1,0.2793,
Jalin Hyatt,NYG,WR,62,No,Yes,No,60,4,No,Yes,3,0.75,0.0667,3,0.75,17,6,3,16,,0.9333,4,82.3,0.2833,4.25,-2.1091,5.6667,2,1,1,5.8647,5.8647,0.0741,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,16,,,0.0667,4,,,,,,,,,,,,,
Xavier Legette,CAR,WR,134,No,No,No,123,24,No,Yes,20,0.8333,0.1951,15,0.625,97,6,,161,,0.6585,6.7083,71,0.7886,4.0417,-3.1072,6.4667,0.4,,6,38.4243,38.4243,0.2051,9.7,24.7,17.2,24.7,24.7,24.7,17.2,24.7,24.7,24.7,17.2,24.7,24.7,16,1,0.0667,0.3415,23,2,0.0833,2,3,1,1,,,3,0.125,,,
J.J. Taylor,HST,RB,5,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Craig Reynolds,DET,RB,17,No,No,No,7,2,No,Yes,2,1,0.2857,2,1,35,32,26,3,0.7143,0.1429,1.5,118.8,5,17.5,11.2595,17.5,16,13,2,3.3084,3.3084,0.125,3.5,5.5,4.5,6.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,14,1,0.5,0.1429,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,60,No,No,No,45,7,No,Yes,7,1,0.1556,6,0.8571,27,16,7,28,,0.2,4,82.7,0.6,3.8571,-2.8725,4.5,2.6667,1.1667,1,11.5724,11.5724,0.1373,2.7,8.7,5.7,8.7,11.7,8.7,5.7,8.7,8.7,8.7,5.7,11.7,8.7,17,,,0.2667,3,,,1,,1,,,,,,,0.5333,
Durham Smythe,MIA,TE,50,No,No,Yes,22,6,No,Yes,6,1,0.2727,6,1,32,11,4,21,0.0455,0.0455,3.5,88.9,1.4545,5.3333,-0.9726,5.3333,1.8333,0.6667,1,8.5861,8.5861,0.1333,3.2,9.2,6.2,9.2,12.2,9.2,6.2,9.2,9.2,9.2,6.2,12.2,9.2,17,,,0.5909,4,,,,1,,1,,,,,,0.3182,
Greg Dulcich,NYG,TE,36,No,Yes,No,26,5,No,Yes,2,0.4,0.1923,1,0.2,9,7,2,19,,0.3077,3.8,39.6,0.3462,1.8,-4.6764,9,7,2,,10.8989,10.8989,0.1429,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,9,,,0.3077,4,,,1,,,,,,1,0.2,,0.3846,
Bryce Ford-Wheaton,NYG,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
Rashid Shaheed,NO,WR,44,No,No,No,42,8,No,Yes,7,0.875,0.1905,7,0.875,66,33,3,38,,0.7619,4.75,101,1.5714,8.25,1.6512,9.4286,4.7143,0.4286,4,11.3699,11.3699,0.2051,6.6,13.6,10.1,13.6,13.6,13.6,10.1,13.6,13.6,13.6,10.1,13.6,13.6,6,,,0.2381,5,1,0.125,,,,,,,,,,,
Justin Jefferson,MIN,WR,173,No,No,No,158,40,No,Yes,33,0.825,0.2532,27,0.675,261,125,26,285,0.0127,0.6456,7.125,110.5,1.6519,6.525,-0.9133,9.6667,4.6296,0.963,11,72.9924,72.9924,0.2614,44.98,71.98,58.48,71.98,71.98,74.98,61.48,71.98,71.98,71.98,58.48,72.2,72.2,17,,,0.3418,32,6,0.15,11,9,7,5,3,3,3,0.075,,,
Brenton Strange,JAX,TE,95,No,No,No,77,18,No,No,14,0.7778,0.2338,13,0.7222,100,58,19,98,,0.1558,5.4444,103.9,1.2987,5.5556,-1.2318,7.6923,4.4615,1.4615,5,32.8587,32.8587,0.1978,16,29,22.5,29,35.5,32,25.5,29,29,29,22.5,35.5,29,17,1,0.0769,0.4416,17,1,0.0556,4,1,3,,1,1,,,,0.4026,1
Rhamondre Stevenson,NE,RB,116,Yes,No,Yes,88,24,No,Yes,19,0.7917,0.2727,19,0.7917,90,146,28,-18,0.7841,0.1136,-0.75,96.2,1.0227,3.75,-2.3505,4.7368,7.6842,1.4737,6,42.8011,42.8011,0.2143,15,34,24.5,43.5,34,34,24.5,34,34,34,24.5,34,34,15,5,0.2632,0.0682,9,5,0.2083,7,,2,,1,1,,,,0.0341,1
Zack Moss,CIN,RB,65,No,No,No,49,11,No,Yes,10,0.9091,0.2245,9,0.8182,77,85,37,-9,0.898,0.0408,-0.8182,126.1,1.5714,7,0.9377,8.5556,9.4444,4.1111,5,15.8277,15.8277,0.1803,13.7,22.7,18.2,27.2,22.7,22.7,18.2,22.7,22.7,22.7,18.2,22.7,22.7,8,2,0.2222,0.0204,3,1,0.0909,2,,,,1,,1,0.0909,,0.0408,
Travis Kelce,KC,TE,189,No,Yes,No,157,39,No,No,35,0.8974,0.2484,34,0.8718,262,144,41,166,0.0064,0.2102,4.2564,111.8,1.6688,6.7179,-0.123,7.7059,4.2353,1.2059,16,69.0599,69.0599,0.2294,38.2,72.2,55.2,72.2,89.2,75.2,58.2,72.2,72.2,72.2,55.2,89.2,72.2,16,,,0.4013,30,5,0.1282,8,2,3,2,2,2,1,0.0256,,0.3822,
Cole Kmet,CHI,TE,169,No,No,Yes,130,26,No,Yes,24,0.9231,0.2,23,0.8846,200,116,36,101,0.0308,0.0846,3.8846,124.4,1.5385,7.6923,1.2311,8.6957,5.0435,1.5652,8,47.9928,47.9928,0.1757,32,55,43.5,55,66.5,58,46.5,55,55,55,43.5,66.5,55,17,1,0.0435,0.6154,19,4,0.1538,4,2,1,2,2,1,1,0.0385,,0.2692,
Demarcus Robinson,LA,WR,142,Yes,No,No,129,12,No,Yes,10,0.8333,0.093,8,0.6667,51,4,,101,,0.6512,8.4167,114.9,0.3953,4.25,-3.2452,6.375,0.5,,7,34.6014,34.6014,0.0923,35.1,43.1,39.1,43.1,43.1,43.1,39.1,43.1,43.1,43.1,39.1,43.1,43.1,17,,,0.3488,7,,,6,,6,,5,5,1,0.0833,,,
Tyreek Hill,MIA,WR,146,No,No,Yes,127,36,No,Yes,30,0.8333,0.2835,29,0.8056,214,119,28,179,0.0157,0.5984,4.9722,89.1,1.685,5.9444,-0.8146,7.3793,4.1034,0.9655,13,63.2833,63.2833,0.2609,27.4,56.4,41.9,56.4,56.4,59.4,44.9,56.4,56.4,56.4,41.9,56.4,56.4,17,4,0.1379,0.378,31,7,0.1944,7,1,4,,1,1,,,,0.0079,
Kimani Vidal,LAC,RB,30,No,No,No,22,4,No,Yes,4,1,0.1818,2,0.5,5,6,2,1,0.9091,,0.25,56.3,0.2273,1.25,-4.7436,2.5,3,1,,7.6983,7.6983,0.1429,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,10,,,0.0909,2,,,,,,,,,2,0.5,,,
Mason Tipton,NO,WR,73,No,No,No,68,8,No,Yes,6,0.75,0.1176,5,0.625,33,13,3,33,0.0147,0.7794,4.125,71.4,0.4853,4.125,-1.9741,6.6,2.6,0.6,,12.9796,12.9796,0.1212,3.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,11,,,0.2059,4,,,,,,,,,,,,,
Devin Thompkins,CAR,WR,9,Yes,No,No,9,1,No,Yes,1,1,0.1111,1,1,2,5,,-3,,,-3,79.2,0.2222,2,-2.9408,2,5,,,2.7,2.7,0.125,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,7,,,1,1,1,1,1,,,,,,,,,,
Kylen Granson,IND,TE,73,No,No,No,63,7,No,No,6,0.8571,0.1111,6,0.8571,49,36,13,18,0.0159,0.0794,2.5714,56.3,0.7778,7,1.0728,8.1667,6,2.1667,3,13.5647,13.5647,0.1045,4.9,10.9,7.9,10.9,13.9,10.9,7.9,10.9,10.9,10.9,7.9,13.9,10.9,17,,,0.4921,6,1,0.1429,2,,,,,,,,,0.4127,
John Ross,PHI,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Terrace Marshall,LV,WR,22,No,No,No,19,2,No,Yes,1,0.5,0.1053,1,0.5,7,,,18,,0.7895,9,58.3,0.3684,3.5,-4.1898,7,,,,3.1389,3.1389,0.1111,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,7,,,0.2105,1,,,,,,,,,,,,,
Derius Davis,LAC,WR,14,No,No,No,14,5,No,Yes,5,1,0.3571,5,1,52,81,19,-29,,0.2143,-5.8,110,3.7143,10.4,6.6662,10.4,16.2,3.8,3,11.0668,11.0668,0.4167,5.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,10.2,7.7,10.2,10.2,15,2,0.4,0.7857,1,1,0.2,,,,,,,,,,,
Mike Williams,PIT,WR,94,No,No,No,80,4,No,Yes,3,0.75,0.05,2,0.5,12,1,1,39,,0.7375,9.75,56.3,0.15,3,-5.159,6,0.5,0.5,,7.839,7.839,0.0476,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,18,,,0.2625,3,,,1,1,1,,,,,,1,,
George Kittle,SF,TE,118,No,No,No,98,26,No,No,24,0.9231,0.2653,21,0.8077,152,70,24,129,0.0204,0.1224,4.9615,100.6,1.551,5.8462,-1.097,7.2381,3.3333,1.1429,8,51.8456,51.8456,0.25,27.2,48.2,37.7,48.2,58.7,51.2,40.7,48.2,48.2,48.2,37.7,58.7,48.2,15,3,0.1429,0.3265,19,2,0.0769,10,4,3,3,2,2,2,0.0769,,0.5306,
Keenan Allen,CHI,WR,149,No,No,Yes,135,34,No,Yes,29,0.8529,0.2519,23,0.6765,183,52,24,200,,0.4963,5.8824,90.7,1.3556,5.3824,-1.4396,7.9565,2.2609,1.0435,15,62.0701,62.0701,0.2615,23.3,46.3,34.8,46.3,46.3,49.3,37.8,45.3,45.3,45.3,33.8,46.3,45.3,15,,,0.5037,26,2,0.0588,4,4,1,2,1,1,4,0.1176,,,
Dalton Schultz,HST,TE,180,No,Yes,No,138,32,No,No,25,0.7812,0.2319,23,0.7188,196,103,36,133,0.0507,0.1159,4.1562,97.9,1.4203,6.125,-0.3235,8.5217,4.4783,1.5652,10,50.218,50.218,0.1939,25.6,48.6,37.1,48.6,60.1,51.6,40.1,48.6,48.6,48.6,37.1,60.1,48.6,17,3,0.1304,0.2899,20,,,,1,,1,1,,1,0.0312,,0.5435,
Anthony Gould,IND,WR,2,No,No,No,2,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,0.5,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,85,No,No,No,64,18,No,Yes,16,0.8889,0.2812,16,0.8889,133,79,17,92,,0.125,5.1111,134.5,2.0781,7.3889,0.4026,8.3125,4.9375,1.0625,8,33.8243,33.8243,0.2308,25.3,41.3,33.3,41.3,49.3,44.3,36.3,41.3,41.3,41.3,33.3,49.3,41.3,16,1,0.0625,0.4688,14,2,0.1111,5,,2,,2,1,,,,0.4062,1
Jared Wiley,KC,TE,11,No,Yes,Yes,6,1,No,Yes,1,1,0.1667,1,1,7,3,2,4,,0.1667,4,95.8,1.1667,7,0.9333,7,3,2,,1.4343,1.4343,0.1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,7,,,0.1667,1,,,,,,,,,,,,0.6667,
Ja'Lynn Polk,NE,WR,72,Yes,No,Yes,64,11,No,Yes,9,0.8182,0.1719,5,0.4545,28,10,4,75,,0.8125,6.8182,52.5,0.4375,2.5455,-4.6727,5.6,2,0.8,,17.1499,17.1499,0.1642,2.8,7.8,5.3,7.8,7.8,7.8,5.3,7.8,7.8,7.8,5.3,7.8,7.8,15,,,0.1875,8,1,0.0909,,5,,1,,,3,0.2727,,,
Treylon Burks,TEN,WR,26,Yes,No,Yes,20,1,Yes,Yes,1,1,0.05,,,,,,3,,0.9,3,39.6,,,-5.4499,,,,,2.8897,2.8897,0.0435,,,,,,,,,,,,,,5,,,0.1,1,,,,1,,,,,,,,,
James Cook,BUF,RB,65,No,Yes,No,49,13,No,No,12,0.9231,0.2653,11,0.8462,92,106,15,-10,0.9184,0.0204,-0.7692,96.2,1.8776,7.0769,1.0443,8.3636,9.6364,1.3636,5,19.0883,19.0883,0.2241,9.2,20.2,14.7,25.7,20.2,20.2,14.7,20.2,20.2,20.2,14.7,20.2,20.2,16,2,0.1818,0.0408,3,,,,,,,,,1,0.0769,,0.0204,
Elijah Cooks,JAX,WR,2,Yes,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Peyton Hendershot,KC,TE,12,Yes,No,No,10,3,No,Yes,3,1,0.3,3,1,26,16,6,10,,0.1,3.3333,102.8,2.6,8.6667,2.3564,8.6667,5.3333,2,1,4.8661,4.8661,0.25,2.6,5.6,4.1,5.6,7.1,5.6,4.1,5.6,5.6,5.6,4.1,7.1,5.6,7,1,0.3333,0.4,1,,,1,1,,1,,,,,,0.5,
Jordan Akins,CLV,TE,85,No,No,No,74,20,No,Yes,18,0.9,0.2703,15,0.75,108,72,31,71,,0.1486,3.55,87.1,1.4595,5.4,-1.1256,7.2,4.8,2.0667,4,30.9313,30.9313,0.2597,10.8,25.8,18.3,25.8,33.3,28.8,21.3,25.8,25.8,25.8,18.3,33.3,25.8,17,1,0.0667,0.4054,14,4,0.2,1,4,,2,,,1,0.05,,0.4459,
