name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Terrance Ferguson,TE,LAR,203.32515,201.0,51.59,51.59,62.7,56.6,53.77,62.7,50.0,66.35,58.65,,72.12,50.0,50.0,,,,78.33,86.67,50.0,50.0,63.73,10.83,11,MARKET FADE
Kayshon Boutte,WR,NE,208.44328,202.0,47.12,47.76,41.67,53.17,97.54,41.67,50.0,39.84,68.18,,96.34,14.19,11.49,,80.89,,52.32,5.3,82.67,97.52,54.85,29.23,16,POLARIZING; EFFICIENCY EDGE; BOOM MERCHANT
Kaytron Allen,RB,WAS,200.18297,203.0,43.75,43.75,10.1,7.47,21.26,10.1,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,38.38,50.0,50.0,24.44,14.42,8,
Ray Davis,RB,BUF,200.24597,204.0,42.79,42.79,32.21,35.92,86.78,32.21,50.0,,,50.0,,,50.0,50.0,50.0,,98.48,4.55,74.1,91.57,53.76,28.38,11,POLARIZING; BOOM MERCHANT; RB-ZONE-SCHEME
Justice Hill,RB,BAL,211.09242,206.0,37.98,41.83,55.29,48.13,52.87,55.29,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,55.05,69.28,4.82,47.09,15.46,11,MARKET FADE
Ted Hurst,WR,TB,205.53725,207.0,47.76,47.12,38.78,50.09,95.77,38.78,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,52.32,30.79,50.0,50.0,50.18,18.49,8,
MarShawn Lloyd,RB,GB,206.63863,208.0,41.83,40.87,46.63,52.59,98.28,46.63,10.0,,,50.0,,,50.0,50.0,50.0,,47.47,66.16,50.0,50.0,50.05,22.06,9,POLARIZING
Mike Washington Jr.,RB,LV,207.69667,209.0,40.87,39.9,43.75,48.28,94.83,43.75,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,41.92,50.0,50.0,46.75,19.73,8,
Mike Gesicki,TE,CIN,214.56096,210.0,48.41,50.0,54.76,53.3,74.53,54.76,50.0,28.85,29.81,,49.04,50.0,50.0,,,,19.17,78.33,25.0,72.83,49.14,18.41,13,
Christian Kirk,WR,SF,208.70406,211.0,46.47,46.47,40.06,50.0,93.31,40.06,50.0,6.91,55.79,,2.03,50.0,50.0,,21.54,,69.54,39.74,1.49,0.5,36.71,26.61,14,POLARIZING
Kimani Vidal,RB,LAC,209.82414,212.0,39.9,38.94,34.13,33.9,71.84,34.13,50.0,,,50.0,,,50.0,42.71,61.46,,3.54,7.58,10.24,37.95,35.87,19.09,13,RB-GAP-SCHEME
