name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Puka Nacua,WR,LAR,3.923579,1.0,99.04,99.68,99.68,76.24,5.99,99.68,81.58,97.15,57.44,,99.59,55.41,87.16,,80.08,,82.12,83.11,99.5,99.5,82.53,23.67,17,CONSENSUS STUD; POLARIZING
Jahmyr Gibbs,RB,DET,1.1574535,2.0,99.52,99.52,99.52,75.15,5.75,99.52,92.0,,,50.0,,,69.64,71.88,97.92,,47.47,83.33,63.25,75.9,75.36,25.35,15,POLARIZING; FLOOR RISK; RB-ZONE-SCHEME
Jaxon Smith-Njigba,WR,SEA,5.4150596,3.0,98.4,99.04,98.4,75.0,5.28,98.4,81.58,98.78,24.38,,98.78,64.86,73.65,,19.11,,63.91,58.28,98.51,93.07,73.5,29.99,17,CONSENSUS STUD; POLARIZING
Bijan Robinson,RB,ATL,2.0989115,4.0,98.56,98.56,97.6,76.44,7.47,97.6,82.0,,,50.0,,,98.21,65.62,90.62,,20.71,85.86,50.6,72.89,72.85,28.09,15,CONSENSUS STUD; POLARIZING; RB-ZONE-SCHEME
Jonathan Taylor,RB,IND,8.428704,5.0,96.63,97.6,96.63,72.7,2.87,96.63,50.0,,,50.0,,,73.21,76.04,97.92,,80.3,22.73,70.48,49.4,70.22,28.53,14,POLARIZING; RB-GAP-SCHEME
Ja'Marr Chase,WR,CIN,3.0714905,6.0,99.68,98.4,99.04,75.88,6.69,99.04,81.58,77.24,16.12,,61.38,73.65,84.46,,55.69,,15.89,77.48,88.61,38.12,67.59,29.96,17,CONSENSUS STUD; POLARIZING
Amon-Ra St. Brown,WR,DET,7.1643257,7.0,97.76,97.76,97.76,74.3,4.58,97.76,81.58,80.89,88.84,,79.27,58.11,50.0,,9.35,,7.62,55.63,95.54,75.74,67.79,31.62,17,POLARIZING
CeeDee Lamb,WR,DAL,10.389036,8.0,96.47,97.12,97.12,75.53,11.62,97.12,53.95,91.87,27.69,,84.96,48.65,56.08,,15.45,,38.41,63.58,87.62,51.49,64.4,28.57,17,POLARIZING
James Cook III,RB,BUF,11.130455,9.0,95.67,96.63,94.71,70.84,5.75,94.71,54.0,,,50.0,,,55.36,82.29,82.29,,98.48,4.55,87.35,61.45,68.94,29.82,15,POLARIZING
Christian McCaffrey,RB,SF,6.256311,10.0,97.6,95.67,98.56,73.28,1.72,98.56,58.0,,,50.0,,,62.5,15.62,25.0,,66.67,94.95,6.63,24.7,57.96,34.48,15,POLARIZING; EFFICIENCY TRAP
Drake London,WR,ATL,17.398739,11.0,95.83,96.47,95.19,74.12,10.21,95.19,59.21,93.09,5.37,,62.2,33.11,62.16,,36.99,,52.32,92.72,77.72,67.82,65.28,28.84,17,POLARIZING; ZONE-BEATER
Justin Jefferson,WR,MIN,8.967708,12.0,97.12,95.83,96.47,74.12,8.1,96.47,50.0,67.89,39.26,,24.8,76.35,71.62,,49.59,,24.5,36.75,15.35,58.42,58.29,29.8,16,POLARIZING; EFFICIENCY TRAP; FLOOR RISK
Saquon Barkley,RB,PHI,13.358328,13.0,93.75,94.71,87.98,64.65,12.07,87.98,92.0,,,50.0,,,51.79,25.0,90.62,,47.47,88.38,36.75,69.28,66.16,26.59,15,POLARIZING; EFFICIENCY TRAP
Ashton Jeanty,RB,LV,12.128224,14.0,94.71,93.75,92.79,70.11,9.77,92.79,70.0,,,50.0,,,80.36,7.29,61.46,,20.71,41.92,0.6,12.65,53.26,34.13,15,POLARIZING; EFFICIENCY TRAP
Derrick Henry,RB,BAL,20.30244,15.0,88.94,92.79,87.02,72.13,14.37,87.02,46.0,,,50.0,,,50.0,94.79,90.62,,47.47,55.05,82.53,61.45,69.3,23.19,14,POLARIZING
De'Von Achane,RB,MIA,19.072338,16.0,89.9,91.83,95.67,73.28,8.62,95.67,78.0,,,50.0,,,8.93,96.88,90.62,,20.71,10.61,95.78,88.55,66.34,34.71,15,POLARIZING
Kenneth Walker III,RB,KC,14.764475,17.0,92.79,90.87,88.94,68.82,18.39,88.94,50.0,,,50.0,,,50.0,30.21,77.08,,20.71,29.29,25.9,45.78,55.98,28.33,13,POLARIZING; EMPTY CALORIES
George Pickens,WR,DAL,24.32811,18.0,93.91,95.19,90.71,70.42,12.32,90.71,81.58,95.53,15.29,,93.09,12.16,96.62,,17.07,,38.41,63.58,97.52,93.07,68.07,33.28,17,POLARIZING; MAN-BEATER
Omarion Hampton,RB,LAC,15.472762,19.0,91.83,89.9,93.75,68.68,10.92,93.75,50.0,,,50.0,,,35.71,67.71,61.46,,3.54,7.58,64.46,53.01,56.59,30.78,14,POLARIZING
Josh Allen,QB,BUF,27.015394,20.0,99.11,99.11,99.11,82.82,35.94,99.11,67.86,,,,,,,,,76.53,91.07,6.25,84.69,78.57,76.68,27.42,12,POLARIZING; QB-ZONE-BEATER
Chase Brown,RB,CIN,16.945114,21.0,90.87,88.94,86.06,69.25,23.56,86.06,50.0,,,50.0,,,41.07,55.21,61.46,,66.67,63.13,50.6,10.24,60.22,23.4,14,POLARIZING
Nico Collins,WR,HOU,22.560112,22.0,94.55,94.55,93.91,73.76,13.03,93.91,81.58,78.46,70.66,,78.46,12.16,88.51,,25.2,,7.62,72.19,89.6,63.86,66.59,30.39,17,POLARIZING
DeVonta Smith,WR,PHI,28.101109,23.0,92.63,93.91,90.06,69.8,14.08,90.06,81.58,67.07,32.64,,89.02,51.35,22.3,,45.93,,52.32,95.36,93.56,65.35,67.47,26.06,17,POLARIZING; ZONE-BEATER
A.J. Brown,WR,NE,17.701973,24.0,95.19,93.27,92.63,74.3,17.25,92.63,40.79,88.62,22.73,,70.33,7.43,80.41,,42.28,,52.32,5.3,85.64,39.11,58.84,31.44,17,POLARIZING
Trey McBride,TE,ARI,24.179825,25.0,97.62,99.21,99.21,75.0,2.83,99.21,72.22,75.0,14.42,,83.65,20.83,66.67,,,,38.33,49.17,98.91,61.96,65.89,31.29,16,POLARIZING
Brock Bowers,TE,LV,20.01768,26.0,99.21,97.62,97.62,74.06,4.72,97.62,83.33,47.12,97.12,,62.5,18.06,79.17,,,,31.67,25.0,59.78,65.22,64.99,30.53,16,POLARIZING; FLOOR RISK; ZONE-BEATER
Jeremiyah Love,RB,ARI,27.258656,27.0,87.98,87.98,91.83,70.12,13.22,91.83,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,50.51,50.0,50.0,67.62,26.61,8,POLARIZING
Kyren Williams,RB,LAR,30.113329,28.0,87.02,87.02,84.13,70.11,37.36,84.13,50.0,,,50.0,,,1.79,69.79,25.0,,91.41,98.48,94.58,66.87,67.69,27.94,14,POLARIZING
Zay Flowers,WR,BAL,32.1413,29.0,91.35,92.63,91.35,71.3,17.96,91.35,81.58,86.18,87.19,,91.46,88.51,37.16,,76.83,,82.12,66.56,91.58,90.59,78.57,20.3,17,
Rashee Rice,WR,KC,25.12171,30.0,93.27,91.99,95.83,73.24,8.8,95.83,19.74,91.87,3.72,,32.93,89.86,62.16,,27.24,,91.72,16.89,22.28,25.74,55.48,35.24,17,POLARIZING; FLOOR RISK; ZONE-BEATER
Breece Hall,RB,NYJ,31.94612,31.0,86.06,86.06,90.87,74.86,18.39,90.87,50.0,,,50.0,,,87.5,40.62,90.62,,47.47,25.76,13.86,57.83,60.72,27.01,15,POLARIZING; RB-ZONE-SCHEME
Javonte Williams,RB,DAL,38.24001,32.0,84.13,85.1,85.1,68.96,25.86,85.1,50.0,,,50.0,,,5.36,80.21,25.0,,66.67,45.45,99.4,37.95,60.31,27.69,14,POLARIZING
Chris Olave,WR,NO,28.638472,33.0,91.99,91.35,91.99,71.65,15.14,91.99,81.58,62.6,64.05,,65.45,58.11,7.43,,33.74,,7.62,60.93,86.63,21.78,59.06,29.78,17,POLARIZING; MAN-BEATER
Tee Higgins,WR,CIN,35.447487,34.0,89.42,90.71,86.22,74.29,40.49,86.22,81.58,79.27,17.77,,68.7,0.68,50.0,,44.31,,15.89,77.48,68.81,82.67,62.03,27.76,17,POLARIZING; MAN-BEATER
Emeka Egbuka,WR,TB,32.572506,35.0,90.71,90.06,86.86,71.92,28.87,86.86,81.58,69.92,11.98,,30.49,27.7,58.78,,82.93,,52.32,30.79,35.15,15.84,56.04,27.57,17,POLARIZING; ZONE-BEATER
Ladd McConkey,WR,LAC,34.686108,36.0,90.06,89.42,87.5,69.36,16.55,87.5,56.58,45.93,83.06,,37.8,77.7,79.05,,14.23,,1.66,43.38,57.92,47.03,57.93,27.7,17,POLARIZING
Colston Loveland,TE,CHI,39.75494,37.0,96.03,96.03,94.44,70.76,8.49,94.44,38.89,85.58,41.35,,93.27,76.39,62.5,,,,97.5,2.5,92.39,79.35,70.62,30.52,16,POLARIZING
Travis Etienne Jr.,RB,NO,36.58683,38.0,85.1,84.13,82.21,64.95,20.11,82.21,50.0,,,50.0,,,66.07,34.38,61.46,,20.71,69.7,4.22,34.94,54.3,26.09,14,POLARIZING
Malik Nabers,WR,NYG,37.554016,39.0,88.78,88.78,93.27,75.0,22.18,93.27,38.16,93.9,9.5,,67.07,50.0,50.0,,98.78,,63.91,72.19,34.16,4.95,62.93,31.61,15,POLARIZING; ZONE-BEATER
Davante Adams,WR,LAR,47.151356,40.0,84.94,88.14,88.78,72.18,25.7,88.78,25.0,73.58,47.52,,47.56,4.73,3.38,,74.39,,82.12,83.11,61.88,24.26,57.41,29.48,17,POLARIZING
Garrett Wilson,WR,NYJ,38.980015,41.0,88.14,87.5,94.55,71.66,10.92,94.55,50.0,77.24,16.94,,39.43,72.3,25.0,,2.03,,15.89,14.24,23.27,49.01,48.92,32.92,16,POLARIZING; MAN-BEATER
Luther Burden III,WR,CHI,41.94492,42.0,87.5,86.86,81.73,65.14,22.89,81.73,48.68,84.96,50.0,,97.97,99.32,75.0,,10.16,,98.34,1.66,83.66,77.23,67.81,29.77,17,POLARIZING; MAN-BEATER
Tetairoa McMillan,WR,CAR,42.8902,43.0,86.86,86.22,89.42,70.78,9.51,89.42,7.89,56.91,67.36,,60.57,38.51,30.41,,33.74,,24.5,46.69,73.76,79.7,56.01,26.96,17,POLARIZING; ZONE-BEATER
Jaylen Waddle,WR,DEN,47.38509,44.0,84.29,85.58,84.29,70.6,27.82,84.29,30.26,83.33,8.68,,80.08,43.24,34.46,,55.69,,74.5,27.48,76.73,80.69,60.71,25.39,17,POLARIZING
Jameson Williams,WR,DET,52.61034,45.0,83.01,84.94,84.94,72.36,36.97,84.94,50.0,76.02,40.08,,87.4,75.0,92.57,,8.54,,7.62,55.63,94.55,89.6,67.14,27.88,16,POLARIZING
Lamar Jackson,QB,BAL,53.30057,46.0,97.32,97.32,97.32,72.66,23.44,97.32,50.0,,,,,,,,,47.96,81.25,64.29,47.96,66.33,72.11,23.85,11,POLARIZING; FLOOR RISK
Josh Jacobs,RB,GB,43.47012,47.0,83.17,83.17,89.9,68.96,15.52,89.9,14.0,,,50.0,,,83.93,25.0,25.0,,47.47,66.16,7.83,28.31,51.89,29.54,15,POLARIZING; EFFICIENCY TRAP
Christian Watson,WR,GB,54.84723,48.0,82.37,84.29,77.24,69.02,46.83,77.24,81.58,84.15,92.15,,95.53,2.03,67.57,,63.82,,82.12,11.92,81.68,91.58,70.07,25.74,17,POLARIZING; ZONE-BEATER
Cam Skattebo,RB,NYG,43.974316,49.0,82.21,82.21,83.17,62.36,16.67,83.17,6.0,,,50.0,,,50.0,50.0,50.0,,47.47,73.23,15.06,83.13,57.06,28.49,12,POLARIZING; EMPTY CALORIES; RB-GAP-SCHEME
Terry McLaurin,WR,WAS,45.20436,50.0,86.22,83.65,88.14,67.17,20.42,88.14,61.84,88.62,4.55,,85.77,18.24,29.05,,52.44,,38.41,52.32,66.83,77.23,59.36,27.26,17,POLARIZING; ZONE-BEATER
DJ Moore,WR,BUF,46.30887,51.0,85.58,83.01,83.01,68.14,32.75,83.01,50.0,25.61,29.34,,28.05,79.05,54.73,,44.31,,91.72,8.94,46.04,65.35,56.79,25.62,16,POLARIZING; MAN-BEATER
D'Andre Swift,RB,CHI,51.135727,52.0,80.29,81.25,78.37,63.22,30.46,78.37,50.0,,,50.0,,,44.64,84.38,25.0,,91.41,50.51,96.99,89.76,67.47,22.56,14,POLARIZING; RB-ZONE-SCHEME
David Montgomery,RB,HOU,49.94771,53.0,81.25,80.29,75.48,64.66,50.0,75.48,50.0,,,50.0,,,50.0,78.12,25.0,,1.01,57.58,39.16,43.98,55.54,23.26,13,POLARIZING; RB-GAP-SCHEME
Mike Evans,WR,SF,50.520687,54.0,83.65,82.37,76.6,68.31,41.9,76.6,50.0,41.87,82.23,,28.86,50.0,50.0,,93.9,,69.54,39.74,18.32,15.84,58.55,25.51,14,POLARIZING; MAN-BEATER
Carnell Tate,WR,TEN,62.66945,55.0,81.09,81.73,85.58,67.69,20.42,85.58,35.53,50.0,50.0,,50.0,50.0,50.0,,50.0,,52.32,86.42,50.0,50.0,66.26,23.22,9,POLARIZING
Quinshon Judkins,RB,CLE,55.36754,56.0,79.33,79.33,81.25,64.08,27.01,81.25,2.0,,,50.0,,,50.0,21.88,25.0,,20.71,20.2,5.42,53.01,43.6,28.4,14,POLARIZING; EMPTY CALORIES; EFFICIENCY TRAP
TreVeyon Henderson,RB,NE,57.293255,57.0,77.4,78.37,79.33,60.92,24.71,79.33,50.0,,,50.0,,,23.21,92.71,84.38,,66.67,32.32,83.73,41.57,62.48,22.96,14,POLARIZING
Drake Maye,QB,NE,65.47819,58.0,93.75,95.54,95.54,81.25,39.06,95.54,50.0,,,,,,,,,94.9,58.04,4.46,98.98,90.82,77.08,29.21,11,CONSENSUS STUD; POLARIZING
Bhayshul Tuten,RB,JAX,55.50911,59.0,78.37,77.4,77.4,62.36,33.91,77.4,74.0,,,50.0,,,50.0,50.0,50.0,,80.3,17.17,43.98,66.87,61.6,19.89,12,EMPTY CALORIES; RB-GAP-SCHEME
Rome Odunze,WR,CHI,58.597237,60.0,81.73,81.09,83.65,67.78,25.0,83.65,32.89,56.91,63.22,,50.81,60.14,81.76,,42.28,,98.34,1.66,50.0,60.4,60.08,24.16,17,POLARIZING; EMPTY CALORIES; MAN-BEATER
Joe Burrow,QB,CIN,59.050907,61.0,95.54,93.75,88.39,27.34,1.56,88.39,50.0,,,,,,,,,66.33,16.96,75.0,66.33,88.78,64.4,32.01,11,MARKET DARLING; POLARIZING; QB-MAN-BEATER
Jayden Daniels,QB,WAS,69.296234,62.0,91.96,91.96,91.96,69.53,29.69,91.96,89.29,,,,,,,,,43.88,43.75,51.79,31.63,44.9,64.36,24.75,12,POLARIZING; FLOOR RISK; QB-ZONE-BEATER
Caleb Williams,QB,CHI,70.281555,63.0,90.18,90.18,74.11,57.03,45.31,74.11,32.14,,,,,,,,,56.12,98.21,1.79,74.49,60.2,62.82,26.14,12,MARKET DARLING; POLARIZING
Bucky Irving,RB,TB,59.720066,64.0,76.44,76.44,80.29,66.38,29.31,80.29,30.0,,,50.0,,,50.0,3.12,25.0,,20.71,91.41,1.81,19.88,46.51,30.22,14,POLARIZING; EMPTY CALORIES; EFFICIENCY TRAP; RB-ZONE-SCHEME
Tyler Warren,TE,IND,61.25373,65.0,94.44,94.44,92.86,73.59,14.15,92.86,50.0,71.15,8.65,,29.81,36.11,59.72,,,,19.17,92.5,51.09,25.0,57.04,31.58,15,POLARIZING; EMPTY CALORIES
Brian Thomas Jr.,WR,JAX,62.907593,66.0,80.45,80.45,73.4,63.55,44.01,73.4,50.0,60.98,37.6,,40.24,33.11,35.81,,66.67,,74.5,80.13,45.05,23.27,57.04,18.97,16,EMPTY CALORIES
Jadarian Price,RB,SEA,65.58188,67.0,75.48,75.48,73.56,62.93,39.66,73.56,50.0,,,50.0,,,50.0,50.0,50.0,,80.3,79.8,50.0,50.0,70.1,12.54,8,
Parker Washington,WR,JAX,64.096855,68.0,79.81,79.81,75.96,63.74,36.27,75.96,46.05,80.08,41.74,,66.26,19.59,89.86,,35.37,,74.5,80.13,69.8,44.06,62.29,20.07,17,
Jalen Hurts,QB,PHI,75.87803,69.0,88.39,88.39,93.75,46.09,10.94,93.75,25.0,,,,,,,,,64.29,58.04,94.64,58.16,20.41,61.82,29.54,12,POLARIZING
Marvin Harrison Jr.,WR,ARI,67.78468,70.0,79.17,79.17,79.17,63.21,19.37,79.17,50.0,66.26,26.86,,73.58,20.95,60.14,,55.69,,38.41,49.34,74.75,87.62,59.55,21.73,16,
Jordyn Tyson,WR,NO,69.16332,71.0,78.53,78.53,78.53,62.85,26.41,78.53,81.58,50.0,50.0,,50.0,50.0,50.0,,50.0,,7.62,60.93,50.0,50.0,61.5,25.17,9,POLARIZING
Dak Prescott,QB,DAL,79.581375,72.0,86.61,86.61,79.46,80.47,82.81,79.46,50.0,,,,,,,,,92.86,43.75,60.71,90.82,74.49,78.0,13.66,11,CONSENSUS STUD
Alec Pierce,WR,IND,80.24827,73.0,76.6,77.88,81.09,68.83,33.45,81.09,50.0,71.95,60.74,,94.72,3.38,85.81,,89.84,,15.89,89.74,92.57,95.54,69.95,27.33,16,POLARIZING
Tony Pollard,RB,TEN,71.66334,74.0,74.52,74.52,72.6,59.48,32.76,72.6,50.0,,,50.0,,,16.07,30.21,61.46,,20.71,1.52,18.67,24.7,43.56,24.69,14,POLARIZING; EMPTY CALORIES; RB-ZONE-SCHEME
Quentin Johnston,WR,LAC,72.232574,75.0,77.88,77.24,70.19,61.27,45.42,70.19,50.0,47.56,77.27,,63.01,16.89,71.62,,22.36,,1.66,43.38,78.71,46.04,54.42,23.23,16,POLARIZING
Justin Herbert,QB,LAC,81.86889,76.0,84.82,84.82,75.89,58.59,42.19,75.89,50.0,,,,,,,,,45.92,1.79,41.07,70.41,57.14,58.05,23.5,11,POLARIZING
DK Metcalf,WR,PIT,74.51318,77.0,77.24,76.6,79.81,66.11,28.87,79.81,50.0,69.92,46.69,,71.14,30.41,99.32,,86.59,,91.72,34.11,67.82,27.72,64.62,22.82,16,POLARIZING
Trevor Lawrence,QB,JAX,84.66112,78.0,83.04,83.04,83.04,71.09,54.69,83.04,50.0,,,,,,,,,41.84,75.0,77.68,39.8,54.08,67.85,16.26,11,
Chuba Hubbard,RB,CAR,75.83498,79.0,73.56,73.56,68.75,56.61,38.51,68.75,64.0,,,50.0,,,50.0,11.46,25.0,,20.71,76.26,45.18,30.72,50.22,21.11,14,EMPTY CALORIES; EFFICIENCY TRAP; RB-GAP-SCHEME
Rhamondre Stevenson,RB,NE,76.096794,80.0,72.6,72.6,74.52,56.9,36.21,74.52,50.0,,,50.0,,,76.79,53.12,25.0,,66.67,32.32,3.01,70.48,54.62,21.93,14,FLOOR RISK
Makai Lemon,WR,PHI,87.631256,81.0,74.04,75.96,75.32,61.27,24.3,75.32,27.63,50.0,50.0,,50.0,50.0,50.0,,50.0,,52.32,95.36,50.0,50.0,62.39,22.37,9,POLARIZING
Jaylen Warren,RB,PIT,77.27309,82.0,71.63,71.63,70.67,59.19,41.95,70.67,34.0,,,50.0,,,94.64,86.46,25.0,,66.67,13.64,92.17,34.94,58.88,23.89,15,POLARIZING
Tucker Kraft,TE,GB,77.81305,83.0,92.86,92.86,80.16,66.98,27.36,80.16,5.56,99.04,0.96,,87.5,52.78,98.61,,,,78.33,13.33,70.65,98.91,65.38,33.58,16,POLARIZING; MAN-BEATER
Matthew Stafford,QB,LAR,89.28544,84.0,81.25,81.25,84.82,92.97,95.31,84.82,60.71,,,,,,,,,96.94,81.25,80.36,96.94,84.69,85.11,9.61,12,MARKET FADE
Courtland Sutton,WR,DEN,82.64644,85.0,75.96,75.32,82.37,68.66,30.63,82.37,50.0,86.18,10.33,,74.39,10.14,27.03,,82.93,,74.5,27.48,90.59,70.79,60.6,27.61,16,POLARIZING
Kyle Pitts Sr.,TE,ATL,90.59919,86.0,91.27,91.27,88.1,68.4,10.38,88.1,61.11,87.5,64.42,,70.19,61.11,1.39,,,,49.17,94.17,81.52,68.48,67.29,26.64,16,POLARIZING; MAN-BEATER
Sam LaPorta,TE,DET,92.168236,87.0,89.68,89.68,91.27,71.7,17.92,91.27,27.78,91.35,4.81,,85.58,43.06,81.94,,,,10.0,55.0,79.35,88.04,63.65,31.21,16,POLARIZING; ZONE-BEATER
Michael Wilson,WR,ARI,83.44536,88.0,75.32,74.68,68.27,57.04,34.86,68.27,7.89,68.7,21.07,,49.19,22.3,53.38,,40.24,,38.41,49.34,59.9,50.0,49.34,19.18,17,FLOOR RISK
Patrick Mahomes,QB,KC,92.904976,89.0,79.46,79.46,77.68,64.84,48.44,77.68,46.43,,,,,,,,,68.37,91.07,14.29,76.53,66.33,65.88,19.89,12,
Chris Godwin Jr.,WR,TB,84.75472,90.0,74.68,74.04,66.99,59.51,48.94,66.99,14.47,29.67,91.32,,58.94,51.35,97.97,,89.02,,52.32,30.79,43.07,73.76,60.23,22.17,17,POLARIZING
RJ Harvey,RB,DEN,85.7094,91.0,70.67,70.67,64.9,56.04,46.55,64.9,42.0,,,50.0,,,58.93,5.21,61.46,,91.41,34.85,12.65,27.11,50.49,22.34,15,POLARIZING; EFFICIENCY TRAP; FLOOR RISK; RB-GAP-SCHEME
Brock Purdy,QB,SF,97.319725,92.0,77.68,77.68,86.61,83.2,75.0,86.61,82.14,,,,,,,,,88.78,71.43,37.5,78.57,92.86,78.17,13.61,12,MARKET FADE; CONSENSUS STUD; QB-MAN-BEATER
Michael Pittman Jr.,WR,PIT,95.827034,93.0,72.76,73.4,80.45,61.44,18.66,80.45,50.0,32.11,52.48,,33.74,68.24,45.27,,67.89,,91.72,34.11,75.74,53.47,58.87,20.47,16,ZONE-BEATER
Rico Dowdle,RB,PIT,89.77936,94.0,69.71,69.71,69.71,60.63,40.8,69.71,50.0,,,50.0,,,12.5,63.54,61.46,,66.67,13.64,48.8,63.86,54.34,18.9,14,
Harold Fannin Jr.,TE,CLE,100.50972,95.0,88.1,88.1,89.68,67.45,12.26,89.68,50.0,60.58,99.04,,45.19,9.72,90.28,,,,38.33,99.17,33.7,38.04,62.46,29.63,16,POLARIZING; FLOOR RISK; MAN-BEATER
Jayden Reed,WR,GB,91.83599,96.0,73.4,72.76,68.91,57.39,34.15,68.91,50.0,59.76,81.4,,71.95,50.0,50.0,,47.15,,82.12,11.92,50.0,50.0,60.82,19.86,12,
Jaxson Dart,QB,NYG,101.924355,97.0,75.89,75.89,90.18,63.28,32.81,90.18,53.57,,,,,,,,,29.59,66.96,69.64,17.35,40.82,58.85,23.01,12,MARKET FADE; POLARIZING; FLOOR RISK; QB-ZONE-BEATER
Blake Corum,RB,LAR,103.51473,98.0,65.87,68.75,62.02,57.47,62.64,62.02,50.0,,,50.0,,,50.0,98.96,77.08,,91.41,98.48,75.3,47.59,70.58,16.27,13,EFFICIENCY EDGE
Kenneth Gainwell,RB,TB,94.831085,99.0,68.75,67.79,63.94,55.75,48.85,63.94,64.0,,,50.0,,,48.21,51.04,61.46,,20.71,91.41,65.66,83.13,60.31,15.8,15,RB-ZONE-SCHEME
Jared Goff,QB,DET,103.96193,100.0,74.11,74.11,70.54,75.0,98.44,70.54,50.0,,,,,,,,,80.61,7.14,54.46,94.9,82.65,71.14,23.24,11,POLARIZING
Josh Downs,WR,IND,96.28961,101.0,72.12,72.12,69.55,59.69,41.2,69.55,50.0,37.8,59.92,,22.36,37.16,31.76,,79.27,,15.89,89.74,29.7,31.19,51.19,22.03,16,POLARIZING; EMPTY CALORIES; EFFICIENCY TRAP; ZONE-BEATER
George Kittle,TE,SF,104.70962,102.0,86.51,86.51,96.03,76.41,19.81,96.03,16.67,93.27,70.19,,97.12,72.22,76.39,,,,63.33,38.33,94.57,83.7,72.94,25.41,16,MARKET FADE; POLARIZING
Kyle Monangai,RB,CHI,98.72771,103.0,67.79,66.83,65.87,56.18,43.68,65.87,50.0,,,50.0,,,50.0,48.96,25.0,,91.41,50.51,89.76,81.33,61.78,18.14,13,EMPTY CALORIES
Jordan Addison,WR,MIN,99.434135,104.0,71.47,71.47,70.83,61.09,42.61,70.83,50.0,41.06,30.99,,46.75,53.38,65.54,,72.36,,24.5,36.75,58.91,12.87,51.96,18.36,16,EMPTY CALORIES
Jakobi Meyers,WR,JAX,110.25765,105.0,68.91,70.83,74.68,62.06,31.69,74.68,50.0,36.99,99.59,,57.32,43.24,42.57,,72.36,,74.5,80.13,63.86,85.15,64.91,17.94,16,EFFICIENCY EDGE; MAN-BEATER
Jonathon Brooks,RB,CAR,100.73937,106.0,66.83,65.87,60.1,52.87,54.6,60.1,92.0,,,50.0,,,50.0,50.0,50.0,,20.71,76.26,50.0,50.0,61.04,18.21,9,
J.K. Dobbins,RB,DEN,107.22795,107.0,64.9,64.9,67.79,57.47,45.4,67.79,50.0,,,50.0,,,50.0,90.62,77.08,,91.41,34.85,90.96,78.92,67.85,17.21,13,EFFICIENCY EDGE; RB-ZONE-SCHEME
Jordan Love,QB,GB,112.05816,108.0,70.54,72.32,65.18,57.42,75.0,65.18,50.0,,,,,,,,,84.69,81.25,8.04,92.86,72.45,67.72,21.08,11,
Bo Nix,QB,DEN,112.71186,109.0,68.75,70.54,81.25,36.72,20.31,81.25,50.0,,,,,,,,,62.24,75.0,24.11,68.37,25.51,55.82,22.95,11,MARKET FADE; POLARIZING
Dalton Kincaid,TE,BUF,114.0796,110.0,84.92,84.92,73.81,65.56,44.34,73.81,50.0,97.12,10.58,,99.04,45.83,84.72,,,,90.0,10.0,83.7,96.74,69.67,28.24,15,POLARIZING; ZONE-BEATER
Ricky Pearsall,WR,SF,105.52827,111.0,70.83,70.19,67.63,60.56,38.38,67.63,50.0,74.39,33.47,,90.65,15.54,2.03,,4.47,,69.54,39.74,72.77,98.51,54.77,28.27,16,POLARIZING; MAN-BEATER
Matthew Golden,WR,GB,115.127846,112.0,68.27,69.55,77.88,63.65,31.69,77.88,50.0,43.9,73.14,,76.02,50.0,50.0,,47.15,,82.12,11.92,55.94,69.31,60.6,19.58,14,MARKET FADE
Wan'Dale Robinson,WR,TEN,107.77624,113.0,70.19,68.91,72.76,59.86,27.11,72.76,50.0,64.63,48.35,,58.13,81.76,39.86,,92.28,,52.32,86.42,41.09,29.21,60.35,18.93,16,FLOOR RISK
Xavier Worthy,WR,KC,108.70066,114.0,69.55,68.27,74.04,62.5,35.56,74.04,1.32,28.05,93.8,,41.87,84.46,4.73,,59.35,,91.72,16.89,54.95,62.87,54.35,27.76,17,POLARIZING; EFFICIENCY EDGE
Tyler Shough,QB,NO,117.05557,115.0,66.96,68.75,66.96,49.22,51.56,66.96,96.43,,,,,,,,,54.08,7.14,58.04,33.67,40.82,55.05,21.09,12,
Kyler Murray,QB,MIN,111.21937,116.0,72.32,66.96,61.61,14.07,4.69,61.61,50.0,,,,,,,,,35.71,27.68,33.93,41.84,37.76,41.65,20.91,11,MARKET DARLING; QB-MAN-BEATER
Travis Kelce,TE,KC,117.87747,117.0,83.33,83.33,84.92,65.57,16.04,84.92,50.0,78.85,68.27,,60.58,29.17,54.17,,,,90.0,20.0,90.22,57.61,64.47,24.25,15,POLARIZING
Rachaad White,RB,WAS,112.261826,118.0,63.94,63.94,66.83,53.6,43.68,66.83,26.0,,,50.0,,,26.79,57.29,25.0,,20.71,38.38,88.55,32.53,48.27,19.22,15,
Romeo Doubs,WR,NE,120.33274,119.0,67.63,67.63,72.12,63.21,44.72,72.12,50.0,56.91,71.49,,63.82,8.78,46.62,,23.17,,52.32,5.3,79.7,56.44,53.25,21.93,16,ZONE-BEATER
