name,bestball_note,n_clips
Zay Flowers,“RT @jeffzrebiec: Still taking attendance but the offensive players I don’t see participating are WRs Zay Flowers and Rashod Bateman; and OL…” (@32beatwriters) | “Zay Flowers continues to remain a value to me at the 3/4 turn on Underdog.” (@ffdataroma),2
Ben Sinnott,“With WAS TE Ben Sinnott getting some media burn recently due to the Commander's new offensive scheme being implemented by newly hired OC David Blough Are you taking a Rd 18 (or last rd pick) on Sinnott in Zero TE builds going 3-4 TEs?” (@smitchell17),1
Darren Waller,“We're just sitting out here like Darren Waller didn't put up 15+ half PPR fantasy points in 3/7 games with Tua Does not have an ADP on Underdog - if he signs somewhere he flies up the board @FantasyPtsData https://t.co/aVoyZj5Skv” (@dhananizain),1
Davante Adams,“Rams wanted AJ Brown but couldn’t find a trade for Davante Adams (+ knee concern) Eagles drafted Lemon knowing they were moving AJ Brown Baker Mayfield and the Bucs mutually interested in extension - he’ll get at least $50m/yr” (@dhananizain),1
Jonathon Brooks,"“i’m the jonathon brooks sheriff, and you will not be getting jonathon brooks past ADP in any of my DraftKings lobbies” (@coachspeakindex) | “RT @mike_e_kaye: Jonathon Brooks taking part in 11s with a nice one-cut run in traffic.” (@dbro_ffb)",3
Dallas Goedert,“Dallas Goedert w/ AJ Brown (1.45) DeVonta ADP = Round 3 Goedert ADP = Round 12 https://t.co/7ooLrYeZ6V” (@fantasyptsdata) | “It's too low if anything at 135.6 (TE15) in Best Ball contests right now Dallas Goedert is comin…” (@fantasyptsdata),2
Jayden Reed,"“RT @DynastyFFWolf: Buy These Players While You Still Can Here are 10 names from multiple price tiers, from cheaper buys like Jayden Reed a…” (@superrnova38) | “RT @kyletweetshere: Jayden Reed drafters https://t.co/JGunFuLMbl” (@joshnorris)",2
Chase Brown,“@MattOkada says yes Meanwhile: 📈 Chase Brown 📈 DeVonta Smith 📈 Ty Simpson Are among the biggest post-draft winners: https://t.co/8ohI5eWEaH” (@4for4football) | “Chase Brown is one of my biggest fades in drafts right now.” (@ffdataroma),2
Christian McCaffrey,“Sometimes I think about how silly it is that we draft Christian McCaffrey after a bunch of players he will score more than if he stays healthy and we’re just playing a guessing game that this is the year it falls apart” (@dhananizain),1
Elijah Sarratt,"“Devontez Walker enters Year 3 looking to build on flashes of big-play ability, while Baltimore's rookie additions have created additional and immediate competition with Elijah Sarratt already making big plays.”” (@dhananizain)",1
Devontez Walker,"“Devontez Walker enters Year 3 looking to build on flashes of big-play ability, while Baltimore's rookie additions have created additional and immediate competition with Elijah Sarratt already making big plays.”” (@dhananizain)",1
Jaydon Blue,“Re Cowboys backup RB: “Williams’ backup is most likely going to be Jaydon Blue or Malik Davis.” Still a hard click in best ball due to ambiguity but something that could be very profitable if Javonte gets hurt” (@dhananizain),1
Aaron Rodgers,"“However, if he does win-out for the starting job, he absolutely should be viewed in the Aaron Rodgers ADP range, but let's also not act like his injury history has not been extensive up to this point as well:” (@smitchell17)",1
Jordan James,"“SF 49ers beat has Jordan James as the top backup to CMC This can always change, but might help sort out late round picks for an important backup RB spot That and more in this piece: https://t.co/zYgWLf3yhW” (@dhananizain)",1
Brian Robinson Jr.,"“bruiser at RB: got Brian Robinson speed at WR: got Zachariah Branch, Zaccheus, Dotson ""The goal was to find players who differed in build and skill set while complementing the Falcons' established stars.""” (@dhananizain)",1
Ladd McConkey,"“Ladd McConkey is Ryan Heath's favorite bet to follow Jaxon Smith-Njigba's Year 3 breakout 🥇 Here's how their Year 1 and Year 2 metrics stack up, and what conditions are setting McConkey up for the leap!” (@fantasypts)",1
Mark Andrews,“A few tight end names @4for4_John keeps circling in early drafts • Tucker Kraft • Mark Andrews • Hunter Henry • Greg Dulcich • Isaiah Likely Full TE rankings breakdown ⬇️ https://t.co/bZGGXWeLhc” (@4for4football),1
