name,pos,team,adp,proj_pg,p95,cv,spike,bye,w15_opp,w16_opp,w17_game,w17_blowup_rank,adv_pct,ceil_pct,merged_rank
Gunnar Helm,TE,TEN,181.2797,7.382352941176471,20.860717923008167,1.1696864926187944,0.2076666666666666,9.0,IND,LV,PIT@TEN,13,0.5769230769230769,0.5576923076923077,183.0
Kayshon Boutte,WR,NE,208.44328,3.994117647058824,13.74377797606833,1.6017997745624353,0.2455,11.0,KC,NYJ,DEN@NE,6,0.3633093525179856,0.3695652173913043,213.0
Colby Parkinson,TE,LAR,202.43279,3.935294117647059,13.558697276295996,1.4922504159887164,0.2665,11.0,DAL,SEA,LAR@TB,1,0.3269230769230769,0.3269230769230769,205.0
Kaytron Allen,RB,WAS,200.18297,0.7058823529411765,3.2771063473680115,2.317910101732521,0.1736666666666666,7.0,ATL,MIN,JAX@WAS,12,0.0348837209302325,0.0352941176470588,201.0
Chris Bell,WR,MIA,213.4368,6.205882352941177,18.72976747319002,1.3192957638778655,0.1958333333333333,6.0,GB,LAC,BUF@MIA,16,0.4964028776978417,0.5072463768115942,203.0
Cooper Kupp,WR,SEA,199.81197,6.070588235294117,18.40857947738736,1.2770943598326396,0.2074166666666666,11.0,PHI,LAR,CAR@SEA,5,0.4820143884892086,0.4855072463768116,195.0
Ted Hurst,WR,TB,205.53725,3.8,13.077051147152616,1.5474614600095782,0.2435,10.0,NO,ATL,LAR@TB,1,0.3309352517985611,0.3333333333333333,204.0
Braelon Allen,RB,NYJ,191.31499,5.176470588235294,14.70718606124773,1.0087630516308554,0.2181666666666666,13.0,ARI,NE,MIN@NYJ,7,0.4418604651162791,0.4235294117647059,202.0
Tua Tagovailoa,QB,ATL,194.61783,7.244705882352942,14.724024667556822,0.5410763263974224,0.1609166666666666,11.0,WAS,TB,ATL@NO,11,0.2051282051282051,0.032258064516129,197.0
Kimani Vidal,RB,LAC,209.82414,2.094117647058824,7.610906136429399,1.4520364183472212,0.21075,7.0,SF,MIA,KC@LAC,9,0.2209302325581395,0.2117647058823529,215.0
Tre' Harris,WR,LAC,176.87885,5.1647058823529415,16.147483303511976,1.296450967033207,0.2151666666666666,7.0,SF,MIA,KC@LAC,9,0.4388489208633093,0.4202898550724637,188.0
Ray Davis,RB,BUF,200.24597,1.9882352941176469,7.099420461913319,1.406699769446716,0.2268333333333333,7.0,CHI,DEN,BUF@MIA,16,0.1976744186046511,0.188235294117647,208.0
Pat Freiermuth,TE,PIT,198.64694,8.123529411764705,22.723678821875144,1.087827323470929,0.2000833333333333,9.0,BAL,CAR,PIT@TEN,13,0.6153846153846154,0.6346153846153846,194.0
Christian Kirk,WR,SF,208.70406,3.929411764705882,13.354377125550526,1.7309747892384315,0.2426666666666666,8.0,LAC,KC,PHI@SF,8,0.3453237410071942,0.3405797101449275,216.0
Malachi Fields,WR,NYG,214.6708,2.047058823529412,8.238569690335003,1.9854278620480208,0.2036666666666666,8.0,CLE,DET,DAL@NYG,3,0.1366906474820144,0.1231884057971014,218.0
Zachariah Branch,WR,ATL,188.76833,3.070588235294118,11.48679660690702,1.6644609204071317,0.2195,11.0,WAS,TB,ATL@NO,11,0.2158273381294964,0.2318840579710145,198.0
Sean Tucker,RB,TB,183.82782,1.5647058823529412,6.160524678887063,1.600338282321596,0.20075,10.0,NO,ATL,LAR@TB,1,0.1162790697674418,0.1176470588235294,185.0
Terrance Ferguson,TE,LAR,203.32515,7.376470588235295,21.40666407744781,1.302785539143331,0.2024166666666666,11.0,DAL,SEA,LAR@TB,1,0.5576923076923077,0.5769230769230769,214.0
Adonai Mitchell,WR,NYJ,177.06758,6.735294117647059,20.256711473668503,1.1953151315605672,0.20075,13.0,ARI,NE,MIN@NYJ,7,0.539568345323741,0.5434782608695652,190.0
Keon Coleman,WR,BUF,214.30032,3.388235294117647,12.026093410042948,1.6361784442088223,0.2425833333333333,7.0,CHI,DEN,BUF@MIA,16,0.2446043165467626,0.2391304347826087,222.0
Justice Hill,RB,BAL,211.09242,6.7176470588235295,17.80429898835351,0.945073806577411,0.1976666666666666,13.0,PIT,CLE,BAL@CIN,2,0.4767441860465116,0.4705882352941176,211.0
Darnell Mooney,WR,NYG,218.81413,5.770588235294119,17.50124533106354,1.2787932803178128,0.21,8.0,CLE,DET,DAL@NYG,3,0.4676258992805755,0.463768115942029,220.0
Shedeur Sanders,QB,CLE,217.63873,6.165882352941176,,,,11.0,NYG,BAL,CLE@IND,15,0.1538461538461538,,225.0
Mike Gesicki,TE,CIN,214.56096,6.429411764705883,19.03634464868155,1.1889509936570068,0.2129166666666666,6.0,CAR,IND,BAL@CIN,2,0.4807692307692308,0.4807692307692308,217.0
Deshaun Watson,QB,CLE,215.75221,7.867058823529412,15.439736778227342,0.5069627720168193,0.1470833333333333,11.0,NYG,BAL,CLE@IND,15,0.2307692307692307,0.064516129032258,206.0
James Conner,RB,ARI,225.15446,,,,,14.0,NYJ,NO,ARI@LV,14,,,230.0
Greg Dulcich,TE,MIA,174.76662,6.705882352941177,19.32661748977242,1.2723318822652403,0.1948333333333333,6.0,GB,LAC,BUF@MIA,16,0.5096153846153846,0.5192307692307693,184.0
Kaelon Black,RB,SF,223.59723,1.8529411764705883,6.8727916553224375,1.44980541562793,0.2050833333333333,8.0,LAC,KC,PHI@SF,8,0.1744186046511628,0.1411764705882353,227.0
Michael Penix Jr.,QB,ATL,222.30586,7.062352941176471,,,,11.0,WAS,TB,ATL@NO,11,0.1794871794871795,,223.0
Dontayvion Wicks,WR,PHI,196.38947,3.5235294117647062,12.3353491890075,1.4516373993333118,0.2443333333333333,10.0,SEA,HOU,PHI@SF,8,0.2589928057553957,0.2463768115942029,210.0
Troy Franklin,WR,DEN,219.17577,3.041176470588236,11.314296320315467,1.7042524102627954,0.2305,10.0,LV,BUF,DEN@NE,6,0.2086330935251798,0.2101449275362318,242.0
Demond Claiborne,RB,MIN,219.90318,1.464705882352941,5.994928519997695,1.567570794979212,0.2014166666666666,6.0,DET,WAS,MIN@NYJ,7,0.0930232558139534,0.1058823529411764,231.0
Evan Engram,TE,DEN,221.58185,6.194117647058825,18.298102056900376,1.3090830479966429,0.2025,10.0,LV,BUF,DEN@NE,6,0.4423076923076923,0.4423076923076923,224.0
Tory Horton,WR,SEA,223.48407,3.758823529411765,12.81213344686848,1.4714582222941124,0.24625,11.0,PHI,LAR,CAR@SEA,5,0.3237410071942446,0.2971014492753623,233.0
Elijah Sarratt,WR,BAL,220.91122,3.6117647058823534,12.694559462816937,1.5912181274737989,0.2384166666666666,13.0,PIT,CLE,BAL@CIN,2,0.2661870503597122,0.2753623188405797,234.0
Jake Tonges,TE,SF,227.84093,1.9176470588235293,8.295442469318852,2.1451310084806394,0.2006666666666666,8.0,LAC,KC,PHI@SF,8,0.0769230769230769,0.0769230769230769,268.0
Justin Fields,QB,KC,228.50427,0.6529411764705884,,,,5.0,NE,SF,KC@LAC,9,0.0769230769230769,,263.0
Kirk Cousins,QB,LV,220.95107,2.7894117647058825,,,,13.0,DEN,TEN,ARI@LV,14,0.1282051282051282,,229.0
