name,pos,team,env,opp,eff,matchup,role,consensus,divergence,p_w15,p_w16,p_w17,profile
Tank Bigsby,RB,PHI,37.9,18.9,95.9,54.4,92.4,59.9,30.2,0.0103,0.0103,0.0097,"efficiency+role elite, volume cool (sources DIVERGE)"
Gunnar Helm,TE,TEN,17.5,29.8,26.0,79.2,20.2,34.5,22.7,0.1342,0.105,0.1098,"matchup elite, Vegas+volume+efficiency+role cool (sources DIVERGE)"
Germie Bernard,WR,PIT,29.5,,,75.8,,52.6,23.2,0.0578,0.0635,0.0578,"matchup elite, Vegas cool (sources DIVERGE)"
Sean Tucker,RB,TB,71.2,23.8,25.3,76.2,90.0,57.3,27.4,0.003,0.0027,0.0027,"Vegas+matchup+role elite, volume+efficiency cool (sources DIVERGE)"
Calvin Ridley,WR,TEN,22.8,56.0,16.7,82.5,67.9,49.2,25.5,0.091,0.069,0.0726,"matchup elite, Vegas+efficiency cool (sources DIVERGE)"
Greg Dulcich,TE,MIA,0.8,27.9,95.2,37.5,85.6,49.4,35.7,0.071,0.0749,0.0828,"efficiency+role elite, Vegas+volume cool (sources DIVERGE)"
Tre' Harris,WR,LAC,74.5,18.7,65.4,45.4,63.8,53.6,19.8,0.0363,0.0415,0.033,"Vegas elite, volume cool"
Nick Singleton,RB,TEN,21.7,,,22.8,,22.2,0.6,0.0024,0.0017,0.0018,Vegas+matchup cool
Tank Dell,WR,HOU,19.5,,,5.0,,12.2,7.2,0.0507,0.0334,0.0375,Vegas+matchup cool
Cooper Kupp,WR,SEA,68.2,54.4,53.3,17.2,24.0,43.4,19.5,0.0421,0.0551,0.0507,matchup+role cool
Cade Otton,TE,TB,62.5,77.9,35.6,55.8,64.4,59.2,13.8,0.1108,0.1025,0.1025,volume elite
David Njoku,TE,LAC,65.8,43.3,14.4,45.8,24.0,38.7,18.0,0.0709,0.0795,0.0653,efficiency+role cool
Adonai Mitchell,WR,NYJ,8.3,46.4,11.8,93.0,15.0,34.9,32.1,0.047,0.0312,0.0355,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Emanuel Wilson,RB,SEA,67.7,6.7,59.4,44.2,39.4,43.5,21.0,0.0035,0.0046,0.0042,volume cool
Pat Freiermuth,TE,PIT,23.3,37.5,81.7,73.3,89.4,61.0,25.9,0.1337,0.1451,0.1337,"efficiency+matchup+role elite, Vegas cool (sources DIVERGE)"
Emmett Johnson,RB,KC,45.5,,,9.7,,27.6,17.9,0.0073,0.0081,0.0057,matchup cool
Colby Parkinson,TE,LAR,93.3,26.0,43.3,95.0,76.0,66.7,27.6,0.0658,0.0471,0.057,"Vegas+matchup+role elite, volume cool (sources DIVERGE)"
Kaytron Allen,RB,WAS,59.6,,,52.9,,56.2,3.4,0.0012,0.0008,0.0009,"mixed reads, no strong driver"
Tua Tagovailoa,QB,ATL,41.1,54.5,19.4,92.9,21.4,45.9,26.9,0.0039,0.0044,0.0044,"matchup elite, efficiency+role cool (sources DIVERGE)"
Brandon Aiyuk,WR,SF,53.0,,,53.0,,53.0,0.0,,,,"mixed reads, no strong driver"
Ted Hurst,WR,TB,71.2,,,56.6,,63.9,7.3,0.024,0.0219,0.0219,Vegas elite
Kayshon Boutte,WR,NE,33.1,40.9,88.2,49.0,97.2,61.7,26.0,0.02,0.0254,0.0232,"efficiency+role elite, Vegas cool (sources DIVERGE)"
Zachariah Branch,WR,ATL,41.1,,,98.7,,69.9,28.8,0.0131,0.0138,0.0138,matchup elite (sources DIVERGE)
Eli Stowers,TE,PHI,35.0,,,10.0,,22.5,12.5,0.0156,0.0156,0.0149,Vegas+matchup cool
Braelon Allen,RB,NYJ,6.6,14.0,0.6,85.0,2.9,21.8,31.9,0.0185,0.0108,0.0127,"matchup elite, Vegas+volume+efficiency+role cool (sources DIVERGE)"
MarShawn Lloyd,RB,GB,82.3,,,71.8,,77.0,5.2,0.025,0.0167,0.0158,Vegas+matchup elite
Mike Washington Jr.,RB,LV,16.7,,,45.6,,31.2,14.4,0.0053,0.0091,0.0104,Vegas cool
Ray Davis,RB,BUF,91.4,11.6,58.2,87.9,86.5,67.1,30.2,0.0053,0.0034,0.0058,"Vegas+matchup+role elite, volume cool (sources DIVERGE)"
Chris Bell,WR,MIA,2.0,,,38.4,,20.2,18.2,0.0294,0.0313,0.0351,Vegas cool
Terrance Ferguson,TE,LAR,93.3,14.4,52.9,95.0,95.2,70.2,32.2,0.1795,0.1362,0.1596,"Vegas+matchup+role elite, volume cool (sources DIVERGE)"
Christian Kirk,WR,SF,53.0,39.3,3.7,53.0,1.2,30.0,23.1,0.0244,0.0244,0.0277,efficiency+role cool (sources DIVERGE)
Justice Hill,RB,BAL,79.3,21.3,53.5,79.6,10.0,48.7,28.9,0.0461,0.0594,0.0512,"Vegas+matchup elite, volume+role cool (sources DIVERGE)"
Dontayvion Wicks,WR,PHI,43.7,26.6,58.1,10.6,46.7,37.1,16.7,0.0161,0.0161,0.0153,volume+matchup cool
Kimani Vidal,RB,LAC,74.2,57.9,13.5,4.4,50.0,40.0,26.7,0.0048,0.0056,0.0043,"Vegas elite, efficiency+matchup cool (sources DIVERGE)"
Deshaun Watson,QB,CLE,5.4,52.7,,19.6,,25.9,19.8,0.0017,0.0012,0.0038,Vegas+matchup cool
Malachi Fields,WR,NYG,37.4,,,30.8,,34.1,3.3,0.0074,0.0061,0.0078,matchup cool
Keon Coleman,WR,BUF,92.4,52.8,36.2,72.5,63.0,63.4,18.8,0.0246,0.0176,0.0265,Vegas+matchup elite
Mike Gesicki,TE,CIN,85.0,24.0,39.4,28.3,70.2,49.4,24.0,0.1178,0.1305,0.1262,"Vegas+role elite, volume+matchup cool (sources DIVERGE)"
Michael Penix Jr.,QB,ATL,41.1,65.2,54.1,92.9,43.9,59.4,18.8,,,,matchup elite
Darnell Mooney,WR,NYG,37.4,48.0,15.9,30.8,66.3,39.7,16.9,0.0396,0.0322,0.0416,efficiency+matchup cool
Shedeur Sanders,QB,CLE,5.4,63.4,5.1,19.6,25.5,23.8,21.3,,,,Vegas+efficiency+matchup+role cool
Jordan James,RB,SF,49.5,27.4,,93.7,,56.9,27.6,0.0102,0.0102,0.0122,"matchup elite, volume cool (sources DIVERGE)"
Kaelon Black,RB,SF,49.5,,,93.7,,71.6,22.1,0.0028,0.0028,0.0034,matchup elite (sources DIVERGE)
Evan Engram,TE,DEN,20.0,39.4,24.0,76.7,4.8,33.0,24.5,0.0941,0.0979,0.0758,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
James Conner,RB,ARI,10.1,56.7,33.5,99.5,8.8,41.7,33.8,,,,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Kirk Cousins,QB,LV,19.6,42.0,31.6,3.6,13.3,22.0,13.5,,,,Vegas+efficiency+matchup+role cool
Chris Brazzell II,WR,CAR,12.9,,,87.7,,50.3,37.4,0.0166,0.0118,0.0125,"matchup elite, Vegas cool (sources DIVERGE)"
Tory Horton,WR,SEA,68.2,31.3,50.0,17.2,41.9,41.7,17.2,0.0172,0.023,0.021,volume+matchup cool
Jonnu Smith,TE,FA,,41.3,4.8,,6.7,17.6,16.8,,,,efficiency+role cool
Troy Franklin,WR,DEN,26.2,59.1,24.8,79.1,28.9,43.6,21.8,0.014,0.0147,0.0108,"matchup elite, Vegas+efficiency+role cool"
Ty Simpson,QB,LAR,94.6,70.5,,96.4,,87.2,11.8,,,,Vegas+volume+matchup elite
Jaydon Blue,RB,DAL,98.0,26.2,6.5,20.9,30.0,36.3,31.9,0.0038,0.0052,0.0057,"Vegas elite, volume+efficiency+matchup+role cool (sources DIVERGE)"
Demond Claiborne,RB,MIN,53.0,,,31.6,,42.3,10.7,0.002,0.0026,0.0017,matchup cool
Elijah Sarratt,WR,BAL,81.1,,,62.6,,71.8,9.2,0.0213,0.0262,0.0232,Vegas elite
Pat Bryant,WR,DEN,26.2,23.4,45.9,79.1,39.4,42.8,20.0,0.0242,0.0253,0.0186,"matchup elite, Vegas+volume cool"
Odell Beckham Jr.,WR,NYG,37.4,,,30.8,,34.1,3.3,0.0081,0.0065,0.0085,matchup cool
Samaje Perine,RB,CIN,88.4,28.7,39.4,96.6,78.2,66.3,27.1,0.039,0.0454,0.0432,"Vegas+matchup+role elite, volume cool (sources DIVERGE)"
Justin Fields,QB,KC,50.0,99.1,15.3,57.1,70.4,58.4,27.3,,,,"volume+role elite, efficiency cool (sources DIVERGE)"
Noah Fant,TE,NO,39.2,12.5,6.7,59.2,22.1,27.9,19.1,0.0206,0.0322,0.0226,volume+efficiency+role cool
Chris Brooks,RB,GB,82.3,7.9,51.2,71.8,58.2,54.3,25.6,0.0142,0.0094,0.0089,"Vegas+matchup elite, volume cool (sources DIVERGE)"
Kareem Hunt,RB,FA,,48.2,84.1,12.1,74.7,54.8,27.9,,,,"efficiency+role elite, matchup cool (sources DIVERGE)"
Tyquan Thornton,WR,KC,49.3,36.9,92.3,34.8,98.8,62.4,27.6,0.03,0.0328,0.0248,"efficiency+role elite, matchup cool (sources DIVERGE)"
J.J. McCarthy,QB,MIN,57.1,84.8,9.2,12.5,39.8,40.7,28.3,,,,"volume elite, efficiency+matchup cool (sources DIVERGE)"
CJ Daniels,WR,LAR,95.7,,,95.7,,95.7,0.0,0.0017,0.0012,0.0014,Vegas+matchup elite
George Holani,RB,SEA,67.7,17.7,19.4,78.2,13.5,39.3,27.7,0.0061,0.0085,0.0077,"matchup elite, volume+efficiency+role cool (sources DIVERGE)"
Jake Tonges,TE,SF,46.7,45.2,58.7,53.3,29.8,46.7,9.8,0.015,0.015,0.0169,role cool
Trevor Etienne,RB,CAR,13.6,33.5,98.2,33.5,98.2,55.4,35.7,0.0032,0.0021,0.0023,"efficiency+role elite, Vegas+volume+matchup cool (sources DIVERGE)"
Carson Beck,QB,ARI,13.4,96.4,,88.4,,66.1,37.4,0.0784,0.0508,0.0863,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Emari Demercado,RB,KC,45.5,,87.6,3.4,52.4,47.2,29.9,0.0134,0.015,0.0104,"efficiency elite, matchup cool (sources DIVERGE)"
Nick Chubb,RB,FA,,36.0,68.8,74.3,21.8,50.2,22.0,,,,"matchup elite, role cool"
JuJu Smith-Schuster,WR,NYG,37.4,8.3,27.2,30.8,24.8,25.7,9.7,0.0067,0.0058,0.0069,volume+efficiency+matchup+role cool
Joe Mixon,RB,FA,,,,,,,0.0,,,,no source data
Colbie Young,WR,CIN,89.4,,,27.2,,58.3,31.1,0.0013,0.0014,0.0014,"Vegas elite, matchup cool (sources DIVERGE)"
Darnell Washington,TE,PIT,23.3,22.1,76.0,73.3,87.5,56.4,28.0,0.045,0.0493,0.045,"efficiency+matchup+role elite, Vegas+volume cool (sources DIVERGE)"
DeAndre Hopkins,WR,FA,,51.2,78.5,,92.3,74.0,17.1,,,,efficiency+role elite
Brashard Smith,RB,KC,45.5,20.1,99.4,9.7,97.1,54.4,37.7,,,,"efficiency+role elite, volume+matchup cool (sources DIVERGE)"
Ollie Gordon II,RB,MIA,1.5,9.1,45.3,47.1,15.9,23.8,18.9,0.0014,0.0015,0.0018,Vegas+volume+role cool
Ty Johnson,RB,BUF,91.4,10.4,97.1,98.5,99.4,79.4,34.6,0.0299,0.0191,0.033,"Vegas+efficiency+matchup+role elite, volume cool (sources DIVERGE)"
Kaleb Johnson,RB,PIT,27.8,4.3,14.7,2.4,24.1,14.7,10.2,0.0001,0.0001,0.0001,Vegas+volume+efficiency+matchup+role cool
Eli Heidenreich,WR,PIT,29.5,,,75.8,,52.6,23.2,,,,"matchup elite, Vegas cool (sources DIVERGE)"
Noah Gray,TE,KC,43.3,18.3,1.0,35.0,18.3,23.2,14.7,0.0474,0.0504,0.0416,volume+efficiency+matchup+role cool
Will Shipley,RB,PHI,37.9,3.0,2.9,54.4,4.1,20.5,21.6,0.0025,0.0025,0.0024,volume+efficiency+role cool
Devin Singletary,RB,NYG,32.8,29.9,7.6,61.7,12.4,28.9,19.1,0.0019,0.0014,0.002,Vegas+volume+efficiency+role cool
Jaylin Noel,WR,HOU,19.5,11.5,43.5,5.0,20.7,20.0,13.0,0.0182,0.0123,0.0137,Vegas+volume+matchup+role cool
Tyler Higbee,TE,LAR,93.3,33.7,60.6,95.0,79.8,72.5,23.0,0.027,0.0194,0.0234,"Vegas+matchup+role elite, volume cool (sources DIVERGE)"
Rashod Bateman,WR,BAL,81.1,36.1,7.7,62.6,18.3,41.2,27.3,0.0708,0.0859,0.0768,"Vegas elite, efficiency+role cool (sources DIVERGE)"
J'Mari Taylor,RB,JAX,63.6,95.7,,35.4,,64.9,24.6,,,,volume elite (sources DIVERGE)
Isaiah Bond,WR,CLE,5.6,29.0,10.2,69.2,19.9,26.8,22.7,0.0015,0.0013,0.002,Vegas+volume+efficiency+role cool (sources DIVERGE)
Keenan Allen,WR,FA,,93.3,54.9,,37.8,62.0,23.2,,,,volume elite (sources DIVERGE)
Zavion Thomas,WR,CHI,77.8,,,42.1,,60.0,17.8,0.0009,0.001,0.001,Vegas elite
Joshua Palmer,WR,BUF,92.4,22.6,,72.5,,62.5,29.4,0.0159,0.0113,0.0171,"Vegas+matchup elite, volume cool (sources DIVERGE)"
Tutu Atwell,WR,MIA,2.0,17.1,35.4,38.4,95.5,37.7,31.8,0.0091,0.0097,0.0109,"role elite, Vegas+volume cool (sources DIVERGE)"
Marvin Mims Jr.,WR,DEN,26.2,28.2,50.8,79.1,33.7,43.6,19.7,0.0216,0.0226,0.0166,"matchup elite, Vegas+volume+role cool"
Charlie Kolar,TE,LAC,65.8,1.0,85.6,45.8,99.0,59.4,34.3,0.0073,0.0082,0.0067,"efficiency+role elite, volume cool (sources DIVERGE)"
Isaiah Davis,RB,NYJ,6.6,15.2,41.8,70.4,34.7,33.7,22.3,0.0058,0.0037,0.0042,"matchup elite, Vegas+volume+role cool (sources DIVERGE)"
Dont'e Thornton Jr.,WR,LV,16.2,19.4,2.8,1.7,90.7,26.2,33.0,0.0062,0.0092,0.0102,"role elite, Vegas+volume+efficiency+matchup cool (sources DIVERGE)"
Sam Roush,TE,CHI,70.8,,,40.8,,55.8,15.0,,,,Vegas elite
Devin Neal,RB,NO,41.4,38.4,8.8,14.1,6.5,21.8,15.0,,,,efficiency+matchup+role cool
Devontez Walker,WR,BAL,81.1,6.0,98.0,62.6,99.6,69.5,34.4,0.0084,0.0103,0.0091,"Vegas+efficiency+role elite, volume cool (sources DIVERGE)"
Jalen Tolbert,WR,MIA,2.0,32.1,11.0,38.4,21.5,21.0,13.3,0.0104,0.0111,0.0127,Vegas+volume+efficiency+role cool
Mack Hollins,WR,NE,33.1,52.0,58.9,49.0,53.3,49.3,8.7,0.0047,0.0061,0.0055,Vegas cool
Zach Ertz,TE,FA,,87.5,2.9,,39.4,43.3,34.6,,,,"volume elite, efficiency cool (sources DIVERGE)"
DeMario Douglas,WR,NE,33.1,21.8,93.9,49.0,78.5,55.3,27.1,0.0146,0.0187,0.017,"efficiency+role elite, Vegas+volume cool (sources DIVERGE)"
Gardner Minshew II,QB,ARI,13.4,96.4,13.3,88.4,1.0,42.5,41.1,,,,"volume+matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Riley Leonard,QB,IND,61.6,17.0,29.6,42.0,17.3,33.5,16.8,,,,volume+efficiency+role cool
Andrei Iosivas,WR,CIN,89.4,47.2,34.6,27.2,30.5,45.8,22.8,0.0337,0.0381,0.0366,"Vegas elite, efficiency+matchup+role cool (sources DIVERGE)"
Erick All Jr.,TE,CIN,85.0,,,28.3,,56.6,28.4,0.0225,0.0252,0.0243,"Vegas elite, matchup cool (sources DIVERGE)"
Greg Dortch,WR,DET,86.8,99.6,25.6,7.9,31.3,50.2,36.1,0.0019,0.0024,0.002,"Vegas+volume elite, efficiency+matchup+role cool (sources DIVERGE)"
Tanner McKee,QB,PHI,44.6,0.9,68.4,28.6,11.2,30.7,24.0,,,,volume+matchup+role cool (sources DIVERGE)
Tanner Koziol,TE,JAX,56.7,,,25.0,,40.8,15.8,,,,matchup cool
Eli Raridon,TE,NE,26.7,,,50.0,,38.4,11.6,0.0149,0.0186,0.0171,Vegas cool
DJ Giddens,RB,IND,56.1,12.8,52.4,56.8,25.3,40.7,18.2,0.0045,0.005,0.0037,volume+role cool
Joe Flacco,QB,CIN,89.3,75.9,17.3,75.0,7.1,52.9,33.8,,,,"Vegas+volume+matchup elite, efficiency+role cool (sources DIVERGE)"
Kendrick Bourne,WR,ARI,10.3,14.7,80.9,85.1,85.0,55.2,34.9,0.012,0.0095,0.0126,"efficiency+matchup+role elite, Vegas+volume cool (sources DIVERGE)"
Theo Johnson,TE,NYG,30.0,68.3,22.1,31.7,68.3,44.1,20.0,0.0446,0.0374,0.0464,Vegas+efficiency+matchup cool
Trey Lance,QB,LAC,75.0,38.4,1.0,66.1,33.7,42.8,26.2,,,,"Vegas elite, efficiency+role cool (sources DIVERGE)"
Skyler Bell,WR,BUF,92.4,,,72.5,,82.4,10.0,0.0151,0.0108,0.0162,Vegas+matchup elite
Caleb Douglas,WR,MIA,2.0,,,38.4,,20.2,18.2,0.021,0.0224,0.0253,Vegas cool
Max Klare,TE,LAR,93.3,,,95.0,,94.2,0.9,0.0031,0.0022,0.0027,Vegas+matchup elite
Marcus Mariota,QB,WAS,66.1,47.3,33.7,62.5,76.5,57.2,15.0,,,,"role elite, efficiency cool"
KaVontae Turpin,WR,DAL,98.7,6.7,85.8,19.9,54.9,53.2,35.8,0.0206,0.0267,0.0288,"Vegas+efficiency elite, volume+matchup cool (sources DIVERGE)"
Darius Slayton,WR,NYG,37.4,50.4,42.7,30.8,88.2,49.9,20.2,0.0336,0.0275,0.0352,"role elite, matchup cool"
Malik Davis,RB,DAL,98.0,16.5,30.0,42.2,31.2,43.6,28.4,0.0082,0.0112,0.0123,"Vegas elite, volume+efficiency+role cool (sources DIVERGE)"
Luke McCaffrey,WR,WAS,62.3,12.3,87.4,13.9,29.7,41.1,29.3,,,,"efficiency elite, volume+matchup+role cool (sources DIVERGE)"
Hollywood Brown,WR,PHI,43.7,,,10.6,,27.2,16.6,,,,matchup cool
Quinn Ewers,QB,MIA,1.8,6.2,11.2,25.0,15.3,11.9,8.0,,,,all 5 sources agree: weak across the board
Darren Waller,TE,FA,,52.9,87.5,,97.1,79.2,19.0,,,,efficiency+role elite
Drew Allar,QB,PIT,31.2,89.3,,81.2,,67.2,25.7,,,,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Chimere Dike,WR,TEN,22.8,44.8,17.5,82.5,14.2,36.4,25.4,0.0057,0.0042,0.0044,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Ashton Dulin,WR,IND,58.6,1.2,32.9,65.9,69.5,45.6,25.6,0.0121,0.0133,0.0105,volume+efficiency cool (sources DIVERGE)
Michael Trigg,TE,DAL,98.3,,,20.0,,59.2,39.2,,,,"Vegas elite, matchup cool (sources DIVERGE)"
Calvin Austin III,WR,NYG,37.4,20.2,18.3,30.8,19.1,25.2,7.6,0.0028,0.0023,0.0029,all 5 sources agree: weak across the board
Roman Wilson,WR,PIT,29.5,13.1,47.6,75.8,89.8,51.2,28.4,,,,"matchup+role elite, Vegas+volume cool (sources DIVERGE)"
Bryce Lance,WR,NO,46.4,,,59.6,,53.0,6.6,0.0089,0.0146,0.0098,"mixed reads, no strong driver"
Elic Ayomanor,WR,TEN,22.8,58.3,9.3,82.5,52.4,45.1,26.1,0.002,0.0015,0.0016,"matchup elite, Vegas+efficiency cool (sources DIVERGE)"
Cole Kmet,TE,CHI,70.8,16.3,33.7,40.8,41.3,40.6,17.6,0.0323,0.0367,0.0382,"Vegas elite, volume+efficiency cool"
Jalen Royals,WR,KC,49.3,37.7,0.4,34.8,76.8,39.8,24.7,0.0132,0.0144,0.0108,"role elite, efficiency+matchup cool (sources DIVERGE)"
Adam Randall,RB,BAL,79.3,,,79.6,,79.4,0.1,0.0027,0.0035,0.003,Vegas+matchup elite
Seth McGowan,RB,IND,56.1,,,57.8,,57.0,0.8,0.0009,0.001,0.0008,"mixed reads, no strong driver"
Michael Mayer,TE,LV,13.3,51.0,8.7,1.7,31.7,21.3,17.9,0.0363,0.0523,0.0571,Vegas+efficiency+matchup+role cool
Jack Bech,WR,LV,16.2,16.3,33.7,1.7,23.2,18.2,10.4,0.0251,0.0379,0.0419,Vegas+volume+efficiency+matchup+role cool
Luke Musgrave,TE,GB,78.3,8.7,62.5,86.7,51.0,57.4,27.3,0.0226,0.0165,0.0158,"Vegas+matchup elite, volume cool (sources DIVERGE)"
LeQuint Allen Jr.,RB,JAX,63.6,1.8,12.4,18.9,64.1,32.2,26.4,0.0065,0.0102,0.0124,volume+efficiency+matchup cool (sources DIVERGE)
Cyrus Allen,WR,KC,49.3,,,34.8,,42.0,7.2,0.0032,0.0035,0.0026,matchup cool
Devaughn Vele,WR,NO,46.4,35.3,62.2,59.6,82.5,57.2,15.9,0.0137,0.0236,0.0153,role elite
Cedric Tillman,WR,CLE,5.6,32.9,28.0,69.2,32.9,33.7,20.4,0.0023,0.002,0.0032,Vegas+volume+efficiency+role cool
Tommy Tremble,TE,CAR,10.0,10.6,20.2,83.3,2.9,25.4,29.5,0.0374,0.0277,0.0292,"matchup elite, Vegas+volume+efficiency+role cool (sources DIVERGE)"
Jaylen Wright,RB,MIA,1.5,31.1,42.9,16.0,72.4,32.8,24.2,0.0023,0.0025,0.0029,"role elite, Vegas+volume+matchup cool (sources DIVERGE)"
Brenen Thompson,WR,LAC,74.5,,,45.4,,60.0,14.6,0.0063,0.0071,0.0057,Vegas elite
Oscar Delp,TE,NO,39.2,,,59.2,,49.2,10.0,,,,"mixed reads, no strong driver"
Mason Taylor,TE,NYJ,5.0,58.7,10.6,90.0,12.5,35.4,33.4,0.0306,0.0212,0.0238,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Jarquez Hunter,RB,LAR,94.4,,,64.6,,79.5,14.9,,,,Vegas elite
Jahan Dotson,WR,ATL,41.1,25.8,1.2,98.7,11.0,35.6,34.3,0.0299,0.0314,0.0314,"matchup elite, volume+efficiency+role cool (sources DIVERGE)"
Najee Harris,RB,FA,,,94.7,51.9,28.8,58.5,27.3,,,,"efficiency elite, role cool (sources DIVERGE)"
Xavier Hutchinson,WR,HOU,19.5,44.0,32.1,5.0,27.2,25.6,13.0,0.0156,0.0105,0.0117,Vegas+efficiency+matchup+role cool
Austin Ekeler,RB,FA,,,40.6,17.0,5.3,21.0,14.7,,,,matchup+role cool
Trey Benson,RB,ARI,10.1,47.0,85.3,28.6,40.6,42.3,24.9,,,,"efficiency elite, Vegas+matchup cool (sources DIVERGE)"
Tyler Huntley,QB,BAL,82.1,9.8,58.2,53.6,64.3,53.6,23.9,,,,"Vegas elite, volume cool (sources DIVERGE)"
Ja'Kobi Lane,WR,BAL,81.1,15.5,,62.6,,53.1,27.6,0.0336,0.0416,0.0367,"Vegas elite, volume cool (sources DIVERGE)"
Deion Burks,WR,IND,58.6,,,65.9,,62.2,3.7,,,,"mixed reads, no strong driver"
Jordan Whittington,WR,LAR,95.7,3.6,15.0,95.7,6.1,43.2,43.0,0.0139,0.0094,0.0118,"Vegas+matchup elite, volume+efficiency+role cool (sources DIVERGE)"
Cade Klubnik,QB,NYJ,8.9,27.7,,37.5,,24.7,11.9,,,,Vegas+volume cool
Elijah Arroyo,TE,SEA,60.0,6.7,12.5,16.7,27.9,24.8,18.9,0.0378,0.0483,0.0447,volume+efficiency+matchup+role cool
Ja'Tavion Sanders,TE,CAR,10.0,20.2,31.7,83.3,14.4,31.9,26.7,0.0515,0.0381,0.0402,"matchup elite, Vegas+volume+efficiency+role cool (sources DIVERGE)"
Xavier Legette,WR,CAR,12.9,42.5,12.6,87.7,16.7,34.5,28.8,0.0186,0.0129,0.0138,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Anthony Richardson Sr.,QB,IND,61.6,13.4,96.9,42.0,3.1,43.4,33.8,,,,"efficiency elite, volume+role cool (sources DIVERGE)"
Kevin Coleman Jr.,WR,MIA,2.0,5.2,,38.4,,15.2,16.5,0.0091,0.0097,0.0109,Vegas+volume cool
Malik Benson,WR,LV,16.2,,,1.7,,9.0,7.2,,,,Vegas+matchup cool
Savion Williams,WR,GB,84.1,0.4,75.2,90.7,10.2,52.1,38.7,0.0341,0.0244,0.0233,"Vegas+efficiency+matchup elite, volume+role cool (sources DIVERGE)"
Tez Johnson,WR,TB,71.2,21.0,63.0,56.6,61.4,54.6,17.5,0.0041,0.0038,0.0038,"Vegas elite, volume cool"
John Metchie III,WR,CAR,12.9,40.1,14.2,87.7,2.0,31.4,30.8,,,,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Kalif Raymond,WR,CHI,77.8,7.5,84.1,42.1,4.5,43.2,33.6,0.0174,0.0201,0.021,"Vegas+efficiency elite, volume+role cool (sources DIVERGE)"
Tahj Brooks,RB,CIN,88.4,5.5,1.8,91.7,11.2,39.7,41.2,0.0017,0.002,0.0019,"Vegas+matchup elite, volume+efficiency+role cool (sources DIVERGE)"
Jahdae Walker,WR,CHI,77.8,27.4,73.6,42.1,3.7,44.9,28.0,0.0028,0.0033,0.0034,"Vegas+efficiency elite, volume+role cool (sources DIVERGE)"
Jaylin Lane,WR,WAS,62.3,24.2,22.4,13.9,17.5,28.1,17.5,0.0251,0.0182,0.0192,volume+efficiency+matchup+role cool
Justin Joly,TE,DEN,20.0,,,76.7,,48.4,28.4,,,,"matchup elite, Vegas cool (sources DIVERGE)"
Ben Sinnott,TE,WAS,53.3,2.9,56.7,13.3,1.0,25.4,24.5,0.0138,0.0102,0.0107,volume+matchup+role cool (sources DIVERGE)
Mac Jones,QB,SF,53.6,18.8,74.5,69.6,29.6,49.2,21.8,,,,"efficiency elite, volume+role cool"
Dawson Knox,TE,BUF,88.3,31.7,49.0,70.0,83.7,64.5,21.4,0.0643,0.0474,0.0688,"Vegas+matchup+role elite, volume cool"
Phil Mafah,RB,DAL,98.0,25.0,49.4,81.1,1.2,50.9,35.4,,,,"Vegas+matchup elite, volume+role cool (sources DIVERGE)"
Treylon Burks,WR,WAS,62.3,25.0,19.1,13.9,59.8,36.0,20.8,0.0127,0.0091,0.0096,volume+efficiency+matchup cool
Nick Westbrook-Ikhine,WR,IND,58.6,10.7,5.3,65.9,5.3,29.2,27.2,0.0402,0.0441,0.0347,volume+efficiency+role cool (sources DIVERGE)
Olamide Zaccheaus,WR,ATL,41.1,30.6,8.5,98.7,2.8,36.3,34.2,0.0171,0.018,0.018,"matchup elite, volume+efficiency+role cool (sources DIVERGE)"
Audric Estime,RB,NO,41.4,55.5,88.8,8.3,94.7,57.7,31.8,,,,"efficiency+role elite, matchup cool (sources DIVERGE)"
KeAndre Lambert-Smith,WR,LAC,74.5,2.8,6.1,45.4,7.7,27.3,28.2,0.0073,0.0082,0.0067,"Vegas elite, volume+efficiency+role cool (sources DIVERGE)"
Jerome Ford,RB,WAS,59.6,,5.3,50.0,82.9,49.4,28.2,,,,"role elite, efficiency cool (sources DIVERGE)"
Joe Milton III,QB,DAL,98.2,79.5,56.1,16.1,35.7,57.1,29.4,,,,"Vegas+volume elite, matchup cool (sources DIVERGE)"
Jameis Winston,QB,NYG,37.5,8.0,25.5,8.9,88.8,33.7,29.6,,,,"role elite, volume+efficiency+matchup cool (sources DIVERGE)"
Roman Hemby,RB,LV,16.7,,,45.6,,31.2,14.4,,,,Vegas cool
Dyami Brown,WR,WAS,62.3,17.9,23.2,13.9,50.8,33.6,19.3,0.0419,0.0303,0.0319,volume+efficiency+matchup cool
Konata Mumpfield,WR,LAR,95.7,9.1,2.0,95.7,93.1,59.1,43.8,0.0089,0.0061,0.0076,"Vegas+matchup+role elite, volume+efficiency cool (sources DIVERGE)"
