Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Durham Smythe,MIA,TE,13,Yes,No,Yes,10,No,No,0.9,5.9218,5.9218,17,4,3,0.75,0.4,,,,,,31,0.1,,2,7.75,39.6,,,-7.8506,,,,,0.3077,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0.5,
Alex Bachman,LV,WR,3,No,No,No,3,No,Yes,,,,5,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Johnson,PIT,WR,1,Yes,No,No,1,No,Yes,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,5,Yes,No,No,4,No,Yes,,,,14,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,9,Yes,No,No,3,No,No,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Romeo Doubs,GB,WR,7,Yes,No,No,7,No,Yes,,,,13,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,2,Yes,No,No,2,No,Yes,0.5,,,13,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,LA,WR,10,Yes,No,No,10,No,Yes,,3.1277,3.1277,15,1,1,1,0.1,1,1,,2,1,-2,0.4,0.6,1,-2,79.2,,,-5.4991,,2,1,,0.125,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,6,Yes,No,No,5,No,No,1,3.1111,3.1111,17,2,2,1,0.4,2,1,25,8,4,17,,,1,8.5,118.8,5,12.5,4.5834,12.5,4,2,2,0.3333,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,,,,1,0.5,,,,,,,,,,
Gerald Everett,CHI,TE,1,No,No,No,1,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Wiley,KC,TE,3,No,No,No,3,No,Yes,0.6667,,,7,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,6,Yes,Yes,No,6,No,Yes,,1.3211,1.3211,15,1,1,1,0.1667,1,1,13,1,,12,0.3333,0.6667,1,12,118.8,2.1667,13,3.9539,13,1,,1,0.3333,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,,,,,,,,,,,,
George Kittle,SF,TE,16,No,No,No,8,No,No,1,9.428,9.428,15,5,5,1,0.625,4,0.8,60,59,32,-4,,,3,-0.8,116.7,7.5,12,6.6682,15,14.75,8,2,0.3846,6,10,8,10,12,10,8,10,10,10,8,12,10,,,,4,1,,1,,,,1,1,1,0.2,
Keenan Allen,CHI,WR,4,No,No,No,1,No,No,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,11,Yes,No,No,8,No,No,1,4.9095,4.9095,17,3,3,1,0.375,3,1,32,10,7,22,,,2,7.3333,111.1,4,10.6667,3.1217,10.6667,3.3333,2.3333,2,0.2727,3.2,6.2,4.7,6.2,7.7,6.2,4.7,6.2,6.2,6.2,4.7,7.7,6.2,,,,,,,1,,1,0.3333,,,,,
Isaiah Likely,BLT,TE,4,No,No,No,4,No,No,0.75,2.2389,2.2389,16,1,1,1,0.25,1,1,1,4,5,-3,0.25,,1,-3,79.2,0.25,1,-4.8652,1,4,5,,0.25,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,2,2,,1,,1,1,,,,,
Noah Fant,SEA,TE,3,Yes,No,No,3,No,Yes,0.3333,1.3995,1.3995,14,1,1,1,0.3333,1,1,12,10,2,2,,0.6667,1,2,116.7,4,12,5.6299,12,10,2,1,0.5,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,9,Yes,No,No,9,No,No,,4.5548,4.5548,16,3,2,0.6667,0.3333,2,0.6667,19,5,,28,0.2222,0.7778,1,9.3333,44.4,2.1111,6.3333,-1.5262,9.5,2.5,,1,0.375,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,,,,,,,,,,,,,,
Elijah Cooks,JAX,WR,1,Yes,No,No,1,No,Yes,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,TEN,TE,6,Yes,No,No,6,No,No,1,3.3449,3.3449,17,2,2,1,0.3333,2,1,35,23,6,12,,,2,6,118.8,5.8333,17.5,10.5225,17.5,11.5,3,2,0.3333,3.5,5.5,4.5,5.5,6.5,5.5,4.5,5.5,5.5,5.5,4.5,6.5,5.5,,,,,,,,,,,,,,,
