Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsInEndzone,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Jakobi Meyers,LV,WR,77,No,No,No,75,10,Yes,,Yes,7,0.7,0.1333,7,,1,0.7,113,51,8,101,,,2,0.2857,0.2133,0.7733,3,10.1,3,107.5,1.5067,11.3,3.3262,,16.1429,7.2857,1.1429,5,15.0497,15.0497,0.1754,11.3,18.3,14.8,18.3,18.3,21.3,17.8,18.3,18.3,18.3,14.8,18.3,18.3,,15,0.0133,,,,,
Hunter Henry,NE,TE,60,Yes,No,No,51,12,No,,Yes,10,0.8333,0.2353,9,,,0.75,126,55,8,128,,1,1,0.1111,0.4706,0.0392,3,10.6667,2,108.3,2.4706,10.5,3.0016,0.0833,14,6.1111,0.8889,7,25.0073,25.0073,0.2667,12.6,21.6,17.1,21.6,26.1,24.6,20.1,21.6,21.6,21.6,17.1,26.1,21.6,2,16,0.0196,,,,,0.4706
Nelson Agholor,BLT,WR,41,Yes,No,No,40,2,No,,No,2,1,0.05,2,,,1,32,4,,34,1,,,,0.5,0.475,2,17,1,158.3,0.8,16,5.5149,,16,2,,2,9.6282,9.6282,0.0588,9.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,1,14,,,,1,1,0.025
Gabe Davis,JAX,WR,24,Yes,No,No,22,2,No,,Yes,2,1,0.0909,2,,,1,34,7,2,27,1,,,,0.2273,0.7727,1,13.5,1,158.3,1.5455,17,7.9058,,17,3.5,1,2,3.3349,3.3349,0.1176,9.4,11.4,10.4,11.4,11.4,11.4,10.4,11.4,11.4,11.4,10.4,11.4,11.4,,10,,,,1,1,
Michael Wilson,ARZ,WR,64,No,Yes,Yes,64,11,No,2,No,5,0.4545,0.1719,4,1,,0.3636,48,9,3,246,1,,,,0.4688,0.5312,6,22.3636,5,41.3,0.75,4.3636,-6.3035,,12,2.25,0.75,3,23.3129,23.3129,0.2075,10.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,1,16,,,,3,1,
Cody White,SEA,WR,2,No,Yes,No,2,,No,,Yes,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
River Cracraft,MIA,WR,10,No,Yes,No,9,,No,,No,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
DJ Chark,LAC,WR,5,No,No,No,5,1,Yes,,Yes,,,0.2,,,,,,,,16,,,,,,1,1,16,,39.6,,,-10.0952,,,,,,1.6305,1.6305,0.2,,,,,,,,,,,,,,,7,,,,,,
Ian Thomas,CAR,TE,6,Yes,Yes,Yes,5,1,No,,No,,,0.2,,,,,,,,17,,,,,,,,17,,,,,-11.6807,,,,,,1.5826,1.5826,0.2,,,,,,,,,,,,,,,5,,,,,,1
Zay Flowers,BLT,WR,74,No,No,Yes,74,25,No,1,Yes,12,0.48,0.3378,10,,1,0.4,162,58,27,403,1,1,8,0.8,0.3919,0.6081,11,16.12,7,75.8,2.1892,6.48,-3.3359,0.04,16.2,5.8,2.7,9,54.461,54.461,0.3906,22.2,32.2,27.2,32.2,32.2,35.2,30.2,32.2,32.2,32.2,27.2,32.2,32.2,3,17,,1,0.04,6,1,
