Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadFirstTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,YardsAfterCatchTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,YardsAfterContactTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Wan'Dale Robinson,NYG,WR,64,No,Yes,No,64,No,No,0.0312,16,0.5781,0.3906,21,5,15,0.7143,0.3281,12,1,0.5714,213,296,14.0952,103.9,3.3281,10.1429,1.1622,17.75,37.8628,37.8628,0.3889,33.3,45.3,39.3,45.3,45.3,48.3,42.3,45.3,45.3,45.3,39.3,45.3,45.3,8,4,2,46,2,1,1,4,0.0476,3.8333,7,28,1,0.0476,2.3333,,2,0.1667,
Roman Wilson,PIT,WR,18,Yes,Yes,Yes,17,No,No,,13,0.3529,0.6471,2,,1,0.5,0.1176,1,,0.5,45,72,36,95.8,2.6471,22.5,9.4615,45,4.2718,4.2718,0.125,4.5,5.5,5,5.5,5.5,5.5,5,5.5,5.5,5.5,5,5.5,5.5,,,,1,,,,2,,1,1,,,,,,,,
Trey Benson,ARZ,RB,8,No,Yes,Yes,8,No,No,0.875,4,0.125,,1,,1,1,0.125,1,,1,4,-1,-1,83.3,0.5,4,-1.819,4,1.9345,1.9345,0.1667,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,5,,,,,,5,,5,,,5,,1,1,
Jake Tonges,SF,TE,19,No,Yes,No,16,No,No,,16,0.1875,0.125,4,,4,1,0.25,3,,0.75,7,38,9.5,116.7,0.4375,1.75,-6.8779,2.3333,15.8366,15.8366,0.2667,18.7,21.7,20.2,21.7,23.2,21.7,20.2,21.7,21.7,21.7,20.2,23.2,21.7,2,4,4,,3,3,,,,,3,,,,,0.6875,,,
Ben Skowronek,PIT,WR,13,No,Yes,Yes,13,No,No,,16,0.5385,0.4615,5,,3,0.6,0.3846,3,,0.6,48,47,9.4,131.7,3.6923,9.6,1.7526,16,8.488,8.488,0.4167,10.8,13.8,12.3,13.8,13.8,13.8,12.3,13.8,13.8,13.8,12.3,13.8,13.8,3,1,1,20,1,,,,,6.6667,3,3,,,1,,,,
Beaux Collins,NYG,WR,4,Yes,Yes,No,4,No,No,,9,0.5,0.5,,,,,,,,,,,,,,,,,2.8519,2.8519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,27,No,Yes,No,27,No,No,,13,0.7407,0.1852,4,,3,0.75,0.1481,3,,0.75,59,88,22,116.7,2.1852,14.75,2.5728,19.6667,10.4425,10.4425,0.2105,11.9,14.9,13.4,14.9,16.4,14.9,13.4,14.9,14.9,14.9,13.4,16.4,14.9,1,1,1,-1,1,1,,2,,-0.3333,3,,,,,0.0741,,,
Nikko Remigio,KC,WR,3,No,Yes,No,3,No,No,,14,0.3333,0.6667,1,,1,1,0.3333,1,,1,21,18,18,118.8,7,21,10.1009,21,1.8642,1.8642,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,,,3,,,,,,3,1,1,,,1,,,,
Deebo Samuel,WAS,WR,41,No,Yes,No,40,No,No,0.05,16,0.475,0.475,5,,5,1,0.125,4,,0.8,26,42,8.4,127.9,0.65,5.2,-2.6738,6.5,10.9323,10.9323,0.1562,8.6,12.6,10.6,12.6,12.6,12.6,10.6,12.6,12.6,12.6,10.6,12.6,12.6,1,2,1,,1,1,,,,,2,1,,,0.25,,,,
Devin Duvernay,CHI,WR,8,No,Yes,No,8,No,No,0.125,17,0.25,0.625,2,1,1,0.5,0.25,1,1,0.5,24,31,15.5,93.8,3,12,2.3129,24,5.8057,5.8057,0.3333,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,,,,-2,,,,1,,-2,1,-1,,,-1,,,,
