Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadFirstTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,YardsAfterCatchTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,YardsAfterContactTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Jack Bech,LV,WR,28,Yes,Yes,Yes,27,No,No,,16,0.2963,0.7037,5,1,5,1,0.1852,4,,0.8,53,35,7,110.8,1.963,10.6,3.3698,13.25,7.3007,7.3007,0.2083,5.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,3,,,20,,,,,,5,3,2,,,0.5,,1,0.25,
Andrew Ogletree,IND,TE,9,Yes,Yes,No,4,No,Yes,,15,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
Jaylen Warren,PIT,RB,49,No,Yes,Yes,27,No,No,0.8519,16,,0.0741,3,,3,1,0.1111,3,,1,76,15,5,158.3,2.8148,25.3333,17.9533,25.3333,6.2246,6.2246,0.0714,13.6,16.6,15.1,18.1,16.6,16.6,15.1,16.6,16.6,16.6,15.1,16.6,16.6,1,1,,61,1,,,,,20.3333,3,52,,,17.3333,0.0741,4,1.3333,
Kendrick Bourne,SF,WR,26,No,Yes,No,26,No,Yes,,16,0.1923,0.8077,7,,7,1,0.2692,6,,0.8571,72,70,10,109.5,2.7692,10.2857,2.0674,12,11.2358,11.2358,0.3043,7.2,13.2,10.2,13.2,13.2,13.2,10.2,13.2,13.2,13.2,10.2,13.2,13.2,,,,4,,,1,,0.1429,0.6667,4,4,,,0.6667,,,,
Teagan Quitoriano,ATL,TE,4,No,Yes,Yes,2,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ashton Dulin,IND,WR,11,Yes,Yes,No,10,No,Yes,,12,0.4,0.6,2,,1,0.5,0.2,1,,0.5,-8,3,1.5,56.3,-0.8,-4,-9.4279,-8,3.7496,3.7496,0.2,-0.8,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,1,1,,,,,,,,,,,1,0.5,,,1,1,
Jauan Jennings,SF,WR,50,No,Yes,No,46,No,Yes,,15,0.2609,0.7391,2,,2,1,0.0435,2,,1,12,9,4.5,91.7,0.2609,6,-0.9865,6,4.7051,4.7051,0.0526,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,,,3,,,,,,1.5,1,,,,,,,,
Ja'Tavion Sanders,CAR,TE,26,Yes,No,No,23,No,Yes,,13,0.4348,0.1304,3,,3,1,0.1304,3,,1,12,11,3.6667,122.9,0.5217,4,-2.6781,4,7.5963,7.5963,0.1429,7.2,10.2,8.7,10.2,11.7,10.2,8.7,10.2,10.2,10.2,8.7,11.7,10.2,1,1,1,9,1,1,,,,3,1,2,,,0.6667,0.4348,3,1,
Jahdae Walker,CHI,WR,10,No,Yes,No,10,No,No,,7,0.4,0.6,3,,1,0.3333,0.3,,,,,33,11,39.6,,,-8.2199,,6.1048,6.1048,0.375,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
Moliki Matavao,NO,TE,5,No,Yes,Yes,3,No,Yes,,6,,,1,,1,1,0.3333,1,,1,6,,,91.7,2,6,0.711,6,1.4316,1.4316,0.2,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,6,,,,,,6,,1,,,1,1,,,
Tahj Washington,MIA,WR,3,Yes,No,Yes,2,No,Yes,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,14,Yes,No,No,14,No,Yes,,9,0.1429,0.2143,2,,2,1,0.1429,2,,1,6,-1,-0.5,79.2,0.4286,3,-2.0952,3,2.7226,2.7226,0.1818,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,1,,,7,,,,,,3.5,,2,,,1,0.6429,,,
Quintin Morris,JAX,TE,11,No,Yes,No,10,No,No,0.1,13,0.3,,3,,2,0.6667,0.3,2,,0.6667,21,31,10.3333,86.8,2.1,7,-1.2447,10.5,4.3605,4.3605,0.3333,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,3,,,9,,,,,,4.5,1,1,,,0.5,0.6,,,
Isaiah Hodgins,NYG,WR,18,No,Yes,No,17,No,No,,7,0.3529,0.5294,1,1,1,1,0.0588,1,1,1,12,12,12,116.7,0.7059,12,2.9539,12,1.5535,1.5535,0.0769,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,,,,,,1,,,,,0.1176,,,
Devin Singletary,NYG,RB,19,No,Yes,No,10,No,No,0.7,17,0.1,0.2,1,,1,1,0.1,1,,1,41,-1,-1,118.8,4.1,41,35.181,41,3.9,3.9,0.0588,4.1,5.1,4.6,5.6,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,1,,,42,,,,,,42,1,43,,,43,,2,2,
Gage Larvadain,CLV,WR,19,No,Yes,No,19,No,No,,13,0.2632,0.7368,2,,1,0.5,0.1053,1,,0.5,10,35,17.5,25,0.5263,5,-4.712,10,2.5114,2.5114,0.125,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,1,,,2,,,,1,,2,1,,,,,,,,
Trayveon Williams,CLV,RB,7,No,Yes,No,6,No,No,0.8333,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,
David Sills,ATL,WR,20,No,Yes,Yes,20,No,Yes,,17,0.5,0.5,1,,,,0.05,,,,,5,5,39.6,,,-6.3628,,1.4355,1.4355,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamir White,LV,RB,4,Yes,Yes,Yes,3,No,No,1,5,,,1,,,,0.3333,,,,,1,1,39.6,,,-5.7294,,1.1731,1.1731,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,1,Yes,Yes,No,1,No,Yes,1,13,,,1,,1,1,1,1,,1,9,-1,-1,104.2,9,9,3.181,9,1.3738,1.3738,1,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,10,,,,,,10,,,,,,,1,1,
Khalil Herbert,NYJ,RB,8,Yes,No,No,4,No,Yes,1,5,,,1,,,,0.25,,,,,-4,-4,39.6,,,-5.5699,,1.7054,1.7054,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,35,Yes,Yes,No,22,No,Yes,0.9545,14,,,3,,3,1,0.1364,2,,0.6667,27,8,2.6667,95.1,1.2273,9,2.5477,13.5,4.405,4.405,0.0938,2.7,4.7,3.7,5.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,2,,,24,,,,,,12,1,4,,,2,0.0455,,,
Devaughn Vele,NO,WR,43,No,Yes,No,40,No,No,,13,0.35,0.575,8,3,6,0.75,0.2,5,3,0.625,67,112,14,128.6,1.675,8.375,-0.7806,13.4,16.3671,16.3671,0.2353,12.7,17.7,15.2,17.7,17.7,17.7,15.2,17.7,17.7,17.7,15.2,17.7,17.7,1,1,1,-1,1,1,1,2,0.125,-0.2,5,-1,,,-0.2,0.075,,,2
Josh Downs,IND,WR,20,Yes,Yes,No,18,No,Yes,,16,0.6111,0.3889,4,,4,1,0.2222,4,,1,75,65,16.25,158.3,4.1667,18.75,9.7912,18.75,7.6309,7.6309,0.3077,13.5,17.5,15.5,17.5,17.5,17.5,15.5,17.5,17.5,17.5,15.5,17.5,17.5,2,1,,10,1,,,2,,2.5,4,3,,,0.75,,,,
Tetairoa McMillan,CAR,WR,74,Yes,No,Yes,74,No,Yes,,17,0.1351,0.8649,12,1,11,0.9167,0.1622,9,,0.75,111,168,14,142.7,1.5,9.25,-0.23,12.3333,24.1545,24.1545,0.2264,23.1,32.1,27.6,32.1,32.1,35.1,30.6,32.1,32.1,32.1,27.6,32.1,32.1,1,3,3,20,2,2,1,2,0.0833,2.2222,6,3,,,0.3333,,,,
Foster Moreau,NO,TE,17,Yes,Yes,No,12,No,No,,11,0.1667,,5,,3,0.6,0.4167,2,,0.4,13,8,1.6,8.3,1.0833,2.6,-3.195,6.5,7.3769,7.3769,0.3846,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,2,,,12,,,1,,0.2,6,,6,,,3,0.8333,,,
Tyler Allgeier,ATL,RB,8,No,Yes,Yes,6,No,Yes,1,17,,,,,,,,,,,,,,,,,,,1.1692,1.1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,9,No,Yes,No,8,No,No,,10,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,43,No,Yes,No,43,No,No,,16,0.4186,0.5814,6,2,3,0.5,0.1395,1,,0.1667,52,228,38,23.6,1.2093,8.6667,-5.1612,52,13.2947,13.2947,0.1935,5.2,6.2,5.7,6.2,6.2,6.2,5.7,6.2,6.2,6.2,5.7,6.2,6.2,1,,1,9,,,,6,,9,1,3,,,3,,,,
Isaiah Davis,NYJ,RB,18,No,Yes,No,12,No,No,0.9167,16,0.0833,,5,1,3,0.6,0.4167,1,,0.2,10,34,6.8,39.6,0.8333,2,-5.3743,10,7.1924,7.1924,0.3571,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,2,,,7,,,2,1,0.4,7,1,,,,,,,,
Colby Parkinson,LA,TE,58,Yes,No,Yes,49,No,Yes,,15,0.0408,,12,,11,0.9167,0.2449,9,,0.75,92,75,6.25,124.3,1.8776,7.6667,0.4202,10.2222,20.8988,20.8988,0.2308,14.2,23.2,18.7,23.2,27.7,23.2,17.7,22.2,22.2,22.2,17.7,27.7,22.2,10,6,,45,1,,2,1,0.1667,5,6,16,,,1.7778,0.9592,1,0.1111,
Jacory Croskey-Merritt,WAS,RB,25,No,Yes,No,10,No,No,0.9,17,0.1,,,,,,,,,,,,,,,,,,1.8658,1.8658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,82,Yes,No,Yes,78,No,Yes,,12,0.3846,0.6154,21,5,11,0.5238,0.2692,6,1,0.2857,72,348,16.5714,57.2,0.9231,3.4286,-6.2121,12,41.603,41.603,0.3134,13.2,19.2,16.2,19.2,19.2,19.2,16.2,19.2,19.2,19.2,16.2,19.2,19.2,7,3,3,21,1,1,3,6,0.1429,3.5,6,11,,,1.8333,,,,
Brenden Bates,CLV,TE,9,No,Yes,No,6,No,No,,9,,,3,1,3,1,0.5,2,,0.6667,25,21,7,92.4,4.1667,8.3333,0.1386,12.5,6.6801,6.6801,0.375,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,1,1,,4,,,1,,0.3333,2,1,2,,,1,1,,,
Bucky Irving,TB,RB,32,Yes,No,Yes,19,No,Yes,0.9474,10,,0.0526,2,,1,0.5,0.1053,1,,0.5,24,-1,-0.5,133.3,1.2632,12,5.8813,24,3.9234,3.9234,0.0769,8.4,9.4,8.9,9.9,9.4,9.4,8.9,9.4,9.4,9.4,8.9,9.4,9.4,1,,,31,1,,,,,31,1,3,1,0.5,3,,1,1,
Keaton Mitchell,BLT,RB,5,No,Yes,Yes,4,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,118,No,Yes,No,114,No,No,0.0263,17,0.3158,0.6579,16,4,13,0.8125,0.1404,11,3,0.6875,177,278,17.375,119,1.5526,11.0625,1.5253,16.0909,29.4496,29.4496,0.1798,33.78,44.78,39.28,44.78,44.78,47.78,42.28,44.78,44.78,44.78,39.28,44.8,44.8,6,2,4,52,2,2,,6,,4.7273,10,8,2,0.125,0.7273,,1,0.0909,1
Tyjae Spears,TEN,RB,34,No,Yes,No,26,No,No,0.9615,13,0.0385,,9,1,7,0.7778,0.3462,6,1,0.6667,30,-33,-3.6667,71.5,1.1538,3.3333,-2.4944,5,14.2684,14.2684,0.36,3,9,6,12,9,9,6,9,9,9,6,9,9,1,1,,45,,,1,,0.1111,7.5,1,8,,,1.3333,,6,1,
Josh Oliver,MIN,TE,27,Yes,Yes,Yes,23,No,No,,15,0.0435,,8,1,7,0.875,0.3478,7,1,0.875,86,25,3.125,151,3.7391,10.75,3.8651,12.2857,12.3032,12.3032,0.4,14.6,21.6,18.1,21.6,25.1,21.6,18.1,21.6,21.6,21.6,18.1,25.1,21.6,6,,,58,1,,,,,8.2857,4,10,,,1.4286,0.9565,1,0.1429,
Michael Carter,ARZ,RB,29,Yes,No,Yes,19,No,Yes,0.8947,13,0.0526,0.0526,3,1,3,1,0.1579,2,,0.6667,10,17,5.6667,71.5,0.5263,3.3333,-4.458,5,4.8171,4.8171,0.1579,1,3,2,4,3,3,2,3,3,3,2,3,3,,1,1,9,,,,,,4.5,,2,,,1,,1,0.5,
Nick Chubb,HST,RB,26,No,Yes,No,8,No,Yes,1,15,,,2,,1,0.5,0.25,,,,,5,2.5,39.6,,,-6.452,,2.7243,2.7243,0.08,,,,,,,,,,,,,,,1,,,,,1,,0.5,,,,,,,,,,
Evan Hull,NO,RB,5,No,Yes,Yes,4,No,Yes,0.75,6,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,42,No,Yes,No,20,No,No,0.75,16,0.1,0.15,5,,5,1,0.25,5,,1,44,34,6.8,103.3,2.2,8.8,1.1582,8.8,7.4712,7.4712,0.1613,8.56,13.56,11.06,16.06,13.56,13.56,11.06,13.56,13.56,13.56,11.06,13.6,13.6,1,,,10,,,,,,2,1,2,,,0.4,,,,
Trent Sherfield,ARZ,WR,21,No,Yes,No,17,No,Yes,,12,0.4706,0.4706,3,,1,0.3333,0.1765,1,,0.3333,3,33,11,42.4,0.1765,1,-6.9622,3,5.6568,5.6568,0.1579,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,2,2,,5,,,,1,,5,,2,,,2,0.0588,,,
Tyquan Thornton,KC,WR,27,No,Yes,No,26,No,No,,14,0.3077,0.6923,,,,,,,,,,,,,,,,,3.2412,3.2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,44,Yes,No,Yes,25,No,Yes,,14,0.04,,7,,7,1,0.28,6,,0.8571,78,13,1.8571,113.1,3.12,11.1429,5.0638,13,10.398,10.398,0.2,7.8,13.8,10.8,13.8,16.8,13.8,10.8,13.8,13.8,13.8,10.8,16.8,13.8,7,,,72,,,1,,0.1429,12,4,23,,,3.8333,0.96,1,0.1667,
Dameon Pierce,KC,RB,3,Yes,Yes,Yes,2,No,No,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,34,Yes,No,Yes,8,No,Yes,0.75,17,0.25,,3,,3,1,0.375,2,,0.6667,14,4,1.3333,77.1,1.75,4.6667,-1.7201,7,4.9437,4.9437,0.0968,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,1,,8,,,1,,0.3333,4,1,1,,,0.5,,,,
Travis Hunter,JAX,WR,16,No,Yes,No,15,No,No,,7,0.6667,0.3333,3,1,3,1,0.2,2,1,0.6667,53,58,19.3333,109.7,3.5333,17.6667,7.1839,26.5,8.7866,8.7866,0.2308,5.3,7.3,6.3,7.3,7.3,7.3,6.3,7.3,7.3,7.3,6.3,7.3,7.3,1,,,10,,,1,1,0.3333,5,1,1,,,0.5,,,,1
Kendre Miller,NO,RB,9,Yes,No,Yes,3,No,No,0.3333,7,0.6667,,1,,1,1,0.3333,1,,1,2,1,1,79.2,0.6667,2,-3.7294,2,1.4947,1.4947,0.1111,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,1,,,,,,1,,1,,,1,,,,
Thomas Fidone,NYG,TE,1,Yes,Yes,No,1,No,No,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,HST,WR,3,No,Yes,No,3,No,Yes,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,62,No,No,No,62,No,Yes,0.0161,15,0.129,0.8548,14,2,11,0.7857,0.2258,9,,0.6429,123,186,13.2857,92.3,1.9839,8.7857,0.4138,13.6667,25.8545,25.8545,0.2642,12.3,21.3,16.8,21.3,21.3,24.3,19.8,21.3,21.3,21.3,16.8,21.3,21.3,7,2,2,69,,,,3,,7.6667,5,15,,,1.6667,,,,
Mark Andrews,BLT,TE,51,No,Yes,Yes,45,No,No,,17,0.5333,0.2,11,1,7,0.6364,0.2444,7,1,0.6364,47,110,10,112.5,1.0444,4.2727,-3.9608,6.7143,29.8743,29.8743,0.25,16.7,23.7,20.2,23.7,27.2,23.7,20.2,23.7,23.7,23.7,20.2,27.2,23.7,3,4,3,9,2,2,,1,,1.2857,4,5,,,0.7143,0.2667,,,
Parker Washington,JAX,WR,29,No,Yes,No,28,No,No,,16,0.4643,0.5357,7,1,4,0.5714,0.25,4,1,0.5714,96,194,27.7143,101.8,3.4286,13.7143,2.6988,24,14.9907,14.9907,0.2593,9.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,1,,,5,,,,6,,1.25,3,-1,,,-0.25,,,,1
Eric Saubert,SEA,TE,21,No,Yes,No,13,No,Yes,,11,,,2,,1,0.5,0.1538,1,,0.5,12,21,10.5,68.8,0.9231,6,-2.8661,12,4.0672,4.0672,0.1111,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,2,,6,,,,,,6,1,4,,,4,1,,,
Ray-Ray McCloud,NYG,WR,14,No,Yes,No,14,No,No,,6,0.4286,0.5714,1,,1,1,0.0714,1,,1,12,-3,-3,116.7,0.8571,12,7.0592,12,1.6239,1.6239,0.0833,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,,,15,,,,,,15,1,10,,,10,,1,1,
Tucker Fisk,LAC,TE,13,No,Yes,No,8,No,No,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Tai Felton,MIN,WR,4,Yes,Yes,Yes,4,No,No,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,11,Yes,No,Yes,11,No,Yes,,13,0.9091,0.0909,1,,1,1,0.0909,1,,1,15,14,14,118.8,1.3636,15,5.1866,15,1.9177,1.9177,0.1667,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,1,,,,,,1,1,,,,,,,,
Brian Robinson,SF,RB,10,No,Yes,No,6,No,Yes,1,17,,,2,,1,0.5,0.3333,1,,0.5,2,1,0.5,56.3,0.3333,1,-5.1068,2,4.2456,4.2456,0.4,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,1,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,37,Yes,Yes,No,19,Yes,Yes,0.8947,11,0.1053,,2,,1,0.5,0.1053,1,,0.5,-2,27,13.5,56.3,-0.1053,-1,-7.9095,-2,3.7648,3.7648,0.0714,-1.2,-0.2,-0.7,0.3,-0.2,-0.2,-1.7,-1.2,-1.2,-1.2,-1.7,-0.2,-1.2,2,,,-1,,,,1,,-1,,,,,,,,,
Gunner Olszewski,NYG,WR,9,No,Yes,No,6,No,No,,16,0.3333,0.6667,1,1,,,0.1667,,,,,20,20,39.6,,,-10.8652,,2.4973,2.4973,0.2,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.65,5.65,,1,1,,,,,1,,,,,,,,,,,
Taysom Hill,NO,TE,15,No,Yes,Yes,11,No,Yes,0.4545,13,0.1818,0.2727,5,,4,0.8,0.4545,3,,0.6,29,13,2.6,76.3,2.6364,5.8,-0.6484,9.6667,7.1282,7.1282,0.4167,2.9,5.9,4.4,5.9,7.4,5.9,4.4,5.9,5.9,5.9,4.4,7.4,5.9,3,,,31,,,1,,0.2,10.3333,1,11,1,0.2,3.6667,0.0909,,,
Colson Yankoff,WAS,TE,6,No,Yes,No,4,No,No,,14,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,
Dylan Laube,LV,RB,4,Yes,Yes,Yes,3,No,No,0.6667,17,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Brownlee,KC,WR,2,Yes,Yes,Yes,2,No,No,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carter Runyon,LV,TE,7,Yes,Yes,Yes,4,No,No,,10,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
Malik Nabers,NYG,WR,16,Yes,Yes,No,16,No,No,,4,0.25,0.75,2,,,,0.125,,,,,26,13,39.6,,,-8.1897,,10.4604,10.4604,0.2,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,
James Mitchell,CAR,TE,4,Yes,No,Yes,3,No,Yes,,5,,,1,,1,1,0.3333,1,,1,9,-3,-3,104.2,3,9,3.1348,9,1.4448,1.4448,0.3333,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,1,,,12,,,,,,12,1,7,,,7,1,,,
Cade Otton,TB,TE,76,Yes,No,Yes,64,No,Yes,0.0156,16,0.3594,0.1719,9,3,8,0.8889,0.1406,5,,0.5556,101,67,7.4444,95.1,1.5781,11.2222,3.0977,20.2,14.4631,14.4631,0.1343,10.1,15.1,12.6,15.1,17.6,18.1,15.6,15.1,15.1,15.1,12.6,17.6,15.1,3,1,,69,,,,,,13.8,4,16,,,3.2,0.4531,,,
DeMario Douglas,NE,WR,21,Yes,No,Yes,21,No,Yes,,17,0.619,0.381,6,1,3,0.5,0.2857,3,,0.5,71,110,18.3333,132.6,3.381,11.8333,2.1494,23.6667,11.976,11.976,0.3529,13.1,16.1,14.6,16.1,16.1,16.1,14.6,16.1,16.1,16.1,14.6,16.1,16.1,4,1,1,15,1,,,2,,5,1,8,,,2.6667,,1,0.3333,1
Nyheim Hines,NO,RB,2,No,Yes,Yes,2,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,28,Yes,Yes,Yes,23,No,No,,17,0.2174,0.1304,6,1,6,1,0.2609,6,1,1,55,31,5.1667,104.9,2.3913,9.1667,2.1427,9.1667,9.1641,9.1641,0.3333,5.5,11.5,8.5,11.5,14.5,11.5,8.5,11.5,11.5,11.5,8.5,14.5,11.5,5,,,24,,,,1,,4,2,5,,,0.8333,0.6522,,,
Aaron Jones,MIN,RB,21,Yes,Yes,No,13,No,No,0.8462,12,0.1538,,2,,1,0.5,0.1538,1,,0.5,11,11,5.5,66.7,0.8462,5.5,-1.0414,11,5.3219,5.3219,0.1176,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,,,11,,,,,,11,1,,,,,,,,
Luke Farrell,SF,TE,28,No,Yes,No,18,No,Yes,,17,0.1111,0.1111,3,,3,1,0.1667,3,,1,29,5,1.6667,146.5,1.6111,9.6667,3.4948,9.6667,5.7494,5.7494,0.1304,14.9,17.9,16.4,17.9,19.4,17.9,16.4,17.9,17.9,17.9,16.4,19.4,17.9,2,3,,24,2,,,,,8,3,8,,,2.6667,0.7778,1,0.3333,
Christian Kirk,HST,WR,35,Yes,Yes,No,35,No,Yes,,13,0.8571,0.1429,8,1,6,0.75,0.2286,4,,0.5,58,97,12.125,74,1.6571,7.25,-1.2682,14.5,13.7627,13.7627,0.2424,5.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,4,2,1,11,,,1,1,0.125,2.75,2,5,,,1.25,,,,
Xavier Weaver,ARZ,WR,9,Yes,No,Yes,9,No,Yes,,9,0.1111,0.8889,2,,2,1,0.2222,2,,1,14,8,4,95.8,1.5556,7,0.9072,7,4.5468,4.5468,0.5,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,1,,6,,,,,,3,1,1,,,0.5,,,,
Puka Nacua,LA,WR,49,Yes,No,Yes,44,No,Yes,0.0455,16,0.25,0.6818,11,,9,0.8182,0.25,8,,0.7273,78,41,3.7273,92.2,1.7727,7.0909,0.6141,9.75,23.5678,23.5678,0.2683,7.8,15.8,11.8,15.8,15.8,15.8,11.8,15.8,15.8,15.8,11.8,15.8,15.8,6,1,1,60,,,,,,7.5,2,16,,,2,0.0227,1,0.125,
Woody Marks,HST,RB,56,Yes,Yes,No,25,No,Yes,1,16,,,10,2,7,0.7,0.4,4,1,0.4,24,69,6.9,87.5,0.96,2.4,-4.6682,6,16.7051,16.7051,0.2083,14.4,18.4,16.4,20.4,18.4,18.4,16.4,18.4,18.4,18.4,16.4,18.4,18.4,4,4,1,16,2,1,1,1,0.1,4,2,1,,,0.25,,,,
James Proche,TEN,WR,15,No,Yes,No,15,No,No,,9,0.0667,0.9333,2,,,,0.1333,,,,,47,23.5,39.6,,,-11.0322,,5.615,5.615,0.2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
