Rank,Season,Player,Team,Pos.,Pass Snaps,Pass Rushes,Points Saved,PS Per Rush,Points Above Avg,PAA Per Rush,Positive%,PAR,WAR
20,2024,George Karlaftis,Chiefs,DE,536,511,20.604368,0.040321,3.31906,0.006495,44,8.834027,0.276033
21,2024,Chase Young,Saints,DE,466,445,15.699593,0.035279,2.000095,0.004494,46,6.609229,0.206516
22,2024,Jonathon Cooper,Broncos,LB,498,424,12.140129,0.028632,-1.036617,-0.002444,38,3.192146,0.099744
23,2024,Josh Hines-Allen,Jaguars,DE,460,436,21.053984,0.048288,7.495662,0.017191,47,12.277145,0.383644
24,2024,Kyle Van Noy,Ravens,LB,428,367,30.219246,0.082341,18.639025,0.050787,37,22.378452,0.699272
25,2024,Nnamdi Madubuike,Ravens,DT,520,509,16.02938,0.031491,-0.182027,-0.000357,41,6.464148,0.201979
26,2024,Keion White,Patriots,DE,452,391,16.723038,0.042769,4.038667,0.010329,41,8.312466,0.259741
27,2024,Boye Mafe,Seahawks,LB,377,314,15.81896,0.050378,5.679744,0.018088,34,8.918703,0.278683
28,2024,Alex Highsmith,Steelers,LB,302,273,21.792484,0.079825,12.679233,0.046444,45,15.526869,0.485171
29,2024,Leonard Williams,Seahawks,DE,459,442,19.476658,0.044064,5.390949,0.012196,44,9.936662,0.310496
30,2024,Josh Sweat,Eagles,LB,413,378,19.241816,0.050904,6.255806,0.016549,41,10.38557,0.32452
31,2024,Nik Bonitto,Broncos,LB,441,367,21.38628,0.058273,10.068911,0.027435,36,14.703966,0.459463
32,2024,Jalen Carter,Eagles,DT,508,504,23.802105,0.047226,6.490242,0.012877,44,13.550946,0.423429
33,2024,Chop Robinson,Dolphins,DE,369,322,12.376679,0.038436,1.646925,0.005114,42,5.775241,0.180457
34,2024,Cameron Heyward,Steelers,DT,445,445,28.405869,0.063833,13.519693,0.030381,50,19.76596,0.617649
35,2024,Dayo Odeyingbo,Colts,DE,418,413,5.294839,0.01282,-7.500763,-0.018161,50,-2.968623,-0.092757
36,2024,Quinnen Williams,Jets,DT,411,403,12.366386,0.030685,-0.41656,-0.001033,42,5.177396,0.161777
