"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Shedeur Sanders","Browns","21","16.87","0.803","14.45","0.688","14.08","0.67","76.2%","15.1","0.5","42.9%","0.0%"
"[object Object]","2025","Spencer Rattler","Saints","31","15.28","0.493","13.01","0.420","10.44","0.34","64.5%","14.1","0.4","25.8%","6.5%"
"[object Object]","2025","Breece Hall","Jets","243","15.12","0.062","6.75","0.028","-14.72","-0.06","44.9%","14.5","0.4","11.5%","11.5%"
"[object Object]","2025","Lamar Jackson","Ravens","67","15.10","0.225","10.03","0.150","23.28","0.35","53.7%","12.1","0.4","34.3%","9.0%"
"[object Object]","2025","Jaxson Dart","Giants","86","14.22","0.165","8.28","0.096","39.08","0.45","58.1%","11.1","0.3","36.0%","8.1%"
"[object Object]","2025","Patrick Mahomes","Chiefs","64","13.82","0.216","7.49","0.117","27.47","0.43","62.5%","9.5","0.3","28.1%","9.4%"
"[object Object]","2025","James Cook III","Bills","309","12.61","0.041","2.50","0.008","7.98","0.03","50.8%","12.5","0.4","11.7%","9.7%"
"[object Object]","2025","Kyler Murray","Cardinals","29","12.59","0.434","10.14","0.350","7.70","0.27","51.7%","11.1","0.3","31.0%","17.2%"
"[object Object]","2025","Justin Herbert","Chargers","83","11.32","0.136","4.76","0.057","28.04","0.34","56.6%","7.4","0.2","26.5%","13.3%"
"[object Object]","2025","Chris Rodriguez Jr.","Commanders","112","11.18","0.100","7.26","0.065","0.81","0.01","46.4%","10.8","0.3","12.5%","8.9%"
"[object Object]","2025","D'Andre Swift","Bears","223","11.02","0.049","3.91","0.018","24.31","0.11","54.3%","11.1","0.3","16.1%","10.8%"
"[object Object]","2025","Kyren Williams","Rams","259","10.64","0.041","2.31","0.009","17.95","0.07","55.6%","10.6","0.3","12.0%","7.7%"
"[object Object]","2025","Dak Prescott","Cowboys","53","10.58","0.200","7.31","0.138","-7.82","-0.15","39.6%","8.6","0.3","15.1%","17.0%"
"[object Object]","2025","Nick Chubb","Texans","122","10.54","0.086","6.55","0.054","-5.93","-0.05","45.1%","10.5","0.3","9.8%","6.6%"
"[object Object]","2025","J.J. McCarthy","Vikings","37","10.17","0.275","7.30","0.197","8.37","0.23","45.9%","8.3","0.3","24.3%","18.9%"
"[object Object]","2025","Malachi Corley","Browns","13","9.91","0.762","9.48","0.729","7.58","0.58","84.6%","9.8","0.3","30.8%","15.4%"
