"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jerome Ford","Browns","RB","20","-3.10","-0.035","-5.22","-0.059","-9.75","-0.49","15.0%","-4.2","-0.1","5.0%","20.0%"
"[object Object]","2025","Christian Kirk","Texans","WR","24","-3.26","-0.020","-6.98","-0.044","-1.01","-0.04","54.2%","-5.0","-0.2","16.7%","16.7%"
"[object Object]","2025","Evan Engram","Broncos","TE","52","-3.34","-0.015","-8.39","-0.038","-14.02","-0.27","34.6%","-5.4","-0.2","13.5%","19.2%"
"[object Object]","2025","Jonnu Smith","Steelers","TE","28","-3.95","-0.027","-7.88","-0.053","-0.21","-0.01","39.3%","-5.9","-0.2","14.3%","10.7%"
"[object Object]","2025","Isaiah Bond","Browns","WR","17","-4.08","-0.022","-8.77","-0.047","0.73","0.04","35.3%","-6.4","-0.2","29.4%","29.4%"
"[object Object]","2025","Dont'e Thornton Jr.","Raiders","WR","19","-4.13","-0.029","-7.89","-0.055","-9.48","-0.50","31.6%","-6.1","-0.2","21.1%","21.1%"
"[object Object]","2025","Alvin Kamara","Saints","RB","25","-4.24","-0.028","-7.89","-0.053","-4.28","-0.17","44.0%","-6.2","-0.2","16.0%","16.0%"
"[object Object]","2025","Mark Andrews","Ravens","TE","40","-4.27","-0.023","-9.09","-0.049","-0.94","-0.02","47.5%","-6.5","-0.2","27.5%","17.5%"
"[object Object]","2025","Rashee Rice","Chiefs","WR","31","-4.49","-0.036","-7.45","-0.059","5.57","0.18","51.6%","-5.8","-0.2","38.7%","22.6%"
"[object Object]","2025","Quinshon Judkins","Browns","RB","20","-4.54","-0.049","-6.83","-0.074","-5.36","-0.27","25.0%","-5.8","-0.2","25.0%","20.0%"
"[object Object]","2025","Darnell Mooney","Falcons","WR","43","-4.56","-0.017","-11.39","-0.042","13.36","0.31","44.2%","-8.0","-0.2","32.6%","4.7%"
"[object Object]","2025","Calvin Austin III","Steelers","WR","22","-4.58","-0.030","-8.66","-0.056","-0.30","-0.01","54.5%","-6.7","-0.2","22.7%","13.6%"
"[object Object]","2025","James Cook III","Bills","RB","27","-4.87","-0.038","-7.87","-0.062","-1.53","-0.06","44.4%","-6.4","-0.2","18.5%","3.7%"
"[object Object]","2025","Andrei Iosivas","Bengals","WR","34","-5.15","-0.016","-12.98","-0.040","-2.94","-0.09","50.0%","-8.9","-0.3","17.6%","17.6%"
"[object Object]","2025","Tyler Lockett","2 teams","WR","31","-5.25","-0.026","-10.75","-0.053","-7.30","-0.24","54.8%","-8.2","-0.3","16.1%","32.3%"
"[object Object]","2025","Marvin Mims Jr.","Broncos","WR","26","-5.33","-0.033","-9.11","-0.056","-8.46","-0.33","38.5%","-7.1","-0.2","3.8%","19.2%"
"[object Object]","2025","Keon Coleman","Bills","WR","28","-5.75","-0.035","-9.55","-0.058","9.40","0.34","60.7%","-7.5","-0.2","32.1%","7.1%"
"[object Object]","2025","Olamide Zaccheaus","Bears","WR","40","-5.76","-0.029","-10.46","-0.053","-0.69","-0.02","47.5%","-8.0","-0.2","25.0%","17.5%"
"[object Object]","2025","Jonathan Taylor","Colts","RB","35","-6.16","-0.026","-12.16","-0.051","-2.27","-0.06","42.9%","-9.4","-0.3","8.6%","14.3%"
"[object Object]","2025","John Metchie III","2 teams","WR","27","-6.40","-0.039","-10.58","-0.064","-2.60","-0.10","33.3%","-8.5","-0.3","11.1%","14.8%"
"[object Object]","2025","Rashod Bateman","Ravens","WR","23","-6.52","-0.035","-11.28","-0.060","-9.33","-0.41","30.4%","-8.9","-0.3","13.0%","34.8%"
"[object Object]","2025","Jerry Jeudy","Browns","WR","58","-7.69","-0.024","-15.76","-0.049","-26.85","-0.46","39.7%","-11.7","-0.4","17.2%","31.0%"
"[object Object]","2025","Saquon Barkley","Eagles","RB","32","-8.39","-0.051","-12.55","-0.076","-13.31","-0.42","34.4%","-10.6","-0.3","0.0%","28.1%"
"[object Object]","2025","Troy Franklin","Broncos","WR","58","-9.21","-0.031","-16.29","-0.055","2.03","0.03","46.6%","-12.6","-0.4","22.4%","17.2%"
"[object Object]","2025","Jalen Nailor","Vikings","WR","22","-9.22","-0.042","-15.17","-0.070","-1.00","-0.05","40.9%","-12.4","-0.4","27.3%","27.3%"
