Rank,Season,Player,Team,Pos.,Cov. Snaps,Tgts,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,EPA,EPA/Tgt,Positive%,PAR,WAR,Boom%,Bust%
102,2024,Jahlani Tavai,Patriots,LB,362,36,9.334907,0.026979,-1.821357,-0.005264,20.37897,0.566082,66.666664,1.723347,0.053852,0.30555555,0.055555556
103,2024,Tremaine Edmunds,Bears,LB,511,36,12.101172,0.024595,-4.135839,-0.008406,-4.903032,-0.136195,41.666668,0.909313,0.028412,0.30555555,0.33333334
104,2024,Patrick Queen,Steelers,LB,581,35,2.26369,0.003978,-16.647917,-0.029258,18.4959,0.528454,71.42857,-10.841996,-0.338784,0.34285715,0.114285715
105,2024,Jessie Bates III,Falcons,S,626,35,34.13954,0.054886,14.243921,0.0229,7.833138,0.223803,57.142857,16.864258,0.526964,0.37142858,0.14285715
106,2024,Zaire Franklin,Colts,LB,565,35,21.662518,0.040339,5.174816,0.009636,0.640581,0.018302,65.71429,10.668774,0.333369,0.25714287,0.14285715
107,2024,Lavonte David,Buccaneers,LB,546,35,8.350328,0.01612,-7.987063,-0.015419,10.661402,0.304611,57.142857,-2.78495,-0.087024,0.25714287,0.08571429
108,2024,Nick Cross,Colts,S,596,35,19.346199,0.033013,1.296744,0.002212,4.2154,0.12044,51.42857,3.678267,0.114938,0.42857143,0.2857143
109,2024,Darrell Baker Jr.,Titans,CB,341,35,6.36455,0.01883,-5.024702,-0.014865,-1.630992,-0.046599,37.142857,-1.946099,-0.060805,0.31428573,0.25714287
110,2024,Kendall Fuller,Dolphins,CB,319,34,7.801972,0.024534,-3.380848,-0.010631,11.046832,0.324906,61.764706,-1.309881,-0.040929,0.38235295,0.1764706
111,2024,Taron Johnson,Bills,CB,369,34,14.029779,0.038332,1.930888,0.005275,9.491121,0.27915,55.882355,4.431104,0.138463,0.4117647,0.14705883
112,2024,Quincy Williams,Jets,LB,513,34,16.719404,0.034402,1.168965,0.002405,8.558562,0.251722,41.17647,6.686891,0.208947,0.14705883,0.05882353
113,2024,Jarrian Jones,Jaguars,CB,422,33,17.309715,0.04151,4.524222,0.010849,2.364797,0.07166,48.484848,7.471234,0.233454,0.27272728,0.121212125
114,2024,Xavier Woods,Panthers,S,590,33,27.000202,0.045996,9.470819,0.016134,15.561835,0.47157,60.60606,11.834735,0.369814,0.33333334,0.15151516
115,2024,Harrison Smith,Vikings,S,578,33,13.921719,0.024169,-4.294732,-0.007456,9.436047,0.28594,54.545456,-1.894412,-0.059206,0.3030303,0.15151516
116,2024,Antonio Johnson,Jaguars,S,406,33,12.669043,0.031911,0.231105,0.000582,13.745304,0.416524,54.545456,1.794851,0.056083,0.3939394,0.21212122
117,2024,Kyler Gordon,Bears,CB,364,33,4.772508,0.013183,-7.351206,-0.020307,3.193801,0.096781,48.484848,-4.889822,-0.152799,0.33333334,0.24242425
118,2024,Tre'von Moehrig,Raiders,S,565,33,17.704845,0.031786,-0.284137,-0.00051,9.838396,0.298133,57.575756,1.924432,0.060131,0.3030303,0.15151516
119,2024,Trevon Diggs,Cowboys,CB,361,33,13.067958,0.0364,1.535098,0.004276,2.737636,0.082958,45.454544,3.955636,0.12361,0.27272728,0.15151516
120,2024,Adoree' Jackson,Giants,CB,258,33,11.104752,0.043548,2.914712,0.01143,-3.2495,-0.098469,36.363636,4.623559,0.144471,0.3030303,0.24242425
121,2024,Budda Baker,Cardinals,S,576,31,13.980349,0.024656,-4.794687,-0.008456,8.262948,0.266546,58.064518,-1.891223,-0.059096,0.32258064,0.16129032
122,2024,Roquan Smith,Ravens,LB,551,31,24.091955,0.045628,7.130604,0.013504,3.779124,0.121907,41.935482,13.181247,0.41188,0.29032257,0.12903225
123,2024,Cam Lewis,Bills,S,371,31,1.299955,0.003581,-10.005465,-0.027563,15.681383,0.505851,61.29032,-8.870122,-0.277174,0.3548387,0.09677419
124,2024,Kaden Elliss,Falcons,LB,487,31,20.590319,0.045253,6.114739,0.013438,1.513605,0.048825,51.612904,10.811539,0.337839,0.2580645,0.06451613
