"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","Positive%","PAR","WAR"
"[object Object]","2025","Deone Walker","Bills","DT","215","213","8.0","0.038","0.00","47.0%","3.6","0.1"
"[object Object]","2025","DaQuan Jones","Bills","DT","245","244","7.7","0.031","-0.00","41.0%","2.4","0.1"
"[object Object]","2025","Justin Eboigbe","Chargers","DE","224","219","7.6","0.035","-0.00","44.0%","2.5","0.1"
"[object Object]","2025","Jaylen Harrell","Titans","LB","213","166","7.5","0.045","0.01","41.0%","3.1","0.1"
"[object Object]","2025","Derick Hall","Seahawks","LB","259","243","7.2","0.030","-0.00","39.0%","2.3","0.1"
"[object Object]","2025","Nick Bolton","Chiefs","LB","564","98","7.2","0.074","0.04","6.0%","5.0","0.2"
"[object Object]","2025","Bryan Bresee","Saints","DT","351","349","7.1","0.020","-0.01","44.0%","0.8","0.0"
"[object Object]","2025","Leonard Floyd","Falcons","LB","293","274","7.0","0.025","-0.01","43.0%","1.0","0.0"
"[object Object]","2025","Desjuan Johnson","Rams","DE","69","67","7.0","0.104","0.07","39.0%","5.6","0.2"
"[object Object]","2025","Clelin Ferrell","2 teams","DE","153","148","6.9","0.046","0.01","46.0%","3.6","0.1"
"[object Object]","2025","Arden Key","Titans","DE","288","271","6.7","0.025","-0.01","46.0%","0.8","0.0"
"[object Object]","2025","Grover Stewart","Colts","DT","342","338","6.7","0.020","-0.01","45.0%","1.2","0.0"
"[object Object]","2025","Alex Wright","Browns","DE","259","244","6.7","0.027","-0.01","42.0%","1.7","0.1"
"[object Object]","2025","Bobby Wagner","Commanders","LB","617","73","6.6","0.091","0.06","5.0%","5.2","0.2"
"[object Object]","2025","Khalil Mack","Chargers","LB","256","243","6.4","0.026","-0.01","40.0%","1.2","0.0"
"[object Object]","2025","Jonathan Allen","Vikings","DT","394","388","6.4","0.017","-0.02","42.0%","-0.9","-0.0"
"[object Object]","2025","Jonah Elliss","Broncos","LB","192","159","6.3","0.040","0.01","34.0%","2.8","0.1"
"[object Object]","2025","Isaiah McGuire","Browns","DE","239","224","6.1","0.027","-0.01","43.0%","1.6","0.1"
"[object Object]","2025","Thomas Booker IV","Raiders","DT","277","274","6.1","0.022","-0.01","46.0%","0.9","0.0"
"[object Object]","2025","Jonah Williams","Saints","DE","159","158","6.1","0.038","0.01","40.0%","3.2","0.1"
"[object Object]","2025","Jordan Davis","Eagles","DT","355","353","6.0","0.017","-0.02","46.0%","-0.3","-0.0"
"[object Object]","2025","Jacob Martin","Commanders","DE","403","380","5.9","0.015","-0.02","45.0%","-1.6","-0.0"
"[object Object]","2025","Baron Browning","Cardinals","LB","295","188","5.8","0.031","-0.00","30.0%","2.3","0.1"
"[object Object]","2025","Jarran Reed","Seahawks","DT","223","221","5.8","0.026","-0.01","46.0%","2.0","0.1"
"[object Object]","2025","Cameron Heyward","Steelers","DT","476","471","5.6","0.012","-0.02","50.0%","-1.9","-0.1"
"[object Object]","2025","Tyquan Lewis","Colts","DE","208","191","5.6","0.029","-0.00","44.0%","2.2","0.1"
"[object Object]","2025","Justin Strnad","Broncos","LB","345","67","5.6","0.084","0.05","7.0%","4.3","0.1"
"[object Object]","2025","T'Vondre Sweat","Titans","DT","192","192","5.6","0.029","-0.01","52.0%","1.6","0.0"
"[object Object]","2025","Nick Cross","Colts","S","661","52","5.4","0.104","0.07","3.0%","3.7","0.1"
"[object Object]","2025","Jihad Ward","Titans","LB","419","386","5.3","0.014","-0.02","43.0%","-3.5","-0.1"
"[object Object]","2025","Keion White","2 teams","DE","289","286","5.2","0.018","-0.02","50.0%","-0.7","-0.0"
"[object Object]","2025","Josaiah Stewart","Rams","LB","230","154","5.2","0.034","0.00","31.0%","2.1","0.1"
"[object Object]","2025","Carl Granderson","Saints","DE","411","314","5.0","0.016","-0.02","33.0%","-0.7","-0.0"
"[object Object]","2025","Poona Ford","Rams","DT","267","264","5.0","0.019","-0.01","50.0%","1.1","0.0"
"[object Object]","2025","Zach Sieler","Dolphins","DT","452","440","4.9","0.011","-0.02","51.0%","-3.3","-0.1"
"[object Object]","2025","Kaden Elliss","Falcons","LB","626","161","4.9","0.031","-0.00","12.0%","1.5","0.0"
"[object Object]","2025","Antoine Winfield Jr.","Buccaneers","S","643","61","4.9","0.080","0.05","5.0%","2.8","0.1"
"[object Object]","2025","BJ Hill","Bengals","DT","332","332","4.8","0.014","-0.02","50.0%","-1.2","-0.0"
"[object Object]","2025","Sam Okuayinonu","49ers","DE","336","323","4.7","0.015","-0.02","49.0%","-1.2","-0.0"
"[object Object]","2025","Tavius Robinson","Ravens","DE","258","240","4.7","0.020","-0.01","48.0%","0.6","0.0"
"[object Object]","2025","Nolan Smith","Eagles","LB","247","212","4.6","0.022","-0.01","38.0%","0.2","0.0"
"[object Object]","2025","A.J. Epenesa","Bills","DE","223","204","4.6","0.023","-0.01","40.0%","-0.1","-0.0"
"[object Object]","2025","Zaire Franklin","Colts","LB","661","104","4.4","0.042","0.01","6.0%","2.4","0.1"
"[object Object]","2025","Von Miller","Commanders","LB","283","265","4.3","0.016","-0.02","49.0%","-0.9","-0.0"
"[object Object]","2025","Javon Hargrave","Vikings","DT","285","282","4.3","0.015","-0.02","42.0%","-0.7","-0.0"
"[object Object]","2025","Josh Uche","Eagles","LB","145","130","4.3","0.033","0.00","42.0%","1.6","0.1"
"[object Object]","2025","Adetomiwa Adebawore","Colts","DT","339","332","4.2","0.013","-0.02","47.0%","-0.9","-0.0"
"[object Object]","2025","Carson Schwesinger","Browns","LB","510","66","4.2","0.064","0.03","5.0%","2.7","0.1"
"[object Object]","2025","Dennis Gardeck","Jaguars","LB","247","116","4.0","0.034","0.00","16.0%","1.5","0.0"
"[object Object]","2025","Austin Booker","Bears","DE","312","304","3.9","0.013","-0.02","45.0%","-1.9","-0.1"
"[object Object]","2025","Frankie Luvu","Commanders","LB","607","211","3.9","0.018","-0.01","17.0%","-0.2","-0.0"
"[object Object]","2025","Roy Robertson-Harris","Giants","DT","284","282","3.9","0.014","-0.02","47.0%","-1.1","-0.0"
"[object Object]","2025","Jonathan Greenard","Vikings","LB","319","254","3.6","0.014","-0.02","35.0%","-1.8","-0.1"
"[object Object]","2025","Boye Mafe","Seahawks","LB","350","310","3.6","0.012","-0.02","41.0%","-2.6","-0.1"
"[object Object]","2025","Dayo Odeyingbo","Bears","DE","199","187","3.6","0.020","-0.02","50.0%","-0.4","-0.0"
"[object Object]","2025","Chop Robinson","Dolphins","DE","251","225","3.5","0.015","-0.02","43.0%","-1.0","-0.0"
"[object Object]","2025","Samson Ebukam","Colts","DE","247","211","3.3","0.016","-0.02","39.0%","-0.9","-0.0"
"[object Object]","2025","Sam Williams","Cowboys","DE","270","250","3.3","0.013","-0.02","45.0%","-1.5","-0.0"
"[object Object]","2025","Nick Emmanwori","Seahawks","S","487","64","3.3","0.051","0.02","5.0%","1.0","0.0"
"[object Object]","2025","T.J. Slaton","Bengals","DT","263","263","3.3","0.012","-0.02","50.0%","-1.5","-0.0"
"[object Object]","2025","Dawuane Smoot","Jaguars","DE","325","300","3.1","0.010","-0.02","41.0%","-3.1","-0.1"
"[object Object]","2025","Cameron Thomas","Browns","DE","150","143","3.1","0.022","-0.01","31.0%","0.4","0.0"
