"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Dont'e Thornton Jr.","Raiders","WR","10","1.77","0.026","-0.06","-0.001","-5.50","-0.55","20.0%","0.8","0.0","20.0%","30.0%"
"[object Object]","2025","Matthew Golden","Packers","WR","12","1.71","0.026","0.00","0.000","6.74","0.56","66.7%","0.8","0.0","50.0%","16.7%"
"[object Object]","2025","Dyami Brown","Jaguars","WR","8","1.70","0.040","0.66","0.015","3.13","0.39","75.0%","1.2","0.0","50.0%","25.0%"
"[object Object]","2025","Isaiah Hodgins","Giants","WR","10","1.65","0.028","0.34","0.006","-4.88","-0.49","10.0%","1.1","0.0","10.0%","40.0%"
"[object Object]","2025","Deebo Samuel","Commanders","WR","28","1.64","0.014","-1.34","-0.011","10.23","0.37","53.6%","0.2","0.0","32.1%","28.6%"
"[object Object]","2025","Tez Johnson","Buccaneers","WR","10","1.64","0.019","-0.41","-0.005","5.08","0.51","50.0%","0.7","0.0","40.0%","0.0%"
"[object Object]","2025","Olamide Zaccheaus","Bears","WR","16","1.57","0.020","-0.22","-0.003","-4.67","-0.29","37.5%","0.8","0.0","31.3%","43.8%"
"[object Object]","2025","Oronde Gadsden","Chargers","TE","23","1.54","0.012","-1.44","-0.011","5.08","0.22","52.2%","0.3","0.0","21.7%","13.0%"
"[object Object]","2025","Devaughn Vele","Saints","WR","10","1.50","0.034","0.52","0.012","2.85","0.29","50.0%","1.1","0.0","20.0%","10.0%"
"[object Object]","2025","Adam Thielen","2 teams","WR","11","1.45","0.019","-0.51","-0.007","4.56","0.41","45.5%","0.5","0.0","27.3%","9.1%"
"[object Object]","2025","Terrance Ferguson","Rams","TE","9","1.42","0.023","-0.00","-0.000","2.94","0.33","55.6%","0.8","0.0","55.6%","33.3%"
"[object Object]","2025","Malik Nabers","Giants","WR","8","1.39","0.045","0.65","0.021","-1.44","-0.18","37.5%","1.0","0.0","25.0%","12.5%"
