Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Adonai Mitchell,IND,WR,44,No,Yes,No,44,16,No,Yes,16,1,0.3636,13,0.8125,184,92,19,152,,,0.1818,0.8182,16,9.5,114.6,4.1818,11.5,4.0677,14.1538,7.0769,1.4615,9,28.7112,28.7112,0.3636,18.4,31.4,24.9,31.4,31.4,34.4,27.9,31.4,31.4,31.4,24.9,31.4,31.4,,17,,1,,,1,,,2,0.125,4,0.0625,,1
Connor Heyward,PIT,TE,8,No,No,No,6,,No,Yes,,,,,,,,,,,0.3333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,0.5,
Nick Westbrook-Ikhine,TEN,WR,76,No,Yes,No,73,18,No,Yes,18,1,0.2466,17,0.9444,317,93,20,269,8,,0.2192,0.7808,15,14.9444,158.3,4.3425,17.6111,8.2302,18.6471,5.4706,1.1765,13,37.6271,37.6271,0.2368,79.7,96.7,88.2,96.7,96.7,99.7,91.2,96.7,96.7,96.7,88.2,96.7,96.7,6,17,2,7,2,6,,4,0.2353,,,3,,,
Jamari Thrash,CLV,WR,21,Yes,No,Yes,20,2,No,Yes,2,1,0.1,1,0.5,11,8,2,31,,,0.7,0.3,2,15.5,66.7,0.55,5.5,-2.7634,11,8,2,1,4.5256,4.5256,0.1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,9,1,,,,,,,,,1,,,
Saquon Barkley,PHI,RB,68,Yes,Yes,Yes,51,6,No,Yes,6,1,0.1176,5,0.8333,38,26,12,14,1,,0.0196,0.098,2,2.3333,132.6,0.7451,6.3333,-0.5314,7.6,5.2,2.4,2,12.2304,12.2304,0.0882,9.8,14.8,12.3,17.3,14.8,14.8,12.3,14.8,14.8,14.8,12.3,14.8,14.8,3,16,,1,,1,1,1,0.2,,,1,0.1667,0.8824,
Evan Engram,JAX,TE,48,No,No,No,48,16,No,Yes,16,1,0.3333,16,1,170,69,29,101,,0.4167,0.3333,0.25,13,6.3125,110.9,3.5417,10.625,3.3144,10.625,4.3125,1.8125,8,25.0754,25.0754,0.3333,16,32,24,32,40,35,26,31,31,31,23,40,31,1,9,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,4,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0.6667,
Miles Sanders,CAR,RB,32,No,Yes,No,25,10,No,Yes,10,1,0.4,10,1,83,41,8,42,1,,0.16,0.08,4,4.2,134.6,3.32,8.3,0.2098,8.3,4.1,0.8,4,15.069,15.069,0.3125,14.3,24.3,19.3,29.3,24.3,24.3,19.3,24.3,24.3,24.3,19.3,24.3,24.3,2,11,,,,,,2,0.2,1,0.1,2,,0.76,
Charlie Jones,CIN,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,22,No,Yes,No,22,2,No,Yes,2,1,0.0909,2,1,46,9,2,37,,,0.2727,0.7273,2,18.5,118.8,2.0909,23,12.3327,23,4.5,1,2,3.4453,3.4453,0.0909,4.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,,16,,,,,,,,,,1,,,
Will Dissly,LAC,TE,42,No,No,No,36,13,No,Yes,13,1,0.3611,11,0.8462,83,55,26,61,,0.6944,0.1667,0.1389,9,4.6923,93.3,2.3056,6.3846,-0.5213,7.5455,5,2.3636,5,20.7563,20.7563,0.3095,8.3,19.3,13.8,19.3,24.8,19.3,13.8,19.3,19.3,19.3,13.8,24.8,19.3,2,15,,,,,2,1,0.0909,,,,0.1538,,
Tommy Tremble,CAR,TE,47,No,Yes,No,44,12,No,Yes,12,1,0.2727,12,1,147,83,44,71,2,0.5,0.3864,0.0909,10,5.9167,157.3,3.3409,12.25,5.4272,12.25,6.9167,3.6667,9,21.7397,21.7397,0.2553,26.7,38.7,32.7,38.7,44.7,41.7,35.7,38.7,38.7,38.7,32.7,44.7,38.7,2,12,,1,,1,,3,0.25,,,,,0.0227,
Jonathan Mingo,DAL,WR,46,No,No,Yes,44,3,Yes,Yes,3,1,0.0682,2,0.6667,40,20,2,26,,,0.3409,0.6591,2,8.6667,109.7,0.9091,13.3333,5.3824,20,10,1,1,5.7301,5.7301,0.0652,4,6,5,6,6,6,5,6,6,6,5,6,6,,17,1,,,,,,,,,1,,,
Cooper Kupp,LA,WR,86,No,No,Yes,85,32,Yes,Yes,32,1,0.3765,29,0.9062,379,148,27,245,4,,0.6941,0.3059,31,7.6562,155.6,4.4588,11.8438,4.5593,13.069,5.1034,0.931,15,56.6493,56.6493,0.3721,61.9,90.9,76.4,90.9,90.9,93.9,79.4,90.9,90.9,90.9,76.4,90.9,90.9,4,12,3,1,,1,1,4,0.1379,1,0.0312,7,0.0312,,1
D'Andre Swift,CHI,RB,48,Yes,No,No,33,6,No,Yes,6,1,0.1818,5,0.8333,53,29,5,25,,,0.0303,0.1515,1,4.1667,103.5,1.6061,8.8333,1.8212,10.6,5.8,1,2,8.2902,8.2902,0.125,5.3,10.3,7.8,12.8,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,,17,,,,,1,,,,,1,0.1667,0.8182,
Adam Trautman,DEN,TE,35,Yes,No,No,20,5,No,Yes,5,1,0.25,5,1,100,64,5,42,1,0.65,0.25,0.05,2,8.4,158.3,5,20,12.1091,20,12.8,1,4,11.7226,11.7226,0.1429,16,21,18.5,21,23.5,24,21.5,21,21,21,18.5,23.5,21,2,17,,1,,1,,,,,,,,0.05,
Jase McClellan,ATL,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,
Ja'Marr Chase,CIN,WR,142,No,No,No,141,42,No,Yes,42,1,0.2979,37,0.881,681,246,74,496,8,,0.3121,0.6738,37,11.8095,158.3,4.8298,16.2143,7.7259,18.4054,6.6486,2,27,83.7659,83.7659,0.2958,116.1,153.1,134.6,153.1,153.1,156.1,137.6,153.1,153.1,153.1,134.6,153.1,153.1,8,17,3,5,2,2,3,4,0.1081,2,0.0476,8,0.0714,0.0142,
Robbie Chosen,MIA,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Ben Sims,GB,TE,20,Yes,No,No,14,1,No,Yes,1,1,0.0714,1,1,2,,,2,,0.9286,,0.0714,1,2,79.2,0.1429,2,-4.3701,2,,,,1.3995,1.3995,0.05,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,16,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,5,No,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,5,,,5,,,1,,1,5,87.5,1.6667,5,-1.3628,5,,,,2.9391,2.9391,0.2,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,13,,,,,,,,,,,,,
Hunter Long,LA,TE,27,No,No,No,15,,Yes,Yes,,,,,,,,,,,0.6667,0.2667,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,71,No,No,No,67,15,No,Yes,15,1,0.2239,14,0.9333,228,61,14,180,2,,0.1642,0.8358,13,12,158.3,3.403,15.2,7.0191,16.2857,4.3571,1,9,27.3051,27.3051,0.2113,34.8,48.8,41.8,48.8,48.8,51.8,44.8,48.8,48.8,48.8,41.8,48.8,48.8,1,15,1,,1,,1,3,0.2143,,,3,0.0667,,
Chris Brooks,GB,RB,17,Yes,No,No,12,5,No,Yes,5,1,0.4167,5,1,33,54,20,-21,,0.0833,0.0833,0.0833,2,-4.2,94.2,2.75,6.6,1.1984,6.6,10.8,4,1,7.8689,7.8689,0.2941,3.3,8.3,5.8,10.8,8.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,1,13,,,,,,3,0.6,2,0.4,,,0.75,
Christian Watson,GB,WR,38,Yes,No,No,33,10,No,Yes,10,1,0.303,8,0.8,235,53,8,227,1,,0.1818,0.8182,7,22.7,152.1,7.1212,23.5,12.2906,29.375,6.625,1,7,19.8692,19.8692,0.2632,29.5,37.5,33.5,37.5,37.5,40.5,36.5,37.5,37.5,37.5,33.5,37.5,37.5,1,15,2,,1,,1,,,,,6,0.1,,1
Dallin Holker,NO,TE,4,No,No,Yes,2,2,No,Yes,2,1,1,2,1,15,13,3,2,,1,,,1,1,97.9,7.5,7.5,1.3274,7.5,6.5,1.5,1,2.8709,2.8709,0.5,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,,12,,,,,,,,,,,,,
Jonathon Brooks,CAR,RB,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Tom Kennedy,DET,WR,2,Yes,No,Yes,2,,Yes,Yes,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,135,No,No,No,111,22,No,Yes,22,1,0.1982,21,0.9545,190,113,51,113,4,0.4865,0.3964,0.1081,15,5.1364,142.2,1.7117,8.6364,1.5536,9.0476,5.381,2.4286,12,42.2569,42.2569,0.163,43,64,53.5,64,74.5,67,56.5,64,64,64,53.5,74.5,64,5,16,1,3,,3,,2,0.0952,1,0.0455,1,,0.009,
Sincere McCormick,LV,RB,6,No,No,Yes,4,1,No,Yes,1,1,0.25,1,1,15,2,,13,,,,,,13,118.8,3.75,15,7.9524,15,2,,1,1.2214,1.2214,0.1667,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,4,1,,1,,,,,,,,,1,
K.J. Osborn,WAS,WR,10,No,No,No,9,,No,Yes,,,,,,,,,,,,0.1111,0.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
Anthony Firkser,KC,TE,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Justice Hill,BLT,RB,48,Yes,No,No,32,8,No,Yes,8,1,0.25,7,0.875,102,93,8,26,,,,0.0625,2,3.25,79.2,3.1875,12.75,6.3506,14.5714,13.2857,1.1429,5,12.369,12.369,0.1667,10.2,17.2,13.7,20.7,17.2,20.2,16.7,17.2,17.2,17.2,13.7,17.2,17.2,1,16,1,,,,,2,0.2857,,,1,,0.9375,
James Conner,ARZ,RB,60,No,No,Yes,47,9,Yes,Yes,9,1,0.1915,9,1,59,65,37,-6,,,0.0213,0.0638,2,-0.6667,94,1.2553,6.5556,0.562,6.5556,7.2222,4.1111,6,16.5304,16.5304,0.15,5.9,14.9,10.4,19.4,14.9,14.9,10.4,14.9,14.9,14.9,10.4,14.9,14.9,1,16,,,,,,3,0.3333,,,,,0.9149,
Jonathan Taylor,IND,RB,59,No,Yes,No,51,5,No,Yes,5,1,0.098,4,0.8,27,19,5,8,1,,0.0392,0.0588,1,1.6,128.8,0.5294,5.4,-0.7399,6.75,4.75,1.25,2,9.7709,9.7709,0.0847,8.7,12.7,10.7,14.7,12.7,12.7,10.7,12.7,12.7,12.7,10.7,12.7,12.7,2,14,,,,,,,,,,,,0.902,
Troy Franklin,DEN,WR,34,Yes,No,No,33,6,No,Yes,6,1,0.1818,4,0.6667,41,25,8,115,1,,0.3939,0.6061,5,19.1667,125.7,1.2424,6.8333,-3.0349,10.25,6.25,2,3,12.0384,12.0384,0.1765,10.1,14.1,12.1,14.1,14.1,14.1,12.1,14.1,14.1,14.1,12.1,14.1,14.1,1,16,,2,,1,2,,,1,0.1667,3,0.3333,,
Javon Baker,NE,WR,5,No,No,No,4,,No,Yes,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Michael Pittman,IND,WR,81,No,Yes,No,75,20,No,Yes,20,1,0.2667,18,0.9,204,48,20,204,1,,0.3467,0.6533,16,10.2,125.8,2.72,10.2,2.0191,11.3333,2.6667,1.1111,10,34.3085,34.3085,0.2469,26.4,44.4,35.4,44.4,44.4,47.4,38.4,44.4,44.4,44.4,35.4,44.4,44.4,1,16,7,2,5,1,,1,0.0556,,,2,,,1
Malik Washington,MIA,WR,31,No,No,No,30,5,No,Yes,5,1,0.1667,4,0.8,42,11,4,40,,,0.4333,0.5667,4,8,101.7,1.4,8.4,1.0095,10.5,2.75,1,3,7.542,7.542,0.1613,4.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,8.2,6.2,8.2,8.2,,14,1,,1,,1,,,,,,0.2,,
Grant DuBose,MIA,WR,7,No,Yes,No,7,,No,Yes,,,,,,,,,,,,0.4286,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Tim Jones,JAX,WR,14,No,Yes,No,13,2,No,Yes,2,1,0.1538,2,1,31,18,1,13,,,0.3077,0.6923,,6.5,118.8,2.3846,15.5,9.0251,15.5,9,0.5,2,2.7016,2.7016,0.1429,3.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,,16,,,,,,,,,,,,,
Tyler Goodson,IND,RB,20,No,Yes,No,15,5,No,Yes,5,1,0.3333,5,1,16,18,9,1,1,,0.2667,,2,0.2,119.6,1.0667,3.2,-2.7216,3.2,3.6,1.8,1,9.4577,9.4577,0.25,7.6,12.6,10.1,15.1,12.6,12.6,10.1,12.6,12.6,12.6,10.1,12.6,12.6,1,16,,1,,1,,1,0.2,1,0.2,,,0.7333,
Jordan Mason,SF,RB,29,No,No,Yes,23,3,No,Yes,3,1,0.1304,3,1,14,6,3,8,,0.0435,0.0435,0.0435,,2.6667,86.1,0.6087,4.6667,-1.8171,4.6667,2,1,2,4.3837,4.3837,0.1034,1.4,4.4,2.9,5.9,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,1,12,,,,,,1,0.3333,,,,,0.8696,
Feleipe Franks,CAR,TE,2,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
Tre Tucker,LV,WR,107,No,No,No,104,11,No,Yes,11,1,0.1058,8,0.7273,162,72,15,172,2,,0.2404,0.7596,8,15.6364,154.4,1.5577,14.7273,5.6604,20.25,9,1.875,6,24.0769,24.0769,0.1028,28.2,36.2,32.2,36.2,36.2,39.2,35.2,36.2,36.2,36.2,32.2,36.2,36.2,1,17,2,1,1,1,1,,,,,4,0.0909,,1
Cam Akers,MIN,RB,22,No,No,No,17,1,Yes,Yes,1,1,0.0588,1,1,8,7,,1,,,,0.0588,,1,100,0.4706,8,2.2706,8,7,,,1.316,1.316,0.0455,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,16,,,,,,1,1,,,,,0.9412,
JaMycal Hasty,NE,RB,11,No,No,No,8,1,No,Yes,1,1,0.125,1,1,-1,,,-1,,,,0.125,1,-1,79.2,-0.125,-1,-6.819,-1,,,,1.6739,1.6739,0.0909,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,13,,,,,,,,,,,,0.875,
Javonte Williams,DEN,RB,32,Yes,No,No,15,2,No,Yes,2,1,0.1333,2,1,19,19,5,,,0.0667,,0.0667,,,106.3,1.2667,9.5,3.6729,9.5,9.5,2.5,,2.6981,2.6981,0.0625,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,17,,,,,,1,0.5,,,,,0.8667,
Courtland Sutton,DEN,WR,72,Yes,No,No,68,27,No,Yes,27,1,0.3971,23,0.8519,405,85,19,390,4,,0.1176,0.8824,23,14.4444,158.3,5.9559,15,5.5579,17.6087,3.6957,0.8261,19,52.8563,52.8563,0.375,64.5,87.5,76,87.5,87.5,90.5,79,87.5,87.5,87.5,76,87.5,87.5,5,17,5,5,4,4,3,,,1,0.037,6,0.1111,,1
Greg Dortch,ARZ,WR,48,No,No,No,46,7,No,Yes,7,1,0.1522,7,1,74,73,27,1,2,,0.6522,0.3043,5,0.1429,150.3,1.6087,10.5714,5.0078,10.5714,10.4286,3.8571,4,12.552,12.552,0.1458,19.4,26.4,22.9,26.4,26.4,26.4,22.9,26.4,26.4,26.4,22.9,26.4,26.4,3,17,,,,,,2,0.2857,2,0.2857,,,0.0435,
Terrell Jennings,NE,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,
Darnell Washington,PIT,TE,28,No,No,No,20,7,No,Yes,7,1,0.35,7,1,130,87,43,43,,0.85,0.1,0.05,6,6.1429,118.8,6.5,18.5714,11.2837,18.5714,12.4286,6.1429,6,10.7043,10.7043,0.25,13,20,16.5,20,23.5,23,19.5,20,20,20,16.5,23.5,20,,17,,,,,,3,0.4286,,,,,,
Zach Ertz,WAS,TE,65,No,No,Yes,59,19,Yes,Yes,19,1,0.322,17,0.8947,163,52,15,146,3,0.3729,0.5763,0.0508,16,7.6842,142,2.7627,8.5789,0.9048,9.5882,3.0588,0.8824,10,37.1508,37.1508,0.2923,34.3,51.3,42.8,51.3,59.8,54.3,45.8,51.3,51.3,51.3,42.8,59.8,51.3,6,17,2,4,1,3,1,,,,,,0.0526,,
Audric Estime,DEN,RB,11,Yes,No,No,7,2,No,Yes,2,1,0.2857,2,1,16,21,7,-5,,,0.1429,,,-2.5,100,2.2857,8,1.8414,8,10.5,3.5,1,3.317,3.317,0.1818,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,13,,,,,,,,,,,,0.8571,
Charlie Kolar,BLT,TE,6,Yes,No,Yes,5,1,No,Yes,1,1,0.2,1,1,55,29,6,26,,1,,,1,26,118.8,11,55,43.8476,55,29,6,1,1.8018,1.8018,0.1667,5.5,6.5,6,6.5,7,6.5,6,6.5,6.5,6.5,6,7,6.5,,13,,,,,,,,,,1,,,
Davis Allen,LA,TE,37,No,No,No,28,,Yes,Yes,,,,,,,,,,,0.6786,0.1071,0.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
John Samuel Shenker,LV,TE,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.5,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,28,No,No,No,19,2,No,Yes,2,1,0.1053,2,1,23,19,8,4,,0.8421,,0.1579,1,2,114.6,1.2105,11.5,5.8093,11.5,9.5,4,1,2.8616,2.8616,0.0714,2.3,4.3,3.3,4.3,5.3,4.3,3.3,4.3,4.3,4.3,3.3,5.3,4.3,,17,,,,,,1,0.5,,,,,,
D.J. Turner,LV,WR,38,No,No,Yes,37,,No,Yes,,,,,,,,,,,,0.8108,0.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,69,No,No,No,60,14,Yes,Yes,14,1,0.2333,14,1,220,235,39,-36,,,0.0833,0.1333,8,-2.5714,118.8,3.6667,15.7143,9.5194,15.7143,16.7857,2.7857,11,20.6444,20.6444,0.2029,22,36,29,43,36,39,32,36,36,36,29,36,36,,17,,,,,,3,0.2143,4,0.2857,,,0.7833,
Odell Beckham,MIA,WR,20,No,No,No,20,3,No,Yes,3,1,0.15,2,0.6667,14,2,,29,,,0.7,0.3,3,9.6667,77.1,0.7,4.6667,-3.6975,7,1,,2,5.4377,5.4377,0.15,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,1,9,,,,,1,,,,,,0.3333,,
Hunter Henry,NE,TE,77,No,No,No,71,23,No,Yes,23,1,0.3239,19,0.8261,179,63,25,164,1,0.3662,0.5493,0.0845,21,7.1304,113.6,2.5211,7.7826,0.2791,9.4211,3.3158,1.3158,10,36.7724,36.7724,0.2987,23.9,42.9,33.4,42.9,52.4,45.9,36.4,42.9,42.9,42.9,33.4,52.4,42.9,3,16,4,,,,,2,0.1053,1,0.0435,1,,,
Nelson Agholor,BLT,WR,34,Yes,No,No,33,6,No,Yes,6,1,0.1818,1,0.1667,11,,,122,1,0.0606,0.697,0.2424,5,20.3333,79.2,0.3333,1.8333,-8.5448,11,,,1,11.3353,11.3353,0.1765,7.1,8.1,7.6,8.1,8.1,8.1,7.6,8.1,8.1,8.1,7.6,8.1,8.1,1,14,3,1,,1,1,,,,,3,0.1667,,
Dalton Kincaid,BUF,TE,59,No,Yes,No,56,18,No,Yes,18,1,0.3214,17,0.9444,254,133,50,130,1,0.2857,0.5893,0.1071,11,7.2222,137.3,4.5357,14.1111,6.4379,14.9412,7.8235,2.9412,10,29.0045,29.0045,0.3051,31.4,48.4,39.9,48.4,56.9,51.4,42.9,48.4,48.4,48.4,39.9,56.9,48.4,2,13,2,1,1,,,4,0.2353,,,2,,0.0179,
Jakobi Meyers,LV,WR,93,No,No,No,89,25,No,Yes,25,1,0.2809,25,1,367,124,45,245,2,,0.3034,0.6854,23,9.8,145.4,4.1236,14.68,6.7421,14.68,4.96,1.8,20,39.2766,39.2766,0.2688,48.7,73.7,61.2,73.7,73.7,76.7,64.2,73.7,73.7,73.7,61.2,73.7,73.7,3,15,2,2,2,2,,3,0.12,,,4,,0.0112,
Gabe Davis,JAX,WR,38,Yes,No,No,36,6,No,Yes,6,1,0.1667,5,0.8333,53,11,4,76,1,,0.1667,0.8333,5,12.6667,143.1,1.4722,8.8333,0.2746,10.6,2.2,0.8,4,12.0004,12.0004,0.1579,11.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,16.3,13.8,16.3,16.3,1,10,,1,,1,1,1,0.2,,,2,0.1667,,
Cody White,SEA,WR,3,No,No,Yes,3,,Yes,Yes,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
River Cracraft,MIA,WR,12,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,6,4,3,2,,,0.1818,0.8182,,2,91.7,0.5455,6,0.6656,6,4,3,,1.546,1.546,0.0833,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,8,,,,,,1,1,,,,,,
Michael Wilson,ARZ,WR,84,No,No,Yes,84,13,Yes,Yes,13,1,0.1548,12,0.9231,193,52,18,184,1,,0.3095,0.6905,12,14.1538,144.4,2.2976,14.8462,6.0697,16.0833,4.3333,1.5,10,26.7264,26.7264,0.1548,25.3,37.3,31.3,37.3,37.3,40.3,34.3,37.3,37.3,37.3,31.3,37.3,37.3,,16,3,1,2,,,,,,,4,,,1
Ian Thomas,CAR,TE,7,No,No,Yes,5,3,No,Yes,3,1,0.6,2,0.6667,5,6,2,3,,1,,,3,1,70.1,1,1.6667,-4.434,2.5,3,1,,4.3036,4.3036,0.4286,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,,5,,,,,1,,,,,,0.3333,,
Zay Flowers,BLT,WR,81,Yes,No,Yes,80,22,No,Yes,22,1,0.275,22,1,381,127,56,254,1,,0.325,0.675,21,11.5455,133.9,4.7625,17.3182,8.7177,17.3182,5.7727,2.5455,18,39.5997,39.5997,0.2716,44.1,66.1,55.1,66.1,66.1,69.1,58.1,66.1,66.1,66.1,55.1,66.1,66.1,1,17,,,,,,4,0.1818,2,0.0909,3,,,
DJ Chark,LAC,WR,5,No,No,No,5,,No,Yes,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,21,Yes,Yes,Yes,15,1,No,Yes,1,1,0.0667,1,1,1,4,1,-3,,,0.1333,0.0667,,-3,79.2,0.0667,1,-5.1191,1,4,1,,1.42,1.42,0.0476,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,15,,,,,,,,,,,,0.8,
Stone Smartt,LAC,TE,13,No,No,No,11,3,No,Yes,3,1,0.2727,3,1,42,4,1,38,,0.6364,0.0909,0.2727,3,12.6667,118.8,3.8182,14,3.9692,14,1.3333,0.3333,2,4.7835,4.7835,0.2308,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,,14,1,,1,,,,,,,,,,
T.J. Hockenson,MIN,TE,53,No,No,No,48,18,Yes,Yes,18,1,0.375,17,0.9444,234,97,35,145,,0.5625,0.25,0.1875,13,8.0556,118.8,4.875,13,5.0092,13.7647,5.7059,2.0588,12,29.2367,29.2367,0.3396,23.4,40.4,31.9,40.4,48.9,43.4,34.9,40.4,40.4,40.4,31.9,48.9,40.4,2,10,3,,2,,,2,0.1176,,,1,,,1
Tay Martin,TEN,WR,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,49,5,,44,1,,,1,1,44,158.3,49,49,34,49,5,,1,1.6227,1.6227,1,10.9,11.9,11.4,11.9,11.9,11.9,11.4,11.9,11.9,11.9,11.4,11.9,11.9,,1,,,,,,,,,,1,,,
Simi Fehoko,LAC,WR,22,No,No,No,22,2,No,Yes,2,1,0.0909,1,0.5,17,7,,39,,,0.1364,0.8636,1,19.5,79.2,0.7727,8.5,-0.9692,17,7,,1,3.1643,3.1643,0.0909,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,1,8,1,1,,,,,,,,1,,,
