Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsPerRoute,YardsAirTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,TargetsInEndzone,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsCatchableTotal,TargetsCatchablePercentage
Lucas Krull,DEN,TE,4,No,Yes,No,4,Yes,No,,13,0.25,,,,,,,,,,,,,,0.75,,,,,,
Tyler Johnson,LA,WR,7,Yes,Yes,Yes,7,No,No,,15,0.1429,2,0.2857,22,0.7143,2,11,,,-8.273,3.3475,3.3475,0.2857,,0.1429,1,,,,,
Dalton Schultz,HST,TE,21,No,Yes,No,17,No,No,0.0588,17,0.2353,3,0.1765,15,0.0588,3,5,,39.6,-6.48,4.5056,4.5056,0.1429,,0.6471,,,,,,
George Kittle,SF,TE,14,No,Yes,Yes,12,Yes,No,,15,0.25,2,0.1667,24,0.0833,2,12,,,-8.9494,3.564,3.564,0.1429,,0.6667,,,,,,
Keenan Allen,CHI,WR,14,Yes,No,No,14,No,No,,15,0.6429,5,0.3571,82,0.3571,4,16.4,2,39.6,-9.5332,8.7969,8.7969,0.3571,,,,,,,,
Isaiah Likely,BLT,TE,3,No,No,Yes,3,No,No,,16,0.6667,1,0.3333,12,0.3333,1,12,,39.6,-8.6661,1.3779,1.3779,0.3333,,,,,,,,
Ja'Lynn Polk,NE,WR,9,No,No,No,8,No,No,,15,0.125,2,0.25,30,0.875,2,15,1,39.6,-9.7174,3.3117,3.3117,0.2222,,,,1,,,,
Jared Wiley,KC,TE,2,No,No,No,2,No,No,,7,0.5,,,,,,,,,,,,,,0.5,,,,,,
James Cook,BUF,RB,7,No,No,No,7,No,No,1,16,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,4,No,Yes,No,4,No,No,,5,0.25,1,0.25,45,0.75,1,45,1,,-15,1.8203,1.8203,0.25,,,,,,,,
Peyton Hendershot,KC,TE,1,No,Yes,No,1,Yes,No,,7,,,,,1,,,,,,,,,,,,,,,,
Jordan Akins,CLV,TE,12,No,No,Yes,11,No,No,,17,0.2727,3,0.2727,16,0.1818,2,5.3333,,,-6.6825,5.6641,5.6641,0.25,1,0.5455,1,,,,,
Nick Vannett,TEN,TE,7,No,Yes,No,6,No,No,,17,0.1667,,,,,,,,,,,,,,0.8333,,,,,,
Noah Fant,SEA,TE,15,Yes,Yes,Yes,15,No,No,0.1333,14,0.4,3,0.2,51,0.1333,3,17,,,-11.615,6.734,6.734,0.2,1,0.3333,1,,,,,
CeeDee Lamb,DAL,WR,17,No,No,No,17,No,No,,16,0.8235,5,0.2941,81,0.1765,5,16.2,,,-10.4233,12.1123,12.1123,0.2941,2,,2,,,,,
Isaiah Davis,NYJ,RB,2,Yes,Yes,Yes,2,No,No,0.5,13,,,,,0.5,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,8,Yes,Yes,Yes,8,No,No,,17,0.125,3,0.375,28,0.125,3,9.3333,,39.6,-8.5744,4.2262,4.2262,0.375,,0.75,1,1,,,,
Rome Odunze,CHI,WR,14,Yes,No,No,14,No,No,,17,0.2857,3,0.2143,34,0.7143,2,11.3333,,39.6,-8.7452,6.0002,6.0002,0.2143,1,,1,,,,,
Bucky Irving,TB,RB,9,No,Yes,Yes,7,No,No,0.8571,17,,,,,0.1429,,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,18,Yes,No,No,18,No,No,,17,0.1667,7,0.3889,139,0.8333,6,19.8571,4,,-10.7551,13.4628,13.4628,0.3889,1,,2,,,,,
Tyjae Spears,TEN,RB,9,No,No,No,7,No,No,0.8571,12,,,,,,,,,,,,,,,0.1429,,,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,No,No,,12,,,,,1,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,6,No,No,Yes,5,No,No,,15,0.2,,,,0.2,,,,,,,,,,0.6,,,,,,
Nick Chubb,CLV,RB,8,No,Yes,No,6,No,No,0.8333,8,0.1667,1,0.1667,-3,,1,-3,,,-6.1191,1.3882,1.3882,0.125,,,,,1,1,,
Michael Carter,ARZ,RB,2,No,Yes,Yes,2,Yes,No,1,3,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,9,No,No,No,7,No,No,0.8571,15,,1,0.1429,-9,0.1429,1,-9,,,-4.5287,1.577,1.577,0.1111,,,,,1,1,,
Ameer Abdullah,LV,RB,13,No,No,No,11,No,No,0.7273,16,0.0909,,,,0.1818,,,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,10,No,Yes,No,10,Yes,No,,13,0.7,1,0.1,7,0.3,,7,,39.6,-7.0645,1.5355,1.5355,0.1,,,,,,,,
Trey Sermon,IND,RB,5,No,No,No,3,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,13,No,No,No,13,No,No,,14,0.9231,4,0.3077,43,0.0769,4,10.75,,,-8.4455,6.8566,6.8566,0.3077,,,,,,,,
Foster Moreau,NO,TE,14,No,Yes,Yes,11,No,No,,17,0.2727,3,0.2727,33,0.1818,3,11,,,-8.8474,5.5112,5.5112,0.2143,,0.5455,,,,,,
Tyler Allgeier,ATL,RB,4,No,Yes,No,3,Yes,No,1,17,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,21,No,Yes,Yes,20,No,No,,17,0.3,4,0.2,60,0.15,3,15,,,-10.2007,6.8602,6.8602,0.1905,,0.55,,,,,,
David Montgomery,DET,RB,4,No,Yes,No,2,No,No,1,14,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,16,No,No,No,16,No,No,,17,0.375,3,0.1875,81,0.5625,2,27,1,39.6,-12.1029,5.2066,5.2066,0.1875,,0.0625,,1,,,,
Tyler Boyd,TEN,WR,20,No,No,No,20,No,No,,16,0.75,5,0.25,58,0.25,5,11.6,,,-8.7719,7.6946,7.6946,0.25,,,,,,,,
Hassan Haskins,LAC,RB,1,No,No,No,1,Yes,No,1,15,,,,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,4,No,No,No,3,No,No,,17,0.6667,1,0.3333,22,,1,22,1,,-10.5749,2.0708,2.0708,0.25,,0.3333,,,,,,
Jaylen Warren,PIT,RB,8,No,No,No,7,No,No,0.5714,15,0.1429,1,0.1429,-5,,1,-5,,39.6,-5.8711,1.4146,1.4146,0.125,,0.2857,,,1,1,,
Kendrick Bourne,NE,WR,4,No,No,No,4,No,No,,12,0.5,1,0.25,15,0.5,1,15,,39.6,-10.4097,1.3642,1.3642,0.25,,,,,,,,
Teagan Quitoriano,HST,TE,2,No,No,No,2,No,No,,7,,,,,,,,,,,,,,,1,,,,,,
Ashton Dulin,IND,WR,2,No,No,No,2,No,No,,15,,,,,1,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,17,No,Yes,Yes,17,Yes,No,,15,0.2353,5,0.2941,75,0.7647,5,15,1,,-9.7363,8.233,8.233,0.2941,,,,1,,,,
Ja'Tavion Sanders,CAR,TE,10,No,Yes,No,10,Yes,No,,16,0.9,2,0.2,25,0.1,1,12.5,,39.6,-8.8443,3.7403,3.7403,0.2,,,,1,,,,
Quintin Morris,BUF,TE,5,No,No,No,4,No,No,,16,0.5,,,,0.25,,,,,,,,,,0.25,,,,,,
Marquise Brown,KC,WR,2,No,No,No,2,No,No,,2,1,,,,,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,6,No,No,Yes,6,No,No,,17,0.6667,,,,0.3333,,,,,,,,,,,,,,,,
John Metchie,HST,WR,13,No,Yes,No,13,No,No,,13,0.3077,2,0.1538,36,0.6923,2,18,,39.6,-11.7987,4.6879,4.6879,0.1538,,,,,,,,
Jamison Crowder,WAS,WR,3,No,No,No,3,No,No,,6,0.6667,2,0.6667,20,0.3333,1,10,,,-8.2784,2.6641,2.6641,0.6667,,,,,,,,
KaVontae Turpin,DAL,WR,7,No,No,No,7,No,No,0.1429,17,0.4286,2,0.2857,32,0.4286,1,16,1,39.6,-8.5634,3.3431,3.3431,0.2857,,,,,,,,
Jordan Mims,NO,RB,3,No,Yes,Yes,2,No,No,1,9,,,,,,,,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,5,No,No,No,5,No,No,,14,0.2,1,0.2,7,0.8,1,7,,39.6,-7.0645,1.5822,1.5822,0.2,,,,,,,,
Kevin Austin,NO,WR,9,No,Yes,Yes,9,No,No,,8,0.3333,2,0.2222,48,0.6667,1,24,1,39.6,-10.2249,5.1392,5.1392,0.2222,,,,,,,,
Kenneth Gainwell,PHI,RB,6,No,No,No,2,No,No,0.5,17,,,,,0.5,,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,7,No,Yes,No,6,Yes,No,1,17,,1,0.1667,6,,,6,,39.6,-7.7086,1.4651,1.4651,0.1429,,,,,,,,
Jordan Whittington,LA,WR,2,Yes,Yes,Yes,2,No,No,,15,0.5,,,,0.5,,,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,7,No,Yes,No,7,No,No,,17,0.4286,,,,0.1429,,,,,,,,,,0.4286,,,,,,
Travis Etienne,JAX,RB,12,No,No,No,12,No,No,0.9167,15,,3,0.25,-9,0.0833,2,-3,,39.6,-5.9623,4.9655,4.9655,0.25,,,,,2,0.6667,,
J.K. Dobbins,LAC,RB,8,No,No,No,3,Yes,No,0.6667,13,0.3333,,,,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,9,Yes,No,No,5,No,No,1,13,,1,0.2,18,,,18,,39.6,-9.2121,1.8091,1.8091,0.1111,,,,,,,,
Equanimeous St. Brown,NO,WR,1,No,Yes,No,1,No,No,,2,1,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,12,No,No,No,12,No,No,,14,0.5,3,0.25,32,0.25,3,10.6667,,39.6,-8.4704,5.3722,5.3722,0.25,,0.25,,,,,,
Davante Adams,NYJ,WR,18,Yes,Yes,Yes,17,No,No,,14,0.5294,7,0.4118,57,0.4706,5,8.1429,,,-7.3289,13.8228,13.8228,0.3889,3,,3,,,,,
Dare Ogunbowale,HST,RB,11,No,Yes,No,4,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,13,No,Yes,No,13,No,No,,12,0.3846,7,0.5385,133,0.6154,5,19,3,,-10.165,13.2875,13.2875,0.5385,,,,,,,,
Jerry Jeudy,CLV,WR,30,No,No,Yes,30,No,No,0.0333,17,0.2667,9,0.3,132,0.6667,7,14.6667,2,,-9.4367,19.3453,19.3453,0.3,2,0.0333,2,,,,,
Amari Cooper,BUF,WR,8,No,No,No,8,No,No,,14,0.375,1,0.125,19,0.625,,19,,39.6,-11.9321,1.77,1.77,0.125,,,,,,,,
Darius Slayton,NYG,WR,22,No,No,No,21,No,No,,16,0.3333,5,0.2381,36,0.6667,5,7.2,,,-7.1177,9.6886,9.6886,0.2273,1,,1,,,,,
Jake Bobo,SEA,WR,5,Yes,Yes,Yes,5,No,No,,17,,2,0.4,35,1,2,17.5,,39.6,-11.0137,3.0573,3.0573,0.4,,,,,,,,
Brevyn Spann-Ford,DAL,TE,3,No,No,No,2,No,No,,17,0.5,,,,,,,,,,,,,,0.5,,,,,,
Tyler Higbee,LA,TE,5,Yes,Yes,Yes,5,No,No,,3,0.2,1,0.2,9,0.4,1,9,,39.6,-7.2596,4.3427,4.3427,0.2,1,0.4,1,,,,,
Connor Heyward,PIT,TE,2,No,No,No,2,No,No,,16,0.5,,,,0.5,,,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,3,No,No,No,3,No,No,,5,,,,,1,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,8,No,No,No,7,No,No,,17,0.2857,1,0.1429,38,0.7143,,38,1,39.6,-11.7164,1.2875,1.2875,0.125,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,19,No,Yes,No,19,No,No,,17,0.2632,6,0.3158,81,0.7368,6,13.5,1,,-9.2654,10.7912,10.7912,0.3158,,,1,1,,,,
Marquez Valdes-Scantling,NO,WR,11,No,Yes,Yes,11,No,No,,14,0.2727,3,0.2727,72,0.7273,1,24,1,39.6,-12.4617,9.4542,9.4542,0.2727,,,,,,,,
Miles Sanders,CAR,RB,3,No,Yes,No,3,Yes,No,0.3333,11,,1,0.3333,5,0.6667,1,5,,39.6,-7.233,1.5375,1.5375,0.3333,,,1,,,,,
Charlie Jones,CIN,WR,1,No,No,Yes,1,No,No,,8,1,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,10,No,No,No,10,Yes,No,,15,0.5,1,0.1,12,0.2,1,12,,39.6,-8.6661,3.1524,3.1524,0.1,,0.3,1,,,,,
KhaDarel Hodge,ATL,WR,1,No,Yes,No,1,Yes,No,,16,,,,,1,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,4,No,No,Yes,4,No,No,,9,0.25,,,,0.75,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,8,No,No,No,7,No,No,0.7143,16,0.1429,,,,0.1429,,,,,,,,,,,,,,,,
Evan Engram,JAX,TE,9,No,No,No,8,No,No,,9,0.375,3,0.375,36,,3,12,1,39.6,-9.7431,5.2829,5.2829,0.3333,,0.625,1,,,,,
Adam Trautman,DEN,TE,5,No,Yes,No,3,Yes,No,,17,,,,,0.3333,,,,,,,,,,0.6667,,,,,,
D'Andre Swift,CHI,RB,12,Yes,No,No,7,No,No,0.8571,17,,,,,0.1429,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,14,No,No,No,14,No,No,,17,0.3571,5,0.3571,77,0.6429,5,15.4,2,,-8.7755,8.7643,8.7643,0.3571,,,,1,1,0.2,,
Steven Sims,BLT,WR,1,No,No,Yes,1,No,No,,9,1,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,6,No,Yes,No,4,Yes,No,,12,0.5,,,,0.25,,,,,,,,,,0.25,,,,,,
Jonathan Mingo,DAL,WR,14,No,No,No,14,No,No,,17,0.5714,4,0.2857,59,0.4286,3,14.75,1,39.6,-9.6079,8.5656,8.5656,0.2857,1,,,,,,,
Cooper Kupp,LA,WR,12,No,No,No,12,No,No,,12,0.5833,5,0.4167,61,0.4167,4,12.2,1,39.6,-8.7114,10.9203,10.9203,0.4167,,,,1,,,,
Hunter Long,LA,TE,1,Yes,Yes,Yes,1,No,No,,17,,,,,1,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,11,No,No,No,11,No,No,,15,0.1818,2,0.1818,83,0.8182,1,41.5,2,39.6,-14.5,4.4192,4.4192,0.1818,,,,,,,,
Ben Sims,GB,TE,3,Yes,No,No,2,No,No,,16,,,,,0.5,,,,,,,,,,0.5,,,,,,
DeAndre Carter,CHI,WR,2,Yes,Yes,No,2,No,No,,13,1,1,0.5,4,,,4,,,-6.0498,1.3486,1.3486,0.5,,,,,,,,
Chris Brooks,GB,RB,3,Yes,No,No,2,No,No,0.5,13,0.5,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,8,Yes,No,No,8,No,No,,15,0.125,3,0.375,70,0.875,3,23.3333,1,,-11.6602,5.1704,5.1704,0.375,,,,,,,,
Dallin Holker,NO,TE,1,No,Yes,Yes,1,No,No,,12,1,1,1,30,,,30,1,39.6,-13.2292,3.5705,3.5705,1,,,,,,,,
James Conner,ARZ,RB,4,No,No,No,3,No,No,1,16,,1,0.3333,-6,,1,-6,,,-5.0893,0.9524,0.9524,0.25,,,,,,,,
Sincere McCormick,LV,RB,2,No,No,No,1,Yes,No,1,4,,,,,,,,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,6,No,No,No,6,No,No,,9,0.3333,2,0.3333,10,0.6667,1,5,,39.6,-6.4995,2.8573,2.8573,0.3333,,,,,,,,
Tyler Conklin,NYJ,TE,14,Yes,Yes,Yes,12,No,No,,16,0.75,2,0.1667,24,0.1667,,12,,39.6,-8.9557,2.7642,2.7642,0.1429,,0.0833,,,,,,
Justice Hill,BLT,RB,7,No,Yes,Yes,5,No,No,1,16,,,,,,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,15,No,No,No,15,No,No,,16,0.1333,4,0.2667,56,0.8667,4,14,1,,-9.3695,7.1072,7.1072,0.2667,1,,1,,,,,
Malik Washington,MIA,WR,13,Yes,Yes,Yes,11,No,No,,14,0.5455,2,0.1818,7,0.4545,1,3.5,,39.6,-5.7498,2.6448,2.6448,0.1538,,,,1,,,,
Tyler Goodson,IND,RB,3,No,No,No,3,No,No,0.6667,16,,,,,0.3333,,,,,,,,,,,,,,,,
Jordan Mason,SF,RB,4,Yes,No,No,2,No,No,1,12,,,,,,,,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,2,No,No,Yes,2,No,No,,3,0.5,,,,0.5,,,,,,1.8923,1.8923,,,,,,,,,
Tre Tucker,LV,WR,20,No,No,No,19,Yes,No,,17,0.1579,6,0.3158,82,0.8421,4,13.6667,1,,-9.5171,10.6433,10.6433,0.3,,,,1,,,,
Jonathan Taylor,IND,RB,11,No,No,No,7,No,No,0.8571,14,,1,0.1429,-5,0.1429,1,-5,,,-5.8711,1.176,1.176,0.0909,,,,,1,1,,
Troy Franklin,DEN,WR,7,No,Yes,No,6,Yes,No,,16,0.1667,3,0.5,39,0.8333,3,13,,,-9.1081,5.5073,5.5073,0.4286,,,,,,,,
Javon Baker,NE,WR,2,No,No,No,2,No,No,,10,,1,0.5,6,1,1,6,,39.6,-6.9491,1.4755,1.4755,0.5,,,,,,,,
Charlie Kolar,BLT,TE,2,No,No,Yes,2,No,No,,13,,,,,,,,,,,,,,,1,,,,,,
Darnell Washington,PIT,TE,4,No,No,No,3,No,No,,17,,,,,,,,,,,,,,,1,,,,,,
Zach Ertz,WAS,TE,10,No,No,No,10,No,No,,17,0.6,1,0.1,8,0.1,1,8,,,-7.7205,3.6,3.6,0.1,1,0.3,1,,,,,
Davis Allen,LA,TE,2,Yes,Yes,Yes,2,No,No,,14,,,,,,,,,,,,,,,1,,,,,,
John Samuel Shenker,LV,TE,2,No,No,No,1,No,No,,7,,,,,,,,,,,,,,,1,,,,,,
Javonte Williams,DEN,RB,10,No,Yes,No,7,Yes,No,0.8571,17,0.1429,,,,,,,,,,,,,,,,,,,,
River Cracraft,MIA,WR,2,Yes,Yes,Yes,2,No,No,0.5,8,0.5,,,,,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,3,No,No,Yes,3,No,No,1,16,,,,,,,,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,2,No,No,No,2,No,No,1,13,,,,,,,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,11,No,Yes,Yes,11,Yes,No,,17,0.5455,1,0.0909,27,0.4545,,27,1,39.6,-11.9133,1.3761,1.3761,0.0909,,,,1,,,,
Courtland Sutton,DEN,WR,13,No,Yes,No,13,Yes,No,,17,0.1538,7,0.5385,134,0.8462,6,19.1429,2,,-10.7076,13.6357,13.6357,0.5385,1,,,1,,,,
Tyrell Shavers,BUF,WR,1,No,No,No,1,No,No,,3,1,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,13,No,No,No,13,No,No,,16,0.2308,2,0.1538,13,0.7692,1,6.5,,39.6,-6.7518,4.9509,4.9509,0.1538,,,,1,,,,
DJ Chark,LAC,WR,2,No,No,No,2,Yes,No,,7,,1,0.5,16,1,1,16,,39.6,-10.0952,1.6305,1.6305,0.5,,,,,,,,
Ian Thomas,CAR,TE,3,No,Yes,Yes,1,No,No,,5,,1,1,17,,,17,,,-11.6807,1.5826,1.5826,0.3333,,1,,,,,,
Zay Flowers,BLT,WR,10,No,No,Yes,10,No,No,,17,0.3,5,0.5,121,0.7,1,24.2,4,39.6,-10.6308,9.1673,9.1673,0.5,1,,1,,,,,
Jahmyr Gibbs,DET,RB,5,No,No,Yes,3,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Odell Beckham,MIA,WR,7,No,No,No,7,No,No,,9,0.5714,5,0.7143,67,0.4286,4,13.4,1,,-8.7285,10.3056,10.3056,0.7143,2,,2,,,,,
Cody White,SEA,WR,3,No,Yes,No,3,No,No,,4,,1,0.3333,9,1,1,9,,39.6,-7.4539,1.7526,1.7526,0.3333,,,,,,,,
D.J. Turner,LV,WR,7,Yes,No,No,7,No,No,,12,0.8571,1,0.1429,2,0.1429,,2,,39.6,-5.3344,1.3398,1.3398,0.1429,,,,,,,,
Dalton Kincaid,BUF,TE,8,No,No,No,8,No,No,,13,0.5,4,0.5,61,0.5,3,15.25,,39.6,-10.6534,10.3017,10.3017,0.5,1,,2,1,,,,
Jakobi Meyers,LV,WR,20,No,No,No,19,Yes,No,,15,0.3158,2,0.1053,53,0.6842,1,26.5,1,,-11.0631,8.0167,8.0167,0.1,1,,,1,,,,
Hunter Henry,NE,TE,12,No,No,No,11,No,No,,16,0.3636,3,0.2727,25,0.0909,2,8.3333,,39.6,-7.5792,8.3088,8.3088,0.25,1,0.5455,1,1,,,,
Nelson Agholor,BLT,WR,9,Yes,No,No,9,No,No,,14,0.5556,3,0.3333,32,0.4444,1,10.6667,1,39.6,-8.1179,4.1532,4.1532,0.3333,,,,,,,,
Josh Reynolds,JAX,WR,4,No,No,No,4,No,No,,9,,1,0.25,6,1,1,6,,39.6,-6.9491,1.5248,1.5248,0.25,,,,,,,,
Noah Gray,KC,TE,7,No,Yes,No,6,Yes,No,0.1667,17,0.5,1,0.1667,16,,1,16,,,-10.191,4.0865,4.0865,0.1429,1,0.3333,1,,,,,
Brian Thomas,JAX,WR,18,No,No,No,17,No,No,,17,0.1765,1,0.0588,29,0.8235,1,29,1,39.6,-11.4385,1.9719,1.9719,0.0556,,,,,,,,
Gabe Davis,JAX,WR,5,Yes,No,No,5,No,No,,10,,4,0.8,64,1,3,16,,,-10.7304,7.1056,7.1056,0.8,1,,1,,,,,
DeAndre Hopkins,KC,WR,13,No,No,No,12,No,No,,16,0.0833,3,0.25,33,0.9167,3,11,1,,-8.2222,5.6234,5.6234,0.2308,1,,1,,,,,
Tim Patrick,DET,WR,9,No,No,Yes,7,No,No,,16,0.1429,1,0.1429,7,0.8571,1,7,,,-7.0645,1.3557,1.3557,0.1111,,,,,,,,
Ezekiel Elliott,DAL,RB,6,No,No,No,4,No,No,0.75,15,0.25,,,,,,,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,3,No,No,No,3,Yes,No,,14,0.3333,1,0.3333,16,0.3333,,16,,39.6,-10.191,2.8348,2.8348,0.3333,,0.3333,,,,,,
Eric Tomlinson,LAC,TE,1,No,No,No,1,No,No,,9,,,,,,,,,,,,,,,1,,,,,,
T.J. Hockenson,MIN,TE,10,No,No,Yes,10,No,No,,10,0.3,4,0.4,67,0.2,1,16.75,2,,-10.6573,9.1964,9.1964,0.4,1,0.5,1,,,,,
Simi Fehoko,LAC,WR,3,No,Yes,No,3,No,No,,8,,2,0.6667,27,1,2,13.5,,39.6,-9.5826,3.1316,3.1316,0.6667,,,,1,,,,
Xavier Hutchinson,HST,WR,10,No,Yes,No,10,No,No,,16,0.5,4,0.4,62,0.5,1,15.5,1,,-9.4132,5.5179,5.5179,0.4,,,,,,,,
Mo Alie-Cox,IND,TE,9,No,No,No,8,No,No,,17,0.375,3,0.375,39,0.125,1,13,1,39.6,-8.1596,7.787,7.787,0.3333,2,0.5,3,,,,,
Devin Culp,TB,TE,1,No,Yes,Yes,1,No,No,,5,,,,,1,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,14,No,No,No,7,No,No,0.8571,17,0.1429,,,,,,,,,,,,,,,,,,,,
Michael Mayer,LV,TE,11,No,No,No,10,Yes,No,,11,0.4,2,0.2,43,0.1,,21.5,1,39.6,-9.0766,3.7448,3.7448,0.1818,,0.5,,1,,,,
Marvin Harrison,ARZ,WR,13,No,Yes,Yes,13,Yes,No,,17,0.3077,5,0.3846,77,0.6923,5,15.4,1,,-10.0625,9.4604,9.4604,0.3846,,,,,,,,
Jaylen Wright,MIA,RB,2,Yes,Yes,Yes,2,No,No,1,15,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,2,No,No,No,2,No,No,,4,0.5,1,0.5,3,0.5,1,3,,39.6,-5.4499,1.3907,1.3907,0.5,,,,,,,,
Austin Hooper,NE,TE,7,No,No,No,7,No,No,,17,0.1429,3,0.4286,37,,3,12.3333,1,,-8.5115,8.014,8.014,0.4286,1,0.8571,1,,,,,
Justin Watson,KC,WR,12,No,Yes,No,11,Yes,No,,17,0.5455,,,,0.3636,,,,,,,,,,0.0909,,,,,,
Kenneth Walker,SEA,RB,10,No,Yes,No,8,No,No,1,11,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,16,Yes,Yes,Yes,15,No,No,0.6667,17,0.0667,,,,0.2667,,,,,,,,,,,,,,,,
Mike Evans,TB,WR,19,No,Yes,Yes,19,No,No,,14,0.5263,10,0.5263,129,0.4737,9,12.9,,,-9.1891,18.2528,18.2528,0.5263,,,,,,,,
Jordan Addison,MIN,WR,12,No,No,Yes,12,No,No,,15,0.3333,1,0.0833,13,0.6667,1,13,,,-8.9145,3.2865,3.2865,0.0833,,,,,,,,
Tyler Lockett,SEA,WR,20,Yes,Yes,Yes,20,No,No,,17,0.35,7,0.35,103,0.65,4,14.7143,2,,-9.1227,13.3831,13.3831,0.35,1,,2,,,,,
Keon Coleman,BUF,WR,11,No,No,No,11,No,No,,13,0.1818,4,0.3636,76,0.8182,3,19,1,39.6,-10.3368,7.6935,7.6935,0.3636,,,,1,,,,
Lil'Jordan Humphrey,DEN,WR,5,No,Yes,No,5,Yes,No,,17,0.6,2,0.4,33,0.4,,16.5,1,,-9.8899,3.6333,3.6333,0.4,,,,,,,,
Xavier Gipson,NYJ,WR,5,Yes,Yes,Yes,5,No,No,,17,0.2,1,0.2,47,0.8,,47,1,39.6,-15,1.5909,1.5909,0.2,,,,1,,,,
Cedrick Wilson,NO,WR,9,No,Yes,Yes,9,No,No,,15,0.4444,1,0.1111,7,0.5556,1,7,,39.6,-7.0645,1.5757,1.5757,0.1111,,,,,,,,
Tank Bigsby,JAX,RB,3,No,No,No,2,No,No,1,16,,,,,,,,,,,,,,,,,,,,,
Mike Woods,CLV,WR,12,No,No,No,12,No,No,,5,0.0833,2,0.1667,41,0.8333,1,20.5,1,,-10.3248,4.7212,4.7212,0.1667,1,0.0833,1,,,,,
John FitzPatrick,GB,TE,2,Yes,No,No,2,No,No,,9,,,,,,,,,,,,,,,1,,,,,,
Sean Tucker,TB,RB,1,No,Yes,Yes,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,3,Yes,No,No,3,No,No,,10,,1,0.3333,4,1,1,4,,39.6,-6.0498,1.4083,1.4083,0.3333,,,,,,,,
Jack Stoll,MIA,TE,2,No,No,No,2,No,No,,9,1,1,0.5,4,,1,4,,39.6,-6.0667,1.4492,1.4492,0.5,,,,,,,,
Luke Schoonmaker,DAL,TE,6,No,No,No,6,No,No,0.1667,17,0.6667,2,0.3333,32,,2,16,,39.6,-10.191,3.3887,3.3887,0.3333,,0.1667,,,,,,
Chris Conley,SF,WR,1,No,Yes,Yes,1,Yes,No,,15,1,,,,,,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,2,No,No,No,1,No,No,1,9,,,,,,,,,,,,,,,,,,,,,
