Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone
Rashid Shaheed,NO,WR,16,No,No,No,16,2,No,1,Yes,2,1,0.125,1,,0.5,6,24,0.6875,12,56.3,0.375,3,-5.9241,6,2.6826,2.6826,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,,,,,,0.3125,2,,,,,,,1,,,,,,
Greg Dulcich,NYG,TE,14,No,Yes,No,12,3,No,,Yes,3,1,0.25,2,,0.6667,16,10,0.0833,3.3333,79.9,1.3333,5.3333,-1.0573,8,4.401,4.401,0.2143,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,9,,11,2,1,,,0.3333,3,,,,0.3333,5.5,1,,,0.5833,,,,
Craig Reynolds,DET,RB,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,21,Yes,No,Yes,21,2,No,,Yes,2,1,0.0952,1,,0.5,7,4,0.1905,2,58.3,0.3333,3.5,-2.8701,7,2.9243,2.9243,0.0952,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,17,,5,3,,,,0.2857,,,,,,5,3,1,,0.5238,,,,
Durham Smythe,MIA,TE,7,No,Yes,No,5,2,No,1,Yes,2,1,0.4,1,1,0.5,4,27,,13.5,56.3,0.8,2,-6.883,4,2.2912,2.2912,0.2857,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,0.2,,,,,,0.4,1,,,1,,,,,,0.4,,,,
Xavier Legette,CAR,WR,28,No,No,No,27,6,No,,Yes,6,1,0.2222,6,,1,75,73,0.7037,12.1667,158.3,2.7778,12.5,3.55,12.5,9.0984,9.0984,0.2143,13.5,19.5,16.5,19.5,19.5,19.5,16.5,19.5,19.5,19.5,16.5,19.5,19.5,16,,7,5,,1,0.1667,0.2963,5,,,2,,1.1667,0.8333,4,1,,1,,1,1
J.J. Taylor,HST,RB,1,No,Yes,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,
Jalin Hyatt,NYG,WR,15,No,Yes,No,15,1,No,,Yes,1,1,0.0667,,,,,8,0.8667,8,39.6,,,-7.5106,,1.5318,1.5318,0.0667,,,,,,,,,,,,,,16,,,,1,,,0.1333,1,,,,1,,,,,,,,,
David Njoku,CLV,TE,36,No,No,No,34,10,Yes,1,Yes,10,1,0.2941,7,,0.7,66,49,0.1176,4.9,87.9,1.9412,6.6,-0.2277,9.4286,19.0698,19.0698,0.2778,6.6,13.6,10.1,13.6,17.1,13.6,10.1,13.6,13.6,13.6,10.1,17.1,13.6,11,,23,17,2,1,0.1429,0.4706,9,1,0.1,,0.2,3.2857,2.4286,4,2,0.4118,1,,,
Brock Bowers,LV,TE,39,No,No,No,37,9,No,,Yes,9,1,0.2432,8,,0.8889,56,22,0.1892,2.4444,92.6,1.5135,6.2222,0.0406,7,19.4518,19.4518,0.2308,5.6,13.6,9.6,13.6,17.6,13.6,9.6,13.6,13.6,13.6,9.6,17.6,13.6,17,,39,12,1,,,0.5405,7,1,0.1111,,0.1111,4.875,1.5,2,1,0.2703,,,,
Isaac Guerendo,SF,RB,15,No,No,No,13,2,Yes,,Yes,2,1,0.1538,1,,0.5,2,6,0.0769,3,56.3,0.1538,1,-5.4812,2,3.4241,3.4241,0.1333,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,16,0.8462,1,,1,,,0.0769,1,,,,0.5,1,,,,,,,,
Kenny Yeboah,NYJ,TE,4,No,Yes,No,4,3,No,1,Yes,3,1,0.75,2,,0.6667,25,24,,8,92.4,6.25,8.3333,0.7318,12.5,4.523,4.523,0.75,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,9,,11,,,,,0.25,2,,,,,5.5,,2,,0.75,,,,
A.J. Brown,PHI,WR,24,No,No,No,23,6,Yes,3,Yes,6,1,0.2609,4,1,0.6667,92,106,0.7391,17.6667,109.7,4,15.3333,5.6007,23,10.3318,10.3318,0.25,9.2,13.2,11.2,13.2,13.2,13.2,11.2,13.2,13.2,13.2,11.2,13.2,13.2,13,,18,14,,1,0.25,0.2609,3,,,2,,4.5,3.5,4,,,,,,
Luke McCaffrey,WAS,WR,15,No,No,Yes,14,3,Yes,1,Yes,3,1,0.2143,2,,0.6667,17,30,0.4286,10,81.3,1.2143,5.6667,-2.723,8.5,5.1082,5.1082,0.2,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,17,,4,1,,,,0.5714,2,,,,,2,0.5,1,,,,,,
Brock Wright,DET,TE,28,Yes,No,Yes,19,2,No,,Yes,2,1,0.1053,2,,1,10,2,0.0526,1,127.1,0.5263,5,-0.8295,5,5.9316,5.9316,0.0714,7,9,8,9,10,9,8,9,9,9,8,10,9,17,0.0526,8,1,,,,0.1579,2,,,,,4,0.5,1,2,0.7368,,,1,
Jamaal Williams,NO,RB,4,No,No,Yes,3,1,No,,Yes,1,1,0.3333,1,,1,4,-6,,-6,83.3,1.3333,4,-1.0893,4,1.1825,1.1825,0.25,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,14,1,10,1,,,,,,,,,,10,1,,,,,,,
Brandin Cooks,DAL,WR,26,No,No,Yes,25,3,Yes,1,Yes,3,1,0.12,1,,0.3333,3,29,0.76,9.6667,81.9,0.12,1,-6.8642,3,9.695,9.695,0.1154,6.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,10,,,,1,,,0.24,1,,,,0.3333,,,1,2,,2,,1,1
Mike Williams,PIT,WR,16,No,Yes,No,15,,Yes,,Yes,,,,,,,,,0.8,,,,,,,4.3427,4.3427,,,,,,,,,,,,,,,18,,,,,,,0.2,,,,,,,,,,,,,,
Ryan Miller,TB,WR,11,No,No,Yes,10,1,No,,Yes,1,1,0.1,1,,1,1,8,0.7,8,118.8,0.1,1,-6.5106,1,3.55,3.55,0.0909,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,11,,,,,,,0.3,1,,,,,,,1,1,,1,,1,1
Derius Davis,LAC,WR,2,No,No,No,2,1,No,,Yes,1,1,0.5,1,,1,19,20,0.5,20,158.3,9.5,19,8.1348,19,1.9348,1.9348,0.5,7.9,8.9,8.4,8.9,8.9,8.9,8.4,8.9,8.9,8.9,8.4,8.9,8.9,15,,,,,,,0.5,,,,1,,,,1,1,,1,,1,1
Kylen Granson,IND,TE,11,No,No,No,9,2,No,1,No,2,1,0.2222,2,1,1,37,33,,16.5,118.8,4.1111,18.5,6.6938,18.5,5.2064,5.2064,0.1818,3.7,5.7,4.7,5.7,6.7,5.7,4.7,5.7,5.7,5.7,4.7,6.7,5.7,17,,4,4,,,,0.6667,1,,,,,2,2,2,,0.3333,,,,
Devin Thompkins,CAR,WR,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,
Terrace Marshall,LV,WR,7,No,No,No,7,,No,,Yes,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.2857,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,8,No,No,No,5,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.8,,,,,,0.2,,,,,,,,,,,,,,
Mason Tipton,NO,WR,21,No,No,No,21,2,No,,Yes,2,1,0.0952,2,,1,8,7,0.7619,3.5,83.3,0.381,4,-2.0351,4,2.5115,2.5115,0.0952,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,11,,1,,,,,0.2381,1,,,,,0.5,,,,,,,,
Tyreek Hill,MIA,WR,23,No,Yes,No,21,8,No,1,Yes,8,1,0.381,7,,0.875,60,43,0.7619,5.375,97.9,2.8571,7.5,0.826,8.5714,12.7691,12.7691,0.3478,6,13,9.5,13,13,13,9.5,13,13,13,9.5,13,13,17,0.0476,28,6,,,,0.1905,6,1,0.125,1,,4,0.8571,3,,,,,,
Demarcus Robinson,LA,WR,22,Yes,Yes,No,20,3,No,,Yes,3,1,0.15,2,,0.6667,20,32,0.45,10.6667,85.4,1,6.6667,-2.0537,10,5.4911,5.4911,0.1364,2,4,3,4,4,4,3,4,4,4,3,4,4,17,,,2,,,,0.55,3,,,,,,1,1,1,,,,,
Travis Kelce,KC,TE,42,No,Yes,No,37,6,No,,Yes,6,1,0.1622,6,,1,79,54,0.1081,9,118.8,2.1351,13.1667,4.5024,13.1667,9.2123,9.2123,0.1429,7.9,13.9,10.9,13.9,16.9,13.9,10.9,13.9,13.9,13.9,10.9,16.9,13.9,16,0.027,25,8,,,,0.3243,6,,,,,4.1667,1.3333,4,1,0.5405,,,,
Cole Kmet,CHI,TE,22,No,No,Yes,18,6,No,1,Yes,6,1,0.3333,5,1,0.8333,77,54,0.1111,9,118.8,4.2778,12.8333,5.0549,15.4,8.74,8.74,0.2727,7.7,12.7,10.2,12.7,15.2,12.7,10.2,12.7,12.7,12.7,10.2,15.2,12.7,17,,28,2,1,,,0.5556,5,,,1,0.1667,5.6,0.4,3,1,0.3333,,,,
Zack Moss,CIN,RB,15,No,No,Yes,13,3,Yes,,Yes,3,1,0.2308,3,,1,22,-9,,-3,136.8,1.6923,7.3333,1.5773,7.3333,3.7111,3.7111,0.2,8.2,11.2,9.7,12.7,11.2,11.2,9.7,11.2,11.2,11.2,9.7,11.2,11.2,8,0.9231,31,5,,,,0.0769,2,1,0.3333,,,10.3333,1.6667,2,1,,,,1,
Rhamondre Stevenson,NE,RB,16,No,No,No,15,,No,,Yes,,,,,,,,,,,,,,,,1.8667,1.8667,,,,,,,,,,,,,,,15,0.8667,,,,,,0.1333,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,14,No,No,No,11,3,No,1,No,3,1,0.2727,2,,0.6667,12,5,0.0909,1.6667,74.3,1.0909,4,-1.9936,6,4.0064,4.0064,0.2143,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,17,,10,5,,,,0.2727,3,,,,,5,2.5,1,,0.6364,,,,
Cordarrelle Patterson,PIT,RB,2,No,Yes,No,2,2,Yes,,Yes,2,1,1,2,,1,17,14,,7,141.7,8.5,8.5,0.614,8.5,4.1246,4.1246,1,7.7,9.7,8.7,10.7,9.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,13,1,3,1,,,,,1,,,,,1.5,0.5,1,1,,1,,1,1
Pat Freiermuth,PIT,TE,27,No,Yes,No,26,2,Yes,,Yes,2,1,0.0769,2,,1,37,20,0.2308,10,118.8,1.4231,18.5,10.5001,18.5,3.1701,3.1701,0.0741,3.7,5.7,4.7,5.7,6.7,5.7,4.7,5.7,5.7,5.7,4.7,6.7,5.7,17,,17,8,,,,0.6154,2,,,,,8.5,4,2,1,0.1538,,,,
Geoff Swaim,CLV,TE,9,No,No,No,5,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,
Bijan Robinson,ATL,RB,26,No,No,No,19,5,No,,Yes,5,1,0.2632,5,,1,20,-12,,-2.4,83.3,1.0526,4,-1.9923,4,8.8307,8.8307,0.1923,2,7,4.5,9.5,7,7,4.5,7,7,7,4.5,7,7,17,0.8947,32,13,,1,0.2,0.1053,,,,,,6.4,2.6,2,,,,,,
Jaleel McLaughlin,DEN,RB,9,No,No,No,6,4,No,,Yes,4,1,0.6667,4,,1,18,-13,,-3.25,125,3,4.5,-1.1496,4.5,6.2113,6.2113,0.4444,7.8,11.8,9.8,13.8,11.8,11.8,9.8,11.8,11.8,11.8,9.8,11.8,11.8,16,0.8333,31,13,,2,0.5,0.1667,4,2,0.5,,,7.75,3.25,1,1,,,,1,
Calvin Austin,PIT,WR,27,No,Yes,No,27,7,Yes,,Yes,7,1,0.2593,7,,1,148,125,0.3704,17.8571,118.8,5.4815,21.1429,11.2339,21.1429,12.4546,12.4546,0.2593,14.8,21.8,18.3,21.8,21.8,24.8,21.3,21.8,21.8,21.8,18.3,21.8,21.8,17,,23,9,,1,0.1429,0.6296,5,1,0.1429,2,,3.2857,1.2857,4,,,,1,,
Ronnie Bell,SF,WR,9,No,No,No,9,,No,,Yes,,,,,,,,,0.7778,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0.2222,,,,,,,,,,,,,,
Jacob Cowing,SF,WR,7,No,No,No,7,1,Yes,,Yes,1,1,0.1429,1,,1,41,38,0.7143,38,118.8,5.8571,41,29.2836,41,1.6037,1.6037,0.1429,4.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,15,,3,,,,,0.2857,1,,,1,,3,,1,,,,,,
Derrick Henry,BLT,RB,18,No,No,Yes,11,3,Yes,,Yes,3,1,0.2727,3,,1,32,1,,0.3333,150.7,2.9091,10.6667,4.8722,10.6667,5.4581,5.4581,0.1667,9.2,12.2,10.7,13.7,12.2,12.2,10.7,12.2,12.2,12.2,10.7,12.2,12.2,17,1,31,11,,2,0.6667,,1,,,,,10.3333,3.6667,2,1,,,,1,
Kareem Hunt,KC,RB,19,No,Yes,No,13,5,No,,Yes,5,1,0.3846,5,,1,68,-5,,-1,118.8,5.2308,13.6,7.6757,13.6,7.5557,7.5557,0.2632,6.8,11.8,9.3,14.3,11.8,11.8,9.3,11.8,11.8,11.8,9.3,11.8,11.8,13,1,73,29,,2,0.4,,3,1,0.2,,,14.6,5.8,4,1,,,,,
Brandon Powell,MIN,WR,11,Yes,No,Yes,11,2,No,1,Yes,2,1,0.1818,1,,0.5,12,23,0.4545,11.5,68.8,1.0909,6,-2.6806,12,3.3641,3.3641,0.1818,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,17,,1,,,,,0.5455,2,,,,,1,,1,,,,,,
Ty Johnson,BUF,RB,8,No,No,No,4,1,No,,Yes,1,1,0.25,1,,1,8,2,,2,100,2,8,1.6053,8,1.4542,1.4542,0.125,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,17,1,6,3,,,,,,,,,,6,3,1,,,,,,
Van Jefferson,PIT,WR,23,No,Yes,No,22,4,Yes,1,Yes,4,1,0.1818,4,1,1,57,48,0.8636,12,118.8,2.5909,14.25,6.2292,14.25,7.2079,7.2079,0.1739,5.7,9.7,7.7,9.7,9.7,9.7,7.7,9.7,9.7,9.7,7.7,9.7,9.7,17,,9,10,,,,0.1364,3,,,1,,2.25,2.5,3,,,,1,,
Xavier Worthy,KC,WR,35,No,No,No,33,10,No,2,Yes,10,1,0.303,7,1,0.7,88,102,0.7273,10.2,57.5,2.6667,8.8,0.9112,12.5714,15.2597,15.2597,0.2857,8.8,15.8,12.3,15.8,15.8,15.8,12.3,15.8,15.8,15.8,12.3,15.8,15.8,17,,36,12,1,,,0.2727,5,1,0.1,3,0.1,5.1429,1.7143,5,1,,,,,
Cam Grandy,CIN,TE,2,No,Yes,No,2,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,
Elijah Moore,CLV,WR,43,No,No,Yes,41,10,Yes,,Yes,10,1,0.2439,10,,1,82,58,0.3415,5.8,100.8,2,8.2,1.7218,8.2,16.3432,16.3432,0.2326,8.2,18.2,13.2,18.2,18.2,18.2,13.2,18.2,18.2,18.2,13.2,18.2,18.2,17,0.0488,24,6,,1,0.1,0.6098,5,,,1,,2.4,0.6,2,2,,,,,
Malachi Corley,NYJ,WR,4,No,Yes,No,4,,No,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.5,,,,,,,,,,,,,,
Rachaad White,TB,RB,23,No,No,Yes,14,1,No,,Yes,1,1,0.0714,1,,1,13,,,,118.8,0.9286,13,7.1729,13,1.3157,1.3157,0.0435,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,16,1,13,2,,,,,1,,,,,13,2,1,,,,,,
AJ Barner,SEA,TE,18,Yes,Yes,No,12,3,No,1,Yes,3,1,0.25,2,,0.6667,14,13,0.1667,4.3333,77.1,1.1667,4.6667,-1.5789,7,4.2659,4.2659,0.1667,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,17,,11,3,1,,,0.3333,2,,,,0.3333,5.5,1.5,1,,0.5,,,,
Zach Charbonnet,SEA,RB,28,Yes,Yes,No,21,3,No,,Yes,3,1,0.1429,3,,1,44,22,0.1905,7.3333,158.3,2.0952,14.6667,7.8475,14.6667,4.9097,4.9097,0.1071,10.4,13.4,11.9,14.9,13.4,13.4,11.9,13.4,13.4,13.4,11.9,13.4,13.4,17,0.8095,22,3,,,,,,,,,,7.3333,1,1,,,,,1,
Chuba Hubbard,CAR,RB,23,No,No,No,17,2,No,,No,2,1,0.1176,2,,1,2,-2,0.0588,-1,79.2,0.1176,1,-4.9242,1,3.8142,3.8142,0.087,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,15,0.8824,4,2,,1,0.5,0.0588,,,,,,2,1,,1,,,,,
Jared Wayne,HST,WR,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,6,No,No,Yes,6,1,Yes,,Yes,1,1,0.1667,1,,1,7,5,0.1667,5,95.8,1.1667,7,0.52,7,1.9344,1.9344,0.1667,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,11,,2,1,,,,,1,,,,,2,1,,1,0.8333,,,,
Chris Manhertz,NYG,TE,11,No,Yes,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,0.3333,,,,,,,,,,0.6667,,,,
Johnny Wilson,PHI,WR,7,No,Yes,No,5,1,No,1,Yes,1,1,0.2,,,,,6,0.6,6,39.6,,,-6.9491,,1.3421,1.3421,0.1429,,,,,,,,,,,,,,16,,,,,,,0.4,1,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,10,No,No,Yes,7,,No,,Yes,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,17,0.7143,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,27,No,No,No,27,6,No,2,Yes,6,1,0.2222,3,,0.5,67,99,0.7778,16.5,90.3,2.4815,11.1667,1.6457,22.3333,11.1114,11.1114,0.2222,6.7,9.7,8.2,9.7,9.7,9.7,8.2,9.7,9.7,9.7,8.2,9.7,9.7,15,,13,1,1,,,0.2222,4,,,2,0.1667,4.3333,0.3333,3,,,,,,
Deuce Vaughn,DAL,RB,6,No,No,Yes,3,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,4,Yes,Yes,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,14,No,No,Yes,14,2,Yes,1,Yes,2,1,0.1429,1,,0.5,-2,12,0.9286,6,56.3,-0.1429,-1,-8.2901,-2,3.6847,3.6847,0.1429,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,16,,2,1,,,,0.0714,2,1,0.5,,,2,1,,,,,,,
Garrett Wilson,NYJ,WR,35,No,Yes,No,35,13,No,2,Yes,13,1,0.3714,9,,0.6923,51,96,0.7143,7.3846,69.7,1.4571,3.9231,-3.1907,5.6667,26.0472,26.0472,0.3714,11.1,20.1,15.6,20.1,20.1,20.1,15.6,20.1,20.1,20.1,15.6,20.1,20.1,17,,21,7,2,2,0.2222,0.2857,12,1,0.0769,1,0.1538,2.3333,0.7778,4,2,,,,1,
David Moore,CAR,WR,14,No,No,No,14,1,No,,Yes,1,1,0.0714,1,,1,6,3,0.8571,3,91.7,0.4286,6,0.5501,6,1.2924,1.2924,0.0714,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,3,3,,,,0.1429,1,,,,,3,3,,,,,,,
Justin Shorter,LV,TE,2,No,No,Yes,2,,No,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.5,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,49,Yes,No,Yes,47,15,No,2,Yes,15,1,0.3191,14,1,0.9333,147,144,0.5532,9.6,129.7,3.1277,9.8,1.8231,10.5,26.5772,26.5772,0.3061,20.7,34.7,27.7,34.7,34.7,37.7,30.7,34.7,34.7,34.7,27.7,34.7,34.7,17,0.0213,30,3,,1,0.0714,0.4255,15,,,,,2.1429,0.2143,10,2,,1,,1,1
Chris Moore,ARZ,WR,1,No,No,Yes,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,12,Yes,Yes,No,11,3,No,1,Yes,3,1,0.2727,,,,,60,0.6364,20,39.6,,,-10.2357,,5.4823,5.4823,0.25,,,,,,,,,,,,,,17,,,,2,,,0.3636,2,,,1,0.6667,,,,,,,,,
Josh Palmer,LAC,WR,32,No,No,No,31,6,No,,Yes,6,1,0.1935,5,,0.8333,53,66,0.7097,11,103.5,1.7097,8.8333,0.0162,10.6,13.4366,13.4366,0.1875,5.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,15,,4,1,1,,,0.2903,5,,,,0.1667,0.8,0.2,3,1,,1,,,
Antonio Gibson,NE,RB,6,No,No,No,5,3,No,,Yes,3,1,0.6,3,,1,36,-2,,-0.6667,116.7,7.2,12,6.1891,12,4.4558,4.4558,0.5,3.6,6.6,5.1,8.1,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,17,0.6,38,26,,4,1.3333,,1,1,0.3333,,,12.6667,8.6667,2,1,0.4,,1,,
Mason Kinsey,TEN,WR,7,No,No,Yes,7,1,Yes,,Yes,1,1,0.1429,1,,1,6,6,,6,91.7,0.8571,6,-0.9491,6,3.6217,3.6217,0.1429,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,,,,,,1,1,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,7,No,No,No,4,,No,,Yes,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,0.75,,,,
Harrison Bryant,LV,TE,6,No,No,No,5,,No,,Yes,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.2,,,,,,,,,,0.6,,,,
Tylan Wallace,BLT,WR,6,No,No,Yes,6,1,Yes,,Yes,1,1,0.1667,1,,1,84,6,0.8333,6,158.3,14,84,77.0509,84,1.6581,1.6581,0.1667,14.4,15.4,14.9,15.4,15.4,15.4,14.9,15.4,15.4,15.4,14.9,15.4,15.4,17,,78,78,,3,3,0.1667,1,,,,,78,78,1,,,,,1,
Jonnu Smith,MIA,TE,20,No,Yes,No,16,2,No,,Yes,2,1,0.125,2,,1,21,14,0.0625,7,110.4,1.3125,10.5,3.6302,10.5,2.8645,2.8645,0.1,2.1,4.1,3.1,4.1,5.1,4.1,3.1,4.1,4.1,4.1,3.1,5.1,4.1,17,,7,5,,,,0.625,2,,,,,3.5,2.5,1,,0.3125,,,,
Elijah Higgins,ARZ,TE,12,No,No,No,12,3,Yes,,Yes,3,1,0.25,3,,1,15,2,0.1667,0.6667,87.5,1.25,5,-1.1857,5,4.6989,4.6989,0.25,1.5,4.5,3,4.5,6,4.5,3,4.5,4.5,4.5,3,6,4.5,17,0.0833,13,3,,,,0.4167,1,,,,,4.3333,1,1,,0.3333,,,,
Adam Thielen,CAR,WR,10,No,No,No,9,4,No,1,Yes,4,1,0.4444,3,,0.75,49,49,0.2222,12.25,76,5.4444,12.25,3.4397,16.3333,5.3621,5.3621,0.4,4.9,7.9,6.4,7.9,7.9,7.9,6.4,7.9,7.9,7.9,6.4,7.9,7.9,10,,4,,1,,,0.7778,4,,,1,0.25,1.3333,,3,,,,1,,
Josiah Deguara,JAX,TE,2,No,No,No,2,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,0.5,,,,,,,,,,0.5,,,,
Braelon Allen,NYJ,RB,11,No,Yes,No,9,1,No,,Yes,1,1,0.1111,1,,1,7,-4,0.2222,-4,95.8,0.7778,7,1.4301,7,1.4077,1.4077,0.0909,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,17,0.7778,11,4,,,,,,,,,,11,4,,,,,,,
Terry McLaurin,WAS,WR,38,No,No,Yes,36,11,Yes,5,Yes,11,1,0.3056,9,4,0.8182,70,95,0.8889,8.6364,132.8,1.9444,6.3636,-1.4135,7.7778,20.3314,20.3314,0.2895,25,34,29.5,34,34,34,29.5,34,34,34,29.5,34,34,17,,4,3,1,,,0.1111,10,,,,0.0909,0.4444,0.3333,7,3,,3,,3,3
Ainias Smith,PHI,WR,2,No,Yes,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,
