Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsContested,TargetsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsInEndzone
Quintin Morris,BUF,TE,2,No,No,No,2,1,No,Yes,1,1,0.5,,,,,,5,,0.5,5,39.6,,,-6.48,,,,,1.4517,1.4517,0.5,,,,,,,,,,,,,,16,,,,,0.5,,,,,,,,,,1,1,
Ja'Tavion Sanders,CAR,TE,11,No,No,No,11,,Yes,Yes,,,,,,,,,,0.1818,0.2727,,,,,,,,,,1.4109,1.4109,,,,,,,,,,,,,,,16,,,,,0.5455,,,,,,,,,,,,
Jauan Jennings,SF,WR,15,Yes,No,No,15,7,No,Yes,7,1,0.4667,4,0.5714,57,1,,75,,0.4,10.7143,83.6,3.8,8.1429,0.5552,14.25,0.25,,2,12.7042,12.7042,0.4667,5.7,9.7,7.7,9.7,9.7,9.7,7.7,9.7,9.7,9.7,7.7,9.7,9.7,15,,5,3,,0.6,,,1,2,1,1,0.25,3,1,1,0.1429,
Ashton Dulin,IND,WR,2,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,7,No,No,No,5,1,No,Yes,1,1,0.2,1,1,5,1,1,4,0.6,0.2,4,87.5,1,5,-1.0667,5,1,1,,1.3129,1.3129,0.1429,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,,,,,0.2,,,,,,,,,,,,
Jaylen Warren,PIT,RB,10,No,No,No,7,3,Yes,Yes,3,1,0.4286,2,0.6667,6,6,5,-1,0.1429,0.1429,-0.3333,70.1,0.8571,2,-3.8244,3,3,2.5,,4.181,4.181,0.3,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,15,0.7143,,,,,,,,,,,,,,1,0.3333,
Kendrick Bourne,NE,WR,10,No,No,No,9,5,No,Yes,5,1,0.5556,4,0.8,30,1,3,37,,0.8889,7.4,91.7,3.3333,6,-1.2694,7.5,0.25,0.75,,7.389,7.389,0.5,3,7,5,7,7,7,5,7,7,7,5,7,7,12,,5,,,0.1111,,,,,1,,,,,,,
Hassan Haskins,LAC,RB,4,Yes,No,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,15,No,No,No,14,1,No,Yes,1,1,0.0714,1,1,10,1,-1,9,0.0714,0.5714,9,108.3,0.7143,10,2.5461,10,1,-1,1,1.4,1.4,0.0667,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,17,,,,,0.3571,,,,,,,,,,,,
Juwan Johnson,NO,TE,11,No,No,No,11,2,No,Yes,2,1,0.1818,1,0.5,4,8,2,8,0.3636,0.1818,4,56.3,0.3636,2,-5.5012,4,8,2,,3.2508,3.2508,0.1818,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,,2,,,0.4545,1,0.5,,,,,,,,1,0.5,
