Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Ty Johnson,BUF,RB,3,No,No,No,3,,No,No,,,,0.3333,,,,,,,,17,0.3333,0.3333,,,,,,
Van Jefferson,PIT,WR,4,No,Yes,No,4,1,No,No,0.25,5,,0.25,,5,39.6,-6.3628,1.532,1.532,0.25,17,0.75,,,,,,,
Derrick Henry,BLT,RB,3,No,No,Yes,3,,No,No,,,,,,,,,,,,17,,1,,,,,,
Kareem Hunt,KC,RB,3,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,13,1,,,,,,,
Brandon Powell,MIN,WR,2,No,No,No,2,1,No,No,0.5,11,,0.5,1,11,39.6,-8.3152,1.7528,1.7528,0.5,17,0.5,,,,,,,
Calvin Austin,PIT,WR,3,No,Yes,No,3,,No,No,,,,1,,,,,,,,17,,,,,,,,
Geoff Swaim,CLV,TE,2,No,No,No,2,,No,No,,,,0.5,,,,,,,,8,,0.5,,,,,,
Bijan Robinson,ATL,RB,4,Yes,No,No,2,,No,No,,,,0.5,,,,,,,,17,,0.5,,,,,,
Jaleel McLaughlin,DEN,RB,5,No,No,No,4,,No,No,,,,,,,,,,,,16,,1,,,,,,
Isiah Pacheco,KC,RB,2,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,7,,1,,,,,,
Pat Freiermuth,PIT,TE,2,No,Yes,No,1,,No,No,,,1,,,,,,,,,17,,,,,,,,
Zay Jones,ARZ,WR,3,No,No,No,3,1,No,No,0.3333,11,,,1,11,39.6,-8.3152,1.6618,1.6618,0.3333,11,1,,,,,,,
Irv Smith,HST,TE,1,No,No,No,1,,No,No,,,1,,,,,,,,,5,,,,,,,,
Stefon Diggs,HST,WR,3,No,No,No,3,1,No,No,0.3333,5,,0.6667,,5,39.6,-6.3628,1.3194,1.3194,0.3333,8,0.3333,,,,,,,
Darnell Mooney,ATL,WR,4,Yes,No,No,4,4,No,No,1,46,,,4,11.5,39.6,-8.4205,6.9193,6.9193,1,16,1,,,1,,,,
Jeremy Ruckert,NYJ,TE,4,No,No,No,3,1,No,No,0.3333,16,,0.6667,,16,39.6,-10.191,1.4851,1.4851,0.25,17,0.3333,,,,,,,
Kalif Raymond,DET,WR,2,No,No,No,2,1,No,No,0.5,16,,1,,16,39.6,-10.0952,1.2743,1.2743,0.5,12,,,,,,,,
Andrei Iosivas,CIN,WR,10,No,Yes,No,10,2,No,No,0.2,13,,0.5,1,6.5,39.6,-6.9367,3.2733,3.2733,0.2,17,0.5,,,1,,,,
Brandon Aiyuk,SF,WR,3,No,No,No,3,1,No,No,0.3333,26,,0.6667,,26,39.6,-13.0114,1.931,1.931,0.3333,7,0.3333,,1,,,,,
Allen Lazard,NYJ,WR,8,No,No,No,8,1,No,No,0.125,,,0.5,1,,39.6,-6.0386,1.5782,1.5782,0.125,12,0.5,,,,,,,
Curtis Samuel,BUF,WR,8,No,No,No,7,3,No,No,0.4286,18,,0.7143,2,6,39.6,-7.0966,4.745,4.745,0.375,14,0.2857,,,,,,,
Chase Brown,CIN,RB,7,Yes,No,Yes,6,,No,No,,,,0.1667,,,,,,,,16,,0.8333,,,,,,
Najee Harris,PIT,RB,6,No,Yes,No,4,,No,No,,,,,,,,,,,,17,0.25,0.75,,,,,,
Austin Ekeler,WAS,RB,3,No,No,No,2,,No,No,,,,0.5,,,,,,,,12,,0.5,,,,,,
Daniel Bellinger,NYG,TE,6,No,No,No,5,,No,No,,,0.6,0.4,,,,,,,,17,,,,,,,,
Drew Sample,CIN,TE,7,No,Yes,No,4,,No,No,,,0.75,,,,,,,,,17,0.25,,,,,,,
Trey McBride,ARZ,TE,7,No,No,No,6,,No,No,,,0.1667,0.8333,,,,,,,,16,,,,,,,,
John Bates,WAS,TE,2,No,No,No,1,1,No,No,1,-5,1,,1,-5,39.6,-4.3733,1.6932,1.6932,0.5,17,,,,,,1,1,
Jalen Reagor,LAC,WR,2,Yes,No,Yes,2,,No,No,,,,1,,,,,,,,8,,,,,,,,
