Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsFirstDownsReceiving,ReceptionsHero,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal
Ben Sims,GB,TE,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,1,,
DeAndre Carter,CHI,WR,8,No,No,No,6,1,No,No,1,1,0.1667,1,1,6,1,1,5,,0.8333,0.1667,5,91.7,1,6,-0.3628,6,1,1,1.4555,1.4555,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,13,,,,,,,,1,,,,,,,,
D'Andre Swift,CHI,RB,21,Yes,No,No,11,5,No,Yes,5,1,0.4545,4,0.8,65,82,14,-13,0.8182,0.0909,0.0909,-2.6,118.8,5.9091,13,7.198,16.25,20.5,3.5,7.3967,7.3967,0.2381,6.5,10.5,8.5,12.5,10.5,10.5,8.5,10.5,10.5,10.5,8.5,10.5,10.5,,17,,,,,,,,4,3,0.6,,2,,,1,0.2
Adam Trautman,DEN,TE,18,No,No,Yes,9,,No,Yes,,,,,,,,,,,0.3333,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,0.4444,,
Ja'Marr Chase,CIN,WR,80,No,No,No,80,27,No,Yes,27,1,0.3375,23,0.8519,215,68,22,229,0.025,0.375,0.6,8.4815,136.9,2.6875,7.963,0.0464,9.3478,2.9565,0.9565,54.0072,54.0072,0.3375,39.5,62.5,51,62.5,62.5,65.5,54,62.5,62.5,62.5,51,62.5,62.5,6,17,4,6,2,3,3,2,0.087,20,3,0.1111,2,12,2,,,
Tommy Tremble,CAR,TE,14,No,No,No,8,3,Yes,Yes,3,1,0.375,2,0.6667,32,13,6,39,,0.5,0.125,13,102.1,4,10.6667,0.4964,16,6.5,3,6.6265,6.6265,0.2143,3.2,5.2,4.2,5.2,6.2,5.2,4.2,5.2,5.2,5.2,4.2,6.2,5.2,1,12,2,1,1,,,,,3,,,1,2,,0.375,1,0.3333
Jonathan Mingo,DAL,WR,13,No,No,Yes,13,,No,Yes,,,,,,,,,,,0.3846,0.6154,,,,,,,,,2.3947,2.3947,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
Cooper Kupp,LA,WR,22,Yes,No,Yes,19,6,No,Yes,6,1,0.3158,4,0.6667,46,27,6,31,,0.6316,0.3684,5.1667,129.2,2.4211,7.6667,0.7328,11.5,6.75,1.5,10.5335,10.5335,0.2727,10.6,14.6,12.6,14.6,14.6,14.6,12.6,14.6,14.6,14.6,12.6,14.6,14.6,1,12,2,1,1,1,1,1,0.25,5,2,0.3333,,2,,,1,0.1667
James Conner,ARZ,RB,45,Yes,No,Yes,33,5,No,Yes,5,1,0.1515,3,0.6,42,51,34,-10,0.7879,0.0909,0.1212,-2,87.1,1.2727,8.4,2.3198,14,17,11.3333,7.5406,7.5406,0.1111,4.2,7.2,5.7,8.7,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,,16,,,,,,5,1.6667,5,5,1,,2,,,2,0.4
Tyler Conklin,NYJ,TE,25,Yes,No,Yes,19,7,No,Yes,7,1,0.3684,6,0.8571,100,38,11,69,,0.6316,0.1579,9.8571,118.8,5.2632,14.2857,6.266,16.6667,6.3333,1.8333,11.4587,11.4587,0.28,10,16,13,16,19,19,16,16,16,16,13,19,16,,16,1,,,,,,,3,,,,5,,0.2105,,
Sincere McCormick,LV,RB,2,No,No,No,1,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,9,No,No,No,8,1,No,Yes,1,1,0.125,1,1,7,2,2,5,,0.625,0.375,5,95.8,0.875,7,0.6372,7,2,2,1.5763,1.5763,0.1111,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,9,,,,,,,,,,,,,,,,
Anthony Firkser,KC,TE,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,0.5,,
Justice Hill,BLT,RB,24,No,Yes,No,17,5,No,Yes,5,1,0.2941,5,1,42,46,15,-4,1,,,-0.8,101.7,2.4706,8.4,2.4153,8.4,9.2,3,7.7122,7.7122,0.2083,4.2,9.2,6.7,11.7,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,,16,,,,,,,,3,2,0.4,,1,,,,
Tom Kennedy,DET,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,7,Yes,No,No,3,,No,Yes,,,,,,,,,,0.6667,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,28,Yes,No,No,21,3,No,Yes,3,1,0.1429,3,1,46,5,1,44,,0.4762,0.5238,14.6667,158.3,2.1905,15.3333,5.9038,15.3333,1.6667,0.3333,11.1443,11.1443,0.1071,10.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,1,15,2,1,2,1,1,,,2,,,1,3,,,,
Dallin Holker,NO,TE,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,0.5,,
Darnell Washington,PIT,TE,12,No,No,No,10,3,No,Yes,3,1,0.3,3,1,8,2,,6,,0.1,,2,79.2,0.8,2.6667,-3.1815,2.6667,0.6667,,4.4359,4.4359,0.25,0.8,3.8,2.3,3.8,5.3,3.8,2.3,3.8,3.8,3.8,2.3,5.3,3.8,,17,,,,,,,,2,,,,,,0.9,,
Zach Ertz,WAS,TE,45,No,No,Yes,40,11,No,Yes,11,1,0.275,10,0.9091,110,33,17,97,,0.475,0.1,8.8182,108.3,2.75,10,1.8344,11,3.3,1.7,20.6545,20.6545,0.2444,11,21,16,21,26,24,19,21,21,21,16,26,21,3,17,1,1,1,,,1,0.1,6,,,1,6,,0.425,1,0.0909
Audric Estime,DEN,RB,3,No,No,Yes,2,1,No,Yes,1,1,0.5,1,1,-2,3,2,-5,1,,,-5,79.2,-1,-2,-7.8711,-2,3,2,1.3848,1.3848,0.3333,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,13,,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,8,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,0.75,,
Davis Allen,LA,TE,5,No,No,Yes,5,2,Yes,Yes,2,1,0.4,1,0.5,2,1,,3,,,,1.5,56.3,0.4,1,-5.0727,2,1,,2.7836,2.7836,0.4,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,1,14,,,,,,,,,,,,,,1,,
John Samuel Shenker,LV,TE,5,No,Yes,No,3,,No,Yes,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,0.6667,,
River Cracraft,MIA,WR,5,Yes,No,Yes,4,2,No,Yes,2,1,0.5,1,0.5,6,,,20,,,1,10,56.3,1.5,3,-5.3813,6,,,3.1928,3.1928,0.4,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,8,,,,,,,,2,,,,,,,1,0.5
Cam Akers,MIN,RB,3,No,No,Yes,1,1,Yes,Yes,1,1,1,1,1,6,4,2,2,1,,,2,91.7,6,6,-0.3947,6,4,2,1.5261,1.5261,0.3333,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,16,,,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,8,Yes,No,Yes,7,2,No,Yes,2,1,0.2857,2,1,18,20,5,-2,0.8571,,0.1429,-1,104.2,2.5714,9,3.0758,9,10,2.5,3.101,3.101,0.25,1.8,3.8,2.8,4.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,13,,,,,,2,1,,,,,1,,,,
Javonte Williams,DEN,RB,26,No,No,Yes,17,3,No,Yes,3,1,0.1765,2,0.6667,13,18,5,-4,1,,,-1.3333,75.7,0.7647,4.3333,-1.4759,6.5,9,2.5,5.397,5.397,0.1154,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,1,17,,,,,,,,2,1,0.3333,,,,,1,0.3333
Courtland Sutton,DEN,WR,35,No,No,Yes,32,11,No,Yes,11,1,0.3438,7,0.6364,101,15,11,156,,0.1875,0.8125,14.1818,133,3.1562,9.1818,0.0811,14.4286,2.1429,1.5714,24.872,24.872,0.3143,22.1,29.1,25.6,29.1,29.1,32.1,28.6,29.1,29.1,29.1,25.6,29.1,29.1,2,17,3,2,1,2,2,2,0.2857,8,,,4,6,2,,1,0.0909
DJ Chark,LAC,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,36,No,No,No,34,12,Yes,Yes,12,1,0.3529,8,0.6667,82,57,40,59,,0.7647,0.2353,4.9167,113.9,2.4118,6.8333,0.3558,10.25,7.125,5,21.3612,21.3612,0.3333,13.2,21.2,17.2,21.2,21.2,21.2,16.2,20.2,20.2,20.2,16.2,21.2,20.2,1,17,3,1,1,1,1,3,0.375,10,1,0.0833,1,5,,,2,0.1667
Tip Reiman,ARZ,TE,24,No,No,No,11,1,Yes,Yes,1,1,0.0909,1,1,1,1,1,,,0.1818,0.0909,,79.2,0.0909,1,-4.289,1,1,1,1.312,1.312,0.0417,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,17,,,,,,,,,,,,,,0.7273,,
Malik Washington,MIA,WR,25,Yes,No,Yes,21,4,No,Yes,4,1,0.1905,2,0.5,12,4,,12,,0.6667,0.3333,3,56.3,0.5714,3,-3.1581,6,2,,5.6788,5.6788,0.16,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,14,2,,,,,,,4,1,0.25,,1,,,,
Michael Pittman,IND,WR,41,No,Yes,No,39,11,Yes,Yes,11,1,0.2821,9,0.8182,132,44,19,122,,0.2564,0.7436,11.0909,116.7,3.3846,12,3.2779,14.6667,4.8889,2.1111,17.9604,17.9604,0.2683,13.2,22.2,17.7,22.2,22.2,25.2,20.7,22.2,22.2,22.2,17.7,22.2,22.2,,16,3,,2,,,,,11,1,0.0909,1,6,,,1,0.0909
Tyrell Shavers,BUF,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,2,No,Yes,No,2,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,7,No,Yes,No,7,3,Yes,Yes,3,1,0.4286,2,0.6667,-1,3,3,20,0.5714,0.2857,0.1429,6.6667,70.1,-0.1429,-0.3333,-8.2848,-0.5,1.5,1.5,5.4894,5.4894,0.4286,-0.1,1.9,0.9,2.9,1.9,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,,16,,,,,,,,2,1,0.3333,1,,,,1,0.3333
Jordan Mason,SF,RB,23,No,No,No,19,,Yes,Yes,,,,,,,,,,0.8421,0.1053,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,50,No,No,No,48,8,No,Yes,8,1,0.1667,5,0.625,41,28,10,58,,0.3333,0.6667,7.25,75.5,0.8542,5.125,-2.5375,8.2,5.6,2,12.2416,12.2416,0.16,4.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,9.1,6.6,9.1,9.1,,17,2,,,,,1,0.2,7,4,0.5,1,1,,,1,0.125
Jonathan Taylor,IND,RB,28,No,Yes,No,23,6,Yes,Yes,6,1,0.2609,5,0.8333,27,29,12,-3,0.913,,0.087,-0.5,85.4,1.1739,4.5,-1.5145,5.4,5.8,2.4,9.193,9.193,0.2143,2.7,7.7,5.2,10.2,7.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,,14,,,,,,,,2,1,0.1667,,1,,,1,0.1667
Brian Thomas,JAX,WR,38,No,Yes,No,36,10,Yes,Yes,10,1,0.2778,6,0.6,59,8,2,140,,0.3611,0.6389,14,116.2,1.6389,5.9,-3.1055,9.8333,1.3333,0.3333,25.3578,25.3578,0.2632,23.9,29.9,26.9,29.9,29.9,29.9,26.9,29.9,29.9,29.9,26.9,29.9,29.9,3,17,1,3,,3,2,,,8,,,3,5,,,2,0.2
DeAndre Hopkins,KC,WR,33,No,No,No,32,10,No,Yes,10,1,0.3125,6,0.6,52,13,,103,,0.0938,0.9062,10.3,107.1,1.625,5.2,-2.7806,8.6667,2.1667,,19.8287,19.8287,0.303,11.2,17.2,14.2,17.2,17.2,17.2,14.2,17.2,17.2,17.2,14.2,17.2,17.2,3,16,4,2,,1,1,1,0.1667,8,,,1,4,1,,,
Josh Reynolds,JAX,WR,16,No,Yes,No,14,3,Yes,Yes,3,1,0.2143,3,1,33,11,6,22,,0.4286,0.5714,7.3333,112.5,2.3571,11,3.5137,11,3.6667,2,4.0006,4.0006,0.1875,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,9,1,,1,,,,,3,1,0.3333,1,2,1,,,
Noah Gray,KC,TE,30,No,No,Yes,26,5,No,Yes,5,1,0.1923,5,1,78,37,-1,55,0.0769,0.3077,0.0385,11,158.3,3,15.6,6.5532,15.6,7.4,-0.2,11.8542,11.8542,0.1667,25.8,30.8,28.3,30.8,33.3,30.8,28.3,30.8,30.8,30.8,28.3,33.3,30.8,2,17,1,2,1,3,2,1,0.2,2,,,1,4,,0.5769,,
Troy Franklin,DEN,WR,12,No,No,Yes,11,1,No,Yes,1,1,0.0909,1,1,4,,,4,,0.3636,0.6364,4,83.3,0.3636,4,-2.0498,4,,,1.44,1.44,0.0833,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,16,1,,1,,,,,,,,,,,,,
Javon Baker,NE,WR,3,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
Tim Patrick,DET,WR,16,No,No,Yes,16,2,Yes,Yes,2,1,0.125,1,0.5,22,1,1,42,,0.3125,0.6875,21,89.6,1.375,11,-0.2393,22,1,1,5.4442,5.4442,0.125,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,,16,1,,,,,,,2,,,2,1,,,1,0.5
Ezekiel Elliott,DAL,RB,13,No,Yes,No,9,,Yes,Yes,,,,,,,,,,0.7778,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,8,No,No,No,8,3,No,Yes,3,1,0.375,2,0.6667,40,11,2,47,,0.5,0.25,15.6667,109.7,5,13.3333,2.8876,20,5.5,1,5.0584,5.0584,0.375,4,6,5,6,7,6,5,6,6,6,5,7,6,,14,1,,1,,,,,2,,,,2,,0.25,1,0.3333
T.J. Hockenson,MIN,TE,16,No,No,Yes,15,3,Yes,Yes,3,1,0.2,3,1,39,11,6,28,,0.2667,0.1333,9.3333,118.8,2.6,13,5.0071,13,3.6667,2,4.7144,4.7144,0.1875,3.9,6.9,5.4,6.9,8.4,6.9,5.4,6.9,6.9,6.9,5.4,8.4,6.9,,10,,,,,,1,0.3333,2,,,,3,1,0.6,,
Simi Fehoko,LAC,WR,11,No,No,No,10,4,Yes,Yes,4,1,0.4,2,0.5,36,6,6,88,,,1,22,81.3,3.6,9,-1.4025,18,3,3,8.4471,8.4471,0.3636,3.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,,8,3,1,1,,,,,3,,,1,2,,,,
Eric Tomlinson,LAC,TE,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1,,
Xavier Hutchinson,HST,WR,14,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,-4,,,-4,,0.1818,0.8182,-4,79.2,-0.3636,-4,-8.4851,-4,,,1.4435,1.4435,0.0714,-0.4,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,16,,,,,,,,1,1,1,,,,,,
Michael Wilson,ARZ,WR,56,Yes,No,Yes,55,15,No,Yes,15,1,0.2727,15,1,193,25,13,168,,0.2909,0.7091,11.2,141,3.5091,12.8667,4.568,12.8667,1.6667,0.8667,26.7715,26.7715,0.2679,25.3,40.3,32.8,40.3,40.3,43.3,35.8,40.3,40.3,40.3,32.8,40.3,40.3,3,16,7,1,7,1,1,1,0.0667,12,,,3,10,3,,,
Ian Thomas,CAR,TE,4,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,
Zay Flowers,BLT,WR,45,No,No,Yes,44,12,No,Yes,12,1,0.2727,9,0.75,179,64,42,138,,0.25,0.75,11.5,144.4,4.0682,14.9167,6.6373,19.8889,7.1111,4.6667,19.1982,19.1982,0.2667,23.9,32.9,28.4,32.9,32.9,35.9,31.4,32.9,32.9,32.9,28.4,32.9,32.9,,17,1,,,1,,6,0.6667,11,1,0.0833,4,7,1,,2,0.1667
D.J. Turner,LV,WR,27,No,Yes,Yes,26,4,Yes,Yes,4,1,0.1538,4,1,35,21,6,14,,0.6538,0.3462,3.5,103.1,1.3462,8.75,2.5059,8.75,5.25,1.5,5.8773,5.8773,0.1481,3.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,7.5,5.5,7.5,7.5,,12,1,,1,,,,,4,1,0.25,,2,,,,
Jahmyr Gibbs,DET,RB,28,No,No,Yes,21,6,Yes,Yes,6,1,0.2857,5,0.8333,40,47,12,-14,0.8571,0.0952,0.0476,-2.3333,94.4,1.9048,6.6667,0.8345,8,9.4,2.4,8.4156,8.4156,0.2143,4,9,6.5,11.5,9,9,6.5,9,9,9,6.5,9,9,,17,,,,,,2,0.4,1,1,0.1667,,1,,,1,0.1667
Odell Beckham,MIA,WR,9,No,No,No,9,3,No,Yes,3,1,0.3333,2,0.6667,4,5,1,5,,0.4444,0.5556,1.6667,70.1,0.4444,1.3333,-5.0525,2,2.5,0.5,4.3019,4.3019,0.3333,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,9,,,,,,,,1,,,,,,,1,0.3333
Hunter Henry,NE,TE,33,Yes,No,Yes,25,4,No,Yes,4,1,0.16,4,1,34,16,10,18,0.04,0.36,,4.5,102.1,1.36,8.5,1.8372,8.5,4,2.5,7.8333,7.8333,0.1212,3.4,7.4,5.4,7.4,9.4,7.4,5.4,7.4,7.4,7.4,5.4,9.4,7.4,,16,1,,1,,,,,3,,,,3,,0.6,,
Nelson Agholor,BLT,WR,13,No,No,Yes,13,3,No,Yes,3,1,0.2308,2,0.6667,81,63,56,38,,0.3846,0.5385,12.6667,109.7,6.2308,27,18.2858,40.5,31.5,28,6.4282,6.4282,0.2308,8.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,,14,,,,,,1,0.5,2,,,1,2,,0.0769,,
Dalton Kincaid,BUF,TE,20,No,No,No,18,7,No,Yes,7,1,0.3889,4,0.5714,39,7,2,96,,0.7778,0.1111,13.7143,112.5,2.1667,5.5714,-3.7182,9.75,1.75,0.5,15.8124,15.8124,0.35,9.9,13.9,11.9,13.9,15.9,13.9,11.9,13.9,13.9,13.9,11.9,15.9,13.9,1,13,1,1,,1,1,,,4,,,1,4,,0.1111,2,0.2857
Jakobi Meyers,LV,WR,47,No,No,No,43,16,No,Yes,16,1,0.3721,13,0.8125,190,33,10,184,,0.186,0.814,11.5,116.1,4.4186,11.875,3.3316,14.6154,2.5385,0.7692,29.194,29.194,0.3404,19,32,25.5,32,32,35,28.5,32,32,32,25.5,32,32,1,15,5,,2,,,,,13,,,3,9,,,1,0.0625
Gabe Davis,JAX,WR,26,No,Yes,No,22,4,No,Yes,4,1,0.1818,1,0.25,13,7,2,51,,0.1818,0.8182,12.75,40.6,0.5909,3.25,-5.5719,13,7,2,8.9841,8.9841,0.1538,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,1,10,2,1,,,,,,3,,,1,1,,,,
Ihmir Smith-Marsette,NYG,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,7,Yes,No,Yes,7,1,No,Yes,1,1,0.1429,,,,,,-1,0.5714,0.2857,0.1429,-1,39.6,,,-5.819,,,,2.3338,2.3338,0.1429,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,1,1
Rashee Rice,KC,WR,8,No,Yes,No,7,2,Yes,Yes,2,1,0.2857,1,0.5,-3,-1,-1,1,,0.7143,0.2857,0.5,56.3,-0.4286,-1.5,-6.9745,-3,-1,-1,5.1043,5.1043,0.25,-0.3,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,1,4,1,,1,,,,,2,1,0.5,,,,,1,0.5
Ty Chandler,MIN,RB,7,Yes,No,No,7,1,No,Yes,1,1,0.1429,1,1,10,8,1,2,1,,,2,108.3,1.4286,10,3.6053,10,8,1,1.3995,1.3995,0.1429,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,15,,,,,,,,1,,,,1,,,,
Britain Covey,PHI,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,21,Yes,Yes,No,19,6,No,Yes,6,1,0.3158,4,0.6667,53,15,2,44,,0.2105,0.1579,7.3333,94.4,2.7895,8.8333,0.7927,13.25,3.75,0.5,8.5492,8.5492,0.2857,5.3,9.3,7.3,9.3,11.3,9.3,7.3,9.3,9.3,9.3,7.3,11.3,9.3,,17,2,,1,,,,,5,,,1,2,,0.6316,1,0.1667
Justin Watson,KC,WR,25,No,No,Yes,23,3,No,Yes,3,1,0.1304,3,1,43,14,3,29,,0.0435,0.913,9.6667,118.8,1.8696,14.3333,6.3125,14.3333,4.6667,1,4.4116,4.4116,0.12,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,,17,,,,,,,,2,,,,2,,0.0435,,
Bryce Oliver,TEN,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,8,5,3,3,,,1,3,100,2.6667,8,2.5501,8,5,3,1.3903,1.3903,0.3333,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,10,,,,,,,,1,,,,,,,,
Mo Alie-Cox,IND,TE,23,No,Yes,No,13,1,Yes,Yes,1,1,0.0769,1,1,4,1,,3,,0.1538,,3,83.3,0.3077,4,-2.3218,4,1,,1.4062,1.4062,0.0435,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,17,,,,,,,,1,,,,,,0.8462,,
Tyrone Tracy,NYG,RB,27,No,Yes,No,18,3,No,Yes,3,1,0.1667,3,1,12,4,,17,0.4444,0.1667,0.3889,5.6667,122.9,0.6667,4,-2.7582,4,1.3333,,6.6732,6.6732,0.1111,7.2,10.2,8.7,11.7,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,2,17,,1,,1,1,,,1,,,,1,1,,,
Michael Mayer,LV,TE,17,No,No,No,8,3,No,Yes,3,1,0.375,2,0.6667,10,1,,27,,0.25,0.125,9,71.5,1.25,3.3333,-5.1733,5,0.5,,4.9918,4.9918,0.1765,1,3,2,3,4,3,2,3,3,3,2,4,3,1,11,,,,,,,,2,,,,,,0.625,1,0.3333
Devin Culp,TB,TE,2,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,60,No,No,No,57,19,Yes,Yes,19,1,0.3333,14,0.7368,185,26,9,219,,0.1754,0.8246,11.5263,104.1,3.2456,9.7368,1.0959,13.2143,1.8571,0.6429,36.0808,36.0808,0.3167,17.5,31.5,24.5,31.5,31.5,34.5,26.5,30.5,30.5,30.5,23.5,31.5,30.5,3,17,6,2,1,,,1,0.0714,16,,,2,9,,,,
Collin Johnson,CHI,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Zach Pascal,ARZ,WR,6,No,No,No,4,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,10,Yes,No,Yes,8,1,No,Yes,1,1,0.125,,,,,,4,,0.625,0.375,4,39.6,,,-6.0498,,,,1.4828,1.4828,0.1,,,,,,,,,,,,,,,17,,,,,,,,1,,,,,,,1,1
