Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsContested
DeAndre Carter,CHI,WR,4,No,No,No,4,1,No,,Yes,1,1,,0.25,1,1,9,2,,7,,,,,,0.5,0.5,1,7,104.2,2.25,9,1.9355,,9,2,,,1.9492,1.9492,0.25,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,13,,,,,,,
Chris Brooks,GB,RB,5,Yes,No,No,2,1,No,,Yes,1,1,,0.5,1,1,13,11,3,2,,,,,,,,,2,118.8,6.5,13,6.6053,,13,11,3,1,1.3398,1.3398,0.2,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,13,0.5,,0.5,,,,
Christian Watson,GB,WR,15,Yes,No,No,13,3,No,,Yes,3,1,,0.2308,3,1,22,,,22,,,,,,0.3846,0.6154,2,7.3333,97.2,1.6923,7.3333,-0.015,,7.3333,,,2,4.7025,4.7025,0.2,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,15,,,,1,,,
James Conner,ARZ,RB,7,No,No,No,7,1,No,,No,1,1,,0.1429,1,1,36,39,5,-3,,,,,,,0.4286,1,-3,118.8,5.1429,36,29.8809,,36,39,5,1,1.6078,1.6078,0.1429,3.6,4.6,4.1,5.1,4.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,,16,0.5714,,,,1,1,
Sincere McCormick,LV,RB,2,No,No,Yes,1,1,No,,Yes,1,1,,1,1,1,2,,,2,,,,,,,,,2,79.2,2,2,-4.3947,,2,,,,1.256,1.256,0.5,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,4,1,,,,,,
K.J. Osborn,WAS,WR,3,No,No,No,3,2,Yes,1,Yes,2,1,1,0.6667,2,1,29,,,31,1,1,,,,0.3333,0.6667,1,15.5,158.3,9.6667,14.5,5.0913,,14.5,,,1,4.82,4.82,0.6667,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,,9,,1,,1,,,1
Tyler Conklin,NYJ,TE,24,No,No,No,18,4,No,2,Yes,4,1,,0.2222,3,0.75,35,8,3,29,,,,,,0.3333,0.0556,1,7.25,101,1.9444,8.75,1.2238,,11.6667,2.6667,1,2,6.2721,6.2721,0.1667,3.5,6.5,5,6.5,8,6.5,5,6.5,6.5,6.5,5,8,6.5,,16,,,0.6111,1,,,1
Justice Hill,BLT,RB,12,Yes,No,No,8,3,No,,Yes,3,1,,0.375,3,1,24,38,6,-14,,,,2,0.6667,0.25,,2,-4.6667,100,3,8,2.3068,,8,12.6667,2,1,6.1571,6.1571,0.25,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,2,16,0.75,,,,2,0.6667,
Michael Pittman,IND,WR,14,No,No,No,14,4,Yes,,Yes,4,1,1,0.2857,4,1,36,,,37,1,1,,,,0.3571,0.6429,3,9.25,143.8,2.5714,9,0.8733,,9,,,3,11.6296,11.6296,0.2857,9.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,1,16,,,,,,,
Malik Washington,MIA,WR,11,No,No,No,10,2,No,,Yes,2,1,,0.2,2,1,22,,,22,,,,,,0.4,0.6,2,11,112.5,2.2,11,1.9859,,11,,,1,3.403,3.403,0.1818,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,14,,,,,,,
Tyler Goodson,IND,RB,2,No,No,No,1,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,
Jordan Mason,SF,RB,6,No,No,No,6,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8333,,0.1667,,,,
Tre Tucker,LV,WR,20,No,No,No,18,1,No,,Yes,1,1,1,0.0556,1,1,8,,,12,1,1,,,,0.1111,0.8889,,12,139.6,0.4444,8,-1.0461,,8,,,1,5.0431,5.0431,0.05,6.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,1,17,,,,,,,
Tim Jones,JAX,WR,1,No,No,No,1,,Yes,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
Jonathan Taylor,IND,RB,11,No,No,No,8,1,Yes,,Yes,1,1,,0.125,,,,,,3,,,1,,,,,,3,39.6,,,-6.5094,1,,,,,1.5582,1.5582,0.0909,,,,,,,,,,,,,,,14,1,,,,,,
Troy Franklin,DEN,WR,12,No,No,No,11,3,Yes,,Yes,3,1,,0.2727,3,1,61,13,3,48,,,,,,0.5455,0.4545,2,16,118.8,5.5455,20.3333,10.941,,20.3333,4.3333,1,2,4.357,4.357,0.25,6.1,9.1,7.6,9.1,9.1,9.1,7.6,9.1,9.1,9.1,7.6,9.1,9.1,,16,,2,,,,,
Javon Baker,NE,WR,1,No,Yes,No,1,1,No,,Yes,1,1,,1,1,1,12,-1,,13,,,,,,,1,,13,116.7,12,12,3.0855,,12,-1,,1,1.8574,1.8574,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,10,,,,,,,
Audric Estime,DEN,RB,1,No,No,No,1,1,Yes,,Yes,1,1,,1,1,1,,,,,,,,,,,,,,79.2,,,-5.8271,,,,,,1.5444,1.5444,1,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,,13,1,,,,,,
Darnell Washington,PIT,TE,6,No,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.5,,,,
Zach Ertz,WAS,TE,25,No,No,No,22,5,No,3,No,5,1,,0.2273,3,0.6,42,2,1,46,,,1,,,0.5909,0.0455,4,9.2,87.1,1.9091,8.4,0.3602,0.2,14,0.6667,0.3333,2,12.3102,12.3102,0.2,4.2,7.2,5.7,7.2,8.7,7.2,5.7,7.2,7.2,7.2,5.7,8.7,7.2,2,17,,1,0.3636,,,,1
Davis Allen,LA,TE,5,Yes,No,No,4,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,1,,,,
John Samuel Shenker,LV,TE,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,
Javonte Williams,DEN,RB,9,No,No,No,5,2,Yes,,Yes,2,1,,0.4,1,0.5,26,31,4,-1,,,,1,1,,,1,-0.5,95.8,5.2,13,6.7335,,26,31,4,1,6.3989,6.3989,0.2222,2.6,3.6,3.1,4.1,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,,17,1,,,,1,0.5,
River Cracraft,MIA,WR,4,No,No,No,4,2,No,,Yes,2,1,,0.5,2,1,26,3,,23,,,,,,0.25,0.75,2,11.5,118.8,6.5,13,4.3664,,13,1.5,,2,2.8621,2.8621,0.5,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,,8,,,,,,,
Cam Akers,MIN,RB,9,Yes,Yes,No,7,2,No,,Yes,2,1,,0.2857,2,1,12,17,2,-5,,,,,,,0.1429,2,-2.5,91.7,1.7143,6,0.3055,,6,8.5,1,1,3.2593,3.2593,0.2222,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,16,0.8571,,,,1,0.5,
Greg Dortch,ARZ,WR,11,No,No,No,10,1,No,1,Yes,1,1,,0.1,1,1,3,,,3,,,,,,0.7,0.3,1,3,79.2,0.3,3,-2.4499,,3,,,,1.7418,1.7418,0.0909,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,17,,,,,,,1
Terrell Jennings,NE,RB,2,No,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
Tip Reiman,ARZ,TE,4,No,No,No,3,,No,,Yes,,,,,,,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.3333,,,,
Courtland Sutton,DEN,WR,19,No,No,No,16,6,Yes,1,Yes,6,1,,0.375,6,1,59,6,1,53,,,,,,0.1875,0.8125,5,8.8333,107.6,3.6875,9.8333,1.9329,,9.8333,1,0.1667,3,11.0098,11.0098,0.3158,4.9,10.9,7.9,10.9,10.9,10.9,6.9,9.9,9.9,9.9,6.9,10.9,9.9,1,17,,,,,1,0.1667,1
Michael Wilson,ARZ,WR,12,No,No,No,11,4,No,1,No,4,1,1,0.3636,3,0.75,24,5,3,26,,,,,,0.0909,0.9091,3,6.5,89.6,2.1818,6,-0.8793,,8,1.6667,1,1,7.1929,7.1929,0.3333,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,1,16,,,,,,,
DJ Chark,LAC,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
Ian Thomas,CAR,TE,2,No,No,No,2,1,No,,Yes,1,1,,0.5,1,1,2,,,2,,,,,,,,,2,79.2,1,2,-4.3701,,2,,,1,1.374,1.374,0.5,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,5,,,1,,,,
Zay Flowers,BLT,WR,17,No,No,No,15,6,No,,No,6,1,1,0.4,5,0.8333,77,10,7,72,1,1,1,2,0.4,0.3333,0.6667,5,12,158.3,5.1333,12.8333,3.985,0.1667,15.4,2,1.4,5,13.6978,13.6978,0.3529,13.7,18.7,16.2,18.7,18.7,18.7,16.2,18.7,18.7,18.7,16.2,18.7,18.7,1,17,,,,,,,
Jahmyr Gibbs,DET,RB,13,Yes,Yes,No,12,2,No,1,Yes,2,1,,0.1667,1,0.5,5,,,8,,,,,,,0.1667,,4,56.3,0.4167,2.5,-4.3712,,5,,,,3.4672,3.4672,0.1538,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,17,0.8333,,,,,,
Odell Beckham,MIA,WR,2,No,Yes,No,2,,No,,Yes,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
D.J. Turner,LV,WR,7,No,Yes,No,7,,No,,Yes,,,,,,,,,,,,,,,,0.8571,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
Dalton Kincaid,BUF,TE,4,Yes,Yes,No,3,1,No,,Yes,1,1,,0.3333,1,1,9,10,6,-1,,,,1,1,0.3333,,1,-1,104.2,3,9,4.0986,,9,10,6,,1.44,1.44,0.25,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,13,,,0.6667,,,,
Gabe Davis,JAX,WR,9,No,Yes,Yes,9,2,No,,Yes,2,1,,0.2222,2,1,40,4,-1,36,,,,,,0.3333,0.6667,2,18,118.8,4.4444,20,9.1009,,20,2,-0.5,1,4.5048,4.5048,0.2222,3,5,4,5,5,5,3,4,4,4,3,5,4,1,10,,,,,,,
Hunter Henry,NE,TE,11,Yes,No,No,7,2,No,,Yes,2,1,,0.2857,1,0.5,5,,,11,,,1,,,0.2857,0.1429,2,5.5,16.7,0.7143,2.5,-4.2865,0.5,5,,,,5.8595,5.8595,0.1818,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,1,16,0.1429,,0.4286,,,,
Nelson Agholor,BLT,WR,9,No,No,No,8,1,No,,Yes,1,1,,0.125,1,1,6,-1,,7,,,,,,0.5,0.5,1,7,91.7,0.75,6,-1.0645,,6,-1,,,1.6427,1.6427,0.1111,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,14,,,,,,,
Josh Reynolds,JAX,WR,5,No,No,No,2,1,Yes,,Yes,1,1,,0.5,1,1,13,-2,-2,17,,,,,,,1,1,17,118.8,6.5,13,1.3347,,13,-2,-2,1,2.2364,2.2364,0.2,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,9,,,,,,,
Noah Gray,KC,TE,18,No,No,No,15,4,Yes,,Yes,4,1,,0.2667,4,1,42,13,1,29,,,,,,0.4,0.0667,1,7.25,110.4,2.8,10.5,3.4769,,10.5,3.25,0.25,3,6.0215,6.0215,0.2222,4.2,8.2,6.2,8.2,10.2,8.2,6.2,8.2,8.2,8.2,6.2,10.2,8.2,,17,0.0667,,0.4667,1,,,
Jakobi Meyers,LV,WR,19,No,No,No,17,4,No,,Yes,4,1,,0.2353,4,1,24,-1,,25,,,,,,0.3529,0.6471,3,6.25,91.7,1.4118,6,-0.766,,6,-0.25,,,5.6674,5.6674,0.2105,2.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,1,15,,,,,,,
Brian Thomas,JAX,WR,15,No,No,No,15,6,Yes,2,Yes,6,1,,0.4,4,0.6667,53,,1,67,,,1,,,0.1333,0.8667,4,11.1667,94.4,3.5333,8.8333,0.5283,0.1667,13.25,,0.25,2,9.614,9.614,0.4,5.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,,17,,1,,,,,1
DeAndre Hopkins,KC,WR,14,No,No,No,13,7,No,,Yes,7,1,,0.5385,7,1,76,-5,1,77,,,,,,0.0769,0.9231,6,11,111.9,5.8462,10.8571,2.2567,,10.8571,-0.7143,0.1429,5,11.7255,11.7255,0.5,7.6,14.6,11.1,14.6,14.6,14.6,11.1,14.6,14.6,14.6,11.1,14.6,14.6,,16,,1,,,,,
Tim Patrick,DET,WR,7,Yes,Yes,No,7,1,No,,Yes,1,1,,0.1429,1,1,5,,,5,,,,,,0.2857,0.7143,,5,87.5,0.7143,5,-1.3628,,5,,,,1.5936,1.5936,0.1429,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,16,,,,,,,
Ezekiel Elliott,DAL,RB,3,No,Yes,No,2,1,No,,Yes,1,1,,0.5,1,1,11,16,1,-5,,,,,,,,1,-5,112.5,5.5,11,5.1289,,11,16,1,1,1.3848,1.3848,0.3333,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,15,1,,,,,,
Eric Tomlinson,LAC,TE,1,No,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,
T.J. Hockenson,MIN,TE,6,Yes,Yes,No,4,1,No,,Yes,1,1,,0.25,,,,,,5,,,1,,,0.25,,,5,39.6,,,-6.48,1,,,,,1.4767,1.4767,0.1667,,,,,,,,,,,,,,,10,,,0.75,,,,
Simi Fehoko,LAC,WR,1,No,No,No,1,,Yes,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
Xavier Hutchinson,HST,WR,9,Yes,No,Yes,8,2,No,,Yes,2,1,,0.25,1,0.5,13,,,9,,,1,,,0.25,0.75,1,4.5,70.8,1.625,6.5,-0.1998,0.5,13,,,,3.6652,3.6652,0.2222,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,16,,,,1,,,
Mo Alie-Cox,IND,TE,12,No,No,No,8,2,Yes,,Yes,2,1,,0.25,2,1,19,5,1,14,,,,,,0.125,,1,7,106.3,2.375,9.5,1.969,,9.5,2.5,0.5,1,2.8148,2.8148,0.1667,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,,17,,,0.875,,,,
Devin Culp,TB,TE,1,Yes,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Tyrone Tracy,NYG,RB,18,Yes,Yes,No,11,2,Yes,,Yes,2,1,,0.1818,1,0.5,4,1,,1,,,1,,,0.0909,,1,0.5,56.3,0.3636,2,-4.3537,0.5,4,1,,,2.949,2.949,0.1111,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,17,0.9091,,,,,,
Michael Mayer,LV,TE,8,No,No,No,7,1,No,,Yes,1,1,,0.1429,1,1,9,,,9,,,,,,0.4286,,,9,104.2,1.2857,9,1.7404,,9,,,,3.1828,3.1828,0.125,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,1,11,,,0.5714,,,,
Marvin Harrison,ARZ,WR,11,No,No,No,10,1,No,,Yes,1,1,,0.1,1,1,32,4,4,28,,,,,,0.6,0.4,,28,118.8,3.2,32,20.9231,,32,4,4,1,1.4769,1.4769,0.0909,3.2,4.2,3.7,4.2,4.2,4.2,3.7,4.2,4.2,4.2,3.7,4.2,4.2,,17,,1,,,,,
Collin Johnson,CHI,WR,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Jaylen Wright,MIA,RB,4,No,No,No,3,,No,,Yes,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.6667,,,,,,
Rashee Rice,KC,WR,5,No,Yes,No,5,3,No,1,Yes,3,1,,0.6,1,0.3333,6,1,,31,,,1,,,0.4,0.6,3,10.3333,42.4,1.2,2,-6.4074,0.3333,6,1,,1,4.9437,4.9437,0.6,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,4,,,,,,,
Ty Chandler,MIN,RB,3,Yes,No,No,3,1,No,,Yes,1,1,,0.3333,1,1,10,10,5,,,,,,,,,,,108.3,3.3333,10,4.1729,,10,10,5,1,1.4435,1.4435,0.3333,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,15,0.3333,,0.6667,,,,
Britain Covey,PHI,WR,2,Yes,No,No,2,1,No,,Yes,1,1,,0.5,1,1,3,5,,-2,,,,,,1,,1,-2,79.2,1.5,3,-2.4991,,3,5,,,1.68,1.68,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,5,,,,,1,1,
Austin Hooper,NE,TE,6,No,Yes,No,6,1,No,,Yes,1,1,,0.1667,1,1,5,3,3,2,,,,1,1,0.1667,,1,2,87.5,0.8333,5,-1.3701,,5,3,3,,1.5028,1.5028,0.1667,-0.5,0.5,,0.5,1,0.5,-1,-0.5,-0.5,-0.5,-1,1,-0.5,,17,,,0.8333,,,,
Justin Watson,KC,WR,18,No,No,No,18,2,Yes,1,Yes,2,1,,0.1111,2,1,22,2,,20,,,,,,0.4444,0.5556,1,10,112.5,1.2222,11,2.9275,,11,1,,1,3.3408,3.3408,0.1111,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,17,,,,,,,1
Kenneth Walker,SEA,RB,4,No,No,No,4,1,No,,Yes,1,1,,0.25,1,1,,,,,,,,,,,0.25,,,79.2,,,-5.8271,,,,,,1.4832,1.4832,0.25,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,,11,0.75,,,,,,
De'Von Achane,MIA,RB,9,No,No,No,9,3,No,,Yes,3,1,,0.3333,3,1,16,31,12,-15,1,,,3,1,0.1111,0.2222,2,-5,128.5,1.7778,5.3333,-0.0993,,5.3333,10.3333,4,1,5.5956,5.5956,0.3333,7.6,10.6,9.1,12.1,10.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,2,17,0.6667,,,,2,0.6667,
Mike Evans,TB,WR,12,Yes,Yes,No,10,5,No,1,Yes,5,1,1,0.5,5,1,59,4,1,63,1,1,,,,0.2,0.8,3,12.6,155.4,5.9,11.8,2.8102,,11.8,0.8,0.2,5,11.456,11.456,0.4167,11.9,16.9,14.4,16.9,16.9,16.9,14.4,16.9,16.9,16.9,14.4,16.9,16.9,1,14,,1,,1,,,1
Jordan Addison,MIN,WR,11,Yes,Yes,No,10,1,No,,Yes,1,1,,0.1,1,1,49,12,,37,1,,,,,0.5,0.5,1,37,158.3,4.9,49,34.1794,,49,12,,1,1.296,1.296,0.0909,10.9,11.9,11.4,11.9,11.9,11.9,11.4,11.9,11.9,11.9,11.4,11.9,11.9,,15,,1,,,,,
Tyler Lockett,SEA,WR,16,Yes,No,No,16,,Yes,,Yes,,,,,,,,,,,,,,,,0.375,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
Keon Coleman,BUF,WR,6,No,Yes,No,5,2,No,,Yes,2,1,,0.4,1,0.5,25,,1,54,,,1,1,1,0.2,0.8,,27,95.8,5,12.5,1.0364,0.5,25,,1,1,3.0314,3.0314,0.3333,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,,13,,2,,,,,
Lil'Jordan Humphrey,DEN,WR,9,No,No,No,9,1,Yes,,Yes,1,1,,0.1111,1,1,27,29,24,-2,,,,3,3,0.6667,0.3333,1,-2,118.8,3,27,21.5009,,27,29,24,1,1.5148,1.5148,0.1111,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,,17,,,,,1,1,
Zach Pascal,ARZ,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
Xavier Gipson,NYJ,WR,8,No,No,No,7,2,No,,Yes,2,1,1,0.2857,2,1,7,7,,1,1,1,,1,0.5,0.5714,0.4286,2,0.5,120.8,1,3.5,-2.2521,,3.5,3.5,,1,6.5034,6.5034,0.25,6.7,8.7,7.7,8.7,8.7,8.7,7.7,8.7,8.7,8.7,7.7,8.7,8.7,1,17,,,,,1,0.5,
Cedrick Wilson,NO,WR,10,Yes,Yes,No,9,1,No,,Yes,1,1,,0.1111,1,1,2,3,1,-1,,,,,,0.5556,0.4444,1,-1,79.2,0.2222,2,-4.1699,,2,3,1,,2.9528,2.9528,0.1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,15,,,,,,,
Tank Bigsby,JAX,RB,4,No,No,No,2,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,
Mike Woods,CLV,WR,11,No,Yes,No,9,1,No,,Yes,1,1,,0.1111,1,1,3,,,3,,,,,,0.4444,0.5556,,3,79.2,0.3333,3,-2.4499,,3,,,,1.5011,1.5011,0.0909,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,5,,,,,,,
Joseph Fortson,KC,TE,3,No,Yes,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
John FitzPatrick,GB,TE,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Sean Tucker,TB,RB,1,Yes,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,
Ramel Keyton,LV,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,
Malik Heath,GB,WR,3,Yes,No,No,3,2,No,,Yes,2,1,1,0.6667,2,1,9,,,14,1,1,,,,,1,2,7,125,3,4.5,-2.7299,,4.5,,,1,4.7084,4.7084,0.6667,6.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,1,10,,,,,,,
Mecole Hardman,KC,WR,6,No,Yes,No,6,,No,,Yes,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
Shane Zylstra,DET,TE,1,Yes,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,,,
Jack Stoll,MIA,TE,2,No,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
Luke Schoonmaker,DAL,TE,7,No,No,No,6,1,No,,No,1,1,,0.1667,1,1,5,-1,-1,6,,,,,,0.1667,,,6,87.5,0.8333,5,-2.093,,5,-1,-1,,1.5408,1.5408,0.1429,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,17,,,0.8333,,,,
Nate Adkins,DEN,TE,5,No,No,No,3,1,Yes,,Yes,1,1,,0.3333,1,1,5,,,5,,,,,,0.3333,,,5,87.5,1.6667,5,-1.48,,5,,,,1.9316,1.9316,0.2,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,1,17,,,0.6667,,,,
Skyy Moore,KC,WR,3,No,Yes,No,3,1,No,,Yes,1,1,,0.3333,,,,,,9,,,1,,,0.3333,0.3333,,9,39.6,,,-7.4539,1,,,,,1.5881,1.5881,0.3333,,,,,,,,,,,,,,,6,0.3333,,,,,,
Chris Conley,SF,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
