Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,RunPassOptionPercentage,TargetedReadCheckdownPercentage,playerStatsFirstDownsPassing,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage
Michael Penix,ATL,QB,11,11,11,1,9,0.8182,1,0.3301,11,25,0.1818,95,8.6364,,8.6364,120,Yes,No,4,0.3636,4.4806,-0.0437,No,0.5455,2.9364,2.625,10.9091,102.7,No,Yes,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.75,4.75,9,,,,,7,,,,,
Max Brosmer,MIN,QB,2,2,2,1,2,1,1,0.1811,2,,,13,6.5,0.4615,6.5,7,No,No,,,0.4226,-0.2113,No,1,1.8,,3.5,93.8,No,No,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,7,,,,,1,,,,,
Shedeur Sanders,CLV,QB,3,3,3,1,1,0.3333,0.3333,-0.4248,3,,,11,3.6667,,3.6667,21,No,No,3,1,1.3929,0.5357,No,0.6667,3.2667,2.5,7,45.1,No,No,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,8,,,,,1,,,,,
Jalen Hurts,PHI,QB,14,14,14,1,10,0.7143,0.8571,0.0968,14,34,0.1429,111,7.9286,0.7117,7.9286,92,Yes,No,5,0.3571,4.9592,0.0029,No,0.6429,2.6286,2.6,6.5714,94.6,No,Yes,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,5.55,5.55,16,,,0.0714,0.1429,4,,,,,
Cooper Rush,BLT,QB,1,1,1,1,,,1,0.257,1,7,1,,,,-45,7,No,No,,,0.1768,-0.1768,No,1,1.6,,7,,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,,,1,,,,,1,,
Riley Leonard,IND,QB,1,1,1,1,,,1,0.1756,1,4,1,,,,,4,Yes,No,,,0.2458,-0.2458,No,1,2,,4,39.6,No,Yes,,,,,,,,,,,,,,5,,,1,,,,,,,
Malik Willis,GB,QB,1,1,1,1,1,1,1,0.5307,1,,,23,23,0.087,23,21,Yes,No,,,0.4528,-0.4528,Yes,1,3.2,,21,118.8,No,Yes,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,4,,,,,1,1,1,,,
Davis Mills,HST,QB,1,1,1,1,,,1,0.0689,1,-6,1,,,,,-6,No,No,,,0.3148,-0.3148,No,,2.4,,-6,39.6,No,Yes,,,,,,,,,,,,,,6,,,,1,,,,,,
Trey Lance,LAC,QB,2,2,2,1,1,0.5,0.5,-0.0579,2,,,5,2.5,,2.5,35,No,No,,,0.5433,-0.2717,No,1,2.15,,17.5,56.3,No,Yes,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,1,1,0.5,,,
Tyler Shough,NO,QB,16,16,16,1,12,0.75,1,0.2211,16,10,0.25,111,6.9375,0.2703,6.9375,91,No,No,5,0.3125,6.1408,-0.0713,No,0.5625,2.8,2.3,5.6875,93.5,No,No,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,5.55,5.55,11,,,,0.1875,5,,,,,
Kenny Pickett,LV,QB,3,3,3,1,2,0.6667,1,0.3059,3,2,0.3333,33,11,0.0909,11,32,No,No,2,0.6667,1.8414,0.0529,No,0.3333,4.1333,2.35,10.6667,103.5,No,No,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,6,,,,0.3333,1,1,0.3333,,,
Chris Oladokun,KC,QB,4,4,4,1,2,0.5,0.75,-0.1247,4,-1,0.25,11,2.75,0.3636,2.75,1,No,Yes,1,0.25,1.4662,-0.1166,Yes,0.5,2.7,2.9,0.25,56.3,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,3,,,,0.5,,,,,,
Lamar Jackson,BLT,QB,10,10,10,1,7,0.7,1,0.297,10,9,0.3,98,9.8,0.1122,9.8,96,No,No,2,0.2,3.976,-0.1976,No,0.8,2.88,2.95,9.6,101.3,No,No,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.9,4.9,13,,,0.1,,5,1,0.1,,,
Bo Nix,DEN,QB,18,18,18,1,14,0.7778,1,0.3039,18,41,0.2222,171,9.5,0.1053,10.6111,195,No,No,4,0.2222,8.2712,-0.2373,No,0.3889,3.2389,2.65,10.8333,124.8,No,No,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,12.55,12.55,17,1,1,,0.2222,6,4,0.2222,,,0.0556
Trevor Lawrence,JAX,QB,15,15,15,1,12,0.8,1,0.2805,15,25,0.2,140,9.3333,0.2357,9.3333,132,Yes,Yes,7,0.4667,5.619,0.0921,No,0.8,2.7467,2.4714,8.8,105.6,No,Yes,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,7,7,17,,,,0.0667,7,2,0.1333,,,
Sam Darnold,SEA,QB,9,9,9,1,9,1,1,0.3444,9,,,119,13.2222,0.1345,15.4444,103,No,No,5,0.5556,4.2305,0.0855,No,0.4444,3.3,2.66,11.4444,155.8,No,No,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,9.95,9.95,17,1,1,,,8,1,0.1111,,,
Brandon Allen,TEN,QB,1,1,1,1,1,1,1,0.181,1,,,1,1,-4,1,5,No,Yes,1,1,0.3321,0.668,No,,2.5,2.4,5,79.2,No,Yes,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,1,,,,,,,,,,
Jayden Daniels,WAS,QB,7,7,7,1,6,0.8571,1,0.3235,7,21,0.1429,87,12.4286,0.2989,12.4286,82,No,No,2,0.2857,3.3249,-0.1893,No,0.4286,3.3286,2.85,11.7143,118.5,No,No,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,4.35,4.35,7,1,,,,4,2,0.2857,,,0.1429
Joshua Dobbs,NE,QB,1,1,1,1,1,1,1,0.1052,1,,,,,,,,Yes,No,,,0.4701,-0.4701,Yes,1,3.3,,,79.2,No,Yes,,,,,,,,,,,,,,4,,,,,,,,,,
Mac Jones,SF,QB,6,6,6,1,5,0.8333,0.8333,0.1586,6,,,53,8.8333,0.0377,8.8333,62,No,No,2,0.3333,2.3718,-0.062,No,0.5,2.8667,2.55,10.3333,103.5,No,No,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.65,2.65,11,,,,0.1667,3,,,,,
Kirk Cousins,ATL,QB,8,8,8,1,7,0.875,1,0.2177,8,4,0.125,75,9.375,0.4533,11.875,45,No,No,3,0.375,2.7599,0.03,No,0.375,2.575,2.4667,5.625,145.3,No,No,7,7,7,7,7,7,7,7,7,7,7,7.75,7.75,10,1,1,,0.25,5,,,,,
Joe Burrow,CIN,QB,6,6,6,1,3,0.5,0.5,-0.2797,6,,,26,4.3333,0.7308,4.3333,34,Yes,No,1,0.1667,2.0785,-0.1798,No,0.5,2.5833,2.4,5.6667,61.8,No,Yes,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,8,,,,0.5,2,,,,,
Philip Rivers,IND,QB,2,2,2,1,2,1,1,0.391,2,,,30,15,0.0333,15,29,No,No,,,0.5951,-0.2975,No,1,2.3,,14.5,118.8,No,Yes,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,3,,,,,2,,,,,
