Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,RunPassOptionPercentage,PasserRating
Aidan O'Connell,LV,QB,2,2,2,-0.5942,2,,43,,No,Yes,1,0.5,0.5778,0.2111,No,1,1,0.5,,1,,2.25,2.6,21.5,Yes,No,,,,,,,,,,,,,,1,1,,39.6
Matthew Stafford,LA,QB,23,23,23,-0.6218,23,-11.7391,381,6,No,No,6,0.2609,7.9649,-0.0854,No,1,6,0.2609,0.4783,0.913,,2.5826,2.3833,16.5652,No,No,-6,-6,-6,-6,-6,-6,-6,-12,-12,-12,-12,-6,-12,17,2,,
J.J. McCarthy,MIN,QB,10,10,10,-0.7005,10,-9,104,2,No,No,3,0.3,3.562,-0.0562,No,1,1,0.1,0.3,0.8,,2.64,3.1667,10.4,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,10,1,0.1,
Patrick Mahomes,KC,QB,23,23,23,-0.5795,23,-15.6522,451,8,No,Yes,7,0.3043,8.6031,-0.0697,No,1,10,0.4348,0.5652,0.8261,,2.7435,3.2429,19.6087,Yes,No,-8,-8,-8,-8,-8,-8,-8,-16,-16,-16,-16,-8,-16,14,2,0.087,
Teddy Bridgewater,TB,QB,1,1,1,-0.7846,1,,6,,No,No,,,0.2286,-0.2286,No,1,,,,1,,1.9,,6,No,No,,,,,,,,,,,,,,4,,,39.6
Justin Fields,NYJ,QB,8,7,7,-0.6024,7,-6.4286,105,1,No,No,3,0.4286,3.0661,-0.0094,No,1,2,0.2857,0.2857,0.7143,,3.1143,2.4667,15,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,9,1,,
Dillon Gabriel,CLV,QB,8,8,8,-0.6485,8,-11.25,114,2,No,No,2,0.25,3.3464,-0.1683,No,1,1,0.125,0.625,0.5,0.125,3,2.15,14.25,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,10,3,,
Brock Purdy,SF,QB,13,13,13,-0.5503,13,-24.2308,225,7,No,No,4,0.3077,6.5247,-0.1942,No,1,6,0.4615,0.5385,0.6923,,3.4846,2.5,17.3077,No,No,-7,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-7,-14,9,3,,
Tua Tagovailoa,MIA,QB,23,23,23,-0.6625,23,-17.6087,282,9,No,No,6,0.2609,8.2236,-0.0967,Yes,1,3,0.1304,0.5652,0.6522,,2.6478,2.25,12.2609,No,No,-9,-9,-9,-9,-9,-9,-9,-18,-18,-18,-18,-9,-18,14,1,,
Gardner Minshew,KC,QB,1,1,1,-0.4896,1,-45,20,1,No,No,,,0.4701,-0.4701,No,1,1,1,1,1,,3.3,,20,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,,,
Caleb Williams,CHI,QB,18,18,18,-0.6064,18,-7.5,279,3,No,Yes,7,0.3889,10.2032,-0.178,No,1,3,0.1667,0.5556,0.5556,,3.8611,2.8714,15.5,Yes,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,17,1,,
Jared Goff,DET,QB,12,12,12,-0.5924,12,-15,189,4,No,No,6,0.5,4.0709,0.1608,No,1,3,0.25,0.5,0.9167,,2.5417,2.5833,15.75,No,No,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-4,-8,17,3,,
Cam Ward,TEN,QB,21,21,21,-0.6365,21,-4.2857,278,2,No,No,3,0.1429,7.2146,-0.2007,No,1,4,0.1905,0.4286,0.8095,,2.5667,2.3,13.2381,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,17,2,0.0476,
Kyler Murray,ARZ,QB,5,5,5,-0.6445,5,,63,,No,No,,,1.298,-0.2596,No,1,,,0.4,0.8,,2.08,,12.6,No,No,,,,,,,,,,,,,,5,1,,39.6
Tanner McKee,PHI,QB,3,3,3,-0.643,3,-15,36,1,No,No,1,0.3333,1.1859,-0.062,No,1,1,0.3333,0.3333,0.6667,,2.8667,3,12,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,1,,
Jake Browning,CIN,QB,8,8,8,-0.6016,8,-16.875,122,3,No,No,5,0.625,3.9329,0.1334,No,1,3,0.375,0.5,0.5,,3.425,1.96,15.25,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,5,,,
Josh Johnson,WAS,QB,3,3,3,-0.6794,3,-15,30,1,No,Yes,3,1,1.4964,0.5012,Yes,1,,,0.6667,0.3333,,3.4667,2.5667,10,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,5,,,
Joe Flacco,CIN,QB,18,18,18,-0.6274,18,-12.5,240,5,No,No,9,0.5,7.1672,0.1018,No,1,4,0.2222,0.4444,0.6667,0.1111,2.8833,2.5556,13.3333,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,13,2,,
Daniel Jones,IND,QB,20,20,20,-0.6214,20,-13.5,294,6,Yes,No,5,0.25,7.6242,-0.1312,No,1,4,0.2,0.5,0.8,,2.785,2.24,14.7,No,No,-6,-6,-6,-6,-6,-6,-6,-12,-12,-12,-12,-6,-12,13,1,0.05,
Jacoby Brissett,ARZ,QB,17,17,17,-0.6069,17,-7.9412,274,3,No,No,8,0.4706,8.1806,-0.0106,No,1,4,0.2353,0.2353,0.6471,0.0588,3.3647,2.5,16.1176,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,14,,,
C.J. Stroud,HST,QB,13,13,13,-0.683,13,-10.3846,130,3,No,No,4,0.3077,4.2994,-0.023,No,1,2,0.1538,0.5385,0.7692,,2.4923,2.35,10,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,14,1,,
