"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Michael Coats Jr.","Nevada","CB","380","52","21.53","0.057","6.72","0.018","-10.04","-0.193","36.5%","30.8%","23.1%"
"[object Object]","2024","Jacobie Henderson","Marshall","CB","395","48","21.41","0.054","7.09","0.018","7.76","0.162","47.9%","25.0%","20.8%"
"[object Object]","2024","Jeremiah Cooper","Iowa State","S","388","42","21.35","0.055","5.11","0.013","5.56","0.132","45.2%","21.4%","28.6%"
"[object Object]","2024","A'Marion McCoy","Boise State","CB","476","89","21.32","0.045","2.10","0.004","5.52","0.062","38.2%","23.6%","23.6%"
"[object Object]","2024","Raion Strader","Miami OH","CB","420","88","21.13","0.051","5.41","0.013","15.53","0.176","45.5%","25.0%","12.5%"
"[object Object]","2024","Trevian Thomas","Arkansas State","S","406","46","21.10","0.052","5.35","0.013","-5.26","-0.114","43.5%","26.1%","19.6%"
"[object Object]","2024","Channing Canada","TCU","CB","272","39","21.00","0.079","11.00","0.042","6.30","0.162","43.6%","33.3%","20.5%"
"[object Object]","2024","Brandon Johnson","Oregon","CB","353","44","20.84","0.059","5.73","0.016","-2.60","-0.059","36.4%","31.8%","34.1%"
"[object Object]","2024","Robert Longerbeam","Rutgers","CB","324","53","20.82","0.064","7.42","0.023","-5.79","-0.109","41.5%","24.5%","22.6%"
"[object Object]","2024","Ephesians Prysock","Washington","CB","372","49","20.15","0.054","5.48","0.015","16.97","0.346","42.9%","32.7%","26.5%"
"[object Object]","2024","Silas Walters","Miami OH","S","500","41","20.10","0.041","1.05","0.002","4.15","0.101","41.5%","29.3%","19.5%"
"[object Object]","2024","Myles Purchase","Iowa State","CB","315","44","19.97","0.064","6.85","0.022","-3.66","-0.083","36.4%","27.3%","29.5%"
"[object Object]","2024","Nasir Bowers","Toledo","CB","382","49","19.87","0.052","6.82","0.018","10.92","0.223","55.1%","28.6%","10.2%"
"[object Object]","2024","Jamel Johnson","Temple","CB","288","43","19.82","0.070","9.63","0.034","-25.85","-0.601","20.9%","11.6%","25.6%"
"[object Object]","2024","Malcolm Hartzog Jr.","Nebraska","S","332","46","19.62","0.060","5.40","0.016","5.24","0.114","50.0%","32.6%","17.4%"
"[object Object]","2024","Matthew McDoom","Coastal Carolina","CB","285","43","19.24","0.068","8.94","0.032","-6.77","-0.158","39.5%","27.9%","23.3%"
"[object Object]","2024","Roman Parodie","Ohio","CB","414","51","19.16","0.047","2.12","0.005","-3.93","-0.077","37.3%","21.6%","13.7%"
"[object Object]","2024","Daylen Everette","Georgia","CB","463","55","18.87","0.041","0.58","0.001","24.84","0.452","58.2%","40.0%","16.4%"
"[object Object]","2024","Alijah Huzzie","North Carolina","CB","409","41","18.76","0.046","3.22","0.008","-4.21","-0.103","29.3%","22.0%","34.1%"
"[object Object]","2024","Korie Black","Oklahoma State","CB","373","50","18.74","0.051","5.85","0.016","2.91","0.058","36.0%","26.0%","16.0%"
"[object Object]","2024","Tyrecus Davis","Wyoming","CB","384","45","18.70","0.049","3.23","0.008","5.86","0.130","48.9%","24.4%","17.8%"
"[object Object]","2024","Shaquan Loyal","Rutgers","S","424","45","18.57","0.044","1.53","0.004","1.33","0.030","37.8%","24.4%","31.1%"
"[object Object]","2024","Geimere Latimer II","Jacksonville State","CB","315","45","18.46","0.060","7.07","0.023","3.66","0.081","46.7%","37.8%","20.0%"
"[object Object]","2024","Dom Jones","Colorado State","CB","357","53","18.43","0.052","4.85","0.014","9.53","0.180","47.2%","26.4%","13.2%"
"[object Object]","2024","Wrook Brown","Wyoming","CB","344","59","18.39","0.053","4.41","0.013","2.07","0.035","45.8%","27.1%","20.3%"
"[object Object]","2024","JeRico Washington Jr.","Kennesaw State","CB","328","49","18.10","0.055","6.11","0.019","4.20","0.086","51.0%","24.5%","8.2%"
"[object Object]","2024","Deuce Harmon","SMU","CB","371","39","18.01","0.049","4.22","0.012","-0.53","-0.014","38.5%","25.6%","30.8%"
"[object Object]","2024","A.J. Watts","Memphis","S","483","47","17.86","0.038","-1.18","-0.002","13.52","0.288","46.8%","36.2%","19.1%"
"[object Object]","2024","Kapena Gushiken","Washington State","S","469","59","17.80","0.038","0.43","0.001","8.10","0.137","45.8%","27.1%","20.3%"
"[object Object]","2024","Judge Collier","South Carolina","CB","327","44","17.76","0.055","5.19","0.016","9.38","0.213","45.5%","29.5%","22.7%"
"[object Object]","2024","Marquise Robinson","Arkansas","CB","283","39","17.72","0.064","6.83","0.025","1.77","0.045","43.6%","15.4%","15.4%"
"[object Object]","2024","Martel Hight","Vanderbilt","CB","281","39","17.42","0.062","5.76","0.020","9.76","0.250","53.8%","38.5%","15.4%"
"[object Object]","2024","Sebastian Castro","Iowa","S","384","38","17.27","0.045","1.17","0.003","4.58","0.121","42.1%","31.6%","26.3%"
"[object Object]","2024","Keyon Martin","Louisiana","CB","349","57","17.26","0.050","2.90","0.008","10.25","0.180","45.6%","29.8%","19.3%"
"[object Object]","2024","Torrie Cox Jr.","Illinois","CB","268","41","17.13","0.064","7.04","0.026","7.04","0.172","48.8%","29.3%","14.6%"
"[object Object]","2024","Smith Snowden","Utah","CB","356","46","16.68","0.047","2.72","0.008","-3.63","-0.079","30.4%","17.4%","26.1%"
"[object Object]","2024","Jalon Kilgore","South Carolina","S","407","43","16.65","0.041","0.75","0.002","24.46","0.569","58.1%","39.5%","20.9%"
