targets,grades_pass_block,grades_offense,yards_after_catch_per_reception,grades_pass_route,draft_season,team_name,yprr,wide_snaps,fumbles,first_downs,jersey_number,inline_snaps,contested_targets,player_game_count,eligible_season,inline_rate,contested_catch_rate,yards,receptions,targeted_qb_rating,interceptions,caught_percent,drop_rate,grades_hands_drop,slot_rate,slot_snaps,penalties,wide_rate,pass_block_rate,team,declined_penalties,route_rate,drops,position,grades_hands_fumble,longest,pass_blocks,routes,pass_plays,yards_per_reception,player,positive_epa_percent,franchise_id,contested_receptions,yards_after_catch,avg_depth_of_target,epa,avoided_tackles,player_id,touchdowns
100,61.1,66.5,4.7,69.1,2020,NO,1.69,93,2,41,83,165,25,17,2020,27.8,56,889,77,113.3,0,77,8.3,60.7,53.6,318,2,15.7,5.7,NO,0,88.7,7,TE,27.8,52,34,526,593,11.5,Juwan Johnson,45.8,20,14,363,7.6,-0.02,12,28305,3
99,30.4,86.6,10.9,88.1,2023,ATL,1.88,59,1,34,07,0,5,17,2023,0,60,820,79,110.4,1,79.8,3.7,84.2,18,98,1,10.9,15.3,ATL,0,80.5,3,HB,49.4,69,83,437,543,10.4,Bijan Robinson,45.5,2,3,858,0.7,-0.02,26,123126,4
99,67.6,70.3,4.6,71,2024,CHI,1.53,320,0,41,15,0,20,14,2024,0,35,749,48,81.6,3,48.5,9.4,57.5,38.4,200,3,61.4,0.4,CHI,0,93.9,5,WR,37.1,37,2,489,521,15.6,Rome Odunze,43.6,6,7,219,14.9,0.02,4,73774,6
99,62.3,66.4,3.2,67.6,2022,SEA,1.36,402,1,32,22,0,16,21,2022,0,37.5,765,62,76.4,4,62.6,0,90.8,32.4,193,3,67.6,0.2,SEA,0,94.5,0,WR,60,87,1,562,595,12.3,Rashid Shaheed,46.2,29,6,201,12.8,-0.09,2,63707,2
99,61.8,69.4,6.5,70.3,2019,WAS,1.66,161,1,32,01,1,19,16,2019,0.2,52.6,727,72,97.5,3,72.7,6.5,65.7,64.3,308,5,33.6,0.2,WAS,1,91.2,5,WR,28.8,41,1,437,479,10.1,Deebo Samuel,48.2,32,10,471,5.5,0,17,48274,5
99,,84,3.6,85.2,2021,MIA,2.19,339,1,48,17,0,22,16,2021,0,54.5,910,64,85,7,64.6,4.5,79.1,23,102,2,76.5,0,MIA,2,93.9,3,WR,48,46,0,416,443,14.2,Jaylen Waddle,45.3,17,12,231,13.2,-0.02,9,84088,6
98,65.4,72.5,5.4,75.3,2016,NE,1.54,92,0,46,85,258,24,21,2016,38.6,54.2,880,69,112.6,3,70.4,8,64.9,44.3,296,3,13.8,10,NE,0,85.5,6,TE,81.5,36,67,571,668,12.8,Hunter Henry,53,19,13,370,8.8,0.21,4,10669,8
98,67.5,80.1,2.8,80.2,2020,CIN,1.62,482,0,41,05,1,38,15,2020,0.2,47.4,846,59,117.1,2,60.2,3.3,83.2,12.8,71,1,87,0.2,CIN,1,94.4,2,WR,80.4,44,1,523,554,14.3,Tee Higgins,45.4,7,18,164,13.9,-0.09,8,61211,11
98,,82.1,4.6,85.1,2023,JAX,2.19,228,0,42,11,3,29,17,2023,0.6,65.5,954,65,101.3,4,66.3,8.5,62.2,50.5,237,1,48.6,0,JAX,1,93,6,WR,89.3,63,0,436,469,14.7,Parker Washington,49.1,15,19,297,13.2,0.07,12,129799,6
97,,75.6,6.9,76.7,2022,DET,1.86,480,0,49,01,0,8,17,2022,0,62.5,1117,65,125.7,1,67,12.2,43.9,23.2,145,5,76.7,0,DET,0,96,9,WR,81.8,64,0,601,626,17.2,Jameson Williams,47.8,11,5,447,12.7,0.13,12,101701,7
