Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,ReceptionsTotal,ReceptionsPercentage,YardsTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,AlignmentSlotRoutesPercentage,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Terrance Ferguson,LA,TE,15,Yes,No,No,15,1,No,Yes,0.0667,30,,30,158.3,13.7708,5.7669,5.7669,0.0667,13,1,1,1,1,1,27,1,1,0.6667,0.3333,1,1.8,27,27,1,8.7,9.7,9.2,9.7,10.2,9.7,9.2,9.7,9.7,9.7,9.2,10.2,9.7,,,,,,,,,,,1,,,,,
Brock Wright,DET,TE,8,Yes,No,No,6,3,No,Yes,0.5,-1,0.1667,-0.3333,98.6,2.3615,4.2052,4.2052,0.4286,11,3,1,,3,1,23,,,0.8333,,3,3.8333,7.6667,7.6667,2,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,,24,7,,,,8,2.3333,,,,,,,,
Brandin Cooks,BUF,WR,6,Yes,No,No,4,,No,Yes,,,,,,,,,,15,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
A.J. Brown,PHI,WR,20,Yes,No,No,14,1,No,Yes,0.0714,27,,27,118.8,15.0867,1.8943,1.8943,0.0526,15,1,1,,1,1,27,,,,0.8571,1,1.9286,27,27,1,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,,,,,0.1429,,,,,,1,,,,,
Luke McCaffrey,WAS,WR,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Miller,TB,WR,2,Yes,No,No,1,,No,Yes,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,7,Yes,No,No,2,,No,Yes,,,,,,,,,,17,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konata Mumpfield,LA,WR,15,Yes,No,Yes,15,1,No,Yes,0.0667,7,,7,118.8,11.9355,1.6132,1.6132,0.0769,17,1,1,,1,1,19,,,,0.9333,,1.2667,19,19,1,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,12,1,,0.0667,,12,1,,,,,,,,
Kimani Vidal,LAC,RB,11,Yes,No,No,3,2,No,Yes,0.6667,-1,1,-0.5,141.7,2.677,3.9614,3.9614,0.2,13,2,1,,2,1,17,1,,,,1,5.6667,8.5,8.5,2,7.7,9.7,8.7,10.7,9.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,1,18,2,,,,9,1,,,,,,,,
RJ Harvey,DEN,RB,28,Yes,No,No,14,5,No,Yes,0.3571,8,0.8571,1.6,118.8,-4.3351,12.8148,12.8148,0.2083,17,4,0.8,1,4,0.8,9,3,1,0.0714,,3,0.6429,1.8,2.25,3,18.9,22.9,20.9,24.9,22.9,22.9,20.9,22.9,22.9,22.9,20.9,22.9,22.9,3,10,2,,0.0714,,2.5,0.5,,,,,,,,
Mason Tipton,NO,WR,7,Yes,Yes,No,7,,No,No,,,,,,,,,,13,,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,0.2857,,,,,,,,,,,
Savion Williams,GB,WR,1,Yes,Yes,Yes,1,,Yes,Yes,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,2,Yes,Yes,Yes,2,,No,No,,,,,,,1.4555,1.4555,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,25,Yes,Yes,Yes,20,4,No,No,0.2,31,0.1,7.75,156.3,6.3776,8.0924,8.0924,0.25,17,3,0.75,,3,0.75,56,2,,0.55,0.15,3,2.8,14,18.6667,3,17.6,20.6,19.1,20.6,22.1,20.6,19.1,20.6,20.6,20.6,19.1,22.1,20.6,2,32,2,,0.2,,10.6667,0.6667,,,,,,,,
Cole Kmet,CHI,TE,32,Yes,Yes,No,25,6,No,No,0.24,58,,9.6667,110.4,2.445,8.9067,8.9067,0.2143,16,5,0.8333,,5,0.8333,63,,,0.92,0.04,4,2.52,10.5,12.6,4,6.3,11.3,8.8,11.3,13.8,11.3,8.8,11.3,11.3,11.3,8.8,13.8,11.3,1,30,5,,0.04,,6,1,,,1,,,,,
Tyreek Hill,MIA,WR,3,Yes,No,No,3,1,No,Yes,0.3333,2,,2,83.3,-1.3344,1.3043,1.3043,0.3333,4,1,1,,1,1,4,,,,0.6667,1,1.3333,4,4,,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,2,3,,0.3333,,2,3,,,,,,,,
Demarcus Robinson,SF,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,14,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,17,Yes,No,Yes,7,2,No,Yes,0.2857,-9,1,-4.5,85.4,-0.6779,2.4293,2.4293,0.1429,14,2,1,,2,1,9,,,,,2,1.2857,4.5,4.5,,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,1,18,,,,,9,,,,,,,,1,0.5
Brenton Strange,JAX,TE,21,Yes,Yes,Yes,15,4,No,No,0.2667,19,,4.75,106.3,3.2287,6.0717,6.0717,0.2353,12,4,1,,3,0.75,40,,,0.8,,3,2.6667,10,13.3333,2,4,7,5.5,7,8.5,7,5.5,7,7,7,5.5,8.5,7,,24,2,1,0.2,0.25,8,0.6667,,,,,,,,
Isiah Pacheco,KC,RB,10,Yes,Yes,No,5,2,No,Yes,0.4,-1,1,-0.5,56.3,-3.323,3.1005,3.1005,0.2222,13,2,1,,1,0.5,5,,,,,1,1,2.5,5,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,5,2,1,,0.5,5,2,,,,,,,,
Pat Freiermuth,PIT,TE,17,No,No,No,15,,Yes,Yes,,,,,,,,,,17,,,,,,,,,0.2667,0.5333,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Darren Waller,MIA,TE,3,Yes,No,No,3,1,No,No,0.3333,10,,10,143.8,1.2315,3.2185,3.2185,0.5,9,1,1,1,1,1,9,1,1,0.3333,,1,3,9,9,1,6.9,7.9,7.4,7.9,8.4,7.9,7.4,7.9,7.9,7.9,7.4,8.4,7.9,1,,,,0.6667,,,,,,,,,,,
Bijan Robinson,ATL,RB,12,Yes,No,No,6,1,No,Yes,0.1667,1,0.5,1,79.2,-2.7294,1.5482,1.5482,0.0909,17,1,1,,1,1,3,,,,,1,0.5,3,3,,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,2,1,,0.5,,2,1,,,,,,,,
Jaleel McLaughlin,DEN,RB,8,Yes,No,No,4,2,No,Yes,0.5,-8,1,-4,79.2,-5.1437,2.8124,2.8124,0.2857,8,2,1,,2,1,1,,,,,1,0.25,0.5,0.5,,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,,9,1,,,,4.5,0.5,,,,,,,,
Calvin Austin,PIT,WR,9,No,No,No,9,2,Yes,Yes,0.2222,23,0.2222,11.5,152.1,2.3691,4.3942,4.3942,0.2857,14,2,1,1,2,1,22,1,1,,0.4444,2,2.4444,11,11,1,8.2,10.2,9.2,10.2,10.2,10.2,9.2,10.2,10.2,10.2,9.2,10.2,10.2,1,-1,-1,,0.3333,,-0.5,-0.5,1,1,,,,,,
Colston Loveland,CHI,TE,27,Yes,Yes,No,22,6,No,No,0.2727,35,0.0455,5.8333,90.3,-1.462,9.0845,9.0845,0.2727,16,6,1,,5,0.8333,34,,,0.8182,0.0909,5,1.5455,5.6667,6.8,1,3.4,8.4,5.9,8.4,10.9,8.4,5.9,8.4,8.4,8.4,5.9,10.9,8.4,2,26,,,0.0455,,5.2,,2,1,1,,,,,
Derrick Henry,BLT,RB,22,No,No,No,11,1,Yes,Yes,0.0909,2,1,2,39.6,-6.3947,1.3786,1.3786,0.0667,17,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Robert Tonyan,KC,TE,3,Yes,Yes,Yes,2,,No,No,,,,,,,,,,16,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,16,Yes,Yes,Yes,7,1,No,No,0.1429,,0.8571,,91.7,0.1729,1.2958,1.2958,0.1111,17,1,1,,1,1,6,,,,0.1429,1,0.8571,6,6,1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,6,1,,,,6,1,,,,,,,,
Ty Johnson,BUF,RB,4,Yes,No,No,3,1,No,Yes,0.3333,,1,,131.3,0.1729,2.8028,2.8028,0.25,17,1,1,,1,1,6,1,,,,1,2,6,6,1,6.6,7.6,7.1,8.1,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,1,6,3,,,,6,3,,,,1,1,,,
Van Jefferson,TEN,WR,19,Yes,No,No,18,4,No,No,0.2222,49,,12.25,147.9,2.1366,7.0192,7.0192,0.2857,16,3,0.75,,3,0.75,42,1,,,0.7778,2,2.3333,10.5,14,3,10.2,13.2,11.7,13.2,13.2,13.2,11.7,13.2,13.2,13.2,11.7,13.2,13.2,1,4,,,0.2222,,1.3333,,,,1,,,,,
Elic Ayomanor,TEN,WR,22,Yes,Yes,Yes,21,4,No,No,0.1905,33,,8.25,64.6,-2.3106,6.1824,6.1824,0.2222,16,2,0.5,,2,0.5,20,,,,0.8095,4,0.9524,5,10,1,2,4,3,4,4,4,3,4,4,4,3,4,4,,5,1,,0.1905,,2.5,0.5,1,1,,,,,,
Andre Baccellia,ARZ,WR,2,No,No,No,2,,No,No,,,,,,,,,,5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Xavier Worthy,KC,WR,19,Yes,Yes,No,19,6,No,Yes,0.3158,66,0.0526,11,107.6,1.3,11.5074,11.5074,0.4286,14,5,0.8333,,5,0.8333,59,,,,0.7368,5,3.1053,9.8333,11.8,4,5.9,10.9,8.4,10.9,10.9,10.9,8.4,10.9,10.9,10.9,8.4,10.9,10.9,2,5,1,,0.2105,,1,0.2,,,,,,,,
Rachaad White,TB,RB,7,Yes,No,Yes,6,,No,Yes,,,0.8333,,,,,,,17,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Grandy,CIN,TE,1,Yes,No,No,1,1,No,Yes,1,-4,,-4,79.2,-5.3364,1.125,1.125,1,5,1,1,,1,1,1,,,1,,1,1,1,1,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,5,1,,,,5,1,,,,,,,,
Elijah Moore,BUF,WR,3,Yes,Yes,No,3,1,No,No,0.3333,13,,13,39.6,-8.9145,1.8444,1.8444,0.5,9,1,1,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Malachi Corley,CLV,WR,6,Yes,Yes,Yes,6,,No,Yes,,,,,,,,,,13,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
AJ Barner,SEA,TE,21,Yes,No,No,18,5,No,Yes,0.2778,19,,3.8,138.8,1.3562,10.228,10.228,0.3125,17,5,1,1,4,0.8,39,2,1,1,,3,2.1667,7.8,9.75,3,15.9,19.9,17.9,19.9,21.9,19.9,17.9,19.9,19.9,19.9,17.9,21.9,19.9,3,28,2,1,,0.2,7,0.5,,,,,,,,
Zach Charbonnet,SEA,RB,7,Yes,No,No,3,,No,Yes,,,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,7,Yes,No,Yes,4,,No,Yes,,,1,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Wayne,HST,WR,2,Yes,No,No,2,1,No,Yes,0.5,2,,2,79.2,-2.3344,1.5092,1.5092,1,1,1,1,,1,1,3,,,,1,1,1.5,3,3,,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,1,1,,,,1,1,,,,,,,,
Blake Whiteheart,CLV,TE,8,Yes,Yes,Yes,6,,No,Yes,,,,,,,,,,16,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,6,Yes,No,Yes,5,2,No,Yes,0.4,12,,6,58.3,-3.7578,3.1935,3.1935,0.4,17,1,0.5,,1,0.5,7,,,1,,1,1.4,3.5,7,,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,1,6,3,,,,6,3,,,,,,,,
Mason Taylor,NYJ,TE,15,Yes,No,No,11,5,No,Yes,0.4545,44,,8.8,136.3,-1.0264,9.8159,9.8159,0.4167,13,4,0.8,1,4,0.8,36,1,1,0.6364,0.0909,5,3.2727,7.2,9,3,9.6,13.6,11.6,13.6,15.6,13.6,11.6,13.6,13.6,13.6,11.6,15.6,13.6,1,21,2,,0.2727,,5.25,0.5,1,1,1,,,,,
Emanuel Wilson,GB,RB,8,Yes,Yes,Yes,1,,No,No,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,19,Yes,No,No,19,2,Yes,Yes,0.1053,-2,,-1,118.8,15.8301,2.7997,2.7997,0.1111,14,2,1,,2,1,44,,,,0.7895,2,2.3158,22,22,2,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,,46,8,,0.2105,,23,4,,,,1,0.5,,,
Jeff Wilson,MIA,RB,1,Yes,No,Yes,1,,No,Yes,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,10,Yes,Yes,Yes,10,,No,No,,,,,,,,,,14,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Luther Burden,CHI,WR,15,Yes,Yes,No,14,4,No,No,0.2857,8,,2,88.5,-0.7665,6.2782,6.2782,0.2857,15,4,1,,4,1,21,,,,0.9286,3,1.5,5.25,5.25,1,2.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,1,13,13,,0.0714,,3.25,3.25,,,,1,0.25,,2,0.5
Garrett Wilson,NYJ,WR,6,Yes,No,No,6,,No,No,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Dippre,NE,TE,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,4,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,21,Yes,Yes,No,21,5,No,No,0.2381,9,0.0476,1.8,47.9,-4.905,16.233,16.233,0.2632,17,3,0.6,2,2,0.4,3,,,,0.6667,4,0.1429,0.6,1.5,,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,3,3,1,,0.2857,,1.5,0.5,1,,,,,,1,0.2
Chris Moore,WAS,WR,12,Yes,No,No,12,2,No,Yes,0.1667,49,,24.5,118.8,27.2519,4.2228,4.2228,0.25,14,2,1,,2,1,78,,,,0.9167,1,6.5,39,39,2,7.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,,29,6,,0.0833,,14.5,3,,,1,,,,,
Tutu Atwell,LA,WR,4,Yes,No,Yes,4,,No,Yes,,,,,,,,,,10,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Isaiah Williams,NYJ,WR,7,Yes,No,No,6,2,No,Yes,0.3333,27,,13.5,118.8,10.3235,3.6626,3.6626,0.4,15,2,1,,2,1,39,,,,0.3333,1,6.5,19.5,19.5,2,3.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,,12,2,,0.6667,,6,1,,,,,,,,
Josh Palmer,BUF,WR,18,Yes,No,No,17,4,No,Yes,0.2353,19,,4.75,83.3,-2.4862,7.9083,7.9083,0.2857,12,3,0.75,,3,0.75,18,,,0.1176,0.7059,3,1.0588,4.5,6,1,1.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,1,11,1,,0.1765,,3.6667,0.3333,,,,,,,,
Antonio Gibson,NE,RB,3,No,No,Yes,1,,No,Yes,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,6,Yes,No,No,5,1,No,Yes,0.2,2,,2,79.2,-3.3701,1.4192,1.4192,0.2,17,1,1,,1,1,3,,,0.8,0.2,1,0.6,3,3,,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,1,1,,,,1,1,,,,,,,,
Mason Kinsey,TEN,WR,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Omarion Hampton,LAC,RB,11,Yes,No,No,7,1,Yes,Yes,0.1429,4,1,4,39.6,-6.6619,1.428,1.428,0.0909,9,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Harrison Bryant,HST,TE,9,Yes,Yes,No,8,2,No,Yes,0.25,-1,,-0.5,56.3,-4.3133,2.9949,2.9949,0.2222,12,1,0.5,,1,0.5,2,,,0.875,0.125,1,0.25,1,2,,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,1,,,,,1,,,,,,,,,
Tylan Wallace,BLT,WR,8,No,No,No,8,2,Yes,Yes,0.25,33,,16.5,114.6,-3.1544,5.7328,5.7328,0.4,14,1,0.5,2,1,0.5,15,1,1,,0.875,2,1.875,7.5,15,1,7.5,8.5,8,8.5,8.5,8.5,8,8.5,8.5,8.5,8,8.5,8.5,2,,,,0.125,,,,,,,,,,,
Jonnu Smith,PIT,TE,29,No,No,No,27,8,Yes,Yes,0.2963,28,,3.5,77.1,-4.1178,13.6562,13.6562,0.32,17,6,0.75,,6,0.75,19,,,0.8148,0.037,7,0.7037,2.375,3.1667,,1.9,7.9,4.9,7.9,10.9,7.9,4.9,7.9,7.9,7.9,4.9,10.9,7.9,1,21,7,,0.1481,,3.5,1.1667,1,1,1,2,0.3333,,,
Adam Thielen,PIT,WR,9,No,No,No,9,1,Yes,Yes,0.1111,2,,2,83.3,-1.3344,1.6233,1.6233,0.1111,16,1,1,,1,1,4,,,,0.8889,1,0.4444,4,4,,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,2,1,,0.1111,,2,1,,,,,,,,
Elijah Higgins,ARZ,TE,11,Yes,No,Yes,11,,No,Yes,,,,,,,,,,17,,,,,,,,,0.8182,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,15,Yes,Yes,No,10,2,No,Yes,0.2,10,0.1,5,110.4,0.02,2.8911,2.8911,0.2,16,1,0.5,,1,0.5,13,1,,0.5,0.2,2,1.3,6.5,13,1,7.3,8.3,7.8,8.3,8.8,8.3,7.8,8.3,8.3,8.3,7.8,8.8,8.3,1,8,,,0.2,,8,,,,,,,,,
Chris Godwin,TB,WR,5,Yes,No,Yes,4,1,No,Yes,0.25,3,,3,118.8,15.5501,1.3432,1.3432,0.25,9,1,1,,1,1,21,,,,0.25,,5.25,21,21,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,,18,6,,0.75,,18,6,,,,,,,,
Terry McLaurin,WAS,WR,12,Yes,No,No,11,6,No,Yes,0.5455,81,,13.5,118.8,2.8205,11.3293,11.3293,0.6667,10,5,0.8333,1,5,0.8333,75,,,,1,3,6.8182,12.5,15,5,7.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,1,4,4,,,,0.8,0.8,,,,1,0.2,,,
TreVeyon Henderson,NE,RB,14,Yes,No,Yes,6,,No,Yes,,,0.8333,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
Jayden Reed,GB,WR,3,Yes,Yes,Yes,3,,No,No,,,,,,,,,,7,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Devin Neal,NO,RB,4,Yes,No,No,3,,No,Yes,,,1,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,15,Yes,No,No,13,8,No,Yes,0.6154,36,,4.5,120.8,-0.6239,15.7038,15.7038,0.5333,15,7,0.875,1,5,0.625,52,1,1,0.9231,,8,4,6.5,10.4,4,11.2,16.2,13.7,16.2,18.7,16.2,13.7,16.2,16.2,16.2,13.7,18.7,16.2,3,23,4,2,0.0769,0.25,4.6,0.8,,,,1,0.2,,1,0.125
Kyle Pitts,ATL,TE,12,Yes,No,No,12,5,No,Yes,0.4167,4,,0.8,87.5,-3.6216,9.2797,9.2797,0.4545,17,3,0.6,,2,0.4,12,1,,0.8333,0.0833,4,1,2.4,6,1,7.2,9.2,8.2,9.2,10.2,9.2,8.2,9.2,9.2,9.2,8.2,10.2,9.2,2,13,3,,0.0833,,6.5,1.5,1,,,1,0.5,,,
Jalen Coker,CAR,WR,5,Yes,No,Yes,5,1,No,Yes,0.2,2,,2,87.5,-0.3344,1.4192,1.4192,0.25,11,1,1,,1,1,5,,,,0.4,1,1,5,5,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,3,-1,,0.6,,3,-1,,,,,,,,
Dallas Goedert,PHI,TE,23,Yes,No,No,21,16,No,Yes,0.7619,56,,3.5,133.9,0.2786,29.2621,29.2621,0.7619,15,15,0.9375,1,13,0.8125,106,2,1,0.9048,0.0476,11,5.0476,6.625,8.1538,6,22.6,35.6,29.1,35.6,42.1,38.6,32.1,35.6,35.6,35.6,29.1,42.1,35.6,4,60,16,1,0.0476,0.0625,4.6154,1.2308,1,,,,,,,
Cedric Tillman,CLV,WR,13,Yes,Yes,Yes,13,5,No,Yes,0.3846,25,,5,47.9,-3.8766,7.0896,7.0896,0.5556,13,2,0.4,,2,0.4,12,,,,0.6923,2,0.9231,2.4,6,,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,0.3077,,,,1,1,,,,,,
Arian Smith,NYJ,WR,8,Yes,No,No,8,,No,Yes,,,,,,,,,,16,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,
Marvin Mims,DEN,WR,21,Yes,No,No,20,1,No,Yes,0.05,2,0.05,2,116.7,6.6656,1.4052,1.4052,0.0526,15,1,1,,1,1,12,,,,0.8,1,0.6,12,12,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,10,5,,0.15,,10,5,,,,,,,,
Calvin Ridley,TEN,WR,5,Yes,No,No,5,2,No,Yes,0.4,20,,10,39.6,-8.3863,2.7762,2.7762,0.5,7,,,,,,,,,,0.8,2,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Will Shipley,PHI,RB,2,Yes,No,No,1,,No,Yes,,,1,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,34,Yes,No,Yes,11,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payne Durham,TB,TE,11,Yes,No,Yes,7,2,No,Yes,0.2857,17,,8.5,39.6,-7.7233,5.6078,5.6078,0.2,17,1,0.5,1,,,,,,0.5714,,1,,,,,,,,,,,,,,,,,,1,,,1,0.4286,0.5,,,,,,,,,,
Tucker Kraft,GB,TE,10,Yes,Yes,No,8,5,No,No,0.625,13,,2.6,140.4,1.9648,9.6988,9.6988,0.625,8,5,1,1,5,1,41,2,1,0.875,,4,5.125,8.2,8.2,4,16.1,21.1,18.6,21.1,23.6,21.1,18.6,21.1,21.1,21.1,18.6,23.6,21.1,3,32,9,,0.125,,6.4,1.8,,,,1,0.2,,,
Dawson Knox,BUF,TE,25,Yes,No,No,24,9,No,Yes,0.375,75,,8.3333,112.7,-1.9061,19.0124,19.0124,0.4091,17,9,1,2,5,0.5556,59,1,,0.9583,0.0417,5,2.4583,6.5556,11.8,4,11.9,16.9,14.4,16.9,19.4,16.9,14.4,16.9,16.9,16.9,14.4,19.4,16.9,4,23,5,3,,0.3333,4.6,1,1,,1,,,,,
