Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Tee Higgins,CIN,WR,3,No,Yes,No,3,No,No,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,36,No,No,No,35,No,Yes,0.0857,16,,0.9143,5,4,0.8,0.1429,62,,4,12.4,118.3,3.3785,,8.6341,8.6341,0.1852,,,4,,0.8,62,15,1,1.7714,12.4,15.5,3.75,0.25,4,6.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,1,,,,,,1,,,
Josh Jacobs,GB,RB,10,Yes,No,No,2,No,Yes,,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Stover,HST,TE,11,Yes,No,No,10,No,No,0.1,9,0.9,,5,5,1,0.5,-3,1,5,-0.6,85,-0.7239,0.2,7.8033,7.8033,0.5556,,,4,,0.8,22,25,12,2.2,4.4,5.5,6.25,3,1,2.2,6.2,4.2,6.2,8.2,6.2,4.2,6.2,6.2,6.2,4.2,8.2,6.2,2,,,,,,,,,
Grant Calcaterra,PHI,TE,3,No,No,No,2,No,No,,15,1,,1,1,1,0.5,3,,1,3,112.5,4.6782,,1.329,1.329,0.3333,,,1,,1,11,8,1,5.5,11,11,8,1,1,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,,,,,,
Rashod Bateman,BLT,WR,2,Yes,No,No,2,No,Yes,0.5,13,,0.5,1,1,1,0.5,4,,,4,87.5,-1.0498,,1.701,1.701,0.5,,,1,,1,5,1,,2.5,5,5,1,,1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,,,,,,,,,
Rico Dowdle,CAR,RB,10,Yes,No,Yes,5,No,Yes,,17,,,1,1,1,0.2,1,,,1,87.5,-0.7294,,1.5957,1.5957,0.125,1,,1,,1,5,4,-1,1,5,5,4,-1,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,
Ricky Pearsall,SF,WR,9,Yes,No,No,8,No,Yes,0.25,9,,0.75,2,2,1,0.25,14,,1,7,100,0.7701,,2.6397,2.6397,0.25,,,2,,1,16,2,,2,8,8,1,,,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,,,,,,,,,
Chris Olave,NO,WR,8,No,No,No,7,No,No,0.4286,16,,0.5714,2,2,1,0.2857,20,,2,10,106.3,2,,3.3529,3.3529,0.25,,,2,,1,19,-1,,2.7143,9.5,9.5,-0.5,,1,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,,,,,,,,,
George Pickens,DAL,WR,7,No,No,No,7,No,No,0.1429,17,,0.8571,2,2,1,0.2857,21,,2,10.5,158.3,4.1425,,5.8263,5.8263,0.3333,,,2,,1,26,7,2,3.7143,13,13,3.5,1,2,8.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,1,1,1,1,,,,,,1
Wan'Dale Robinson,NYG,WR,9,No,No,No,9,No,No,0.1111,16,,0.8889,3,3,1,0.3333,64,,1,21.3333,158.3,9.6298,,6.1014,6.1014,0.3333,,,3,,1,60,2,,6.6667,20,20,0.6667,,2,12,15,13.5,15,15,15,13.5,15,15,15,13.5,15,15,,1,1,1,,,1,1,0.3333,
Trey Benson,ARZ,RB,2,No,No,No,2,No,Yes,0.5,4,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Wilson,PIT,WR,3,Yes,No,No,2,No,Yes,0.5,13,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,1,Yes,Yes,No,1,No,Yes,,16,,1,1,,,1,15,,1,15,39.6,-10.4097,,2.8588,2.8588,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Jake Tonges,SF,TE,8,Yes,No,No,5,No,Yes,,16,0.8,0.2,1,1,1,0.2,8,,1,8,118.8,-6.7205,,5.1375,5.1375,0.1429,,,1,,1,1,,,0.2,1,1,,,1,6.1,7.1,6.6,7.1,7.6,7.1,6.6,7.1,7.1,7.1,6.6,7.6,7.1,1,1,1,1,,,,,,
Nikko Remigio,KC,WR,1,Yes,Yes,No,1,No,No,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,1,No,No,No,1,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,1,No,Yes,No,1,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,2,No,No,No,1,No,No,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,7,Yes,Yes,No,7,No,Yes,0.2857,12,0.7143,,1,1,1,0.1429,,,1,,112.5,5.711,,1.3748,1.3748,0.1667,,,1,,1,11,11,3,1.5714,11,11,11,3,1,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,,,,,,
Rhamondre Stevenson,NE,RB,4,Yes,No,No,1,No,No,,14,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,3,Yes,No,No,3,No,Yes,0.3333,4,,0.6667,2,2,1,0.6667,18,,1,9,95.8,6.3102,,2.6734,2.6734,1,,1,1,,0.5,28,21,,9.3333,14,28,21,,1,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,,,,,,,,,,
Demarcus Robinson,SF,WR,3,Yes,No,Yes,3,No,No,,14,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,4,Yes,No,No,3,No,Yes,,8,,1,2,1,0.5,0.6667,23,,2,11.5,95.8,-6.6806,,4.5894,4.5894,0.5,,1,1,1,0.5,4,,,1.3333,2,4,,,1,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,1,1,1,1,,,,,,
Travis Kelce,KC,TE,17,No,No,No,13,No,No,0.2308,17,0.6154,0.0769,3,3,1,0.2308,21,,3,7,118.1,5.3177,,5.1663,5.1663,0.2,0.0769,,3,,1,37,16,7,2.8462,12.3333,12.3333,5.3333,2.3333,3,3.7,6.7,5.2,6.7,8.2,6.7,5.2,6.7,6.7,6.7,5.2,8.2,6.7,2,,,,,,,,,
Cole Kmet,CHI,TE,13,Yes,Yes,No,10,No,No,0.3,16,0.7,,3,2,0.6667,0.3,48,,2,16,99.3,-0.3686,,6.5708,6.5708,0.4286,,,2,,0.6667,30,2,,3,10,15,1,,1,9,11,10,11,12,11,10,11,11,11,10,12,11,1,1,1,,,,2,,,
RJ Harvey,DEN,RB,5,Yes,No,No,4,No,Yes,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,3,No,No,No,2,No,No,,17,1,,1,1,1,0.5,3,,1,3,87.5,-1.3218,,1.4184,1.4184,0.3333,,,1,,1,5,2,,2.5,5,5,2,,1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,,,
Konata Mumpfield,LA,WR,8,No,No,No,8,No,No,0.125,17,,0.875,1,,,0.125,3,,1,3,39.6,-5.4499,,3.1387,3.1387,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Mason Tipton,NO,WR,3,No,No,No,3,No,Yes,0.6667,13,,,,,,,,,,,,,,1.5099,1.5099,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derius Davis,LAC,WR,1,Yes,No,No,1,No,Yes,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Miller,TB,WR,3,Yes,No,No,2,No,No,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,BUF,WR,6,Yes,No,No,6,Yes,Yes,0.3333,15,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,7,Yes,No,No,5,Yes,Yes,0.2,15,,0.8,3,3,1,0.6,38,,3,12.6667,42.4,-7.2173,,7.4999,7.4999,0.4286,,2,1,,0.3333,2,1,,0.4,0.6667,2,1,,,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,,,,,,1,,,
Brock Wright,DET,TE,5,Yes,Yes,No,5,No,Yes,,11,0.6,0.2,2,1,0.5,0.4,2,,1,1,60.4,-1.6116,,2.8622,2.8622,0.4,0.2,,1,,0.5,8,9,,1.6,4,8,9,,,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,,,
Terrance Ferguson,LA,TE,9,Yes,No,No,9,No,Yes,0.1111,13,0.6667,0.2222,2,,,0.2222,26,,2,13,39.6,-9.6897,,4.422,4.422,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,
David Njoku,CLV,TE,9,No,No,No,5,No,No,,12,1,,1,1,1,0.2,-1,,,-1,79.2,-4.9014,,1.5828,1.5828,0.125,,,1,,1,,1,1,,,,1,1,,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,,,,,,,,,,
Brock Bowers,LV,TE,6,Yes,No,No,5,No,Yes,,12,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,11,Yes,No,Yes,11,No,Yes,0.3636,15,,0.6364,2,2,1,0.1818,15,,1,7.5,104.2,1.8755,,2.819,2.819,0.2222,,,2,,1,18,3,1,1.6364,9,9,1.5,0.5,1,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,,,,,,,,,
Johnny Mundt,JAX,TE,5,Yes,Yes,No,3,No,Yes,0.3333,16,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham Smythe,CHI,TE,3,Yes,Yes,No,2,No,No,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Dulcich,MIA,TE,18,Yes,No,No,18,No,No,0.1111,10,0.8333,0.0556,10,10,1,0.5556,29,,8,2.9,118.8,6.9076,,16.1909,16.1909,0.625,,1,10,1,1,130,101,18,7.2222,13,13,10.1,1.8,5,13,23,18,23,28,26,21,23,23,23,18,28,23,,,,,1,0.1,,,,
Gunnar Helm,TEN,TE,10,No,No,No,10,No,No,0.1,16,0.9,,3,3,1,0.3,5,,3,1.6667,108.3,4.2896,,4.1012,4.1012,0.375,,,3,,1,30,25,1,3,10,10,8.3333,0.3333,2,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,,,,,,,,,,
Justin Jefferson,MIN,WR,13,No,No,No,13,No,No,0.0769,17,,0.9231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Shaheed,SEA,WR,8,Yes,No,Yes,8,No,No,0.125,18,,0.875,2,1,0.5,0.25,33,,2,16.5,87.5,-0.3728,,5.1059,5.1059,0.25,,1,1,1,0.5,21,2,1,2.625,10.5,21,2,1,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,1,1,,,,,,,,
Tony Pollard,TEN,RB,11,Yes,Yes,No,1,No,Yes,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,10,Yes,No,No,10,No,Yes,0.1,16,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,4,Yes,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,10,No,No,No,9,No,No,0.2222,17,,0.7778,1,1,1,0.1111,9,,,9,118.8,6.5461,,1.1722,1.1722,0.125,,,1,,1,14,5,3,1.5556,14,14,5,3,,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,,,,,,,,
Dalevon Campbell,CAR,WR,1,Yes,Yes,No,1,No,No,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Kallerup,SEA,TE,3,Yes,No,No,2,No,No,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,7,Yes,Yes,No,7,No,Yes,0.7143,17,0.2857,,1,1,1,0.1429,6,,1,6,118.8,14.907,,1.665,1.665,0.1667,,,1,,1,22,16,1,3.1429,22,22,16,1,1,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,,,,,,,,,,
Lucas Krull,DEN,TE,1,No,No,No,1,No,No,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,4,Yes,No,No,3,No,Yes,,12,,1,1,1,1,0.3333,22,,,22,118.8,23.0759,,1.8,1.8,1,,,1,,1,35,13,3,11.6667,35,35,13,3,1,3.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,,,,,,,1,,,
Dalton Schultz,HST,TE,28,Yes,No,No,23,No,No,0.0435,17,0.8696,0.0435,8,8,1,0.3478,22,,6,2.75,108.3,3.789,,11.9683,11.9683,0.32,0.0435,,8,,1,80,58,8,3.4783,10,10,7.25,1,5,8,16,12,16,20,16,12,16,16,16,12,20,16,1,,,,1,0.125,,,,
George Kittle,SF,TE,6,Yes,No,Yes,4,No,No,,11,1,,3,3,1,0.75,24,,3,8,118.8,9.0296,,4.4933,4.4933,0.6,,,3,,1,51,27,8,12.75,17,17,9,2.6667,3,5.1,8.1,6.6,8.1,9.6,8.1,6.6,8.1,8.1,8.1,6.6,9.6,8.1,,,,,,,,,,
Isaiah Likely,BLT,TE,1,Yes,Yes,No,1,No,Yes,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Rucci,MIA,TE,1,Yes,Yes,No,1,No,No,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,3,Yes,No,No,3,No,Yes,0.3333,17,,0.6667,1,,,0.3333,8,,1,8,39.6,-7.5106,,1.3164,1.3164,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,4,Yes,No,No,2,No,Yes,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Fant,CIN,TE,1,No,Yes,No,1,No,No,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,6,No,No,No,6,No,No,0.3333,14,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,7,No,Yes,No,7,No,No,0.2857,16,,0.7143,1,,,0.1429,52,,1,52,,-15,,2.2842,2.2842,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Isaiah Davis,NYJ,RB,3,Yes,No,No,3,No,Yes,,16,,,1,1,1,0.3333,3,,1,3,108.3,3.4906,,1.2925,1.2925,0.5,1,,1,,1,10,7,,3.3333,10,10,7,,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,,,
Colby Parkinson,LA,TE,19,No,No,No,15,No,No,0.0667,15,0.9333,,3,2,0.6667,0.2,27,,2,9,109.7,6.8848,,4.9827,4.9827,0.1579,,,2,,0.6667,46,19,9,3.0667,15.3333,23,9.5,4.5,2,4.6,6.6,5.6,6.6,7.6,6.6,5.6,6.6,6.6,6.6,5.6,7.6,6.6,,,,,,,1,,,
Jacory Croskey-Merritt,WAS,RB,2,No,No,No,2,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,8,Yes,No,Yes,8,No,Yes,0.25,12,,0.75,3,2,0.6667,0.375,61,1,2,20.3333,81.9,-8.3317,0.3333,9.1058,9.1058,0.5,,,1,,0.3333,6,,,0.75,2,6,,,1,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,1,2,1,1,,,1,,,
Bucky Irving,TB,RB,6,Yes,No,Yes,1,No,Yes,,10,,,,,,,,,,,,,,1.4556,1.4556,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,14,Yes,Yes,No,14,No,No,0.0714,17,,0.9286,1,1,1,0.0714,8,,1,8,118.8,8.4894,,1.7034,1.7034,0.1111,,,1,,1,16,8,1,1.1429,16,16,8,1,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,,,,,
Josh Oliver,MIN,TE,9,No,No,No,8,No,No,,15,1,,3,2,0.6667,0.375,5,,3,1.6667,74.3,-2.2223,,4.3697,4.3697,0.5,,,2,,0.6667,12,4,2,1.5,4,6,2,1,1,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,,,,,,,,,
Nick Chubb,HST,RB,8,Yes,No,Yes,2,No,Yes,,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,2,No,No,No,2,No,No,,13,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,3,No,Yes,No,3,No,No,0.3333,13,,0.6667,1,1,1,0.3333,8,,1,8,108.3,2.4894,,1.4595,1.4595,0.3333,,,1,,1,10,2,,3.3333,10,10,2,,1,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,,,
Isaiah Hodgins,NYG,WR,2,No,No,No,2,No,No,0.5,7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,1,No,Yes,No,1,No,No,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,1,Yes,No,No,1,No,No,,13,,,1,1,1,1,-1,,,-1,104.2,3.181,,1.3738,1.3738,1,1,,1,,1,9,10,,9,9,9,10,,,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,1,1,,,,
David Sills,ATL,WR,5,No,No,No,5,No,No,0.6,17,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,NO,WR,3,Yes,No,No,3,No,Yes,0.3333,13,,0.6667,1,1,1,0.3333,10,,,10,112.5,3.5,,1.5702,1.5702,0.3333,,1,1,1,1,11,1,,3.6667,11,11,1,,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,,,,,
Khalil Herbert,NYJ,RB,3,Yes,No,No,2,No,Yes,,5,,,1,,,0.5,-4,,,-4,39.6,-5.5699,,1.7054,1.7054,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,15,No,No,No,7,No,No,,14,,,2,2,1,0.2857,3,,2,1.5,118.8,7.438,,2.8114,2.8114,0.1667,1,,2,,1,27,24,4,3.8571,13.5,13.5,12,2,1,2.7,4.7,3.7,5.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,,,,,,,,,,
Josh Downs,IND,WR,4,Yes,No,No,3,No,No,0.6667,16,,0.3333,2,2,1,0.6667,55,,2,27.5,118.8,18.0049,,4.099,4.099,0.6667,,,2,,1,59,4,,19.6667,29.5,29.5,2,,2,5.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,,,,,,,2,,,
Tetairoa McMillan,CAR,WR,17,Yes,No,Yes,17,No,Yes,0.0588,17,,0.9412,1,1,1,0.0588,6,,,6,91.7,-0.9491,,1.5154,1.5154,0.0667,,,1,,1,6,,,0.3529,6,6,,,,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,
Foster Moreau,NO,TE,2,No,No,No,2,No,Yes,,11,1,,1,,,0.5,3,,1,3,39.6,-6.3218,,1.5011,1.5011,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,3,No,No,No,1,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,7,No,No,No,6,No,No,,17,1,,3,3,1,0.5,-4,,2,-1.3333,118.1,6.6623,,4.5456,4.5456,0.4286,,,3,,1,37,41,7,6.1667,12.3333,12.3333,13.6667,2.3333,2,3.7,6.7,5.2,6.7,8.2,6.7,5.2,6.7,6.7,6.7,5.2,8.2,6.7,,,,,,,,,,
David Montgomery,DET,RB,5,Yes,Yes,No,4,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,5,No,No,No,5,No,No,0.4,15,0.2,0.4,1,1,1,0.2,6,,1,6,118.8,7.0509,,1.2564,1.2564,0.25,,,1,,1,14,8,1,2.8,14,14,8,1,1,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,2,Yes,No,No,2,No,Yes,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dareke Young,SEA,WR,2,Yes,No,Yes,2,No,No,,9,,1,1,1,1,0.5,35,,1,35,118.8,22.2995,,2.2536,2.2536,1,,1,1,1,1,36,1,1,18,36,36,1,1,1,3.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,,,,,,,1,,,1
Jack Bech,LV,WR,4,No,No,No,3,No,No,,16,,1,2,2,1,0.6667,7,,2,3.5,58.3,-2.3486,,2.6316,2.6316,0.5,,1,1,,0.5,7,2,2,2.3333,3.5,7,2,2,,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,1,1,,,,
Andrew Ogletree,IND,TE,3,Yes,No,No,2,No,Yes,0.5,15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,4,Yes,Yes,No,1,No,Yes,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,SF,WR,5,Yes,No,Yes,5,No,No,0.2,16,,0.8,2,2,1,0.4,10,1,,5,70.8,0.0775,0.5,2.66,2.66,0.4,,,1,,0.5,13,5,3,2.6,6.5,13,5,3,1,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,,,,,,,
Ashton Dulin,IND,WR,4,Yes,No,No,3,No,No,0.6667,12,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,13,Yes,No,Yes,11,No,No,0.1818,15,,0.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahj Washington,MIA,WR,3,Yes,No,No,2,No,No,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,9,Yes,No,No,7,No,No,0.2857,13,0.7143,,1,1,1,0.1429,-2,,1,-2,79.2,-5.8511,,1.9148,1.9148,0.125,,,1,,1,-1,1,1,-0.1429,-1,-1,1,1,,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,,,,,,,,,,
Jahdae Walker,CHI,WR,1,Yes,Yes,No,1,No,No,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,6,Yes,No,No,5,No,Yes,,9,0.8,0.2,1,1,1,0.2,,,,,87.5,-0.289,,1.3488,1.3488,0.25,,,1,,1,5,5,2,1,5,5,5,2,,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,,,
