Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Jalen Royals,KC,WR,14,No,No,No,12,1,No,,Yes,,,,0.0833,,,,,,,21,,0.25,0.75,1,21,1,39.6,,,-11.2393,,,,,3.4294,3.4294,0.0714,,,,,,,,,,,,,,,7,,,,,,,,
Malik Heath,GB,WR,48,No,Yes,No,45,6,Yes,,Yes,6,1,,0.1333,5,,0.8333,73,15,7,66,0.0444,0.3556,0.6,6,11,1,117.4,1.6222,12.1667,4.0853,14.6,3,1.4,3,9.2739,9.2739,0.125,7.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,,11,,1,0.1667,,1,,1,0.2
Luke Schoonmaker,DAL,TE,88,No,No,Yes,76,13,No,2,No,11,0.8462,,0.1711,9,1,0.6923,73,47,22,76,0.7368,0.1974,0.0658,13,5.8462,2,83.2,0.9605,5.6154,-1.3854,8.1111,5.2222,2.4444,5,18.1047,18.1047,0.1477,7.3,16.3,11.8,16.3,20.8,16.3,11.8,16.3,16.3,16.3,11.8,20.8,16.3,,17,,2,0.1538,,,,1,0.1111
Nate Adkins,DEN,TE,31,No,No,No,18,6,No,,No,5,0.8333,1,0.3333,4,,0.6667,35,14,6,32,0.5556,0.3333,0.1111,6,5.3333,,121.5,1.9444,5.8333,-1.1526,8.75,3.5,1.5,2,11.4615,11.4615,0.1935,9.5,13.5,11.5,13.5,15.5,13.5,11.5,13.5,13.5,13.5,11.5,15.5,13.5,2,9,,1,0.1667,1,,,,
Tre Harris,LAC,WR,140,No,No,No,139,28,No,4,No,21,0.75,1,0.2014,19,3,0.6786,237,92,55,314,,0.3813,0.6187,28,11.2143,7,93.9,1.705,8.4643,0.4364,12.4737,4.8421,2.8947,12,44.7396,44.7396,0.2,23.7,42.7,33.2,42.7,42.7,45.7,36.2,42.7,42.7,42.7,33.2,42.7,42.7,1,17,,1,0.0357,,,,3,0.1579
Jack Stoll,NO,TE,35,No,No,Yes,21,6,No,,No,3,0.5,,0.2857,3,,0.5,22,16,5,18,0.7143,0.1905,0.0476,6,3,,19.4,1.0476,3.6667,-2.4491,7.3333,5.3333,1.6667,,8.6378,8.6378,0.1714,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,,15,0.0476,,,,,,,
Russell Gage,SF,WR,9,No,No,No,9,,No,,No,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Darius Cooper,PHI,WR,41,No,No,No,39,7,No,2,No,6,0.8571,,0.1795,6,2,0.8571,66,13,10,81,,0.3333,0.6667,7,11.5714,1,106,1.6923,9.4286,1.3588,11,2.1667,1.6667,5,16.8299,16.8299,0.1707,6.6,12.6,9.6,12.6,12.6,12.6,9.6,12.6,12.6,12.6,9.6,12.6,12.6,,13,,,,,,,,
Giovanni Ricci,DET,TE,5,No,No,No,2,1,No,,Yes,,,,0.5,,,,,,,2,1,,,1,2,,39.6,,,-6.3701,,,,,3.4838,3.4838,0.2,,,,,,,,,,,,,,1,3,,,,,,,,
Jameson Williams,DET,WR,324,Yes,Yes,Yes,323,65,No,6,Yes,52,0.8,3,0.2012,40,3,0.6154,731,223,65,992,,0.2136,0.7833,65,15.2615,17,119.5,2.2632,11.2462,1.7088,18.275,5.575,1.625,33,114.4622,114.4622,0.2006,103.1,143.1,123.1,143.1,143.1,146.1,126.1,143.1,143.1,143.1,123.1,143.1,143.1,6,17,0.0031,8,0.1231,5,,1,5,0.125
Mitchell Evans,CAR,TE,62,No,No,No,54,12,No,1,Yes,11,0.9167,2,0.2222,10,1,0.8333,98,45,11,74,0.7778,0.1667,0.0556,12,6.1667,,105.6,1.8148,8.1667,1.0181,9.8,4.5,1.1,6,22.7279,22.7279,0.1935,21.8,31.8,26.8,31.8,36.8,31.8,26.8,31.8,31.8,31.8,26.8,36.8,31.8,3,17,,,,2,,1,,
Jalen McMillan,TB,WR,30,No,No,No,30,5,No,1,Yes,5,1,,0.1667,5,1,1,70,29,3,41,,0.2,0.8,5,8.2,,118.8,2.3333,14,6.4252,14,5.8,0.6,3,7.8055,7.8055,0.1667,7,12,9.5,12,12,12,9.5,12,12,12,9.5,12,12,,4,,,,,,,,
D'Ernest Johnson,NE,RB,12,Yes,No,Yes,7,,No,,Yes,,,,,,,,,,,,,0.1429,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.7143,,,,,,,
Theo Johnson,NYG,TE,224,No,No,Yes,192,47,No,19,No,36,0.766,7,0.2448,24,12,0.5106,335,97,42,481,0.2812,0.5052,0.1562,47,10.234,3,86.7,1.7448,7.1277,-1.5795,13.9583,4.0417,1.75,16,96.0483,96.0483,0.2098,51.5,75.5,63.5,75.5,87.5,78.5,66.5,75.5,75.5,75.5,63.5,87.5,75.5,9,15,0.0573,8,0.1702,3,3,2,1,0.0417
