Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
AJ Barner,SEA,TE,19,No,Yes,No,19,No,Yes,,17,5,5,1,0.2632,5,1,68,40,28,,0.0526,,5.6,,118.8,3.5789,13.6,6.9128,,13.6,8,4,9.5303,9.5303,0.2632,6.8,11.8,9.3,11.8,14.3,11.8,9.3,11.8,11.8,11.8,9.3,14.3,11.8,,,21,0.9474,4.2,,,,,2,0.4,1
Rachaad White,TB,RB,28,No,Yes,No,21,Yes,Yes,0.8095,17,,,,,,,,,,,0.0952,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,BUF,WR,9,No,Yes,No,9,No,Yes,,9,2,2,1,0.2222,,,,,19,1,0.3333,0.6667,9.5,,39.6,,,-7.9318,0.5,,,,3.3096,3.3096,0.2222,,,,,,,,,,,,,,1,,,,,,,,,,,
Malachi Corley,CLV,WR,1,No,Yes,No,1,No,No,,13,1,1,1,1,1,1,11,,11,,,1,11,,112.5,11,11,2.6848,,11,,1,1.3525,1.3525,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,,,,,,,
Xavier Worthy,KC,WR,30,Yes,Yes,No,30,No,Yes,,14,5,4,0.8,0.1667,3,0.6,73,8,87,,0.3667,0.6333,17.4,1,104.2,2.4333,14.6,4.3945,,24.3333,2.6667,3,8.68,8.68,0.1667,7.3,10.3,8.8,10.3,10.3,10.3,8.8,10.3,10.3,10.3,8.8,10.3,10.3,1,,2,,0.6667,1,,,,2,0.6667,
Elic Ayomanor,TEN,WR,15,No,No,No,15,No,No,,16,6,5,0.8333,0.4,5,0.8333,71,8,79,,0.2667,0.7333,13.1667,1,155.6,4.7333,11.8333,3.1046,,14.2,1.6,4,11.9495,11.9495,0.4,13.1,18.1,15.6,18.1,18.1,18.1,15.6,18.1,18.1,18.1,15.6,18.1,18.1,1,1,2,,0.4,1,,1,,1,0.2,2
Andre Baccellia,ARZ,WR,2,No,Yes,No,2,No,Yes,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,13,No,No,No,11,No,No,0.7273,17,1,,,0.0909,,,,,8,,0.1818,,8,,39.6,,,-8.5126,,,,,1.3123,1.3123,0.0769,,,,,,,,,,,,,,,,,0.0909,,,,,,,,
Van Jefferson,TEN,WR,11,No,Yes,Yes,11,Yes,Yes,,16,2,,,0.1818,,,,,31,,0.0909,0.9091,15.5,1,39.6,,,-9.5902,,,,,3.2305,3.2305,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,23,Yes,Yes,Yes,20,Yes,Yes,0.95,17,2,2,1,0.1,2,1,15,9,11,,,0.05,5.5,,137.5,0.75,7.5,0.487,,7.5,4.5,2,4.0726,4.0726,0.087,7.5,9.5,8.5,10.5,9.5,9.5,8.5,9.5,9.5,9.5,8.5,9.5,9.5,,1,3,,1.5,,,1,1,,,1
Derrick Henry,BLT,RB,6,No,No,No,3,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Tonyan,KC,TE,1,Yes,Yes,Yes,1,Yes,Yes,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Garrett Wilson,NYJ,WR,9,No,Yes,No,9,No,Yes,,7,3,3,1,0.3333,2,0.6667,29,11,25,,0.6667,0.3333,8.3333,,97.9,3.2222,9.6667,2.3426,,14.5,5.5,1,4.6339,4.6339,0.3333,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,1,,,,,,,,,,,
Jeff Wilson,MIA,RB,1,Yes,Yes,No,1,Yes,Yes,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,2,No,Yes,No,2,Yes,Yes,,17,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,16,No,Yes,No,16,No,No,,13,1,1,1,0.0625,1,1,15,7,8,,0.1875,0.4375,8,,118.8,0.9375,15,7.2795,,15,7,1,1.6348,1.6348,0.0625,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,,,3,0.375,3,,,,,,,
Emanuel Wilson,GB,RB,7,Yes,Yes,No,5,Yes,Yes,0.6,17,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,27,No,Yes,No,27,No,Yes,,14,3,3,1,0.1111,2,0.6667,45,4,45,1,0.037,0.963,15,2,109.7,1.6667,15,5.6152,0.3333,22.5,2,1,7.0594,7.0594,0.1111,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,,,1,,0.5,,,,,1,0.5,
Dyami Brown,JAX,WR,8,No,No,No,8,No,No,,14,2,1,0.5,0.25,,,,,67,,0.375,0.625,33.5,2,39.6,,,-13.2337,,,,,7.7787,7.7787,0.25,,,,,,,,,,,,,,1,,,,,,,,,,,
Luther Burden,CHI,WR,11,Yes,Yes,Yes,11,No,No,,15,2,1,0.5,0.1818,1,0.5,27,,49,,0.4545,0.5455,24.5,2,95.8,2.4545,13.5,1.5813,,27,,1,2.7085,2.7085,0.1818,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,,,,,,,,,,,,
Cameron Latu,PHI,TE,2,No,Yes,No,1,No,No,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Blake Whiteheart,CLV,TE,2,No,Yes,No,1,No,No,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Braelon Allen,NYJ,RB,2,No,Yes,Yes,2,No,No,0.5,4,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,PIT,WR,4,No,No,No,4,No,No,,16,1,,,0.25,,,,,19,,0.75,0.25,19,,39.6,,,-11.9321,,,,,1.7945,1.7945,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,6,No,No,No,6,No,No,,17,2,1,0.5,0.3333,1,0.5,10,4,16,,0.5,,8,,64.6,1.6667,5,-2.4308,,10,4,1,2.8091,2.8091,0.3333,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,1,,1,0.5,1,,,,,,,
Jonnu Smith,PIT,TE,14,No,No,No,14,No,No,0.0714,17,2,,,0.1429,,,,,22,,0.0714,0.4286,11,,39.6,,,-9.0011,,,,,3.2987,3.2987,0.1429,,,,,,,,,,,,,,,,,0.4286,,,,,,,,
Harrison Bryant,HST,TE,5,Yes,Yes,No,3,No,No,,12,2,1,0.5,0.6667,1,0.5,5,,11,,,,5.5,,56.3,1.6667,2.5,-4.2865,,5,,1,3.1005,3.1005,0.4,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,1,,,,,,,,
Tylan Wallace,BLT,WR,5,No,No,No,5,No,No,,14,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,5,No,No,No,4,No,No,0.75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
Omarion Hampton,LAC,RB,11,No,Yes,No,7,No,Yes,0.8571,9,,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,BUF,WR,7,No,No,No,7,No,No,,12,1,1,1,0.1429,1,1,8,,8,,0.2857,0.7143,8,,100,1.1429,8,0.4894,,8,,1,2.8483,2.8483,0.1429,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,,,,,
Antonio Gibson,NE,RB,1,Yes,Yes,No,1,No,Yes,1,5,1,1,1,1,,,,,6,,,,6,,39.6,,,-7.7086,,,,,1.2347,1.2347,1,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Moore,WAS,WR,9,No,Yes,No,9,No,No,,14,2,2,1,0.2222,1,0.5,15,2,34,1,,1,17,1,75,1.6667,7.5,-2.5769,0.5,15,2,1,5.1282,5.1282,0.2222,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,1,,,,,,,,,,1
Tutu Atwell,LA,WR,1,No,No,No,1,No,No,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,1,Yes,Yes,No,1,No,Yes,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,8,Yes,Yes,Yes,8,No,No,,17,3,3,1,0.375,2,0.6667,48,10,41,,0.5,0.5,13.6667,,109.7,6,16,6.2286,,24,5,2,7.7393,7.7393,0.375,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,1,1,1,,0.5,,,,,,,1
George Kittle,SF,TE,8,No,Yes,No,6,No,Yes,,11,1,1,1,0.1667,,,,,14,,0.1667,0.1667,14,,39.6,,,-10.2817,,,,,1.9712,1.9712,0.125,,,,,,,,,,,,,,,,,0.6667,,,,,,,,
Zaire Mitchell-Paden,NO,TE,2,Yes,Yes,No,1,Yes,Yes,1,8,1,1,1,1,,,,,8,1,,,8,,39.6,,,-7.7205,1,,,,3.55,3.55,0.5,,,,,,,,,,,,,,1,1,,,,,,,,,,1
Dalton Schultz,HST,TE,22,Yes,Yes,No,20,No,No,,17,5,5,1,0.25,5,1,55,18,44,,0.5,0.05,8.8,,152.1,2.75,11,3.2836,,11,3.6,5,12.5064,12.5064,0.2273,11.5,16.5,14,16.5,19,16.5,14,16.5,16.5,16.5,14,19,16.5,,1,8,0.45,1.6,,,1,1,1,0.2,1
Keenan Allen,LAC,WR,32,No,No,No,32,No,No,,17,9,6,0.6667,0.2812,5,0.5556,76,3,162,1,0.375,0.625,18,4,123.1,2.375,8.4444,-1.5463,0.1111,15.2,0.6,5,27.0077,27.0077,0.2812,25.6,30.6,28.1,30.6,30.6,30.6,28.1,30.6,30.6,30.6,28.1,30.6,30.6,1,5,1,,0.2,1,1,3,3,1,0.2,6
Isaiah Likely,BLT,TE,13,No,No,No,13,No,No,,14,5,3,0.6,0.3846,3,0.6,45,6,55,,0.6923,0.1538,11,1,89.6,3.4615,9,0.8453,,15,2,2,10.0857,10.0857,0.3846,4.5,7.5,6,7.5,9,7.5,6,7.5,7.5,7.5,6,9,7.5,,1,-1,0.1538,-0.3333,,,,,1,0.3333,2
Isaiah Williams,NYJ,WR,2,No,No,No,2,No,No,,15,1,1,1,0.5,,,,,5,1,1,,5,,39.6,,,-6.3628,1,,,,1.4355,1.4355,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,
Michael Bandy,DEN,WR,1,Yes,Yes,No,1,No,Yes,,4,1,1,1,1,1,1,20,13,7,,,1,7,,158.3,20,20,12.9355,,20,13,1,1.296,1.296,1,8,9,8.5,9,9,9,8.5,9,9,9,8.5,9,9,,,,,,,,1,,,,1
Treylon Burks,WAS,WR,7,No,Yes,No,7,No,No,,8,2,2,1,0.2857,1,0.5,14,-2,40,,0.1429,0.8571,20,1,72.9,2,7,-3.924,,14,-2,1,4.0231,4.0231,0.2857,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,,,,,,,,,,,
James Cook,BUF,RB,9,No,No,No,7,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,1.5281,1.5281,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Vokolek,ARZ,TE,1,No,Yes,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Noah Fant,CIN,TE,3,No,Yes,No,3,No,No,,15,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,
CeeDee Lamb,DAL,WR,8,No,Yes,No,8,Yes,Yes,,14,2,1,0.5,0.25,1,0.5,18,4,21,,0.375,0.625,10.5,,81.3,2.25,9,0.5611,,18,4,1,10.1536,10.1536,0.25,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,,3,,3,,1,,,,,
Ray Davis,BUF,RB,4,No,No,No,4,No,No,1,17,2,1,0.5,0.5,1,0.5,14,7,14,,,,7,,72.9,3.5,7,-0.3641,,14,7,1,2.8937,2.8937,0.5,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,3,,3,,,,,1,1,
Tony Pollard,TEN,RB,13,No,No,No,7,No,No,0.8571,17,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,39,No,Yes,No,39,No,Yes,,16,19,9,0.4737,0.4872,7,0.3684,61,13,283,,0.7179,0.2821,14.8947,5,81.3,1.5641,3.2105,-6.0278,,8.7143,1.8571,5,44.5559,44.5559,0.4872,18.1,25.1,21.6,25.1,25.1,25.1,21.6,25.1,25.1,25.1,21.6,25.1,25.1,2,7,3,,0.4286,,,2,2,2,0.2857,6
JuJu Smith-Schuster,KC,WR,21,Yes,Yes,Yes,21,Yes,Yes,,17,7,7,1,0.3333,7,1,95,32,63,,0.4762,0.5238,9,,118.8,4.5238,13.5714,5.8648,,13.5714,4.5714,5,12.9155,12.9155,0.3333,9.5,16.5,13,16.5,16.5,16.5,13,16.5,16.5,16.5,13,16.5,16.5,1,,9,,1.2857,1,,,,,,
Romeo Doubs,GB,WR,16,Yes,Yes,No,16,No,Yes,,16,5,1,0.2,0.3125,1,0.2,13,3,109,,0.3125,0.6875,21.8,2,,0.8125,2.6,-7.8545,,13,3,,10.8024,10.8024,0.3125,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,1,2,,2,,,,,1,1,2
Austin Trammell,JAX,WR,2,No,Yes,Yes,2,No,Yes,,6,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,1,No,Yes,No,1,Yes,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,3.0723,3.0723,,,,,,,,,,,,,,,,,,1,,,,,,,,
Tyler Johnson,NYJ,WR,6,No,No,No,6,No,No,,12,2,2,1,0.3333,2,1,44,10,34,,0.6667,0.3333,17,,118.8,7.3333,22,11.5029,,22,5,2,2.8994,2.8994,0.3333,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,1,,8,,4,1,,,,1,0.5,
Chig Okonkwo,TEN,TE,14,No,No,No,13,No,No,,17,,,,,,,,,,,0.3077,0.0769,,,,,,,,,,,1.3923,1.3923,,,,,,,,,,,,,,,,,,0.6154,,,,,,,,
Ke'Shawn Williams,CIN,WR,1,No,Yes,No,1,No,No,,11,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Miller,TB,WR,1,No,Yes,Yes,1,Yes,Yes,,13,1,,,1,,,,,15,,,1,15,,39.6,,,-10.4097,,,,,1.7196,1.7196,1,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,1,No,Yes,No,1,Yes,Yes,,11,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,BUF,WR,16,No,Yes,No,16,Yes,Yes,,15,2,,,0.125,,,,,49,,0.4375,0.5625,24.5,1,39.6,,,-11.7481,,,,,3.099,3.099,0.125,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,17,No,Yes,No,17,Yes,Yes,,15,6,5,0.8333,0.3529,4,0.6667,72,10,96,,0.0588,0.9412,16,2,107.6,4.2353,12,2.3625,,18,2.5,3,12.5866,12.5866,0.3529,13.2,17.2,15.2,17.2,17.2,17.2,15.2,17.2,17.2,17.2,15.2,17.2,17.2,2,,18,,4.5,1,,1,,,,
Luke McCaffrey,WAS,WR,6,No,Yes,Yes,6,No,Yes,,9,2,2,1,0.3333,2,1,36,2,34,,0.6667,0.3333,17,,118.8,6,18,6.3347,,18,1,2,4.2366,4.2366,0.3333,3.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,,,,,,,1,,,,,
Terrance Ferguson,LA,TE,5,No,Yes,No,5,Yes,Yes,,13,1,1,1,0.2,,,,,16,,0.6,,16,,39.6,,,-10.191,,,,,1.9113,1.9113,0.2,,,,,,,,,,,,,,1,,,0.4,,,,,,,,
David Njoku,CLV,TE,11,No,Yes,No,10,No,No,,12,4,,,0.4,,,,,56,,0.5,0.1,14,2,,,,-8.6731,,,,,6.6724,6.6724,0.3636,,,,,,,,,,,,,,,,,0.4,,,,,,,,
Brock Bowers,LV,TE,14,No,Yes,No,12,No,Yes,,12,4,3,0.75,0.3333,2,0.5,17,3,24,,0.4167,0.0833,6,,61.5,1.4167,4.25,-2.6192,,8.5,1.5,1,10.2002,10.2002,0.2857,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,2,1,3,0.5,1.5,1,,,,,,4
Jalin Hyatt,NYG,WR,4,No,Yes,Yes,4,No,No,,8,1,,,0.25,,,,,31,,0.25,0.75,31,1,,,,-12.5972,,,,,1.3057,1.3057,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,16,No,Yes,No,16,Yes,Yes,,15,6,4,0.6667,0.375,3,0.5,28,13,53,,0.25,0.75,8.8333,1,102.8,1.75,4.6667,-2.9574,,9.3333,4.3333,2,10.2543,10.2543,0.375,8.8,11.8,10.3,11.8,11.8,11.8,10.3,11.8,11.8,11.8,10.3,11.8,11.8,,1,2,,0.6667,,,1,1,,,1
Johnny Mundt,JAX,TE,9,No,No,No,8,No,No,,16,2,1,0.5,0.25,1,0.5,14,8,22,,0.125,0.125,11,,72.9,1.75,7,-1.642,,14,8,1,3.2538,3.2538,0.2222,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,1,0.75,1,,,,,,,
Durham Smythe,CHI,TE,8,Yes,Yes,Yes,6,No,No,,17,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,,,,,,,,
Greg Dulcich,MIA,TE,4,Yes,Yes,No,4,Yes,Yes,,10,1,1,1,0.25,1,1,7,-1,8,,,,8,,95.8,1.75,7,-0.7205,,7,-1,,1.9371,1.9371,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,1,,,1,,1,,,,,,
Rashid Shaheed,SEA,WR,21,No,Yes,No,21,No,Yes,,18,6,3,0.5,0.2857,3,0.5,36,4,108,,0.4286,0.5714,18,1,29.2,1.7143,6,-4.3588,,12,1.3333,2,10.1385,10.1385,0.2857,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,,,,,,,,,,,,
Gunnar Helm,TEN,TE,10,No,Yes,Yes,9,Yes,Yes,,16,2,2,1,0.2222,2,1,22,7,15,,0.2222,0.1111,7.5,,112.5,2.4444,11,2.8325,,11,3.5,1,2.5039,2.5039,0.2,2.2,4.2,3.2,4.2,5.2,4.2,3.2,4.2,4.2,4.2,3.2,5.2,4.2,1,,1,0.6667,0.5,1,,,,,,
Justin Jefferson,MIN,WR,21,Yes,Yes,No,21,Yes,Yes,,17,9,4,0.4444,0.4286,3,0.3333,63,10,119,1,0.381,0.619,13.2222,1,59,3,7,-2.1004,0.1111,21,3.3333,3,15.2752,15.2752,0.4286,6.3,9.3,7.8,9.3,9.3,9.3,7.8,9.3,9.3,9.3,7.8,9.3,9.3,,1,1,,0.3333,,,,,,,1
Brenton Strange,JAX,TE,8,No,No,No,7,No,No,,12,1,1,1,0.1429,1,1,24,-1,25,,0.7143,,25,1,118.8,3.4286,24,14.4444,,24,-1,1,3.4878,3.4878,0.125,2.4,3.4,2.9,3.4,3.9,3.4,2.9,3.4,3.4,3.4,2.9,3.9,3.4,1,,-1,0.2857,-1,1,,,,,,
Kaleb Johnson,PIT,RB,1,No,Yes,No,1,No,Yes,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,8,Yes,Yes,No,5,Yes,Yes,1,14,1,,,0.2,,,,,16,,,,16,,39.6,,,-10.6667,,,,,2.1536,2.1536,0.125,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,2,No,Yes,Yes,2,No,Yes,,8,1,1,1,0.5,1,1,21,5,16,,,1,16,,158.3,10.5,21,10.9048,,21,5,1,1.4774,1.4774,0.5,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,,,,,,,,1,,2,2,
Travis Kelce,KC,TE,38,Yes,Yes,Yes,37,Yes,Yes,,17,6,5,0.8333,0.1622,4,0.6667,43,7,101,,0.3784,0.2973,16.8333,2,87.5,1.1622,7.1667,-1.6082,,10.75,1.75,3,9.9568,9.9568,0.1579,4.3,8.3,6.3,8.3,10.3,8.3,6.3,8.3,8.3,8.3,6.3,10.3,8.3,,,1,0.3243,0.25,,,,,,,
Tyreek Hill,MIA,WR,6,No,Yes,Yes,6,No,No,,4,3,3,1,0.5,2,0.6667,30,9,49,,0.1667,0.8333,16.3333,1,99.3,5,10,0.858,,15,4.5,2,6.4383,6.4383,0.5,3,5,4,5,5,5,4,5,5,5,4,5,5,,,,,,,,,,,,
Cole Kmet,CHI,TE,21,Yes,Yes,Yes,19,No,No,0.1053,16,4,2,0.5,0.2105,1,0.25,26,2,79,1,0.2632,0.2632,19.75,2,54.2,1.3684,6.5,-5.4254,0.25,26,2,1,9.3203,9.3203,0.1905,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,2,1,,0.3684,,1,,,,,,1
Demarcus Robinson,SF,WR,8,No,Yes,No,8,No,Yes,,14,4,1,0.25,0.5,1,0.25,30,2,79,,0.25,0.75,19.75,2,58.3,3.75,7.5,-1.4993,,30,2,1,6.3173,6.3173,0.5,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,,,,,,,,,,,,
Savion Williams,GB,WR,2,No,Yes,Yes,2,No,Yes,,12,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,20,No,No,No,16,No,No,0.9375,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,
RJ Harvey,DEN,RB,18,No,No,No,12,No,No,1,17,2,1,0.5,0.1667,1,0.5,9,7,5,,,,2.5,,62.5,0.75,4.5,-1.952,,9,7,,4.283,4.283,0.1111,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,2,,2,,,,,,,
Mason Tipton,NO,WR,4,Yes,No,No,4,No,No,,13,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,4,No,Yes,No,4,No,No,,17,1,1,1,0.25,1,1,12,,12,,0.25,,12,,116.7,3,12,3.3339,,12,,1,1.542,1.542,0.25,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,0.75,,,,,,,,
Konata Mumpfield,LA,WR,4,No,No,No,4,No,No,,17,1,1,1,0.25,,,,,18,1,,1,18,,39.6,,,-10.8991,1,,,,1.9527,1.9527,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Derius Davis,LAC,WR,3,No,No,No,3,No,No,0.3333,11,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,No,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,21,No,Yes,No,21,No,Yes,,16,9,6,0.6667,0.4286,3,0.3333,92,37,129,1,0.8095,0.1905,14.3333,2,109.5,4.381,10.2222,0.9993,0.1111,30.6667,12.3333,3,17.0098,17.0098,0.4286,15.2,18.2,16.7,18.2,18.2,18.2,16.7,18.2,18.2,18.2,16.7,18.2,18.2,2,1,28,,9.3333,,,1,,1,0.3333,3
Roman Wilson,PIT,WR,7,No,Yes,Yes,7,No,No,,13,2,1,0.5,0.2857,1,0.5,45,1,72,,0.2857,0.7143,36,2,95.8,6.4286,22.5,9.4615,,45,1,1,4.2718,4.2718,0.2857,4.5,5.5,5,5.5,5.5,5.5,5,5.5,5.5,5.5,5,5.5,5.5,,,,,,,,,,,,
Trey Benson,ARZ,RB,3,No,Yes,Yes,3,Yes,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,4,No,Yes,No,4,No,No,,16,3,3,1,0.75,2,0.6667,8,2,30,,0.25,,10,,109.7,2,2.6667,-6.2637,,4,1,1,8.3143,8.3143,0.75,6.8,8.8,7.8,8.8,9.8,8.8,7.8,8.8,8.8,8.8,7.8,9.8,8.8,,2,2,0.75,1,,,1,1,1,0.5,2
