Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
Jalen Nailor,MIN,WR,19,Yes,Yes,No,19,Yes,Yes,,17,3,1,0.3333,0.1579,1,0.3333,28,,64,,0.5263,0.4737,21.3333,2,68.8,1.4737,9.3333,-0.7363,,28,,1,6.0837,6.0837,0.1579,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,1,,,,,1,1,,,,,
KaVontae Turpin,DAL,WR,8,No,Yes,No,8,Yes,Yes,,15,1,1,1,0.125,1,1,48,35,13,,0.625,0.375,13,,118.8,6,48,39.0855,,48,35,1,1.3537,1.3537,0.125,4.8,5.8,5.3,5.8,5.8,5.8,5.3,5.8,5.8,5.8,5.3,5.8,5.8,,,,,,,,,,1,1,
Tyler Badie,DEN,RB,11,No,No,No,9,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,4,No,No,No,4,No,No,,6,1,,,0.25,,,,,21,,0.5,0.5,21,1,39.6,,,-11.2393,,,,,1.3651,1.3651,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,3,No,No,No,3,No,No,0.3333,15,,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,1,No,Yes,No,1,No,Yes,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,11,No,No,No,11,No,No,0.5455,17,2,2,1,0.1818,1,0.5,4,,20,,0.1818,0.1818,10,,56.3,0.3636,2,-6.6643,,4,,,4.1406,4.1406,0.1818,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,2,1,,0.0909,,1,,,,,,1
Mack Hollins,NE,WR,5,No,Yes,Yes,4,Yes,Yes,,15,1,,,0.25,,,,,8,,0.25,0.75,8,,,,,-7.5106,,,,,3.6128,3.6128,0.2,,,,,,,,,,,,,,,1,,,,,,,,,,1
Juwan Johnson,NO,TE,20,No,No,No,20,No,No,0.05,17,1,1,1,0.05,1,1,52,32,20,,0.6,0.15,20,1,118.8,2.6,52,40.2377,,52,32,1,2.1385,2.1385,0.05,5.2,6.2,5.7,6.2,6.7,6.2,5.7,6.2,6.2,6.2,5.7,6.7,6.2,,,11,0.2,11,,,,,1,1,
David Montgomery,DET,RB,2,Yes,Yes,Yes,1,No,No,1,17,1,,,1,,,,,11,,,,11,,39.6,,,-7.2558,,,,,1.3525,1.3525,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Dareke Young,SEA,WR,1,No,Yes,No,1,No,Yes,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
