Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Jaylin Noel,HST,WR,23,Yes,Yes,Yes,23,4,Yes,Yes,2,0.5,0.1739,2,0.5,33,6,5,47,,0.7826,11.75,78.1,1.4348,8.25,-0.0454,16.5,3,2.5,1,10.2395,10.2395,0.1739,3.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,17,2,,2,,,0.2174,1,2,,,,,,
Stefon Diggs,NE,WR,51,No,No,No,51,18,No,Yes,16,0.8889,0.3529,16,0.8889,220,44,12,217,0.0196,0.6863,12.0556,136.1,4.3137,12.2222,3.7275,13.75,2.75,0.75,11,33.459,33.459,0.3529,28,44,36,44,44,47,39,44,44,44,36,44,44,17,3,,3,1,,0.2941,4,2,4,0.25,,,,1
Ashton Jeanty,LV,RB,47,Yes,No,No,38,10,No,Yes,10,1,0.2632,9,0.9,30,43,25,-11,0.9474,0.0263,-1.1,72.9,0.7895,3,-2.8348,3.3333,4.7778,2.7778,2,16.8393,16.8393,0.2128,9,18,13.5,22.5,18,18,13.5,18,18,18,13.5,18,18,17,,,,1,,0.0263,,4,2,0.2222,,1,0.1,
Kyle Monangai,CHI,RB,42,Yes,No,No,29,2,No,Yes,2,1,0.069,2,1,15,12,2,3,0.7931,,1.5,97.9,0.5172,7.5,0.7845,7.5,6,1,1,4.4707,4.4707,0.0476,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,17,,,,,,0.1034,,1,1,0.5,0.1034,,,
Ben Sinnott,WAS,TE,16,No,Yes,No,14,2,No,Yes,2,1,0.1429,2,1,29,11,1,18,0.0714,0.2143,9,118.8,2.0714,14.5,6.2195,14.5,5.5,0.5,1,2.9646,2.9646,0.125,2.9,4.9,3.9,4.9,5.9,4.9,3.9,4.9,4.9,4.9,3.9,5.9,4.9,16,1,,1,,,0.1429,,,,,0.5714,,,
Austin Ekeler,WAS,RB,10,No,Yes,No,9,2,No,Yes,1,0.5,0.2222,1,0.5,15,23,5,14,0.7778,0.2222,7,75,1.6667,7.5,-0.7358,15,23,5,1,3.4211,3.4211,0.2,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2,,,,,,,1,,2,2,,,,
Devontez Walker,BLT,WR,7,Yes,No,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,
Daniel Bellinger,NYG,TE,37,No,Yes,Yes,31,9,No,Yes,7,0.7778,0.2903,7,0.7778,107,49,8,79,0.1935,0.5161,8.7778,153.2,3.4516,11.8889,5.0806,15.2857,7,1.1429,5,14.1785,14.1785,0.2432,16.7,23.7,20.2,23.7,27.2,26.7,23.2,23.7,23.7,23.7,20.2,27.2,23.7,16,,,,1,,0.129,1,1,,,0.1613,,,
Dylan Drummond,ATL,WR,15,No,Yes,No,15,7,No,No,7,1,0.4667,4,0.5714,27,8,5,69,,0.1333,9.8571,65.8,1.8,3.8571,-3.4553,6.75,2,1.25,1,11.3638,11.3638,0.4667,2.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,9,4,1,1,,,0.8667,1,1,,,,,,
Drew Sample,CIN,TE,27,No,No,No,23,2,No,Yes,2,1,0.087,2,1,24,22,7,2,0.1304,0.2174,1,116.7,1.0435,12,6.5411,12,11,3.5,1,2.8079,2.8079,0.0741,2.4,4.4,3.4,4.4,5.4,4.4,3.4,4.4,4.4,4.4,3.4,5.4,4.4,17,,,,,,,,,,,0.6522,,,
