Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,TowThrowPercentage,IncompletionsSpiked
Anthony Richardson,IND,QB,2,2,2,0.5,1,0.5,0.5,-0.1051,2,,9,4.5,0.7778,4.5,38,,,,,,No,No,,,0.4916,-0.2458,No,0.5,,1,0.5,,0.5,0.5,0.5,2,,,19,62.5,No,No,1,1.26,2.26,1.76,2.26,2.26,2.26,1.76,2.26,2.26,2.26,1.76,2.35,2.35,2,,,,,,,,
Russell Wilson,NYG,QB,109,109,100,0.72,63,0.63,0.764,0.0433,109,2,746,7.46,0.4276,5.5688,877,9,2,0.2571,-64,0.0826,No,Yes,35,0.3211,31.2213,0.0347,Yes,0.0367,0.15,16,0.16,0.07,0.66,0.13,0.51,2.385,2.8556,2.4743,9.5326,83.2,No,No,29,38.84,38.84,38.84,38.84,38.84,41.84,41.84,35.84,35.84,35.84,35.84,46.3,43.3,6,17,0.05,3,7,6,3,0.04,
Joe Flacco,CIN,QB,397,397,382,0.7801,244,0.6387,0.7627,0.0103,397,3,2394,6.267,0.477,5.7355,2525,15,2,0.1304,-102,0.0378,No,No,115,0.2897,120.2019,-0.0131,No,0.0327,0.1283,32,0.0838,0.0366,0.6806,0.123,0.6335,2.3974,2.9533,2.4817,7.0083,86.9,No,No,111,145.76,145.76,145.76,145.76,145.76,148.76,145.76,135.76,135.76,135.76,135.76,169.7,159.7,13,229,0.0681,7,15,15,15,0.0314,4
Jacoby Brissett,ARZ,QB,471,471,436,0.7661,295,0.6766,0.753,0.0111,471,2,3179,7.2913,0.4649,6.3758,3279,35,13,0.2303,-261,0.0743,No,Yes,152,0.3227,143.9415,0.0171,No,0.0106,0.1697,45,0.1032,0.0321,0.6743,0.1261,0.5963,2.4885,3.4229,2.5066,7.8489,97.4,No,No,155,196.16,196.16,196.16,196.16,196.16,199.16,195.16,185.16,185.16,185.16,185.16,227.95,216.95,14,134,0.0367,7,36,16,20,0.0161,1
Kyle Allen,DET,QB,1,1,1,1,,,1,0.3636,1,,,,,,11,,,,,,No,No,,,0.1941,-0.1941,No,,,,,,1,,1,1.7,,,11,39.6,No,Yes,,,,,,,,,,,,,,,3,11,1,,,,,,
C.J. Stroud,HST,QB,358,358,342,0.7105,223,0.652,0.7129,-0.0202,358,7,2512,7.345,0.4614,6.4246,2588,16,2,0.1468,-132,0.0447,No,No,109,0.3045,107.6832,0.0037,No,0.0223,0.2135,39,0.114,0.0409,0.7193,0.0789,0.5556,2.3988,2.7625,2.4037,8.125,90.9,No,Yes,108,148.48,148.48,148.48,148.48,148.48,151.48,151.48,140.48,140.48,140.48,140.48,173.6,165.6,14,10,0.0088,8,15,13,14,0.0351,3
Daniel Jones,IND,QB,352,352,337,0.7685,225,0.6677,0.7484,0.0281,352,7,2732,8.1068,0.4041,7.3523,2968,15,1,0.1415,-129,0.0426,No,No,106,0.3011,106.286,-0.0008,Yes,0.0483,0.1721,36,0.1068,0.0445,0.7864,0.0742,0.5757,2.4024,2.68,2.3113,9.2461,97.7,No,Yes,128,160.28,160.28,160.28,160.28,160.28,163.28,161.28,151.28,151.28,151.28,151.28,187.6,178.6,13,81,0.0386,7,15,7,15,0.0326,2
Jared Goff,DET,QB,558,556,524,0.7767,364,0.6947,0.8174,0.0677,556,16,4301,8.208,0.5329,7.8795,3558,32,1,0.2,-220,0.0576,Yes,Yes,160,0.2878,163.3768,-0.0061,Yes,0.0144,0.1355,37,0.0706,0.0401,0.7023,0.0573,0.6489,2.3819,2.9,2.4481,7.4495,108.8,No,Yes,211,293.04,293.04,293.04,293.04,293.04,296.04,293.04,282.04,282.04,282.04,282.04,336.05,325.05,17,254,0.0573,8,23,21,33,0.0153,2
Kyler Murray,ARZ,QB,150,150,140,0.7786,99,0.7071,0.8015,0.0302,150,6,842,6.0143,0.5689,4.9933,807,10,1,0.2703,-83,0.0667,No,No,37,0.2467,41.8813,-0.0325,No,0.02,0.1286,11,0.0786,0.0214,0.6929,0.1143,0.6071,2.3093,3.18,2.4405,6.1603,89.6,No,Yes,45,47.68,47.68,47.68,47.68,47.68,50.68,50.68,45.68,45.68,45.68,45.68,56.1,54.1,5,54,0.0429,2,5,3,4,0.0143,
Cam Ward,TEN,QB,484,484,440,0.7227,274,0.6227,0.7311,-0.0176,484,9,2575,5.8523,0.5379,4.4917,2987,44,10,0.3385,-336,0.0909,Yes,No,130,0.2686,137.5159,-0.0155,No,0.0599,0.2,42,0.0955,0.0295,0.6841,0.1045,0.5455,2.3857,3.3182,2.5231,7.2324,79.7,No,Yes,118,123,123,123,123,123,126,119,111,111,111,111,148.75,136.75,17,177,0.0568,5,13,16,8,0.0295,3
Tanner McKee,PHI,QB,35,35,33,0.7576,23,0.697,0.7812,0.0589,35,,262,7.9394,0.4313,6.3714,266,2,1,0.4,-14,0.0571,No,Yes,5,0.1429,9.3879,-0.1254,No,,0.2121,3,0.0909,,0.7576,0.1212,0.697,2.2242,2.6,2.26,8.3125,90.7,No,No,15,13.48,13.48,13.48,13.48,13.48,13.48,13.48,12.48,12.48,12.48,12.48,16.1,15.1,4,6,0.0606,1,1,1,1,0.0303,
