Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadCheckdownPercentage,AttemptsInEndzoneTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,ScramblesTotal,ScramblesYards,AverageTimeToScramble,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,TowThrowPercentage,InterceptionsTotal,IncompletionsBatted,SackedFaultTotal,ScramblesTouchdowns
Kyler Murray,ARZ,QB,3,3,2,1,2,1,1,0.1365,3,,9,4.5,0.7778,-0.6667,2,,1,1,-11,0.3333,No,No,1,0.3333,0.6124,0.1292,No,1,0.5,2.35,3,2.4,1,85.4,No,No,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,5,,,,,,,,,,,,,,,,,
Jared Goff,DET,QB,8,8,8,0.5,4,0.5,0.6667,-0.1353,8,2,43,5.375,0.7442,5.375,26,,,,,,Yes,Yes,4,0.5,3.2774,0.0903,No,0.625,0.375,2.95,,3.45,4.3333,66.1,No,No,2,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,2.15,2.15,17,,,,,,,,,,,0.25,,,,,,
Cam Ward,TEN,QB,12,12,11,0.9091,9,0.8182,1,0.2871,12,1,150,13.6364,0.5067,11.5,93,,1,0.3333,-12,0.0833,No,No,3,0.25,4.8945,-0.1579,No,0.9091,0.5455,3.1545,3.5,3.2,9.3,118.8,No,No,8,6,6,6,6,6,6,6,6,6,6,6,7.5,7.5,17,,,1,0.0909,,,,,19,0.0909,,,,,,,
Jake Browning,CIN,QB,2,2,2,1,2,1,1,0.3434,2,,24,12,,12,24,,,,,,No,No,,,0.8711,-0.4355,No,0.5,0.5,3.1,,,12,116.7,No,No,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,5,0.5,,1,0.5,,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,37,37,1,0.7429,23,0.6571,0.8929,0.107,37,6,267,7.6286,0.6929,7.1111,148,,1,0.1,-11,0.027,Yes,Yes,10,0.2703,15.5892,-0.1511,No,0.5714,0.5143,3.1571,2.6,2.91,5.2857,88.6,No,No,13,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,13.45,13.45,14,0.0286,,2,0.0571,0.0286,1,1,4.5,13,0.0571,0.0571,0.1081,0.0286,,1,1,
Caleb Williams,CHI,QB,15,14,2,0.5833,7,0.5833,0.7778,0.1136,14,3,105,8.75,0.4476,8.3333,121,2,,,,,No,No,5,0.3571,5.7441,-0.0532,No,0.5833,0.5,3.35,,3.24,12.1,92,No,No,6,12.1,12.1,12.1,12.1,12.1,12.1,12.1,11.1,11.1,11.1,11.1,13.15,12.15,17,,3,3,0.25,0.0833,2,9,5.2,,,0.1667,,0.0833,1,,,
Brock Purdy,SF,QB,11,11,1,1,9,0.9,1,0.2078,11,,96,9.6,0.6458,13.6,45,2,,,,,No,No,5,0.4545,5.8735,-0.0794,No,0.6,0.9,3.98,,3.1,4.5,146.3,No,No,7,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,19.8,19.8,9,,2,,,0.1,1,10,4.9,2,0.1,,,,,,,1
Justin Fields,NYJ,QB,7,7,2,0.4,2,0.4,0.6667,-0.1935,7,1,18,3.6,0.7222,3.6,6,,,,,,No,No,6,0.8571,2.3502,0.5214,Yes,0.6,0.2,3.3,,3.0333,2,50.4,No,Yes,1,0.72,0.72,0.72,0.72,0.72,0.72,-0.28,-0.28,-0.28,-0.28,-0.28,0.9,-0.1,9,,,,,,2,10,5.1,,,0.2,,,,1,,
Dillon Gabriel,CLV,QB,13,13,1,0.6667,7,0.5833,0.6667,-0.0877,13,,74,6.1667,0.5676,2.4167,101,,,,,,No,No,4,0.3077,5.1403,-0.0877,No,0.75,0.5833,3.0583,,3.35,8.4167,41.7,No,No,4,2.26,2.26,2.26,2.26,2.26,2.26,2.26,1.26,1.26,1.26,1.26,3,2,10,0.0833,,1,0.0833,,1,3,5.3,13,0.0833,0.3333,,0.0833,1,,,
Drake Maye,NE,QB,6,6,1,1,5,1,1,0.191,6,,79,15.8,0.7089,19.8,23,1,,,,,No,No,2,0.3333,2.3157,-0.0526,No,1,0.8,3.26,,3.9,4.6,158.3,No,No,4,13.66,13.66,13.66,13.66,13.66,13.66,13.66,13.66,13.66,13.66,13.66,14.45,14.45,17,,,,,,1,5,4.4,,,,,,,,,1
