teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Closed,Cover 1,17,174,151,0.7947019867549668,8,111,0.7350993377483444,0.8125,0.07484327945833336,6,1,81,0.039735099337748346,1258,8.331125827814569,0.5548489666136724,8.50920245398773,1132,12,1,12,2,7,-66,0.06896551724137931,Yes,Yes,62,0.3563218390804598,-0.014715804597701186,No,0.09195402298850575,0.15894039735099338,23,0.152317880794702,0.026490066225165563,0.059602649006622516,0.695364238410596,0.09933774834437085,0.6423841059602649,3.0536423841059603,4.316666666666666,5.854545454545455,3.1693548387096775,7.861111111111111,121.8,No,No,61,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Red Zone,17,144,122,0.7459016393442623,7,83,0.680327868852459,0.8108108108108109,0.028893857513513588,7,4,23,0.05737704918032787,919,7.532786885245901,0.6147986942328618,6.518796992481203,611,5,2,11,4,9,-62,0.0763888888888889,Yes,Yes,68,0.4722222222222222,0.13699583333333334,Yes,0.09722222222222222,0.16393442622950818,7,0.05737704918032787,0.02459016393442623,0.00819672131147541,0.5983606557377049,0.13934426229508196,0.5409836065573771,2.8688524590163933,4.472727272727273,5.2272727272727275,2.585294117647059,5.504504504504505,97,No,No,39,True
9,Dallas,Cowboys,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,197,172,0.7325581395348837,10,115,0.6686046511627907,0.7806451612903226,0.04349976362580643,12,5,44,0.03488372093023256,1495,8.69186046511628,0.568561872909699,8.227027027027027,1255,10,2,13,3,3,-83,0.06598984771573604,Yes,No,85,0.43147208121827413,0.09103629441624367,No,0.116751269035533,0.16279069767441862,17,0.09883720930232558,0.01744186046511628,0.03488372093023256,0.6511627906976745,0.09302325581395349,0.5872093023255814,2.8354651162790696,3.6846153846153844,5.175,2.7941176470588234,8.096774193548388,108.6,No,Yes,69,
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Closed,Cover 1,17,152,132,0.8181818181818182,6,94,0.7121212121212122,0.8125,0.06791611354687499,3,1,78,0.07575757575757576,1125,8.522727272727273,0.5084444444444445,8.556338028169014,1014,7,,10,4,7,-50,0.06578947368421052,Yes,Yes,54,0.35526315789473684,0.010047039473684204,Yes,0.13157894736842105,0.14393939393939395,19,0.14393939393939395,0.007575757575757576,0.03787878787878788,0.6666666666666666,0.12121212121212122,0.6590909090909091,2.879545454545455,4.45,5.17,2.8222222222222224,7.921875,114.6,No,No,50,True
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Closed,Cover 1,17,157,134,0.7611940298507462,8,88,0.6567164179104478,0.8016528925619835,0.06284785493388434,11,2,21,0.06716417910447761,1082,8.074626865671641,0.5304990757855823,7.033783783783784,1026,9,3,14,6,13,-86,0.08917197452229299,Yes,Yes,60,0.3821656050955414,0.005697770700636958,No,0.06369426751592357,0.1417910447761194,16,0.11940298507462686,0.04477611940298507,0.029850746268656716,0.6343283582089553,0.11940298507462686,0.5447761194029851,3.132089552238806,3.6357142857142857,5.1,2.765,8.479338842975206,103.5,No,No,46,True
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 0,17,193,178,0.7247191011235955,9,113,0.6348314606741573,0.7407407407407407,0.007155570796296251,13,2,23,0.03932584269662921,1483,8.331460674157304,0.5987862440997977,8.292553191489361,1385,11,2,10,3,7,-54,0.05181347150259067,Yes,Yes,67,0.3471502590673575,0.011859326424870448,Yes,0.13471502590673576,0.17415730337078653,24,0.1348314606741573,0.03932584269662921,0.02247191011235955,0.7134831460674157,0.09550561797752809,0.5056179775280899,2.682584269662921,3.8600000000000003,5.34,2.770149253731343,8.50920245398773,105.6,No,No,77,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,197,175,0.8,15,113,0.6457142857142857,0.7804878048780488,0.025689221780487825,9,1,184,0.08571428571428572,1446,8.262857142857143,0.6832641770401107,8.102150537634408,1144,11,2,11,2,15,-69,0.05583756345177665,Yes,Yes,69,0.350253807106599,-0.03175253807106601,No,0.116751269035533,0.13714285714285715,11,0.06285714285714286,0.02857142857142857,0.011428571428571429,0.6228571428571429,0.14285714285714285,0.5942857142857143,3.068,3.4909090909090907,5.154545454545455,3.027536231884058,6.933333333333334,106.5,No,No,75,True
8,Cleveland,Browns,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,147,127,0.7322834645669292,12,85,0.6692913385826772,0.8053097345132744,0.06594542507964607,12,1,25,0.047244094488188976,901,7.094488188976378,0.5516093229744728,6.3546099290780145,915,11,3,14,2,5,-90,0.09523809523809523,Yes,Yes,68,0.46258503401360546,0.12314047619047619,No,0.10204081632653061,0.14960629921259844,15,0.11811023622047244,0.031496062992125984,0.03937007874015748,0.7086614173228346,0.07086614173228346,0.5354330708661418,2.852755905511811,3.3214285714285716,6.433333333333334,2.6852941176470586,8.026315789473685,106.4,No,No,49,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 0,17,178,152,0.7236842105263158,9,94,0.618421052631579,0.7463768115942029,0.0032302595289854796,9,4,27,0.05921052631578947,1273,8.375,0.48153967007069914,8.40625,1086,9,2,8,1,11,-18,0.0449438202247191,Yes,Yes,75,0.42134831460674155,0.1001019662921348,Yes,0.10112359550561797,0.17763157894736842,15,0.09868421052631579,0.019736842105263157,0.05263157894736842,0.631578947368421,0.07236842105263158,0.5592105263157895,2.755921052631579,4.9875,5.338888888888889,2.7653333333333334,7.81294964028777,102.8,No,No,55,True
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Closed,Cover 1,17,166,155,0.8580645161290322,5,117,0.7548387096774194,0.8611111111111112,0.07704456497916667,10,,87,0.04516129032258064,1348,8.696774193548388,0.6817507418397626,8.80379746835443,827,3,,3,2,11,-17,0.018072289156626505,Yes,Yes,47,0.28313253012048195,-0.0866656626506024,Yes,0.15060240963855423,0.05806451612903226,16,0.1032258064516129,0.012903225806451613,0.05806451612903226,0.6258064516129033,0.0967741935483871,0.6709677419354839,2.870967741935484,3.6666666666666665,4.85,3.0638297872340425,5.703448275862069,107.7,No,No,52,
