Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,DeepTargetTargetsTotal
Isaiah Bond,CLV,WR,16,No,No,No,16,No,Yes,0.5,16,1,1,1,0.0625,1,1,6,12,2,-6,,1,1,1,-6,91.7,0.375,6,2.2581,6,12,2,1.1529,1.1529,0.0625,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,0.5,1,1,,,,,,,,,
Rome Odunze,CHI,WR,11,No,No,No,10,No,No,0.8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Brenden Bates,CLV,TE,3,No,No,No,1,No,Yes,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,5,No,No,No,3,No,Yes,,17,2,2,1,0.6667,2,1,4,15,3,-11,1,1,1,0.5,-5.5,79.2,1.3333,2,-3.0493,2,7.5,1.5,3.1552,3.1552,0.4,0.4,2.4,1.4,3.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,1,,,,,,,,,,
Josh Downs,IND,WR,12,No,No,No,12,No,Yes,0.3333,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,
Khalil Herbert,NYJ,RB,3,No,No,No,3,No,Yes,,5,3,2,0.6667,1,1,0.3333,4,9,-1,-13,1,1,,,-4.3333,42.4,1.3333,1.3333,-4.337,4,9,-1,4.3873,4.3873,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,1,,,,1,0.3333,,,,
Quinshon Judkins,CLV,RB,9,No,No,No,9,No,Yes,,14,8,7,0.875,0.8889,7,0.875,-5,23,6,-28,1,3,3,0.375,-3.5,79.2,-0.5556,-0.625,-6.2454,-0.7143,3.2857,0.8571,11.1374,11.1374,0.8889,-0.5,6.5,3,10,6.5,6.5,3,6.5,6.5,6.5,3,6.5,6.5,,,,,,,,,,1,1,1,
Tetairoa McMillan,CAR,WR,27,Yes,No,No,26,No,Yes,0.8077,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1923,,,,,,,,,,,
Devaughn Vele,NO,WR,9,No,No,No,8,No,Yes,0.625,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,
Tyler Allgeier,ATL,RB,16,No,Yes,No,14,No,No,,17,9,8,0.8889,0.6429,7,0.7778,60,82,18,-26,1,1,,,-2.8889,94.4,4.2857,6.6667,0.9357,8.5714,11.7143,2.5714,13.2927,13.2927,0.5625,6,13,9.5,16.5,13,13,9.5,13,13,13,9.5,13,13,,,2,,,,,1,0.1111,1,1,,
KeAndre Lambert-Smith,LAC,WR,1,No,Yes,No,1,No,No,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,4,Yes,Yes,No,4,No,Yes,0.25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,
Trayveon Williams,CLV,RB,3,No,No,No,3,No,Yes,,6,3,3,1,1,3,1,,15,5,-15,1,1,1,0.3333,-5,79.2,,,-5.5063,,5,1.6667,4.9509,4.9509,1,,3,1.5,4.5,3,3,1.5,3,3,3,1.5,3,3,,,,2,,,,,,,,,
Isaiah Hodgins,NYG,WR,10,Yes,No,No,9,No,Yes,0.4444,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5556,,,,,,,,,,,
Devin Singletary,NYG,RB,5,Yes,No,No,4,No,Yes,,17,4,4,1,1,4,1,15,32,8,-17,1,1,,,-4.25,82.3,3.75,3.75,-1.9127,3.75,8,2,7.4569,7.4569,0.8,1.5,5.5,3.5,7.5,5.5,5.5,3.5,5.5,5.5,5.5,3.5,5.5,5.5,,,,1,,,,,,,,,
Gage Larvadain,CLV,WR,6,No,No,No,6,No,Yes,0.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
David Sills,ATL,WR,21,No,Yes,No,18,No,No,0.6111,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3889,,,,,,,,,,,
Zamir White,LV,RB,1,Yes,No,No,1,No,Yes,,5,1,,,1,,,,,,-5,1,,,,-5,39.6,,,-5.8711,,,,1.176,1.176,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,5,No,No,No,5,No,Yes,,13,5,5,1,1,5,1,26,39,4,-13,0.6,2,,,-2.6,88.3,5.2,5.2,-0.8411,5.2,7.8,0.8,7.3479,7.3479,1,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,,0.4,2,,1,0.2,,,,,,,
Jauan Jennings,SF,WR,9,Yes,Yes,Yes,9,No,Yes,0.6667,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Tanner Conner,MIA,TE,8,No,No,No,7,No,No,0.2857,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714,0.1429,,,,,,,,,,,
Ashton Dulin,IND,WR,6,No,No,No,4,No,Yes,1,12,1,1,1,0.25,1,1,-8,,,-8,,1,1,1,-8,79.2,-2,-8,-10.5405,-8,,,2.0889,2.0889,0.1667,-0.8,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,,,,1,1,1,,,,,,,
Ja'Tavion Sanders,CAR,TE,9,Yes,No,No,5,No,Yes,0.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,,,,,,,,,,
Jahdae Walker,CHI,WR,1,No,No,No,1,No,No,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moliki Matavao,NO,TE,2,No,Yes,No,1,No,No,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Tahj Washington,MIA,WR,2,Yes,No,No,2,No,Yes,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Dareke Young,SEA,WR,2,Yes,Yes,Yes,2,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,13,No,No,Yes,12,No,Yes,0.5833,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4167,,,,,,,,,,,
Juwan Johnson,NO,TE,16,No,Yes,No,11,No,No,0.2727,17,1,1,1,0.0909,1,1,9,14,2,-5,0.0909,,,,-5,104.2,0.8182,9,4.6267,9,14,2,1.4875,1.4875,0.0625,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,0.1818,0.4545,,,,,,,,,,,
David Montgomery,DET,RB,7,No,No,No,6,No,No,,17,5,5,1,0.8333,5,1,20,43,19,-23,1,,,,-4.6,83.3,3.3333,4,-1.5318,4,8.6,3.8,6.5303,6.5303,0.7143,2,7,4.5,9.5,7,7,4.5,7,7,7,4.5,7,7,,,1,,3,0.6,,,,,,,
Andrew Ogletree,IND,TE,2,No,No,No,1,No,Yes,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,16,Yes,No,No,15,No,Yes,0.0667,16,15,15,1,1,15,1,91,178,60,-87,0.8,4,2,0.1333,-5.8,91.9,6.0667,6.0667,0.9703,6.0667,11.8667,4,21.7919,21.7919,0.9375,9.1,24.1,16.6,31.6,24.1,24.1,16.6,24.1,24.1,24.1,16.6,24.1,24.1,,0.1333,3,1,12,0.8,,,,,,,
Kendrick Bourne,SF,WR,10,Yes,Yes,Yes,10,No,Yes,0.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,
Hassan Haskins,LAC,RB,2,No,Yes,No,2,No,No,,11,2,2,1,1,2,1,2,9,4,-7,1,,,,-3.5,79.2,1,1,-4.8445,1,4.5,2,2.8892,2.8892,1,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,,,,,1,0.5,,,,,,,
Jack Bech,LV,WR,9,Yes,No,No,7,No,Yes,0.5714,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286,,,,,,,,,,,
Kevin Austin,NO,WR,5,No,Yes,No,2,No,No,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Tyler Badie,DEN,RB,9,No,Yes,No,9,No,No,,16,8,7,0.875,0.8889,6,0.75,13,45,4,-36,1,1,,,-4.5,77.1,1.4444,1.625,-3.763,2.1667,7.5,0.6667,12.45,12.45,0.8889,1.3,7.3,4.3,10.3,7.3,7.3,4.3,7.3,7.3,7.3,4.3,7.3,7.3,,,,1,,,,1,0.125,,,,
Kenneth Gainwell,PIT,RB,21,Yes,No,No,19,No,Yes,0.0526,17,15,15,1,0.7895,15,1,97,169,37,-72,0.7895,4,3,0.2,-4.8,115.8,5.1053,6.4667,1.0672,6.4667,11.2667,2.4667,23.6155,23.6155,0.7143,15.7,30.7,23.2,38.2,30.7,30.7,23.2,30.7,30.7,30.7,23.2,30.7,30.7,,0.1579,7,3,4,0.2667,1,,,,,,
Bhayshul Tuten,JAX,RB,4,No,No,No,3,No,Yes,,15,2,2,1,0.6667,2,1,2,14,2,-12,0.3333,2,1,0.5,-6,79.2,0.6667,1,-4.0893,1,7,1,2.6035,2.6035,0.5,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,,0.6667,,,,,,,,,,,
Casey Washington,ATL,WR,4,No,No,No,4,No,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Metchie,NYJ,WR,8,No,No,No,5,No,Yes,0.8,16,1,1,1,0.2,1,1,,3,1,-3,,1,1,1,-3,79.2,,,-4.9408,,3,1,1.6659,1.6659,0.125,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,0.2,,,,,,,,,,,
Jalen Nailor,MIN,WR,10,No,No,No,9,No,Yes,0.4444,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111,0.4444,,,,,,,,,,,
Marquise Brown,KC,WR,16,Yes,No,No,16,No,Yes,0.8125,16,1,1,1,0.0625,1,1,10,12,6,-2,,,,,-2,108.3,0.625,10,4.5009,10,12,6,1.4553,1.4553,0.0625,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,0.1875,1,,,,,,,,,,
KaVontae Turpin,DAL,WR,7,Yes,No,No,7,No,Yes,0.2857,15,1,1,1,0.1429,1,1,9,-1,1,10,0.1429,1,1,1,10,104.2,1.2857,9,1.5,9,-1,1,1.4887,1.4887,0.1429,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,0.5714,,,,,,,,,,,
Dare Ogunbowale,HST,RB,2,No,No,No,2,No,Yes,,17,2,2,1,1,1,0.5,2,3,2,-7,1,,,,-3.5,56.3,1,1,-4.4542,2,3,2,2.5165,2.5165,1,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,1,0.5,,,,
Jerry Jeudy,CLV,WR,33,No,No,No,32,No,Yes,0.9062,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0938,,,,,,,,,,,
Nico Collins,HST,WR,13,No,No,No,13,No,Yes,0.6923,15,1,1,1,0.0769,1,1,-1,1,,-2,,1,,,-2,79.2,-0.0769,-1,-6.4991,-1,1,,1.8135,1.8135,0.0769,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,0.3077,,,,,,,,,,,
Jake Ferguson,DAL,TE,25,Yes,No,No,17,No,Yes,0.1176,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6471,0.2353,,,,,,,,,,,
Davante Adams,LA,WR,4,No,Yes,No,4,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,17,Yes,No,No,15,No,Yes,0.8667,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1333,,,,,,,,,,,
Josh Whyle,GB,TE,4,No,No,No,3,No,Yes,0.3333,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,
Travis Etienne,JAX,RB,14,No,No,No,14,No,Yes,0.0714,17,13,11,0.8462,0.9286,10,0.7692,115,156,18,-56,0.6429,7,5,0.3846,-4.3077,142.6,8.2143,8.8462,3.1499,11.5,15.6,1.8,23.6938,23.6938,0.9286,29.5,39.5,34.5,44.5,39.5,42.5,37.5,39.5,39.5,39.5,34.5,39.5,39.5,,0.2857,5,2,5,0.5,3,1,0.0769,,,,
Jordan Whittington,LA,WR,3,Yes,No,No,3,No,Yes,,17,1,1,1,0.3333,1,1,-2,,,-2,,,,,-2,79.2,-0.6667,-2,-7.4991,-2,,,1.6098,1.6098,0.3333,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,1,,,,,,,,,,,
Bam Knight,ARZ,RB,6,No,No,Yes,6,No,Yes,,12,5,5,1,0.8333,4,0.8,13,37,5,-28,1,,,,-5.6,79.2,2.1667,2.6,-2.7258,3.25,9.25,1.25,7.82,7.82,0.8333,1.3,5.3,3.3,7.3,5.3,5.3,3.3,5.3,5.3,5.3,3.3,5.3,5.3,,,1,,1,0.25,,1,0.2,,,,
Jaret Patterson,LAC,RB,1,No,Yes,No,1,No,No,,6,1,,,1,,,,,,-2,1,,,,-2,39.6,,,-6.198,,,,1.5483,1.5483,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine,CIN,RB,9,No,No,No,8,No,Yes,,15,8,7,0.875,1,6,0.75,24,44,10,-27,1,,,,-3.375,77.1,3,3,-2.8332,4,7.3333,1.6667,12.4458,12.4458,0.8889,2.4,8.4,5.4,11.4,8.4,8.4,5.4,8.4,8.4,8.4,5.4,8.4,8.4,,,2,,1,0.1667,,1,0.125,1,,,
Quentin Skinner,NYJ,WR,1,No,No,No,1,No,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,8,No,Yes,No,5,No,Yes,,10,5,5,1,1,5,1,24,34,7,-10,0.8,2,1,0.2,-2,86.7,4.8,4.8,-1.1066,4.8,6.8,1.4,7.3935,7.3935,0.625,2.4,7.4,4.9,9.9,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,,0.2,,,1,0.2,,,,,,,
Emari Demercado,ARZ,RB,4,Yes,No,No,4,No,Yes,,13,4,3,0.75,1,2,0.5,9,-6,6,4,0.75,1,1,0.25,1,56.3,2.25,2.25,-4.5234,4.5,-3,3,6.3406,6.3406,1,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,0.25,,,1,0.5,,1,0.25,,,,1
Will Dissly,LAC,TE,4,No,Yes,No,2,No,No,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,Yes,No,No,1,No,Yes,,15,1,1,1,1,1,1,-5,1,,-6,,1,1,1,-6,79.2,-5,-5,-10.0893,-5,1,,1.3449,1.3449,1,-0.5,0.5,,1,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,,1,,,,,,,,,,,
Miles Sanders,DAL,RB,4,No,Yes,No,3,No,Yes,,4,3,3,1,1,3,1,9,23,10,-14,1,,,,-4.6667,79.2,3,3,-2.7707,3,7.6667,3.3333,4.3368,4.3368,0.75,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,,,,,1,0.3333,,,,,,,
Saquon Barkley,PHI,RB,15,No,No,No,14,No,No,,16,12,11,0.9167,0.8571,11,0.9167,97,138,57,-48,0.8571,1,1,0.0833,-4,100.3,6.9286,8.0833,2.5136,8.8182,12.5455,5.1818,17.5182,17.5182,0.8,9.7,20.7,15.2,26.2,20.7,20.7,15.2,20.7,20.7,20.7,15.2,20.7,20.7,,0.1429,3,1,3,0.2727,,,,,,,
Evan Engram,DEN,TE,22,No,Yes,No,21,No,No,0.0952,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4762,0.4286,,,,,,,,,,,
Jamari Thrash,CLV,WR,2,No,Yes,Yes,2,No,Yes,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Matthew Golden,GB,WR,18,No,No,No,15,No,Yes,0.8667,14,1,1,1,0.0667,1,1,-1,4,,-5,,,,,-5,79.2,-0.0667,-1,-5.1596,-1,4,,1.775,1.775,0.0556,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,0.1333,,,,,,,,,,,
Adonai Mitchell,NYJ,WR,9,No,No,No,6,No,Yes,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Dylan Sampson,CLV,RB,17,No,No,No,16,No,Yes,,15,15,14,0.9333,0.9375,14,0.9333,121,195,38,-79,0.875,3,3,0.2,-5.2667,122.5,7.5625,8.0667,2.7092,8.6429,13.9286,2.7143,19.9811,19.9811,0.8824,17.1,31.1,24.1,38.1,31.1,34.1,26.1,30.1,30.1,30.1,23.1,31.1,30.1,,0.125,3,1,3,0.2143,1,,,1,1,,
Jawhar Jordan,HST,RB,4,No,No,No,4,No,Yes,,4,4,4,1,1,4,1,23,39,9,-16,1,2,1,0.25,-4,90.6,5.75,5.75,0.0256,5.75,9.75,2.25,6.0665,6.0665,1,2.3,6.3,4.3,8.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,,,1,,1,0.25,,,,,,,
Brevyn Spann-Ford,DAL,TE,5,Yes,No,No,4,No,Yes,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.5,,,,,,,,,,,
Tyler Higbee,LA,TE,3,Yes,No,No,3,No,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,7,Yes,No,No,4,No,Yes,0.25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,
Jake Bobo,SEA,WR,2,Yes,Yes,Yes,1,No,Yes,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Pat Bryant,DEN,WR,19,No,Yes,No,18,No,No,0.3333,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,5,Yes,No,No,4,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,13,Yes,No,No,11,No,Yes,0.9091,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0909,,,,,,,,,,,
Hunter Long,JAX,TE,10,No,No,No,5,No,Yes,0.2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,,,,,,,,,,,
Sal Cannella,CLV,TE,2,No,No,No,2,No,Yes,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ben Sims,MIN,TE,2,No,No,No,1,No,Yes,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Tahj Brooks,CIN,RB,1,Yes,No,No,1,No,Yes,,12,1,,,1,,,,,,-2,1,,,,-2,,,,-6.198,,,,1.3248,1.3248,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,25,No,No,No,25,No,Yes,0.84,16,1,1,1,0.04,1,1,,6,,-6,,,,,-6,79.2,,,-3.7419,,6,,1.7233,1.7233,0.04,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,0.16,,,,,,,,,,,
D'Andre Swift,CHI,RB,9,No,No,No,9,No,No,,16,9,6,0.6667,1,5,0.5556,25,32,6,-23,1,2,1,0.1111,-2.5556,60.9,2.7778,2.7778,-3.0971,5,6.4,1.2,13.5198,13.5198,1,2.5,7.5,5,10,7.5,7.5,5,7.5,7.5,7.5,5,7.5,7.5,,,1,,,,,1,0.1111,,,,
Adam Trautman,DEN,TE,21,No,Yes,No,7,No,No,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,0.1429,,,,,,,,,,,
Jonathan Mingo,DAL,WR,1,Yes,No,No,1,No,Yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Cooper Kupp,SEA,WR,8,Yes,Yes,Yes,7,No,Yes,0.7143,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,,,,,,,,,,,
Tommy Tremble,CAR,TE,18,Yes,No,No,13,No,Yes,0.1538,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3846,0.4615,,,,,,,,,,,
James Conner,ARZ,RB,4,No,Yes,Yes,4,Yes,Yes,,3,4,4,1,1,4,1,13,33,14,-20,1,1,1,0.25,-5,80.2,3.25,3.25,-2.0796,3.25,8.25,3.5,5.5292,5.5292,1,1.3,5.3,3.3,7.3,5.3,5.3,3.3,5.3,5.3,5.3,3.3,5.3,5.3,,,2,,3,0.75,,,,,,,
Shedrick Jackson,LV,WR,1,Yes,No,No,1,No,Yes,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Kyle Williams,NE,WR,2,Yes,No,No,2,No,Yes,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Anthony Firkser,DET,TE,3,No,No,No,3,No,No,0.3333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,
Justice Hill,BLT,RB,4,No,No,No,4,No,No,,10,4,3,0.75,1,3,0.75,13,30,9,-23,0.75,2,,,-5.75,78.1,3.25,3.25,-1.9566,4.3333,10,3,5.2279,5.2279,1,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,,0.25,,,2,0.6667,,,,,,,
Tyler Conklin,LAC,TE,1,No,Yes,No,1,No,No,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
George Holani,SEA,RB,1,No,Yes,No,1,No,No,,10,1,1,1,1,1,1,4,10,1,-6,1,,,,-6,83.3,4,4,-1.0893,4,10,1,1.0239,1.0239,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,,
Chris Brooks,GB,RB,8,No,No,No,6,No,Yes,,17,4,4,1,0.6667,4,1,34,55,8,-21,0.8333,1,,,-5.25,102.1,5.6667,8.5,3.0951,8.5,13.75,2,6.3886,6.3886,0.5,3.4,7.4,5.4,9.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,0.1667,,1,,3,0.75,,,,,,,
Christian Watson,GB,WR,9,No,Yes,No,9,No,Yes,0.6667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Zach Ertz,WAS,TE,11,Yes,No,Yes,9,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222,0.7778,,,,,,,,,,,
Darnell Washington,PIT,TE,16,No,Yes,Yes,10,No,Yes,0.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,
Audric Estime,NO,RB,4,No,Yes,No,2,No,No,,6,2,2,1,1,2,1,12,21,15,-9,1,,,,-4.5,91.7,6,6,0.2795,6,10.5,7.5,2.92,2.92,0.5,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,1,,2,1,,,,,,,
Davis Allen,LA,TE,2,Yes,No,No,2,No,Yes,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
Greg Dortch,ARZ,WR,7,No,Yes,No,7,Yes,Yes,0.2857,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,,,,,,,,,,
Tip Reiman,ARZ,TE,1,No,Yes,No,1,No,Yes,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Javonte Williams,DAL,RB,18,No,No,No,16,No,No,,16,17,15,0.8824,1.0625,15,0.8824,57,120,23,-71,1,2,,,-4.1765,100.2,3.5625,3.3529,-2.1336,3.8,8,1.5333,33.5593,33.5593,0.9444,11.7,26.7,19.2,34.2,26.7,26.7,19.2,26.7,26.7,26.7,19.2,26.7,26.7,,,2,4,2,0.1333,1,,,,,,
