Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,ReceptionsTotal,ReceptionsHero,ReceptionsPercentage,YardsTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterCatchTotal,AveragesPerReceptionYardsAfterCatch,ReceptionsContested,YardsAfterContactTotal,DropsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterContact,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Josh Palmer,BUF,WR,5,No,No,No,5,No,No,,0.4,0.6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,2,No,No,No,1,No,No,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,1,No,No,No,1,No,No,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,3,No,No,No,3,No,No,0.3333,,0.6667,13,1,,,,0.3333,20,,1,20,1,39.6,-11.7623,1.7109,1.7109,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,5,No,No,Yes,5,No,No,,,1,14,3,,2,0.6667,0.6,72,,2,24,3,109.7,4.3389,6.5018,6.5018,0.6,2,,0.6667,45,9,15,22.5,2,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,3,1.5,,,,,,,,,,1,0.5
Rachaad White,TB,RB,4,No,No,No,3,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,2,No,No,No,2,No,No,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,3,No,No,No,2,No,No,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,2,No,No,No,2,No,No,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,4,No,No,No,3,No,No,0.3333,0.6667,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,2,No,No,No,2,Yes,Yes,,0.5,,17,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,2,No,No,No,2,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,4,No,No,No,4,No,No,,,1,16,4,,1,0.25,1,61,,4,15.25,,43.8,-5.9817,12.4691,12.4691,1,1,,0.25,16,4,4,16,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,5,5,,2,,,2,,,,,,
Andre Baccellia,ARZ,WR,1,No,No,No,1,Yes,No,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,4,No,No,No,3,No,No,,,0.6667,17,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,5,No,No,No,5,No,No,,,0.4,17,1,1,1,1,0.2,29,0.6,1,29,1,39.6,-18.4286,1.7059,1.7059,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeQuint Allen,JAX,RB,3,No,No,No,2,No,No,,,0.5,17,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,2,No,No,No,2,No,No,,1,,16,1,,1,1,0.5,16,,1,16,,158.3,47.809,1.7143,1.7143,0.5,1,,1,58,29,58,58,1,11.8,12.8,12.3,12.8,13.3,12.8,12.3,12.8,12.8,12.8,12.3,13.3,12.8,42,42,,35,,,35,,,1,,2,2
Calvin Austin,PIT,WR,5,No,No,No,5,No,No,,0.6,0.4,14,2,1,1,0.5,0.4,40,,2,20,1,87.5,-0.9116,3.0167,3.0167,0.4,1,1,0.5,21,4.2,10.5,21,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3,3,1,,,,,,,,,,
Pat Freiermuth,PIT,TE,9,No,No,No,9,No,No,0.2222,0.6667,0.1111,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,5,No,No,No,2,Yes,Yes,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,7,No,No,No,7,No,No,,0.4286,0.5714,17,2,1,2,1,0.2857,54,,1,27,2,95.8,4.5266,3.6145,3.6145,0.2857,1,,0.5,30,4.2857,15,30,1,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,6,6,,1,,,1,,,,,,
Jaylin Noel,HST,WR,3,No,Yes,No,3,No,Yes,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,2,No,No,No,2,No,Yes,,0.5,0.5,8,,,,,,,,,,,,,1.7406,1.7406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,3,No,No,No,3,No,No,,,1,17,2,,1,0.5,0.6667,24,,2,12,,110.4,-2.8649,5.4693,5.4693,0.6667,1,1,0.5,13,4.3333,6.5,13,1,7.3,8.3,7.8,8.3,8.3,8.3,7.8,8.3,8.3,8.3,7.8,8.3,8.3,,,,,,,,2,2,1,1,,
Allen Lazard,NYJ,WR,1,No,No,No,1,No,No,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,1,No,No,No,1,No,No,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,8,No,No,No,8,Yes,Yes,,0.625,0.375,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,2,No,No,No,2,No,No,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,3,No,No,No,2,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,4,No,No,No,4,No,No,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,5,No,No,No,4,Yes,Yes,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,1,No,No,No,1,No,No,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,1,No,No,No,1,Yes,Yes,1,,,13,1,1,1,1,1,20,,,20,1,158.3,2.2377,2.4973,2.4973,1,1,1,1,14,14,14,14,1,7.4,8.4,7.9,8.4,8.9,8.4,7.9,8.4,8.4,8.4,7.9,8.9,8.4,,,1,,,,,1,1,1,1,,
Dylan Drummond,ATL,WR,1,No,No,No,1,No,No,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,6,No,No,No,4,Yes,Yes,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,6,Yes,No,No,5,No,No,0.6,0.2,0.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,1,No,Yes,Yes,1,No,No,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,1,No,No,No,1,No,No,,1,,14,1,,,,1,31,,1,31,1,39.6,-12.5972,2.5516,2.5516,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,3,No,No,No,3,No,No,0.3333,0.3333,0.3333,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,5,No,No,No,4,No,No,,0.75,0.25,17,1,,,,0.25,21,,1,21,1,39.6,-11.2393,3.4294,3.4294,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Brown,WAS,WR,2,No,Yes,No,2,Yes,Yes,,,1,4,1,1,1,1,0.5,30,,1,30,1,39.6,-9.194,1.9559,1.9559,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton,LV,WR,2,No,No,No,2,Yes,Yes,,0.5,0.5,15,1,1,1,1,0.5,25,,1,25,1,39.6,-11.4887,2.0893,2.0893,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,1,No,No,No,1,No,No,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,13,No,No,No,12,Yes,Yes,0.1667,0.75,0.0833,17,1,1,1,1,0.0833,17,,1,17,,118.8,6.3193,1.5864,1.5864,0.0769,1,,1,18,1.5,18,18,1,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,1,1,1,1,,,1,,,,,,
Kyren Williams,LA,RB,2,No,No,No,2,Yes,Yes,,0.5,,17,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,2,No,No,No,2,No,No,,0.5,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raheem Mostert,LV,RB,2,No,No,No,1,No,Yes,,,,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,3,No,No,No,3,No,No,,0.6667,0.3333,11,1,,1,1,0.3333,15,,,15,,118.8,4.5903,1.9341,1.9341,0.3333,1,1,1,15,5,15,15,1,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,4,No,No,No,4,No,No,,0.75,0.25,15,1,,,,0.25,24,,1,24,1,39.6,-15.442,2.6511,2.6511,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,5,No,No,No,4,No,No,,0.25,0.75,15,1,1,1,1,0.25,26,,1,26,1,118.8,17.9886,1.8877,1.8877,0.2,1,,1,31,7.75,31,31,1,3.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,5,5,1,3,,,3,,,,,,
Cedric Tillman,CLV,WR,3,No,No,No,3,Yes,Yes,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,4,No,No,No,4,No,No,,0.25,0.75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,3,No,No,No,2,No,No,,1,,9,1,1,1,1,0.5,17,,1,17,,39.6,-11.6653,1.7333,1.7333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,3,No,No,No,3,No,No,,0.3333,0.6667,10,1,,,,0.3333,27,,1,27,1,39.6,-11.9133,2.0262,2.0262,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,2,No,No,No,2,No,No,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,5,No,No,No,4,No,No,0.25,0.25,0.5,17,2,,1,0.5,0.5,38,,1,19,1,83.3,-2.8678,3.459,3.459,0.4,1,,0.5,19,4.75,9.5,19,1,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,1,1,,,,,,,,,,,
TreVeyon Henderson,NE,RB,1,No,No,No,1,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,3,No,No,No,3,No,No,,0.6667,0.3333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,2,No,No,No,2,No,Yes,,,,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
