Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested
Dawson Knox,BUF,TE,7,No,No,No,3,3,No,No,3,1,1,3,1,17,24,6,-7,,,,,3,3,1,-2.3333,90.3,5.6667,5.6667,0.4775,5.6667,8,2,2,4.9995,4.9995,0.4286,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,17,,,1,,,,,
TreVeyon Henderson,NE,RB,3,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,
Oronde Gadsden,LAC,TE,6,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Dante Pettis,NO,WR,1,Yes,No,No,1,1,No,Yes,1,1,1,1,1,22,27,-1,-5,1,1,1,,1,1,1,-5,118.8,22,22,17.8404,22,27,-1,1,1.4368,1.4368,1,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,8,,,,,,,,
Terry McLaurin,WAS,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
Dallas Goedert,PHI,TE,3,No,No,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Marvin Mims,DEN,WR,7,Yes,No,No,5,5,No,Yes,5,1,1,5,1,17,37,3,-20,,,1,,5,5,1,-4,80.8,3.4,3.4,-1.1111,3.4,7.4,0.6,,9.9613,9.9613,0.7143,1.7,6.7,4.2,6.7,6.7,6.7,4.2,6.7,6.7,6.7,4.2,6.7,6.7,15,,1,,,,,,
Jalen Coker,CAR,WR,3,No,No,No,1,1,No,No,1,1,1,1,1,5,8,1,-3,,,1,,1,1,1,-3,87.5,5,5,0.0592,5,8,1,,2.7,2.7,0.3333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,,1,,,,,,
Jalen Tolbert,DAL,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,6,9,3,-3,1,1,1,,1,1,1,-3,91.7,6,6,1.0592,6,9,3,,1.195,1.195,1,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,13,,,,,,,,
Olamide Zaccheaus,CHI,WR,4,No,No,No,2,2,No,No,2,1,1,2,1,7,10,4,-3,,,,1,2,2,1,-1.5,81.3,3.5,3.5,-2.3345,3.5,5,2,,4.1998,4.1998,0.5,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,16,,1,,,,,,
Tyler Warren,IND,TE,3,No,No,No,2,2,No,No,2,1,1,2,1,4,11,2,-7,,,1,,2,2,1,-3.5,79.2,2,2,-4.1008,2,5.5,1,,5.0011,5.0011,0.6667,0.4,2.4,1.4,2.4,3.4,2.4,1.4,2.4,2.4,2.4,1.4,3.4,2.4,17,,1,,,,,,
Jaxon Smith-Njigba,SEA,WR,6,No,No,No,6,4,No,No,4,1,0.6667,4,1,23,37,6,-14,,,0.3333,0.6667,4,4,1,-3.5,90.6,3.8333,5.75,0.9437,5.75,9.25,1.5,1,5.8653,5.8653,0.6667,2.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,17,,,,,,,,
Mitchell Tinsley,CIN,WR,6,Yes,No,No,2,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Sterling Shepard,TB,WR,2,No,No,No,1,1,No,No,1,1,1,1,1,24,26,15,-2,1,1,,1,1,1,1,-2,118.8,24,24,18.5009,24,26,15,1,1.5043,1.5043,0.5,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,13,,,,,,,,
Khalil Shakir,BUF,WR,13,No,No,Yes,2,2,No,Yes,2,1,1,1,0.5,4,4,3,-3,,,1,,2,2,1,-1.5,56.3,2,2,-3.4897,4,4,3,,4.781,4.781,0.1538,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,16,,,,,1,0.5,,
Tez Johnson,TB,WR,3,No,No,No,2,1,No,No,1,1,0.5,1,1,3,7,,-4,,,0.5,0.5,1,1,1,-4,79.2,1.5,3,-1.4851,3,7,,,1.2971,1.2971,0.3333,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,16,,1,,,,,,
Chris Olave,NO,WR,5,Yes,No,No,3,3,No,No,2,0.6667,1,2,0.6667,5,11,9,-10,2,1,1,,3,3,1,-3.3333,70.1,1.6667,1.6667,-3.1222,2.5,5.5,4.5,1,4.2387,4.2387,0.6,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,16,,,,,,,,
Rico Dowdle,CAR,RB,2,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,
George Pickens,DAL,WR,2,No,No,No,1,1,No,No,1,1,1,1,1,6,7,2,-1,,,,1,1,1,1,-1,91.7,6,6,-0.1699,6,7,2,,1.519,1.519,0.5,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,,,,,,,
Tee Higgins,CIN,WR,6,Yes,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Scott Miller,PIT,WR,4,Yes,No,No,2,2,No,Yes,2,1,1,2,1,5,8,2,-3,,,0.5,0.5,2,2,1,-1.5,79.2,2.5,2.5,-3.3345,2.5,4,1,,3.1221,3.1221,0.5,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,13,,1,,,,,,
Deebo Samuel,WAS,WR,8,No,No,No,7,7,No,No,7,1,1,7,1,18,44,13,-26,2,0.2857,0.8571,0.1429,7,7,1,-3.7143,79.2,2.5714,2.5714,-2.0625,2.5714,6.2857,1.8571,1,11.8626,11.8626,0.875,1.8,8.8,5.3,8.8,8.8,8.8,5.3,8.8,8.8,8.8,5.3,8.8,8.8,16,,,,,,,,
Wan'Dale Robinson,NYG,WR,11,Yes,No,No,9,9,No,Yes,9,1,1,9,1,39,61,28,-22,3,0.3333,1,,9,9,1,-2.4444,84.7,4.3333,4.3333,-0.9415,4.3333,6.7778,3.1111,,13.9204,13.9204,0.8182,3.9,12.9,8.4,12.9,12.9,12.9,8.4,12.9,12.9,12.9,8.4,12.9,12.9,16,,2,,,,,,
Roman Wilson,PIT,WR,4,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,4,6,2,-2,,,0.5,0.5,1,1,1,-2,83.3,2,4,-1.4991,4,6,2,,1.4682,1.4682,0.25,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,13,,,,,,,,
Savion Williams,GB,WR,1,No,No,No,1,1,No,No,1,1,1,1,1,2,4,2,-2,,,1,,1,1,1,-2,79.2,2,2,-3.4991,2,4,2,,1.9148,1.9148,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,,,,,,,
RJ Harvey,DEN,RB,9,Yes,No,No,1,1,No,Yes,1,1,1,1,1,6,9,1,-3,,,1,,1,1,1,-3,91.7,6,6,-0.1191,6,9,1,1,1.6078,1.6078,0.1111,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,,,,,,,,
Konata Mumpfield,LA,WR,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Travis Kelce,KC,TE,13,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,-2,1,1,-3,,,0.5,0.5,1,1,1,-3,79.2,-1,-2,-7.8652,-2,1,1,,1.2255,1.2255,0.0769,-0.2,0.8,0.3,0.8,1.3,0.8,0.3,0.8,0.8,0.8,0.3,1.3,0.8,17,,1,,,,,,
Xavier Legette,CAR,WR,3,No,No,No,1,1,No,No,1,1,1,1,1,1,3,,-2,,,,1,1,1,1,-2,79.2,1,1,-4.4991,1,3,,,1.4274,1.4274,0.3333,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,15,,,,,,,,
Rashid Shaheed,SEA,WR,4,No,No,No,2,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
Gunnar Helm,TEN,TE,9,Yes,No,No,2,2,No,No,2,1,1,2,1,7,12,5,-5,,,0.5,,2,2,1,-2.5,81.3,3.5,3.5,-1.8581,3.5,6,2.5,,2.817,2.817,0.2222,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,16,,,0.5,,,,,
Justin Jefferson,MIN,WR,2,No,No,No,2,1,No,No,1,1,0.5,1,1,11,12,4,-1,,,,1,1,1,1,-1,112.5,5.5,11,4.8301,11,12,4,1,1.5828,1.5828,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,17,,,,,,,,
Brandin Cooks,BUF,WR,4,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
A.J. Brown,PHI,WR,4,No,No,Yes,2,1,No,Yes,1,1,0.5,1,1,6,9,5,-3,1,1,0.5,0.5,1,1,1,-3,91.7,3,6,1.0592,6,9,5,,1.25,1.25,0.25,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,15,,1,,,,,,
Luke McCaffrey,WAS,WR,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,9,12,4,-3,,,1,,1,1,1,-3,104.2,9,9,4.0592,9,12,4,,1.6225,1.6225,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,9,,,,,,,,
Chig Okonkwo,TEN,TE,11,Yes,No,No,7,7,No,Yes,6,0.8571,1,4,0.5714,32,39,7,-14,,,0.2857,,7,7,1,-2,68.8,4.5714,4.5714,-0.4317,8,9.75,1.75,2,11.2251,11.2251,0.6364,3.2,7.2,5.2,7.2,9.2,7.2,5.2,7.2,7.2,7.2,5.2,9.2,7.2,17,,1,0.7143,,2,0.2857,,
Ke'Shawn Williams,CIN,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
JuJu Smith-Schuster,KC,WR,18,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Ladd McConkey,LAC,WR,8,No,No,No,3,3,No,No,3,1,1,3,1,9,21,1,-12,1,0.3333,1,,3,3,1,-4,79.2,3,3,-1.4851,3,7,0.3333,,4.1846,4.1846,0.375,0.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,16,,1,,,,,,
Romeo Doubs,GB,WR,3,No,No,No,2,2,No,No,2,1,1,2,1,4,8,,-4,,,,1,2,2,1,-2,79.2,2,2,-3.4991,2,4,,,3.294,3.294,0.6667,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,16,,1,,,,,,
Kene Nwangwu,NYJ,RB,2,No,No,No,2,1,No,No,,,0.5,,,,,,-6,,,0.5,,1,1,1,-6,39.6,,,-5.0893,,,,,1.3542,1.3542,0.5,,,,,,,,,,,,,,10,0.5,,,,,,,
Keenan Allen,LAC,WR,3,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,2,3,2,-1,,,0.5,0.5,1,1,1,-1,79.2,1,2,-4.1699,2,3,2,,1.643,1.643,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,,
Isaiah Likely,BLT,TE,3,Yes,No,No,1,1,No,Yes,1,1,1,1,1,6,8,3,-2,,,1,,1,1,1,-2,91.7,6,6,1.1489,6,8,3,,1.9148,1.9148,0.3333,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,14,,,,,,,,
Treylon Burks,WAS,WR,3,No,No,No,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
