Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal
Keenan Allen,LAC,WR,17,No,No,No,10,No,Yes,0.5,0.5,17,3,3,1,0.3,3,1,16,21,9,-5,3,3,1,-1.6667,88.9,1.6,5.3333,-0.1595,5.3333,7,3,4.3322,4.3322,0.1765,1.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,,,,,1,,,,,,,
Isaiah Likely,BLT,TE,15,No,No,No,5,No,Yes,0.6,0.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,
Treylon Burks,WAS,WR,8,No,No,Yes,4,No,Yes,,1,8,1,1,1,0.25,1,1,6,7,2,-1,1,1,1,-1,91.7,1.5,6,-0.1699,6,7,2,1.4786,1.4786,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,
James Cook,BUF,RB,8,No,No,Yes,6,No,Yes,,,17,1,1,1,0.1667,1,1,11,18,1,-7,1,1,1,-7,112.5,1.8333,11,6.4713,11,18,1,1.3542,1.3542,0.125,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,2,2,,1,,,,,,,
Kene Nwangwu,NYJ,RB,1,No,No,Yes,1,No,Yes,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Noah Fant,CIN,TE,8,No,Yes,No,1,No,No,,,15,1,1,1,1,1,1,11,15,,-4,1,1,1,-4,112.5,11,11,4.6636,11,15,,1.5708,1.5708,0.125,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,,,,1,,,1,,,,
CeeDee Lamb,DAL,WR,12,Yes,No,No,7,No,Yes,0.5714,0.4286,14,4,4,1,0.5714,4,1,14,23,4,-9,4,4,1,-2.25,81.3,2,3.5,-1.8595,3.5,5.75,1,6.8237,6.8237,0.3333,1.4,5.4,3.4,5.4,5.4,5.4,3.4,5.4,5.4,5.4,3.4,5.4,5.4,,,,1,,,,,,,,
Ray Davis,BUF,RB,3,No,No,Yes,2,No,Yes,,,17,1,1,1,0.5,1,1,-1,6,1,-7,1,1,1,-7,79.2,-0.5,-1,-5.5287,-1,6,1,1.1529,1.1529,0.3333,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,1,,,1,,,,,,,,
DeeJay Dallas,JAX,RB,1,No,No,No,1,No,Yes,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Tony Pollard,TEN,RB,24,No,No,No,8,No,Yes,0.125,0.125,17,6,6,1,0.75,6,1,19,49,17,-30,6,6,1,-5,79.9,2.375,3.1667,-2.524,3.1667,8.1667,2.8333,12.2756,12.2756,0.25,1.9,7.9,4.9,10.9,7.9,7.9,4.9,7.9,7.9,7.9,4.9,7.9,7.9,0.75,1,0.1667,1,1,,,,,,,
Ladd McConkey,LAC,WR,19,No,No,No,6,No,Yes,0.3333,0.6667,16,1,1,1,0.1667,1,1,6,8,1,-2,1,1,1,-2,91.7,1,6,0.5009,6,8,1,1.5182,1.5182,0.0526,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,32,No,No,No,6,No,Yes,1,,17,3,3,1,0.5,3,1,20,32,7,-12,3,3,1,-4,94.4,3.3333,6.6667,2.1382,6.6667,10.6667,2.3333,4.0681,4.0681,0.0938,2,5,3.5,5,5,5,3.5,5,5,5,3.5,5,5,,,,1,,,,,,,,
Romeo Doubs,GB,WR,15,No,No,No,6,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Bachman,LV,WR,2,No,No,No,2,No,Yes,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,5,No,No,No,1,No,Yes,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,10,Yes,No,No,1,No,Yes,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,38,No,No,No,12,No,Yes,0.4167,0.3333,17,10,9,0.9,0.8333,9,0.9,72,97,23,-28,10,10,1,-2.8,96.7,6,7.2,1.5376,8,10.7778,2.5556,15.0956,15.0956,0.2632,7.2,16.2,11.7,16.2,20.7,16.2,11.7,16.2,16.2,16.2,11.7,20.7,16.2,,1,0.1111,1,2,,,0.25,,,,
Ke'Shawn Williams,CIN,WR,1,No,Yes,No,1,No,No,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,13,Yes,No,No,4,No,Yes,0.25,0.75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,8,Yes,No,No,7,No,Yes,0.1429,,17,5,5,1,0.7143,5,1,26,43,11,-17,5,5,1,-3.4,88.3,3.7143,5.2,-0.6193,5.2,8.6,2.2,7.3101,7.3101,0.625,2.6,7.6,5.1,10.1,7.6,7.6,5.1,7.6,7.6,7.6,5.1,7.6,7.6,0.8571,2,0.4,,1,,,,,,,
Gage Larvadain,CLV,WR,11,No,Yes,No,5,No,No,0.8,0.2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,5,No,Yes,No,5,No,No,,,6,5,4,0.8,1,4,0.8,55,68,9,-19,5,5,1,-3.8,112.5,11,11,5.2908,13.75,17,2.25,8.5648,8.5648,1,5.5,9.5,7.5,11.5,9.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,1,,,,2,,,,,,,
David Sills,ATL,WR,28,Yes,No,No,4,No,Yes,0.25,0.75,17,2,2,1,0.5,1,0.5,9,10,9,-2,2,2,1,-1,62.5,2.25,4.5,-1.6699,9,10,9,3.9739,3.9739,0.0714,6.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,,2,2,1,1,1,0.5,,1,1,,
Ameer Abdullah,IND,RB,3,No,No,No,3,No,Yes,,,13,2,2,1,0.6667,2,1,12,24,2,-12,2,2,1,-6,91.7,4,6,0.9507,6,12,1,2.9856,2.9856,0.6667,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,,,,1,,,,,,,
Quinshon Judkins,CLV,RB,17,Yes,Yes,Yes,12,No,Yes,,,14,9,6,0.6667,0.75,5,0.5556,83,95,13,-25,9,9,1,-2.7778,86.8,6.9167,9.2222,3.3046,16.6,19,2.6,12.5112,12.5112,0.5294,8.3,13.3,10.8,15.8,13.3,13.3,10.8,13.3,13.3,13.3,10.8,13.3,13.3,1,3,0.6,,3,,,,,1,,
Devaughn Vele,NO,WR,9,No,No,No,3,No,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,14,No,No,No,5,No,Yes,0.8,0.2,16,,,,,,,,,,,,,,,,,,,,,,1.5152,1.5152,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,26,No,No,Yes,14,No,Yes,,1,17,2,2,1,0.1429,1,0.5,5,7,1,-3,2,2,1,-1.5,56.3,0.3571,2.5,-3.3345,5,7,1,3.0228,3.0228,0.0769,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,1,0.5,,,,,
Foster Moreau,NO,TE,5,No,No,Yes,2,No,Yes,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tyler Allgeier,ATL,RB,12,Yes,No,No,7,No,Yes,0.2857,,17,2,2,1,0.2857,2,1,18,34,1,-16,2,2,1,-8,104.2,2.5714,9,3.6761,9,17,0.5,3.3485,3.3485,0.1667,1.8,3.8,2.8,4.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,0.7143,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,8,No,No,No,4,No,Yes,,1,10,1,1,1,0.25,1,1,1,3,1,-2,1,1,1,-2,79.2,0.25,1,-4.4991,1,3,1,1.6115,1.6115,0.125,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,1,,,,,,,,
Isaiah Bond,CLV,WR,24,No,Yes,No,13,No,No,0.6154,0.3077,16,1,1,1,0.0769,1,1,7,9,5,-2,1,1,1,-2,95.8,0.5385,7,1.5009,7,9,5,1.7453,1.7453,0.0417,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,0.0769,1,1,,,,,,,,,
Isaiah Davis,NYJ,RB,7,Yes,No,No,4,No,Yes,,0.25,16,3,3,1,0.75,3,1,21,39,8,-18,3,3,1,-6,95.8,5.25,7,1.8369,7,13,2.6667,5.9439,5.9439,0.4286,2.1,5.1,3.6,6.6,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,0.75,,,,1,,,,,,,
Colby Parkinson,LA,TE,15,Yes,No,No,10,No,Yes,,,15,10,9,0.9,1,8,0.8,90,115,14,-30,10,10,1,-3,64.6,9,9,3.6465,11.25,14.375,1.75,15.8646,15.8646,0.6667,9,17,13,17,21,17,13,17,17,17,13,21,17,,,,4,3,1,0.1,1,,1,,
Jacory Croskey-Merritt,WAS,RB,13,No,No,Yes,9,No,Yes,0.2222,0.1111,17,5,3,0.6,0.5556,3,0.6,22,35,5,-25,5,5,1,-5,70.4,2.4444,4.4,-0.8795,7.3333,11.6667,1.6667,6.405,6.405,0.3846,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,0.6667,,,1,1,,,,,,,
Rome Odunze,CHI,WR,33,Yes,No,No,4,No,Yes,0.75,0.25,12,1,,,0.25,,,,,,-5,1,1,1,-5,39.6,,,-4.1596,,,,1.2528,1.2528,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,18,No,No,Yes,14,No,Yes,0.1429,0.1429,10,5,5,1,0.3571,5,1,54,83,15,-29,5,5,1,-5.8,151.3,3.8571,10.8,5.5101,10.8,16.6,3,8.8333,8.8333,0.2778,11.4,16.4,13.9,18.9,16.4,16.4,13.9,16.4,16.4,16.4,13.9,16.4,16.4,0.7143,3,0.6,,3,,,,1,,,
Keaton Mitchell,BLT,RB,4,No,No,No,4,No,Yes,0.5,,13,3,3,1,0.75,2,0.6667,24,34,1,-11,3,3,1,-3.6667,51.4,6,8,2.1462,12,17,0.5,4.3586,4.3586,0.75,2.4,4.4,3.4,5.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,0.5,,,,1,1,0.3333,,,,,
DJ Moore,CHI,WR,40,No,No,No,11,No,Yes,0.3636,0.4545,17,8,8,1,0.7273,5,0.625,27,45,8,-26,8,8,1,-3.25,68.2,2.4545,3.375,-1.4636,5.4,9,1.6,12.802,12.802,0.2,2.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,0.1818,,,2,2,2,0.25,,,1,,
Tyjae Spears,TEN,RB,24,No,No,No,15,No,Yes,0.2,0.2667,13,11,11,1,0.7333,10,0.9091,93,137,41,-46,11,11,1,-4.1818,101.9,6.2,8.4545,2.932,9.3,13.7,4.1,16.2619,16.2619,0.4583,9.3,19.3,14.3,24.3,19.3,19.3,14.3,19.3,19.3,19.3,14.3,19.3,19.3,0.5333,6,0.6,1,4,1,0.0909,,,,,
Josh Oliver,MIN,TE,10,No,No,Yes,2,No,Yes,0.5,,15,1,1,1,0.5,1,1,12,16,-1,-4,1,1,1,-4,116.7,6,12,5.6636,12,16,-1,1.5708,1.5708,0.1,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,1,,,0.5,,,,
Nick Chubb,HST,RB,7,No,No,No,4,No,Yes,,,15,4,4,1,1,4,1,24,37,2,-13,4,4,1,-3.25,91.7,6,6,0.0182,6,9.25,0.5,7.7029,7.7029,0.5714,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,1,,,1,1,,,,,,,
Michael Carter,ARZ,RB,12,Yes,No,No,9,No,Yes,,0.1111,13,1,1,1,0.1111,1,1,14,17,1,-3,1,1,1,-3,118.8,1.5556,14,7.8809,14,17,1,1.2595,1.2595,0.0833,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,0.8889,,,,1,,,,,,,
Marquise Brown,KC,WR,30,No,No,No,15,No,Yes,0.2,0.8,16,3,3,1,0.2,3,1,6,15,3,-9,3,3,1,-3,79.2,0.4,2,-2.9408,2,5,1,4.5275,4.5275,0.1,0.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,,,,,,,,,,,,
John Metchie,NYJ,WR,22,No,No,Yes,11,No,Yes,0.2727,0.7273,16,6,6,1,0.5455,6,1,24,49,8,-25,6,6,1,-4.1667,83.3,2.1818,4,-0.4525,4,8.1667,1.3333,8.6066,8.6066,0.2727,2.4,8.4,5.4,8.4,8.4,8.4,5.4,8.4,8.4,8.4,5.4,8.4,8.4,,1,0.1667,,2,,,,,,,
Jalen Nailor,MIN,WR,39,No,No,Yes,13,No,Yes,0.6154,0.3846,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,11,Yes,No,No,9,No,Yes,0.6667,0.3333,15,3,3,1,0.3333,2,0.6667,8,13,-1,-7,3,3,1,-2.3333,70.1,0.8889,2.6667,-2.6463,4,6.5,-0.5,4.4404,4.4404,0.2727,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,1,0.5,,1,1,0.3333,,,,,
Tyler Badie,DEN,RB,14,No,No,No,12,No,Yes,,,16,10,10,1,0.8333,9,0.9,89,137,25,-54,10,10,1,-5.4,103.7,7.4167,8.9,3.3496,9.8889,15.2222,2.7778,16.3211,16.3211,0.7143,8.9,17.9,13.4,22.4,17.9,17.9,13.4,17.9,17.9,17.9,13.4,17.9,17.9,1,2,0.2222,2,6,1,0.1,,,,,
Jalen Brooks,ARZ,WR,5,Yes,No,No,2,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Wright,TB,RB,1,No,No,No,1,No,Yes,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Kevin Austin,NO,WR,9,Yes,No,No,3,No,Yes,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,3,No,No,No,3,No,Yes,0.3333,,15,2,2,1,0.6667,2,1,32,44,2,-12,2,2,1,-6,158.3,10.6667,16,10.9107,16,22,1,2.6316,2.6316,0.6667,9.2,11.2,10.2,12.2,11.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,0.6667,3,1.5,1,2,,,,1,,,
Casey Washington,ATL,WR,5,Yes,No,No,1,No,Yes,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,26,No,No,No,21,No,Yes,0.1905,0.0476,17,13,13,1,0.619,12,0.9231,76,131,34,-59,13,13,1,-4.5385,91,3.619,5.8462,0.2471,6.3333,10.9167,2.8333,20.3,20.3,0.5,7.6,19.6,13.6,25.6,19.6,19.6,13.6,19.6,19.6,19.6,13.6,19.6,19.6,0.619,1,0.0833,2,3,1,0.0769,0.1429,,,,
Mack Hollins,NE,WR,7,Yes,No,Yes,1,No,Yes,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,15,Yes,No,No,5,No,Yes,0.4,,17,1,1,1,0.2,1,1,15,18,4,-3,1,1,1,-3,118.8,3,15,9.1348,15,18,4,1.6467,1.6467,0.0667,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,,,,,1,,,0.6,,,,
David Montgomery,DET,RB,18,No,No,No,8,No,Yes,,,17,6,6,1,0.75,6,1,46,65,9,-19,6,6,1,-3.1667,98.6,5.75,7.6667,1.7842,7.6667,10.8333,1.5,8.9909,8.9909,0.3333,4.6,10.6,7.6,13.6,10.6,10.6,7.6,10.6,10.6,10.6,7.6,10.6,10.6,1,,,,3,,,,,,,
Dareke Young,SEA,WR,1,Yes,No,Yes,1,No,Yes,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,11,No,No,No,3,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,20,No,No,No,12,No,Yes,0.25,,16,5,5,1,0.4167,5,1,30,54,38,-24,5,5,1,-4.8,91.7,2.5,6,0.6109,6,10.8,7.6,7.9416,7.9416,0.25,3,8,5.5,10.5,8,8,5.5,8,8,8,5.5,8,8,0.75,2,0.4,1,1,,,,,,,
Kendrick Bourne,SF,WR,17,Yes,No,Yes,3,No,Yes,1,,16,1,1,1,0.3333,1,1,6,9,,-3,1,1,1,-3,91.7,2,6,1.0592,6,9,,1.5333,1.5333,0.0588,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,
Jauan Jennings,SF,WR,27,Yes,No,Yes,8,No,Yes,0.125,0.875,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,13,Yes,No,No,4,No,Yes,1,,13,1,1,1,0.25,1,1,2,7,1,-5,1,1,1,-5,79.2,0.5,2,-2.3733,2,7,1,1.4146,1.4146,0.0769,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,,,,,,,,,,,
Tahj Washington,MIA,WR,4,Yes,No,Yes,2,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,12,No,No,Yes,1,No,Yes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Quintin Morris,JAX,TE,4,No,No,No,1,No,Yes,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,2,Yes,No,No,1,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Tyler Higbee,LA,TE,17,Yes,No,No,8,No,Yes,,,10,6,5,0.8333,0.75,5,0.8333,45,55,14,-15,6,6,1,-2.5,97.9,5.625,7.5,2.2306,9,11,2.8,9.4457,9.4457,0.3529,4.5,9.5,7,9.5,12,9.5,7,9.5,9.5,9.5,7,12,9.5,,,,2,2,,,1,,,,
Adonai Mitchell,NYJ,WR,20,No,No,Yes,3,No,Yes,,1,16,1,,,0.3333,,,,,,-4,1,1,1,-4,39.6,,,-4.4851,,,,1.3667,1.3667,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,2,No,No,No,1,No,Yes,,,16,1,1,1,1,1,1,3,4,,-1,1,1,1,-1,79.2,3,3,-1.9014,3,4,,1.1635,1.1635,0.5,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,1,,,,,,,,,,,
Dylan Sampson,CLV,RB,15,No,Yes,No,12,No,No,0.25,0.0833,15,5,5,1,0.4167,5,1,23,46,8,-23,5,5,1,-4.6,85.8,1.9167,4.6,-0.934,4.6,9.2,1.6,7.2891,7.2891,0.3333,2.3,7.3,4.8,9.8,7.3,7.3,4.8,7.3,7.3,7.3,4.8,7.3,7.3,0.6667,,,1,1,,,,,,,
Jawhar Jordan,HST,RB,3,No,No,No,2,No,Yes,0.5,0.5,4,1,1,1,0.5,1,1,-4,1,1,-5,1,1,1,-5,79.2,-2,-4,-9.8711,-4,1,1,1.873,1.873,0.3333,-0.4,0.6,0.1,1.1,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,25,Yes,No,Yes,6,No,Yes,0.5,0.5,15,2,2,1,0.3333,2,1,-1,8,4,-9,2,2,1,-4.5,79.2,-0.1667,-0.5,-4.8223,-0.5,4,2,3.6487,3.6487,0.08,-0.1,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,,,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,16,No,No,No,9,No,Yes,0.1111,0.8889,10,2,2,1,0.2222,2,1,8,10,5,-2,2,2,1,-1,83.3,0.8889,4,-2.1699,4,5,2.5,3.1885,3.1885,0.125,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,,,,,,,,,,,
Pat Bryant,DEN,WR,22,No,No,No,10,No,Yes,0.3,0.7,15,2,2,1,0.2,2,1,8,10,2,-2,2,2,1,-1,83.3,0.8,4,-2.1699,4,5,1,5.717,5.717,0.0909,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,1,0.5,2,,,,,,,,
Rasheen Ali,BLT,RB,5,No,No,No,4,No,Yes,,,15,3,3,1,0.75,3,1,14,29,9,-15,3,3,1,-5,86.1,3.5,4.6667,-0.6054,4.6667,9.6667,3,4.9774,4.9774,0.6,1.4,4.4,2.9,5.9,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,0.75,1,0.3333,1,,,,0.25,,,,
Miles Sanders,DAL,RB,2,Yes,No,No,2,No,Yes,,,4,2,2,1,1,2,1,9,19,7,-10,2,2,1,-5,85.4,4.5,4.5,-0.8239,4.5,9.5,3.5,2.7665,2.7665,1,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,1,1,0.5,,,,,,,,,
Charlie Jones,CIN,WR,2,No,No,No,1,No,Yes,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,4,No,No,No,1,No,Yes,,,9,1,1,1,1,1,1,14,18,,-4,1,1,1,-4,118.8,14,14,7.6636,14,18,,1.56,1.56,0.25,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,,,1,,,1,,,,
Jamari Thrash,CLV,WR,11,No,Yes,Yes,6,No,Yes,0.8333,0.1667,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,10,No,No,Yes,7,No,Yes,0.8571,0.1429,14,3,3,1,0.4286,3,1,6,14,-3,-8,3,3,1,-2.6667,79.2,0.8571,2,-3.1269,2,4.6667,-1,4.3921,4.3921,0.3,0.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,,3,1,,,,,,,,,
Saquon Barkley,PHI,RB,10,No,No,No,5,No,No,0.2,0.2,16,4,4,1,0.8,4,1,12,31,5,-19,4,4,1,-4.75,79.2,2.4,3,-2.3291,3,7.75,1.25,5.2565,5.2565,0.4,1.2,5.2,3.2,7.2,5.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,0.6,1,0.25,,1,,,,,,,
Evan Engram,DEN,TE,22,No,No,No,9,No,Yes,0.4444,,16,4,3,0.75,0.4444,3,0.75,22,32,4,-13,4,4,1,-3.25,87.5,2.4444,5.5,-0.483,7.3333,10.6667,1.3333,6.1196,6.1196,0.1818,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,,,,,,,,0.5556,,,,
Bam Knight,ARZ,RB,12,Yes,No,No,7,No,Yes,0.1429,0.1429,12,1,1,1,0.1429,1,1,2,5,4,-3,1,1,1,-3,79.2,0.2857,2,-4.1191,2,5,4,1.6239,1.6239,0.0833,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,0.7143,1,1,,,,,,,,,
Jaret Patterson,LAC,RB,5,No,No,No,2,No,Yes,,,6,1,1,1,0.5,1,1,1,2,,-1,1,1,1,-1,79.2,0.5,1,-4.819,1,2,,1.5699,1.5699,0.2,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,,,,,,,,,,,
Samaje Perine,CIN,RB,8,No,Yes,No,3,No,No,,,15,3,3,1,1,3,1,10,19,6,-9,3,3,1,-3,80.6,3.3333,3.3333,-2.629,3.3333,6.3333,2,4.4728,4.4728,0.375,1,4,2.5,5.5,4,4,2.5,4,4,4,2.5,4,4,1,1,0.3333,1,,,,,,,,
Josh Whyle,GB,TE,2,No,No,Yes,2,No,Yes,,,8,1,1,1,0.5,1,1,1,6,1,-5,1,1,1,-5,79.2,0.5,1,-3.3733,1,6,1,1.72,1.72,0.5,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,,,,,1,,,,
