Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Kameron Johnson,TB,WR,18,No,No,No,18,No,Yes,,0.5,0.5,17,4,2,0.5,,0.2222,1,0.25,17,3,,61,,,3,15.25,1,5.2,0.9444,4.25,-5.6618,17,3,,1,8.1844,8.1844,0.2222,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,1,,0.25,,,,,,
Dyami Brown,JAX,WR,66,No,Yes,No,63,No,No,,0.2063,0.7937,14,14,14,1,2,0.2222,8,0.5714,102,11,14,181,1,1,12,12.9286,2,103.9,1.619,7.2857,-1.6094,12.75,1.375,1.75,8,35.4649,35.4649,0.2121,16.2,24.2,20.2,24.2,24.2,27.2,23.2,24.2,24.2,24.2,20.2,24.2,24.2,4,4,4,,0.2857,1,,,,,
Luther Burden,CHI,WR,94,Yes,Yes,Yes,94,No,Yes,0.0213,0.4362,0.5426,15,29,24,0.8276,,0.3085,20,0.6897,290,119,31,258,,,22,8.8966,3,101.2,3.0851,10,2.3045,14.5,5.95,1.55,15,44.5841,44.5841,0.3085,29,49,39,49,49,52,42,49,49,49,39,49,49,1,,4,,0.1379,,3,0.15,,,
Josh Palmer,BUF,WR,99,Yes,No,No,98,No,Yes,,0.2041,0.7857,12,24,14,0.5833,,0.2449,13,0.5417,158,43,15,225,,,17,9.375,1,57.3,1.6122,6.5833,-1.3258,12.1538,3.3077,1.1538,8,43.1194,43.1194,0.2424,15.8,28.8,22.3,28.8,28.8,31.8,25.3,28.8,28.8,28.8,22.3,28.8,28.8,3,4,,0.0102,,3,,,,,
Antonio Gibson,NE,RB,7,Yes,Yes,No,5,No,Yes,0.8,,0.2,5,1,1,1,,0.2,,,,,,6,,,,6,,39.6,,,-7.7086,,,,,1.2347,1.2347,0.1429,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,79,No,No,No,43,No,Yes,0.4884,0.093,0.0465,17,1,1,1,,0.0233,1,1,3,5,3,-2,,,1,-2,,79.2,0.0698,3,-1.8511,3,5,3,,1.5067,1.5067,0.0127,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,,,0.3721,,,,,,,
Mason Kinsey,TEN,WR,11,No,Yes,No,11,No,No,,0.6364,0.3636,10,1,1,1,,0.0909,,,,,,19,,,1,19,,39.6,,,-11.9321,,,,,1.44,1.44,0.0909,,,,,,,,,,,,,,,,1,,1,,,,,,
Omarion Hampton,LAC,RB,91,Yes,No,No,67,No,Yes,0.8806,0.0299,0.0746,9,3,3,1,,0.0448,2,0.6667,26,30,2,,1,,3,,,133.3,0.3881,8.6667,2.647,13,15,1,2,6.0485,6.0485,0.033,8.6,10.6,9.6,11.6,10.6,10.6,9.6,10.6,10.6,10.6,9.6,10.6,10.6,1,1,,0.0149,,,,,,,
CJ Dippre,NE,TE,1,Yes,No,Yes,1,No,Yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
David Moore,CAR,WR,18,No,No,No,18,No,Yes,,0.2222,0.7778,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,251,Yes,Yes,Yes,251,No,Yes,0.012,0.5418,0.4462,17,112,90,0.8036,5,0.4462,76,0.6786,960,379,80,969,5,1,101,8.6518,4,109.2,3.8247,8.5714,0.82,12.6316,4.9868,1.0526,49,204.0226,204.0226,0.4462,126,202,164,202,202,205,167,202,202,202,164,202,202,21,10,10,,0.0893,5,7,0.0921,1,,
Chris Moore,WAS,WR,78,No,Yes,No,76,No,Yes,,0.1974,0.8026,14,9,7,0.7778,1,0.1184,5,0.5556,122,45,13,140,,,6,15.5556,3,100.5,1.6053,13.5556,3.8923,24.4,9,2.6,5,16.858,16.858,0.1154,12.2,17.2,14.7,17.2,17.2,20.2,17.7,17.2,17.2,17.2,14.7,17.2,17.2,1,,2,,0.2222,,,,,,
Tutu Atwell,LA,WR,68,No,No,No,68,No,Yes,,0.6324,0.3676,10,9,4,0.4444,1,0.1324,2,0.2222,57,6,1,158,,,5,17.5556,3,13.9,0.8382,6.3333,-3.4001,28.5,3,0.5,2,17.8959,17.8959,0.1324,5.7,7.7,6.7,7.7,7.7,7.7,6.7,7.7,7.7,7.7,6.7,7.7,7.7,1,2,,,,,,,,,
Isaiah Williams,NYJ,WR,79,Yes,No,No,78,No,Yes,,0.6026,0.3974,15,10,7,0.7,,0.1282,6,0.6,70,24,4,67,,,9,6.7,,81.3,0.8974,7,-0.1117,11.6667,4,0.6667,4,15.5987,15.5987,0.1266,7,13,10,13,13,13,10,13,13,13,10,13,13,1,,1,,0.1,,,,,,
Adam Thielen,PIT,WR,88,No,Yes,Yes,87,Yes,Yes,,0.5517,0.4483,16,18,13,0.7222,,0.2069,11,0.6111,97,25,8,174,,,15,9.6667,1,75.5,1.1149,5.3889,-2.4823,8.8182,2.2727,0.7273,5,28.702,28.702,0.2045,9.7,20.7,15.2,20.7,20.7,20.7,15.2,20.7,20.7,20.7,15.2,20.7,20.7,2,4,2,,0.1111,4,1,0.0909,,,
Elijah Higgins,ARZ,TE,105,No,No,No,101,No,Yes,0.0198,0.3762,0.099,17,18,16,0.8889,,0.1782,15,0.8333,173,112,25,85,,,10,4.7222,,106.7,1.7129,9.6111,2.9166,11.5333,7.4667,1.6667,9,29.8325,29.8325,0.1714,16.3,31.3,23.8,31.3,38.8,34.3,25.8,30.3,30.3,30.3,22.8,38.8,30.3,3,4,,0.505,,2,3,0.2,,,
Braelon Allen,NYJ,RB,9,No,No,No,7,No,Yes,1,,,4,2,2,1,,0.2857,1,0.5,12,9,6,3,,,2,1.5,,68.8,1.7143,6,-0.1683,12,9,6,1,4.0808,4.0808,0.2222,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,,1,,0.5,,1,1,,,
Josiah Deguara,ARZ,TE,14,No,No,No,12,No,Yes,0.0833,0.4167,0.0833,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4167,,,,,,,
Harrison Bryant,HST,TE,31,No,No,No,20,No,Yes,,0.05,0.05,12,3,2,0.6667,,0.15,2,0.6667,7,1,,13,,,2,4.3333,,70.1,0.35,2.3333,-4.1877,3.5,0.5,,1,7.8629,7.8629,0.0968,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,,,,0.9,,,,,,,
Tylan Wallace,BLT,WR,28,No,Yes,Yes,27,Yes,Yes,,0.4074,0.5926,14,4,2,0.5,1,0.1481,2,0.5,24,10,6,39,,,2,9.75,,68.8,0.8889,6,-1.9187,12,5,3,2,9.0654,9.0654,0.1429,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,1,,,,,,,,,,
Jonnu Smith,PIT,TE,110,No,Yes,Yes,102,Yes,Yes,,0.5098,0.1078,17,21,16,0.7619,1,0.2059,13,0.619,83,49,16,132,1,1,17,6.2857,1,86,0.8137,3.9524,-3.4222,6.3846,3.7692,1.2308,5,34.6933,34.6933,0.1909,14.3,27.3,20.8,27.3,33.8,27.3,20.8,27.3,27.3,27.3,20.8,33.8,27.3,2,4,2,0.3824,0.0952,3,2,0.1538,,,
Darren Waller,MIA,TE,70,No,No,No,70,No,Yes,,0.3429,0.3857,9,24,17,0.7083,6,0.3429,16,0.6667,139,33,4,265,5,5,19,11.0417,3,121.4,1.9857,5.7917,-2.8221,8.6875,2.0625,0.25,12,45.8759,45.8759,0.3429,43.9,59.9,51.9,59.9,67.9,62.9,54.9,59.9,59.9,59.9,51.9,67.9,59.9,6,5,,0.2714,,4,1,0.0625,,,
Isiah Pacheco,KC,RB,90,No,No,No,63,No,No,0.8095,0.0635,0.127,13,6,5,0.8333,,0.0952,5,0.8333,56,36,4,17,1,,4,2.8333,,145.1,0.8889,9.3333,2.418,11.2,7.2,0.8,2,11.0684,11.0684,0.0667,11.6,16.6,14.1,19.1,16.6,16.6,14.1,16.6,16.6,16.6,14.1,16.6,16.6,2,,,,,,,,,,
Pat Freiermuth,PIT,TE,111,No,Yes,Yes,103,Yes,Yes,,0.5631,0.1845,17,20,13,0.65,2,0.1942,13,0.65,111,54,20,150,1,1,15,7.5,1,96,1.0777,5.55,-2.1079,8.5385,4.1538,1.5385,6,38.7058,38.7058,0.1802,17.1,30.1,23.6,30.1,36.6,33.1,26.6,30.1,30.1,30.1,23.6,36.6,30.1,3,4,,0.2524,,4,1,0.0769,,1,0.05
Calvin Austin,PIT,WR,108,No,Yes,Yes,105,Yes,Yes,0.0095,0.5048,0.4857,14,28,21,0.75,,0.2667,15,0.5357,176,59,12,238,,,24,8.5,2,43.2,1.6762,6.2857,-1.2797,11.7333,3.9333,0.8,8,40.8521,40.8521,0.2593,17.6,32.6,25.1,32.6,32.6,35.6,28.1,32.6,32.6,32.6,25.1,32.6,32.6,,6,3,,0.1071,5,1,0.0667,,2,0.0714
Ronnie Bell,NO,WR,7,No,No,No,7,No,Yes,,0.4286,0.5714,2,1,1,1,,0.1429,1,1,7,1,1,6,,,1,6,,95.8,1,7,0.0509,7,1,1,,1.6581,1.6581,0.1429,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,,
Bijan Robinson,ATL,RB,192,No,No,No,148,No,Yes,0.6892,0.1757,0.1284,17,24,19,0.7917,1,0.1622,19,0.7917,243,167,27,108,1,1,16,4.5,,122.7,1.6419,10.125,3.2479,12.7895,8.7895,1.4211,12,36.0875,36.0875,0.125,29.3,48.3,38.8,57.8,48.3,51.3,40.8,47.3,47.3,47.3,37.8,48.3,47.3,5,,,0.0068,,,,,,,
Jaleel McLaughlin,DEN,RB,11,No,No,No,8,No,Yes,1,,,8,2,2,1,,0.25,2,1,15,16,3,-1,,,2,-0.5,,97.9,1.875,7.5,1.5363,7.5,8,1.5,1,2.8866,2.8866,0.1818,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,,,,,,,,,,
LeQuint Allen,JAX,RB,82,No,Yes,No,55,No,No,0.9455,0.0364,0.0182,17,1,1,1,,0.0182,1,1,4,4,,,,,1,,,83.3,0.0727,4,-1.8271,4,4,,,2.0953,2.0953,0.0122,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1,,,,,,,,,,
Ty Johnson,BUF,RB,76,Yes,No,No,61,No,Yes,0.5738,0.1967,0.1148,17,2,2,1,,0.0328,2,1,61,12,3,17,1,,2,8.5,,158.3,1,30.5,18.7939,30.5,6,1.5,4,5.7167,5.7167,0.0263,12.1,14.1,13.1,15.1,14.1,14.1,13.1,14.1,14.1,14.1,13.1,14.1,14.1,1,,,0.1148,,,1,0.5,,,
Van Jefferson,TEN,WR,114,No,Yes,No,111,No,No,,0.1622,0.8378,16,26,17,0.6538,,0.2342,16,0.6154,181,40,20,264,1,,17,10.1538,2,95.2,1.6306,6.9615,-1.1298,11.3125,2.5,1.25,11,43.6218,43.6218,0.2281,24.1,40.1,32.1,40.1,40.1,43.1,35.1,40.1,40.1,40.1,32.1,40.1,40.1,2,3,,,,3,,,,,
Colston Loveland,CHI,TE,175,Yes,Yes,Yes,166,No,Yes,0.012,0.3313,0.2289,16,55,47,0.8545,3,0.3313,40,0.7273,426,143,47,474,4,2,40,8.6182,3,119.2,2.5663,7.7455,-0.2181,10.65,3.575,1.175,23,96.2419,96.2419,0.3143,66.6,106.6,86.6,106.6,126.6,109.6,89.6,106.6,106.6,106.6,86.6,126.6,106.6,10,10,1,0.4277,0.0182,5,3,0.075,,,
Elic Ayomanor,TEN,WR,175,No,Yes,No,172,No,No,,0.186,0.8081,16,46,29,0.6304,3,0.2674,22,0.4783,235,70,23,406,3,1,37,8.8261,3,66.8,1.3663,5.1087,-2.5898,10.6818,3.1818,1.0455,15,76.0883,76.0883,0.2629,41.5,63.5,52.5,63.5,63.5,66.5,55.5,63.5,63.5,63.5,52.5,63.5,63.5,6,6,6,0.0058,0.1304,6,2,0.0909,,,
Andre Baccellia,ARZ,WR,25,No,No,No,25,No,No,,0.48,0.52,5,2,1,0.5,,0.08,1,0.5,5,-1,,9,,,1,4.5,,56.3,0.2,2.5,-3.6995,5,-1,,,3.1715,3.1715,0.08,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,2,,,,,,,,,,
Derrick Henry,BLT,RB,71,No,Yes,Yes,50,Yes,Yes,1,,,17,8,8,1,,0.16,7,0.875,101,92,17,11,,,5,1.375,,118.8,2.02,12.625,6.424,14.4286,13.1429,2.4286,3,11.0634,11.0634,0.1127,10.1,17.1,13.6,20.6,17.1,20.1,16.6,17.1,17.1,17.1,13.6,17.1,17.1,1,,1,,0.125,,4,0.5714,,,
Robert Tonyan,KC,TE,13,No,No,No,10,No,No,,0.2,0.1,16,1,1,1,,0.1,1,1,1,,,1,,,,1,,79.2,0.1,1,-4.7754,1,,,,1.3276,1.3276,0.0769,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,0.7,,,,,,,
Kareem Hunt,KC,RB,110,No,No,No,74,No,No,0.8108,0.0811,0.0946,17,6,6,1,1,0.0811,5,0.8333,47,38,7,19,1,1,4,3.1667,,138.9,0.6351,7.8333,1.2629,9.4,7.6,1.4,4,11.2623,11.2623,0.0545,10.7,15.7,13.2,18.2,15.7,15.7,13.2,15.7,15.7,15.7,13.2,15.7,15.7,2,,1,0.0135,0.1667,,,,,,
AJ Barner,SEA,TE,180,No,No,No,154,Yes,Yes,0.0195,0.1104,0.0195,17,34,31,0.9118,3,0.2208,27,0.7941,214,113,40,142,3,1,23,4.1765,1,122.3,1.3896,6.2941,-0.2607,7.9259,4.1852,1.4815,10,60.0232,60.0232,0.1889,39.4,66.4,52.9,66.4,79.9,69.4,55.9,66.4,66.4,66.4,52.9,79.9,66.4,9,5,2,0.8506,0.0588,3,1,0.037,,,
Zach Charbonnet,SEA,RB,100,No,No,No,61,Yes,Yes,0.9344,0.0492,0.0164,16,6,5,0.8333,,0.0984,4,0.6667,26,21,16,17,,,3,2.8333,,75.7,0.4262,4.3333,-2.2478,6.5,5.25,4,1,11.4748,11.4748,0.06,2.6,6.6,4.6,8.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,1,,1,,0.1667,,,,,,
Chuba Hubbard,CAR,RB,99,No,No,No,72,No,Yes,0.8472,0.0278,0.125,15,7,7,1,,0.0972,7,1,65,62,40,3,1,,3,0.4286,,144.9,0.9028,9.2857,3.1513,9.2857,8.8571,5.7143,3,11.9197,11.9197,0.0707,12.5,19.5,16,23,19.5,19.5,16,19.5,19.5,19.5,16,19.5,19.5,1,,,,,,2,0.2857,,,
Jared Wayne,HST,WR,6,No,No,No,6,No,Yes,,0.3333,0.6667,1,1,1,1,,0.1667,1,1,3,1,1,2,,,1,2,,79.2,0.5,3,-2.3344,3,1,1,,1.5092,1.5092,0.1667,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,,
Xavier Worthy,KC,WR,136,No,No,No,132,No,No,0.0152,0.3182,0.6667,14,33,25,0.7576,1,0.25,22,0.6667,268,96,30,320,1,,27,9.697,3,101.6,2.0303,8.1212,0.1976,12.1818,4.3636,1.3636,12,60.8619,60.8619,0.2426,32.8,54.8,43.8,54.8,54.8,57.8,46.8,54.8,54.8,54.8,43.8,54.8,54.8,3,6,,,,3,5,0.2273,,1,0.0303
Rachaad White,TB,RB,135,No,No,No,99,No,Yes,0.7677,0.1111,0.1212,17,4,3,0.75,1,0.0404,3,0.75,13,9,1,19,,,4,4.75,,78.1,0.1313,3.25,-3.5964,4.3333,3,0.3333,1,6.5206,6.5206,0.0296,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,1,,,,,,,,,,
Cam Grandy,CIN,TE,2,No,No,No,2,Yes,Yes,,,0.5,5,1,1,1,,0.5,1,1,1,5,1,-4,,,1,-4,,79.2,0.5,1,-5.3364,1,5,1,,1.125,1.125,0.5,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,0.5,,,,,,,
Elijah Moore,BUF,WR,37,No,Yes,No,37,No,No,0.027,0.4324,0.5405,9,5,3,0.6,,0.1351,2,0.4,45,20,,54,,,3,10.8,,72.9,1.2162,9,0.2616,22.5,10,,2,7.9641,7.9641,0.1351,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,,2,1,,0.2,1,,,,,
Johnny Mundt,JAX,TE,69,No,Yes,No,47,No,No,,0.1489,0.0851,16,10,9,0.9,,0.2128,7,0.7,74,49,8,54,,,4,5.4,,91.3,1.5745,7.4,0.5545,10.5714,7,1.1429,4,14.9847,14.9847,0.1449,7.4,14.4,10.9,14.4,17.9,14.4,10.9,14.4,14.4,14.4,10.9,17.9,14.4,,1,1,0.766,0.1,,,,,,
Durham Smythe,CHI,TE,38,Yes,Yes,Yes,26,No,Yes,0.1923,0.2692,0.0385,17,2,2,1,,0.0769,2,1,15,6,1,9,,,,4.5,,97.9,0.5769,7.5,1.2266,7.5,3,0.5,1,2.9169,2.9169,0.0526,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,,,,0.5,,,,,,,
Malachi Corley,CLV,WR,25,No,No,Yes,24,Yes,Yes,0.0417,0.5833,0.3333,13,3,3,1,,0.125,3,1,30,15,1,15,,,1,5,,108.3,1.25,10,3.1988,10,5,0.3333,2,4.2625,4.2625,0.12,3,6,4.5,6,6,6,4.5,6,6,6,4.5,6,6,,,,0.0417,,,,,,,
Xavier Legette,CAR,WR,133,No,No,No,131,No,Yes,,0.3817,0.6183,15,29,21,0.7241,1,0.2214,16,0.5517,179,30,8,316,1,1,22,10.8966,4,56.5,1.3664,6.1724,-2.1196,11.1875,1.875,0.5,12,52.5684,52.5684,0.218,23.9,39.9,31.9,39.9,39.9,42.9,34.9,39.9,39.9,39.9,31.9,39.9,39.9,2,5,1,,0.0345,3,,,,,
Rashid Shaheed,SEA,WR,185,No,No,No,184,Yes,Yes,,0.3587,0.6413,18,41,37,0.9024,,0.2228,33,0.8049,363,68,49,374,1,,35,9.122,4,101.5,1.9728,8.8537,0.9449,11,2.0606,1.4848,17,69.5508,69.5508,0.2216,41.3,74.3,57.8,74.3,74.3,77.3,59.8,73.3,73.3,73.3,56.8,74.3,73.3,2,6,1,,0.0244,3,2,0.0606,,,
Gunnar Helm,TEN,TE,88,No,Yes,No,74,No,No,,0.2838,0.1081,16,23,22,0.9565,1,0.3108,20,0.8696,156,79,20,98,1,1,16,4.2609,,109.4,2.1081,6.7826,0.1466,7.8,3.95,1,11,39.4481,39.4481,0.2614,21.6,41.6,31.6,41.6,51.6,44.6,34.6,41.6,41.6,41.6,31.6,51.6,41.6,3,5,1,0.6081,0.0435,4,2,0.1,,1,0.0435
Justin Jefferson,MIN,WR,195,Yes,Yes,Yes,194,No,No,0.0155,0.2526,0.732,17,69,51,0.7391,6,0.3557,42,0.6087,532,146,70,667,1,1,62,9.6667,4,59.6,2.7423,7.7101,-0.3302,12.6667,3.4762,1.6667,27,121.4401,121.4401,0.3538,59.2,101.2,80.2,101.2,101.2,104.2,83.2,101.2,101.2,101.2,80.2,101.2,101.2,11,13,6,,0.087,9,6,0.1429,2,,
Greg Dulcich,MIA,TE,67,Yes,No,Yes,65,No,Yes,,0.3077,0.1385,10,20,17,0.85,1,0.3077,17,0.85,215,140,32,91,1,1,15,4.55,,128.1,3.3077,10.75,4.0595,12.6471,8.2353,1.8824,10,33.2696,33.2696,0.2985,27.5,44.5,36,44.5,53,47.5,39,44.5,44.5,44.5,36,53,44.5,4,1,,0.5538,,1,2,0.1176,,,
Brock Wright,DET,TE,80,Yes,No,No,57,No,No,0.0526,0.2105,0.1579,11,12,11,0.9167,,0.2105,11,0.9167,96,88,22,12,1,,11,1,,127.8,1.6842,8,2.3484,8.7273,8,2,6,17.9449,17.9449,0.15,15.6,26.6,21.1,26.6,32.1,26.6,21.1,26.6,26.6,26.6,21.1,32.1,26.6,1,,,0.5789,,,,,,,
Brandin Cooks,BUF,WR,126,No,No,Yes,119,No,Yes,0.0084,0.4202,0.5714,15,17,16,0.9412,,0.1429,15,0.8824,133,20,10,171,,,14,10.0588,4,99.3,1.1176,7.8235,0.1414,8.8667,1.3333,0.6667,9,24.4286,24.4286,0.1349,13.3,28.3,20.8,28.3,28.3,31.3,23.8,28.3,28.3,28.3,20.8,28.3,28.3,,2,1,,0.0588,2,,,,,
A.J. Brown,PHI,WR,174,No,No,Yes,163,No,Yes,,0.135,0.865,15,58,46,0.7931,,0.3558,37,0.6379,417,129,57,480,1,,50,8.2759,2,69.4,2.5583,7.1897,-0.343,11.2703,3.4865,1.5405,21,102.6212,102.6212,0.3333,47.7,84.7,66.2,84.7,84.7,87.7,69.2,84.7,84.7,84.7,66.2,84.7,84.7,10,19,2,,0.0345,11,3,0.0811,,,
Luke McCaffrey,WAS,WR,29,No,No,No,27,No,Yes,,0.4444,0.5556,9,6,4,0.6667,1,0.2222,4,0.6667,71,41,3,66,2,1,4,11,,146.5,2.6296,11.8333,2.8605,17.75,10.25,0.75,2,13.5898,13.5898,0.2069,19.1,23.1,21.1,23.1,23.1,23.1,21.1,23.1,23.1,23.1,21.1,23.1,23.1,1,,,,,,,,,,
Samori Toure,NO,WR,3,No,No,No,3,No,Yes,,,1,1,1,,,,0.3333,,,,,,9,,,1,9,,,,,-7.4539,,,,,1.4128,1.4128,0.3333,,,,,,,,,,,,,,1,,,,,,,,,,
Ryan Miller,TB,WR,11,No,Yes,No,10,No,No,,0.2,0.8,13,1,,,,0.1,,,,,,15,,,,15,,39.6,,,-10.4097,,,,,1.7196,1.7196,0.0909,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,113,No,No,No,100,No,Yes,,0.34,0.13,12,20,15,0.75,1,0.2,13,0.65,104,56,25,82,2,1,15,4.1,,90.4,1.04,5.2,-1.3519,8,4.3077,1.9231,5,33.4115,33.4115,0.177,22.4,35.4,28.9,35.4,41.9,38.4,31.9,35.4,35.4,35.4,28.9,41.9,35.4,4,4,1,0.53,0.05,3,,,,1,0.05
Brock Bowers,LV,TE,146,No,Yes,Yes,141,Yes,Yes,0.0213,0.4326,0.1915,12,44,38,0.8636,3,0.3121,36,0.8182,376,198,61,246,3,2,36,5.5909,2,115.5,2.6667,8.5455,1.451,10.4444,5.5,1.6944,18,80.9457,80.9457,0.3014,55.6,91.6,73.6,91.6,109.6,94.6,76.6,91.6,91.6,91.6,73.6,109.6,91.6,5,9,2,0.3546,0.0455,8,2,0.0556,,2,0.0455
Jalin Hyatt,NYG,WR,30,Yes,Yes,No,27,Yes,Yes,,0.1481,0.8519,8,3,2,0.6667,,0.1111,2,0.6667,12,2,,41,,,2,13.6667,1,34.7,0.4444,4,-4.441,6,1,,,4.1386,4.1386,0.1,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,,,,,,,
Terrance Ferguson,LA,TE,93,No,No,No,90,Yes,Yes,,0.4111,0.2778,13,13,7,0.5385,4,0.1444,5,0.3846,66,20,4,187,1,1,12,14.3846,4,80.9,0.7333,5.0769,-5.0793,13.2,4,0.8,3,38.6568,38.6568,0.1398,12.6,17.6,15.1,17.6,20.1,17.6,15.1,17.6,17.6,17.6,15.1,20.1,17.6,3,2,1,0.3111,0.0769,1,,,,,
Kimani Vidal,LAC,RB,113,No,No,No,68,No,Yes,0.9412,0.0441,,13,4,3,0.75,,0.0588,3,0.75,16,15,5,4,1,,4,1,,120.8,0.2353,4,-1.9732,5.3333,5,1.6667,1,7.6083,7.6083,0.0354,7.6,10.6,9.1,12.1,10.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,3,,,0.0147,,,1,0.3333,,,
RJ Harvey,DEN,RB,96,No,No,No,73,No,Yes,0.6986,0.137,0.1233,17,16,15,0.9375,1,0.2192,14,0.875,123,99,21,37,3,1,8,2.3125,,138.3,1.6849,7.6875,1.3344,8.7857,7.0714,1.5,6,28.573,28.573,0.1667,30.3,44.3,37.3,51.3,44.3,47.3,40.3,44.3,44.3,44.3,37.3,44.3,44.3,4,,1,0.0411,0.0625,,3,0.2143,,,
Mason Tipton,NO,WR,67,No,No,No,66,Yes,Yes,,0.3182,0.6818,13,7,6,0.8571,,0.1061,5,0.7143,34,15,1,54,,,6,7.7143,1,42.3,0.5152,4.8571,-2.634,6.8,3,0.2,1,10.8408,10.8408,0.1045,3.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,,1,,,,,1,0.2,,,
Savion Williams,GB,WR,18,Yes,No,No,18,No,Yes,0.1111,0.5,0.3333,12,3,3,1,,0.1667,3,1,26,25,3,1,,,3,0.3333,,102.8,1.4444,8.6667,2.7604,8.6667,8.3333,1,1,5.2557,5.2557,0.1667,2.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,2,,,0.0556,,,,,,3,1
Derius Davis,LAC,WR,15,No,No,No,15,No,Yes,,0.4,0.6,11,,,,,,,,,,,,,,,,,,,,,,,,,3.5889,3.5889,,,,,,,,,,,,,,,,,,,,,,,,,
Deven Thompkins,ATL,WR,3,No,No,No,3,No,Yes,,,1,7,1,1,1,,0.3333,1,1,19,3,1,16,,,1,16,,118.8,6.3333,19,8.9048,19,3,1,1,2.465,2.465,0.3333,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,,,,,,
